 	a87	a23	a4	a13	a53	a76	a35	a76	a94	a35	a41	a14	a69	a53	a20	a73	a84	a57	a40	a30	a35	a83	a62	a24	a35	a94	a53	a76	a73	a57	a87	a23	a12	a96	a83	a61	a24	a62	a34	a98	a92	a35	a24	a62	a83	a13	a38	a14	a73	a57	a87	</S>
son	0.0213517	0.0327616	0.0661238	0.0443582	0.0489617	0.0375598	0.0480189	0.0306305	0.0183411	0.0212121	0.0182826	0.0277224	0.0170993	0.010355	0.0241585	0.0396409	0.0160856	0.0461134	0.0447448	0.0270115	0.0222678	0.0199053	0.0128247	0.0129971	0.0112392	0.0142409	0.0126581	0.0128541	0.0153295	0.0117357	0.0154658	0.0137268	0.014132	0.012964	0.0108594	0.0124876	0.0113624	0.00631129	0.00933865	0.00586097	0.00700019	0.0118973	0.00752557	0.00697649	0.00813609	0.00736747	0.00697716	0.00615595	0.00922585	0.0112659	0.00437917	0.0139979
oncle	0.00314743	0.00805965	0.00380259	0.00622634	0.0105853	0.0214695	0.0319871	0.0113649	0.0309359	0.03072	0.0351781	0.043536	0.0442675	0.0320918	0.085431	0.165172	0.0833938	0.0249461	0.0375611	0.0316038	0.0472852	0.0415389	0.0145464	0.0125643	0.0310449	0.0133556	0.00802131	0.0085297	0.0149522	0.0063791	0.0063536	0.00300541	0.00247251	0.00342671	0.00146572	0.00325964	0.00132085	0.00255515	0.00131553	0.00265177	0.00688206	0.00143208	0.00270863	0.00202457	0.00163712	0.00196334	0.00332141	0.00228438	0.00155368	0.00288529	0.00296314	0.00282015
est	0.0160334	0.0208064	0.0153104	0.0356747	0.0312043	0.0366007	0.0290529	0.0247973	0.0348346	0.0485586	0.0407885	0.0544477	0.0285633	0.0287286	0.0133337	0.00814996	0.00595759	0.0493495	0.0192999	0.0166972	0.0195241	0.0116806	0.027022	0.0167192	0.016786	0.0273245	0.0178459	0.0171939	0.0180476	0.0152399	0.0136375	0.0102526	0.0182629	0.0167714	0.00797796	0.00924126	0.00471834	0.00434813	0.00214737	0.00179866	0.00194588	0.0021615	0.00315935	0.00503407	0.00632601	0.0104241	0.00904996	0.0155995	0.0174392	0.0154077	0.0495015	0.0292223
mort	0.0135007	0.00653758	0.00776755	0.00811096	0.00878561	0.00711772	0.00869095	0.0140517	0.0180282	0.020282	0.024944	0.0172818	0.0234733	0.0213067	0.0144412	0.0134805	0.017981	0.0420925	0.019509	0.0213462	0.030199	0.0188733	0.0291378	0.0182976	0.0246861	0.0224511	0.0241169	0.0180191	0.019471	0.0133562	0.0147903	0.0149572	0.0103387	0.0131344	0.0135068	0.0260882	0.0160431	0.0223146	0.0177421	0.0177668	0.0147246	0.0243394	0.047047	0.0348504	0.0141148	0.0203878	0.0102089	0.0112499	0.0213962	0.0209834	0.0304768	0.0362014
il	0.0408647	0.0263904	0.0251226	0.0240048	0.0303833	0.00976872	0.00883245	0.0220506	0.0185952	0.016289	0.0174234	0.0140548	0.0137323	0.0155998	0.0075035	0.0126027	0.0368273	0.0603715	0.0183703	0.0256302	0.0157882	0.0127254	0.0155293	0.0174323	0.016679	0.0229813	0.0234952	0.014332	0.0134431	0.00923966	0.00581414	0.00907905	0.00640404	0.00772058	0.00781356	0.00885663	0.00748774	0.00802046	0.00627002	0.00451407	0.00433196	0.00708105	0.00810218	0.00553734	0.0048558	0.00715681	0.00889073	0.018785	0.0372597	0.0581542	0.0600054	0.101796
y	0.00876491	0.00542899	0.00530851	0.00631812	0.00710309	0.00404153	0.00406721	0.00567356	0.0105533	0.00920547	0.00795113	0.00865738	0.00817494	0.010278	0.00749752	0.0129888	0.0376539	0.0709283	0.0312162	0.0533785	0.0377022	0.0341066	0.0601553	0.056552	0.0398903	0.0473482	0.0582198	0.0385647	0.0486073	0.0287489	0.0201415	0.0271428	0.0210773	0.0177767	0.01663	0.0113935	0.00841468	0.0054275	0.00572876	0.00349297	0.00560093	0.00234734	0.00137915	0.00163548	0.00193145	0.0026571	0.00328879	0.00617085	0.0108285	0.0141276	0.018706	0.0290162
a	0.0234119	0.0222417	0.0215332	0.0152819	0.0175059	0.0156941	0.0144464	0.0117422	0.00835725	0.00995061	0.0083493	0.0118302	0.00895055	0.00932546	0.00940711	0.0124467	0.0259884	0.0663839	0.0293222	0.0398493	0.0251321	0.0169836	0.0363618	0.0334139	0.0278758	0.0327159	0.0382524	0.0239536	0.0328335	0.0199499	0.0165552	0.0213469	0.013038	0.0186819	0.0233595	0.0128083	0.0145009	0.00727276	0.00585939	0.00417921	0.00463471	0.00281316	0.00241966	0.00258812	0.00310054	0.00582558	0.00828604	0.0138068	0.0228544	0.0355747	0.0312318	0.0597718
deux	0.0183555	0.0149834	0.0108339	0.0119624	0.0102151	0.0125857	0.0123541	0.0104913	0.010361	0.0116045	0.0085877	0.011948	0.0137794	0.0142548	0.0124759	0.0139533	0.019033	0.0493605	0.0330543	0.0459982	0.040163	0.0243385	0.0431113	0.0402267	0.0251338	0.0314362	0.0357961	0.0305168	0.033061	0.0304798	0.0319987	0.0295647	0.0215145	0.0221061	0.0158692	0.00813666	0.00720818	0.00556399	0.00322146	0.00277013	0.00608965	0.00210289	0.00136962	0.00121713	0.00161797	0.0051312	0.00625914	0.011894	0.0186695	0.0320254	0.0348442	0.0503707
ans	0.0112177	0.008883	0.00549417	0.00499349	0.006445	0.00650791	0.00525146	0.00498063	0.00842175	0.0105784	0.0146818	0.0163911	0.010364	0.0173279	0.0197292	0.0243044	0.0353941	0.0663766	0.0673143	0.0588581	0.064421	0.0588425	0.0318865	0.0369579	0.0304742	0.0320184	0.0311738	0.0194849	0.0262192	0.0198849	0.0360935	0.0165627	0.0181298	0.01442	0.016565	0.00620856	0.00432531	0.00351066	0.00168264	0.00125587	0.00248475	0.00196417	0.00158696	0.0014814	0.00164664	0.00294051	0.00495209	0.0117627	0.0163425	0.0208395	0.0335606	0.0268059
</S>	0.0546638	0.0397106	0.0457377	0.0317857	0.020646	0.0158458	0.0172874	0.0106156	0.00820756	0.00751731	0.00863195	0.0088853	0.00888474	0.00795142	0.0143218	0.0153166	0.0163372	0.0536645	0.0349269	0.0276291	0.0205017	0.0234252	0.0186631	0.0229168	0.0219289	0.0147986	0.0135862	0.00838235	0.01225	0.0111179	0.00994734	0.0093104	0.00982543	0.0118325	0.0167852	0.00963115	0.00784031	0.00512427	0.00447057	0.00468313	0.00443721	0.0101001	0.00947456	0.00478406	0.00536528	0.0114019	0.0112565	0.023447	0.0369972	0.0445121	0.0433555	0.0892806
