 	a66	a87	a23	a13	a53	a93	a4	a75	a34	a92	a44	a93	a44	a56	a93	a96	a62	a21	a47	a75	a5	a37	a27	a11	a62	a75	a37	a61	a21	a12	a96	a62	a88	a62	a93	a13	a62	a96	a90	a69	a58	a7	a84	a57	a87	a23	a87	</S>
mon	0.0194198	0.0269258	0.0509471	0.0874044	0.1152	0.0715986	0.0735814	0.0328454	0.0191786	0.0141875	0.0111224	0.0173277	0.00913206	0.0126427	0.0145163	0.0120736	0.0133143	0.0161145	0.0175245	0.0163311	0.0214542	0.0170127	0.0137903	0.0142066	0.0183569	0.0213002	0.0176789	0.01403	0.0176559	0.0119341	0.0119322	0.0107431	0.0147373	0.0103849	0.0115269	0.0110942	0.0122876	0.00425116	0.00406731	0.00593927	0.00810307	0.00627704	0.0100923	0.00944752	0.0100412	0.00911932	0.00871574	0.022432
coeur	0.013804	0.0148517	0.0256245	0.0242835	0.0565193	0.0274529	0.0331352	0.0372007	0.0376493	0.0232184	0.0210436	0.0319287	0.0489027	0.0386139	0.0351118	0.0285753	0.0187652	0.041821	0.0281982	0.0240352	0.0395362	0.0247435	0.0238082	0.0179675	0.0269497	0.0244326	0.020553	0.0246732	0.0178151	0.0150991	0.0233469	0.0127953	0.00751801	0.0124796	0.0131686	0.0136068	0.0179083	0.00751759	0.00181939	0.00360507	0.00372678	0.00204341	0.00388461	0.00444475	0.00268258	0.0045739	0.00703845	0.0115269
palpite	0.0212658	0.0345584	0.0205399	0.0271195	0.0277038	0.0468545	0.0484948	0.0711293	0.0129745	0.0553684	0.0166304	0.0150845	0.0181215	0.0832478	0.018309	0.0509409	0.032029	0.0264459	0.0258313	0.0193573	0.018599	0.0190805	0.0274603	0.0115724	0.0207179	0.0310227	0.0130726	0.00863138	0.0106215	0.00668727	0.0178676	0.0146976	0.00982962	0.00831384	0.00415932	0.00524132	0.00438157	0.00367856	0.00653825	0.00860261	0.0107669	0.014165	0.0129766	0.00848584	0.00524514	0.00578139	0.0131026	0.00669421
parce	0.0549279	0.0508816	0.0499355	0.0343808	0.029852	0.0197785	0.0293046	0.0225106	0.0255365	0.0303572	0.0185576	0.0233122	0.0300363	0.0327853	0.0222889	0.0227342	0.0332559	0.0346864	0.0313516	0.0516229	0.0302716	0.0192156	0.0192373	0.0253626	0.0164783	0.0215789	0.00837419	0.00797014	0.00563358	0.00510181	0.00714682	0.011151	0.01021	0.00935015	0.0141672	0.0115592	0.00928186	0.00780613	0.00394939	0.00607722	0.0086191	0.0076247	0.0088902	0.00832706	0.0153988	0.00954041	0.0151771	0.028403
que	0.0260303	0.0271884	0.0199965	0.0193963	0.0310169	0.0250494	0.0257275	0.0276314	0.0260817	0.0267249	0.0299587	0.0408917	0.0288099	0.0394238	0.055839	0.0415167	0.0601968	0.0572401	0.0565706	0.045731	0.0369365	0.0319142	0.0251488	0.0243846	0.0187522	0.0142983	0.0133233	0.00963621	0.00719227	0.00728832	0.0108067	0.0091471	0.0097535	0.00736677	0.00521427	0.0102362	0.00634854	0.00307402	0.00138339	0.00228572	0.00284554	0.00188078	0.0024695	0.00231197	0.00381286	0.00283285	0.00646034	0.0118739
la	0.0259628	0.0287799	0.0316134	0.0254797	0.027643	0.0248926	0.025975	0.028048	0.0301165	0.0248687	0.0282082	0.0502522	0.0421527	0.0389578	0.0437059	0.0410006	0.0448998	0.0284346	0.0330895	0.0263265	0.0280098	0.0265735	0.0228972	0.0181289	0.0173177	0.0186573	0.0165789	0.0123899	0.0113981	0.0137015	0.0110677	0.00881703	0.00995333	0.00682555	0.0076298	0.0105788	0.0169012	0.00895272	0.00397363	0.00692532	0.0096661	0.00640643	0.00832044	0.00829661	0.00917965	0.00443483	0.0107148	0.0152958
nourriture	0.0384653	0.0469687	0.0345447	0.024225	0.0111685	0.012802	0.0103727	0.0120866	0.0118673	0.0219753	0.0164202	0.0252794	0.0256983	0.0290568	0.0285138	0.0349354	0.0422196	0.027397	0.0327931	0.0239859	0.0186322	0.0277334	0.0219121	0.0146246	0.0197685	0.0119025	0.0136464	0.0140637	0.0161186	0.0128599	0.0150293	0.00870036	0.0132405	0.00904541	0.0140018	0.0183383	0.0268384	0.0402903	0.0178084	0.0141391	0.0377463	0.0207333	0.0186007	0.0206238	0.0118214	0.00834905	0.0112617	0.0113944
que	0.0161501	0.0232206	0.0137335	0.0102093	0.00755766	0.00835815	0.00534719	0.00706381	0.00792642	0.0122173	0.00795625	0.0121025	0.0147976	0.0198425	0.0193742	0.0196294	0.0395645	0.0314982	0.0313639	0.0335129	0.0310265	0.0485263	0.0545207	0.0826039	0.0803052	0.031033	0.0565415	0.0381002	0.0348884	0.0360699	0.0248993	0.0158687	0.0147369	0.00848631	0.0125139	0.0129106	0.0132911	0.0127758	0.00486017	0.00371555	0.00709366	0.00417506	0.00526694	0.00444326	0.0045335	0.00460852	0.0072073	0.00357176
j'	0.0420778	0.0527017	0.0386165	0.0259003	0.0102271	0.00880076	0.00582995	0.00827515	0.00985214	0.0103987	0.00631915	0.0107777	0.0119579	0.0127485	0.0110693	0.0114572	0.0224538	0.0171819	0.0258837	0.0218367	0.0240236	0.0224786	0.0241545	0.0332997	0.0294867	0.0227107	0.0243945	0.0171021	0.0121804	0.0141941	0.0146638	0.01393	0.0132914	0.0109166	0.0131564	0.0194562	0.0470499	0.0379738	0.0206837	0.0224146	0.0332352	0.0279136	0.0219418	0.0274665	0.0271223	0.0131355	0.0299126	0.0173455
ai	0.0210972	0.0382811	0.0303444	0.0319833	0.0171174	0.0178646	0.00956168	0.010813	0.0115175	0.015055	0.0100017	0.0108137	0.0134382	0.0183169	0.027345	0.0241483	0.0422414	0.0310018	0.0243694	0.0270028	0.0200978	0.0346148	0.0265745	0.0284314	0.0365381	0.0221055	0.0237337	0.0236356	0.0128491	0.0162556	0.0398308	0.0288907	0.0360562	0.0313938	0.0161358	0.0289818	0.019115	0.0152334	0.0122366	0.0129648	0.0107644	0.0109274	0.00912834	0.0118236	0.0110455	0.00683894	0.0145639	0.00691848
