 	a87	a23	a35	a56	a96	a83	a62	a47	a70	a34	a98	a85	a21	a18	a25	a38	a75	a85	a47	a36	a57	a87	a23	a54	a6	a5	a66	a98	a47	a2	a57	a38	a75	a85	a37	a11	a56	a70	a90	a25	a96	a98	a6	a66	a18	a9	a87	a23	a87	</S>
pendant	0.0462182	0.0662162	0.0386132	0.0393572	0.0338193	0.0308909	0.0407689	0.0656668	0.0738477	0.0630984	0.0350917	0.0262875	0.0156458	0.0143581	0.0133724	0.00626949	0.00636464	0.00757277	0.0097445	0.00587866	0.0112951	0.00972195	0.0112308	0.00841355	0.00796172	0.0118173	0.0137476	0.0127104	0.0182203	0.0165639	0.0187023	0.0208167	0.0172035	0.0209444	0.01831	0.0190566	0.0257313	0.0190524	0.0055044	0.0047582	0.00567131	0.00418617	0.0060637	0.00493435	0.00674381	0.00566343	0.0049056	0.0077339	0.00756144	0.0156914
la	0.00622287	0.0109191	0.00809752	0.00899146	0.00934745	0.0117351	0.0204679	0.0258598	0.0451758	0.0391062	0.0390851	0.035747	0.0267071	0.0251318	0.0464866	0.039261	0.0626562	0.0518669	0.0607262	0.0525898	0.0448541	0.078972	0.0410608	0.0331203	0.0182045	0.0143901	0.0133776	0.0108727	0.00488909	0.0117502	0.00535985	0.00781523	0.00636869	0.00307732	0.00182889	0.00343014	0.00580912	0.003709	0.00381486	0.00360398	0.00510929	0.00512852	0.00439858	0.00509204	0.00523845	0.00438098	0.00490217	0.00758532	0.00948047	0.00619491
période	0.0452936	0.019466	0.0126818	0.0106432	0.00753135	0.00456911	0.00900621	0.0111098	0.00662936	0.0100459	0.00895567	0.0267544	0.0264814	0.0345747	0.0174705	0.0236609	0.0146441	0.0217958	0.0236436	0.0293554	0.0466649	0.0312901	0.0287897	0.0309964	0.0280745	0.0309081	0.0279967	0.0148151	0.0133912	0.023458	0.0125418	0.0280144	0.0151428	0.0128073	0.0125349	0.0129088	0.00977445	0.012649	0.0150736	0.0108774	0.0118557	0.0215683	0.0255527	0.0206614	0.032667	0.0173544	0.023305	0.0357791	0.0174632	0.0107713
de	0.041452	0.0171959	0.0067693	0.00555557	0.00307115	0.00304538	0.00504508	0.00471486	0.00321412	0.00617917	0.00590647	0.0158535	0.0113193	0.0227873	0.0102938	0.00987643	0.00908462	0.00875981	0.00879353	0.00866017	0.0256193	0.0148376	0.0209277	0.0144281	0.0223886	0.0751874	0.0367957	0.0481813	0.056293	0.0977163	0.0333566	0.0437873	0.0319094	0.0347657	0.0258049	0.0211006	0.0184917	0.0194256	0.0108875	0.0112587	0.0069581	0.0125463	0.0139316	0.0145611	0.0211514	0.00961039	0.0150437	0.0148517	0.0136719	0.00693362
pluies	0.0794726	0.0592369	0.0339857	0.0300336	0.0177553	0.0107318	0.00835856	0.00816901	0.00512408	0.0050654	0.00620679	0.00713192	0.00979886	0.00921747	0.00508029	0.00751303	0.00617076	0.00914593	0.0122637	0.0100789	0.0195479	0.0157808	0.0171573	0.0142732	0.012565	0.0198411	0.0193749	0.0248764	0.025619	0.0231881	0.0279164	0.0332643	0.0415499	0.0417644	0.0308917	0.0252917	0.0287268	0.0271768	0.0184827	0.0168502	0.0147842	0.0226047	0.0236048	0.0257389	0.0241457	0.0143083	0.0134285	0.0160934	0.00915609	0.0114565
les	0.04243	0.0220699	0.013228	0.0109777	0.0098171	0.00850506	0.00869473	0.00964246	0.00587967	0.00948745	0.00947636	0.0130261	0.0200388	0.0267976	0.0170976	0.0279016	0.0257581	0.0333017	0.0355293	0.0399942	0.0565022	0.047114	0.0562284	0.0454762	0.0328366	0.0324639	0.0265496	0.0321102	0.023189	0.0238247	0.0249726	0.0312574	0.0207075	0.0198129	0.0178007	0.0144624	0.0133797	0.0181483	0.00635941	0.00473397	0.00337254	0.00491111	0.00885968	0.00765683	0.0102141	0.00529452	0.00557316	0.00729131	0.0047242	0.00451952
gens	0.0359662	0.0243771	0.0151667	0.0151968	0.0144927	0.0126781	0.0127403	0.0122171	0.0109818	0.0143069	0.0135621	0.0139831	0.0173072	0.01811	0.0167586	0.0247186	0.0201978	0.0230115	0.0212903	0.0317081	0.0261785	0.0337719	0.0391514	0.0369505	0.0312733	0.0306355	0.028687	0.0214236	0.0248125	0.0167218	0.027145	0.0477567	0.034061	0.0338499	0.037158	0.0220099	0.0199975	0.0226331	0.0138989	0.0125087	0.00776198	0.00692929	0.0083624	0.00737281	0.00888648	0.00508341	0.00431419	0.00813051	0.00620697	0.00755612
attrapent	0.0374737	0.023565	0.0139228	0.012719	0.00899514	0.0057378	0.00697481	0.00785575	0.00617239	0.00771349	0.00902907	0.0129401	0.0217194	0.025858	0.0233846	0.0276183	0.0283423	0.0312454	0.0362853	0.0544084	0.0516827	0.0665923	0.0690207	0.0487531	0.0385421	0.032592	0.0205169	0.0220856	0.0220338	0.0159603	0.0114394	0.0200235	0.0101001	0.00958667	0.0117538	0.0137379	0.0097099	0.0129734	0.0108889	0.0105954	0.00851559	0.00580768	0.0109587	0.00794479	0.00947527	0.00895168	0.00782296	0.0110687	0.0117465	0.00715911
des	0.0292374	0.0193478	0.0195529	0.0137198	0.0148151	0.00929685	0.00918889	0.0131375	0.0150608	0.0155314	0.0193668	0.0221094	0.0280346	0.0413197	0.0349385	0.0351603	0.0393401	0.0515262	0.0524961	0.046969	0.0584788	0.042484	0.0416293	0.0247621	0.0202885	0.0151425	0.00817632	0.00561648	0.00692972	0.00615954	0.00492409	0.00949921	0.00675613	0.00652139	0.00656769	0.00766169	0.00623486	0.00632608	0.0074792	0.00622691	0.00857008	0.00876443	0.0125356	0.016693	0.0154603	0.0175906	0.0191479	0.0212463	0.0201627	0.0318153
poissons	0.0202359	0.0185164	0.0163847	0.0144868	0.0144499	0.00934016	0.0096681	0.0118863	0.0128605	0.00839203	0.0102915	0.0104782	0.0168436	0.0234437	0.0224283	0.0228824	0.0259976	0.033187	0.0382267	0.0425901	0.0415336	0.0588882	0.0515529	0.0422226	0.0355729	0.0209832	0.0120928	0.0188067	0.0148201	0.0140456	0.0156417	0.0198819	0.0226813	0.021628	0.0276744	0.0307272	0.0209333	0.0192686	0.0132546	0.00908621	0.00682359	0.00435881	0.0045047	0.00660268	0.0065071	0.00746262	0.00719078	0.0138966	0.0187476	0.0300196
dans	0.0295275	0.0253648	0.0165138	0.013571	0.0123589	0.0100997	0.0095183	0.0164453	0.0166556	0.0149694	0.0188228	0.0223509	0.0334015	0.0340105	0.0262549	0.0316869	0.02844	0.0322819	0.0371124	0.0392478	0.0385003	0.0444731	0.0388008	0.0326062	0.030083	0.0218471	0.0156205	0.0133175	0.0143862	0.0127278	0.0123577	0.0205099	0.0144975	0.0153448	0.0138505	0.0142957	0.00981215	0.00879251	0.00612929	0.00484166	0.00690384	0.00633628	0.00956844	0.010081	0.0126218	0.0109813	0.0153708	0.0272603	0.0260239	0.0234244
les	0.0399999	0.0251778	0.0123148	0.00952334	0.0106749	0.00844573	0.00732654	0.00901646	0.00558599	0.00581443	0.00745068	0.0121062	0.018077	0.0310721	0.0173	0.0195801	0.0222948	0.0265147	0.0258543	0.0298678	0.0379491	0.0287186	0.0404232	0.0327786	0.0419229	0.0374627	0.0216054	0.0201321	0.0229568	0.0171131	0.0185567	0.025395	0.0146872	0.0135095	0.0140614	0.0172217	0.0111139	0.0158251	0.0100561	0.0127661	0.00887626	0.0109426	0.0143787	0.0214286	0.0176742	0.0222022	0.0211074	0.022517	0.0260256	0.036595
barrages	0.0231887	0.0199096	0.0166055	0.0116334	0.0149271	0.0176574	0.0144656	0.0209372	0.0181036	0.0159264	0.0186507	0.0197609	0.0199843	0.0328657	0.0221446	0.015612	0.0194421	0.0232748	0.0270024	0.0225221	0.0397379	0.0233962	0.0327534	0.0257499	0.033596	0.0347134	0.0193478	0.0179337	0.0200734	0.014332	0.0180106	0.0252889	0.0202709	0.0216933	0.0191933	0.0175241	0.0114757	0.0154301	0.0114587	0.00900313	0.0101822	0.00917676	0.0109713	0.0195328	0.0151441	0.01924	0.0174917	0.0185507	0.0196814	0.0344327
à	0.0468019	0.0441445	0.0355169	0.0278816	0.0277174	0.0181487	0.0290765	0.0296825	0.0228886	0.0160056	0.0151221	0.0190311	0.0205907	0.0373221	0.0217754	0.0176268	0.0153006	0.0214134	0.0240861	0.0187648	0.0306769	0.0130222	0.0176776	0.0111906	0.0177624	0.0202653	0.0168655	0.00980358	0.0147127	0.0124925	0.0114287	0.0223081	0.0100188	0.0157372	0.0179612	0.0305711	0.016966	0.0160591	0.00908907	0.00811619	0.00572326	0.0085494	0.00851737	0.00898069	0.0153108	0.00970749	0.0147027	0.0220615	0.0252658	0.0495589
nasses	0.0404939	0.0277939	0.0134792	0.00886222	0.0127106	0.0147284	0.017631	0.0191615	0.0130439	0.00862628	0.00886211	0.0105164	0.0107524	0.021647	0.00805364	0.00863426	0.00770359	0.0112066	0.0120005	0.00946466	0.0222275	0.0116658	0.0134076	0.0117765	0.0170791	0.0244981	0.0215321	0.0231768	0.0305995	0.0230995	0.0214398	0.0278274	0.0218975	0.0225473	0.0208882	0.0264824	0.0182977	0.0180258	0.0224722	0.0242372	0.0238175	0.0323427	0.025366	0.0342701	0.037574	0.0308882	0.0275498	0.0254174	0.0254547	0.02877
</S>	0.0306465	0.027267	0.0152452	0.0123911	0.0149182	0.0173524	0.0191392	0.0264485	0.0217113	0.0165926	0.0178055	0.0193282	0.0221399	0.0325922	0.0154886	0.0158938	0.0145206	0.0175767	0.0220883	0.0179079	0.025756	0.0157873	0.016949	0.0193495	0.0217845	0.0165374	0.0130397	0.0206771	0.0155759	0.0241925	0.024181	0.0216791	0.0251525	0.029059	0.0256447	0.0320863	0.0252356	0.0284274	0.0200174	0.0153697	0.0156544	0.0144735	0.0147363	0.0177209	0.020232	0.0152988	0.0167438	0.0161449	0.0166823	0.0187578
