 	a66	a87	a23	a30	a70	a90	a56	a79	a44	a75	a85	a15	a47	a6	a37	a85	a37	a92	a85	a5	a21	a5	a61	a62	a88	a93	a4	a13	a9	a99	a87	a23	a87	</S>
lorsque	0.0185044	0.0233872	0.0347001	0.025145	0.0263924	0.0411354	0.0508069	0.0719603	0.0519537	0.0299201	0.029434	0.0220766	0.0226301	0.0163749	0.0144849	0.0307185	0.0438979	0.0418486	0.0365609	0.0261938	0.0216003	0.0143208	0.0253122	0.0290795	0.0490748	0.0244337	0.0264902	0.0278242	0.0168623	0.0151958	0.0120395	0.0205682	0.00980795	0.0492651
mon	0.0122471	0.00860886	0.0088245	0.0160733	0.0165462	0.0323959	0.0383933	0.0387834	0.0379198	0.0606052	0.0539305	0.0265636	0.0244721	0.0239422	0.0276403	0.0471113	0.0371257	0.0302568	0.0274726	0.0126655	0.0115611	0.0176186	0.0286998	0.0146076	0.0236798	0.0223898	0.0224385	0.0354207	0.0475545	0.0454247	0.032403	0.0472803	0.0355988	0.0337443
mari	0.0204961	0.012506	0.0075408	0.0141743	0.0178937	0.0223596	0.0282391	0.0301581	0.0496084	0.117753	0.101897	0.0945207	0.109187	0.0495819	0.0329161	0.0296747	0.0297699	0.0220666	0.0116872	0.0158701	0.0140761	0.0126111	0.00773252	0.00486119	0.00517788	0.00577002	0.0111286	0.0121442	0.018157	0.00898616	0.0148354	0.0147765	0.0147903	0.0370527
boit	0.117161	0.0896759	0.0453713	0.0367011	0.0363714	0.0483423	0.0464621	0.0424161	0.0386765	0.0338807	0.0209319	0.0120646	0.0120895	0.0125589	0.010707	0.00969127	0.00792229	0.00756761	0.0076605	0.00441464	0.00298047	0.0104743	0.0026192	0.00639433	0.00603682	0.00579577	0.00985737	0.00893222	0.0204714	0.0227598	0.051229	0.0614557	0.0741581	0.0761692
du	0.0900903	0.0840531	0.0645505	0.0581783	0.0654436	0.0617963	0.0491779	0.0296713	0.0375734	0.0652282	0.0535919	0.0361947	0.01499	0.0180349	0.0192737	0.0268653	0.0196057	0.0150019	0.0141038	0.00764023	0.00845601	0.018301	0.0119244	0.0147193	0.0129064	0.0115442	0.0104312	0.00806478	0.010156	0.0108182	0.00719505	0.0150141	0.0142355	0.0151689
vin	0.073476	0.0458434	0.0414733	0.0333529	0.0397594	0.0538879	0.0389526	0.0409717	0.0451472	0.113508	0.0892292	0.0408087	0.0179683	0.0234402	0.0204209	0.0390609	0.0248973	0.0139011	0.0172451	0.0177198	0.0131956	0.0204325	0.0106606	0.0107163	0.00790052	0.0112861	0.0268423	0.0190559	0.0127979	0.00562377	0.00648299	0.00816847	0.0058856	0.00988777
il	0.0752193	0.0348366	0.0236266	0.0226961	0.026837	0.0346236	0.0257258	0.0492128	0.0602112	0.0928767	0.0978965	0.0493678	0.0235549	0.0136445	0.00992038	0.00901387	0.00602953	0.0166078	0.0280751	0.010835	0.00748313	0.00972442	0.00986579	0.00922779	0.0180492	0.00698516	0.0145309	0.0187494	0.0254636	0.0241827	0.0430375	0.0469867	0.0404455	0.0144571
devient	0.04975	0.0306886	0.0252415	0.0298687	0.0314727	0.0225773	0.0242035	0.0173542	0.015908	0.0273535	0.0231401	0.0165002	0.0121459	0.00793025	0.00832514	0.00815673	0.00649466	0.00949183	0.0159646	0.00563608	0.00497621	0.00833182	0.00857843	0.00893249	0.0197171	0.00800272	0.0142457	0.0181473	0.038285	0.062601	0.164319	0.114377	0.109223	0.0320598
toujours	0.0658367	0.0663019	0.0935923	0.0576123	0.0649628	0.0247332	0.0230222	0.0101178	0.0114515	0.0144608	0.0111125	0.0149937	0.0138922	0.0130937	0.0214342	0.02101	0.0192201	0.0146122	0.01126	0.0039245	0.00447766	0.0103772	0.00691896	0.00783125	0.0150735	0.00806113	0.00958796	0.00956615	0.0221097	0.0329396	0.0744858	0.0883655	0.079351	0.0542104
étourdi	0.0493772	0.0536435	0.0678333	0.0444021	0.0423905	0.0280639	0.0233055	0.0150226	0.0183983	0.0152491	0.0131873	0.0101316	0.00682493	0.00430915	0.00501489	0.0045571	0.00442451	0.00481946	0.00525556	0.00225028	0.00226987	0.00466493	0.00447299	0.00566842	0.0168811	0.00693215	0.0110703	0.0185342	0.0351171	0.0891471	0.0872788	0.0925906	0.0928484	0.114063
</S>	0.051532	0.0305573	0.0630067	0.0201497	0.0269394	0.0153688	0.0162167	0.0128243	0.0142978	0.0122044	0.010837	0.013561	0.0112293	0.0164119	0.0169612	0.0188763	0.0269468	0.0194208	0.0217826	0.00996728	0.0105228	0.0203782	0.0148161	0.0123713	0.0228349	0.0139357	0.0133433	0.0260388	0.0348849	0.0686773	0.0806865	0.0894459	0.0597814	0.103191
