 	a66	a87	a97	a87	a23	a99	a13	a53	a15	a5	a90	a93	a90	a56	a96	a34	a54	a73	a44	a53	a15	a56	a70	a50	a24	a0	a90	a44	a66	a13	a38	a50	a0	a24	a9	a87	a23	a87	a23	a87	a23	a87	</S>
la	0.0148368	0.0225138	0.0181419	0.0180406	0.0260812	0.0227687	0.0399338	0.0429101	0.0507738	0.0705639	0.0750596	0.0838696	0.0761403	0.0377578	0.0183284	0.0155692	0.0190939	0.0164703	0.0144102	0.0150739	0.0164794	0.0152777	0.0113191	0.0111372	0.0126596	0.00919744	0.0104332	0.00700449	0.00895342	0.0117924	0.00845125	0.0147808	0.0144702	0.0154574	0.0213998	0.0244744	0.019391	0.00954006	0.00792582	0.00775768	0.00983291	0.0101504	0.0237765
pluie	0.00174614	0.00359186	0.00476731	0.00486031	0.0201828	0.0280154	0.0294932	0.0382308	0.0461471	0.0277296	0.0255092	0.0635301	0.134623	0.166577	0.0643285	0.040842	0.055112	0.0820109	0.019437	0.0155316	0.0126978	0.0138507	0.0178068	0.0164269	0.010025	0.0114398	0.0122126	0.00765123	0.00552897	0.00405399	0.00246572	0.00146944	0.00170817	0.00149623	0.00116021	0.00107206	0.000445415	0.000644735	0.000650519	0.0016826	0.00117068	0.00131495	0.000758695
d'	0.0301003	0.0462312	0.0353826	0.0256388	0.0217769	0.0345917	0.0586314	0.0656348	0.044216	0.0510902	0.0254626	0.0441583	0.0509041	0.0374597	0.0389345	0.0431742	0.0412838	0.0206066	0.0362487	0.0255251	0.0445354	0.0337278	0.0488902	0.0232095	0.0118599	0.00579373	0.0102632	0.00449151	0.00334811	0.00588082	0.00289926	0.00319662	0.00275927	0.00207452	0.00138859	0.00240359	0.00182024	0.00219201	0.00139154	0.00474904	0.00299742	0.00263806	0.000438424
hier	0.0167326	0.014971	0.0120281	0.00724388	0.00670835	0.00639208	0.00831406	0.00815307	0.00664241	0.0091849	0.0104918	0.0116819	0.0162245	0.0196842	0.0294126	0.0608127	0.0552084	0.0472149	0.0855221	0.0550866	0.0561752	0.0333856	0.0351555	0.0209832	0.0133399	0.0104755	0.00596739	0.00535122	0.00435866	0.00460146	0.00469436	0.00365562	0.00653479	0.00753395	0.0123691	0.0242153	0.0200847	0.032043	0.027698	0.0447509	0.0473706	0.0508221	0.0407237
a	0.0226014	0.0152204	0.015185	0.0186212	0.0128003	0.0130372	0.0174506	0.0136244	0.0161257	0.0285352	0.0354824	0.0361594	0.0481622	0.0465095	0.0566623	0.0782136	0.0518404	0.039677	0.0470268	0.0401175	0.0377855	0.0410564	0.0537834	0.0287657	0.0179723	0.0160249	0.0143409	0.0116944	0.00764646	0.00443371	0.00432764	0.0063207	0.00379934	0.00655066	0.00233103	0.00662317	0.00467857	0.0127793	0.00849792	0.0150599	0.0162405	0.0152569	0.0109786
fait	0.029681	0.0169523	0.0146632	0.0160062	0.0131444	0.0115811	0.0155667	0.0156395	0.0222948	0.0240269	0.0280512	0.0148457	0.0149852	0.0137139	0.0122921	0.0158595	0.018298	0.0120963	0.0245425	0.0216126	0.0218699	0.0189028	0.0233143	0.0190755	0.017133	0.0136137	0.0163389	0.0116042	0.0103165	0.0139096	0.0123952	0.0154539	0.0145534	0.0263519	0.014233	0.0329092	0.0348853	0.0411743	0.0344591	0.0711759	0.080479	0.0515478	0.0484506
déborder	0.0328585	0.023161	0.0215956	0.0221167	0.0173918	0.0161536	0.0156109	0.0154196	0.0191381	0.0295493	0.0457664	0.0277095	0.0301131	0.0188405	0.0131115	0.0192333	0.0195111	0.0117466	0.0217929	0.0156796	0.0165614	0.0146139	0.0180092	0.0115054	0.00857275	0.00441194	0.00755318	0.00484392	0.0034247	0.00935369	0.00963237	0.0101082	0.0107297	0.0240424	0.0133371	0.0282423	0.030765	0.036365	0.0322323	0.0631376	0.072406	0.0598312	0.0738212
la	0.0305559	0.0179158	0.0117587	0.0102209	0.00647668	0.00440892	0.00671757	0.0119067	0.0111002	0.017244	0.0155857	0.00962351	0.00975568	0.00626075	0.00559989	0.00770972	0.00759889	0.00412745	0.00831409	0.011111	0.00931787	0.00615568	0.00569593	0.00277433	0.00299154	0.00216552	0.0035906	0.00379257	0.00327274	0.00678526	0.0070551	0.00811086	0.00535488	0.0114755	0.0134005	0.0274585	0.0419654	0.0529627	0.056708	0.0884985	0.10459	0.131539	0.190346
rivière	0.01956	0.0217951	0.0186625	0.0186876	0.0166227	0.0147535	0.0211047	0.0255671	0.0220986	0.0263288	0.0226628	0.0177912	0.018733	0.0122698	0.00941215	0.0127401	0.00638321	0.00581829	0.00780991	0.0205275	0.0160478	0.0289447	0.0122618	0.012226	0.00786155	0.00653049	0.0103048	0.00866822	0.0058784	0.00756919	0.00678934	0.00813821	0.00623082	0.0238062	0.0311691	0.0358575	0.0594706	0.0468291	0.0600411	0.0772434	0.0672	0.0641333	0.0574701
</S>	0.0304907	0.030996	0.0239085	0.0261524	0.0225782	0.0209936	0.028042	0.0318564	0.0358158	0.039273	0.0376778	0.0513018	0.0419949	0.0254555	0.013291	0.011484	0.0147691	0.00859693	0.00836212	0.00875054	0.00674507	0.0102693	0.00525192	0.0056335	0.00528668	0.0023705	0.00441817	0.00272959	0.00171698	0.00218816	0.00231714	0.00325261	0.0029647	0.0217055	0.0173144	0.0326443	0.0489885	0.0479323	0.0313453	0.0380267	0.0452106	0.069967	0.0799308
