 	a66	a87	a23	a87	a23	a30	a53	a20	a40	a47	a5	a12	a18	a34	a98	a85	a5	a37	a21	a12	a75	a85	a6	a37	a90	a94	a90	a69	a58	a54	a36	a2	a57	a87	a23	a99	a87	a97	</S>
il	0.101923	0.0845145	0.0486591	0.0340188	0.0360464	0.0428694	0.0507275	0.063372	0.0373758	0.0242555	0.0258199	0.0274339	0.0176486	0.0159135	0.0127397	0.0121786	0.0138387	0.00849778	0.0131054	0.0175635	0.0181603	0.00956348	0.0101659	0.00731315	0.00778655	0.00702097	0.00878714	0.0114714	0.0141896	0.0157657	0.0262578	0.0258682	0.0192787	0.0159932	0.0205272	0.0185414	0.0222704	0.0173692	0.0351685
voudrait	0.00697593	0.00864445	0.00699147	0.00753142	0.00864418	0.0242007	0.0435833	0.0504272	0.0555871	0.069112	0.0413622	0.0416821	0.058182	0.0401913	0.042934	0.0306654	0.0148793	0.0164809	0.0161096	0.0214966	0.0256207	0.0227916	0.0209892	0.0111175	0.0190052	0.0228667	0.0164224	0.014597	0.0238449	0.0248369	0.0208806	0.0228521	0.0281186	0.0172497	0.0270914	0.024053	0.0192807	0.0236117	0.00908907
partir	0.0111605	0.00841774	0.00756601	0.00465213	0.00623751	0.00406778	0.00729836	0.0347189	0.0549868	0.0806963	0.0424289	0.0734671	0.074032	0.0549311	0.0769645	0.0323845	0.00941997	0.00510722	0.00350704	0.00670774	0.00475234	0.00758577	0.00676323	0.0045822	0.00576271	0.00295171	0.00364196	0.00375858	0.00285444	0.00354325	0.00898799	0.0105274	0.00749888	0.049059	0.0356285	0.067312	0.0529182	0.0445338	0.0785859
à	0.0336209	0.0289663	0.0189139	0.0104877	0.0102978	0.00867167	0.00641838	0.00934914	0.0263809	0.0347503	0.053012	0.0380246	0.0722147	0.0365366	0.0353102	0.0406895	0.0126178	0.00984243	0.00496379	0.00747524	0.0105252	0.017952	0.0155887	0.02013	0.0196838	0.0158644	0.0267864	0.0179678	0.0173958	0.0192382	0.019864	0.0152923	0.0269057	0.0253857	0.0247213	0.0298638	0.0444301	0.0528912	0.08097
brazaville	0.020438	0.0119853	0.00869907	0.00505248	0.00636537	0.0100305	0.0104095	0.0075524	0.00684654	0.0152949	0.0247059	0.0619649	0.0366623	0.0161613	0.0129095	0.016159	0.00766847	0.00667875	0.00713606	0.012584	0.0101092	0.0113476	0.010789	0.00881426	0.0127428	0.0154706	0.0201545	0.0242334	0.037567	0.0422608	0.0410318	0.0760733	0.0570416	0.0671089	0.063019	0.0476357	0.0474116	0.0419504	0.0599344
mais	0.0188892	0.00900965	0.0058906	0.00517991	0.0045624	0.00772769	0.0110043	0.032592	0.0216259	0.0305686	0.045848	0.0414751	0.0543921	0.0672523	0.0660368	0.0536132	0.0510322	0.023061	0.0275635	0.0321918	0.0221275	0.014825	0.0121148	0.0111963	0.0213471	0.013206	0.0130291	0.0246146	0.0441609	0.0332955	0.0544947	0.0225785	0.0155687	0.012916	0.0136256	0.0130201	0.0161719	0.0164886	0.0157028
il	0.0319929	0.027728	0.0107538	0.0075109	0.00582815	0.0024507	0.00293179	0.0204629	0.0206833	0.019448	0.0204	0.0271657	0.0303309	0.0152326	0.0152146	0.0095239	0.0131536	0.004358	0.00470718	0.00666792	0.00638008	0.00938628	0.00511803	0.0111174	0.0232441	0.0128962	0.0225623	0.0375248	0.0477257	0.0573982	0.0755803	0.073655	0.0681841	0.0768671	0.0514967	0.0365034	0.0376081	0.0309778	0.0192295
n'	0.0184748	0.0169832	0.0099973	0.00891274	0.00531376	0.00798943	0.00834831	0.0139308	0.0179495	0.034273	0.0260178	0.043314	0.0311557	0.0162447	0.022368	0.0162484	0.00906023	0.00400318	0.00302139	0.00544071	0.00684743	0.00760528	0.00486272	0.0105266	0.0199068	0.00965201	0.0208332	0.0268502	0.0375131	0.0431862	0.0713999	0.094079	0.0579801	0.0742699	0.0471631	0.0413242	0.039757	0.0316331	0.0355633
a	0.0240666	0.0246371	0.0113841	0.00992372	0.0077834	0.0106834	0.0178339	0.0142432	0.0251447	0.0304482	0.0330714	0.038682	0.0371652	0.0288697	0.0339081	0.0322909	0.0165106	0.00931848	0.00935674	0.011844	0.00741674	0.0122837	0.00944183	0.0127823	0.0135791	0.0147348	0.0177144	0.0153081	0.0263651	0.0274152	0.0472031	0.0677606	0.038241	0.0488095	0.0517381	0.0410418	0.0331131	0.036594	0.0512918
pas	0.0312907	0.030776	0.0307982	0.0255807	0.021869	0.0204374	0.0234498	0.0269573	0.0301209	0.032397	0.041527	0.0470023	0.0328024	0.0278335	0.0385521	0.0538712	0.0400149	0.0218684	0.0131177	0.0163294	0.0177103	0.0128972	0.0127157	0.0135867	0.0132621	0.0137406	0.0115617	0.00654132	0.0119427	0.0114428	0.0173915	0.0182911	0.0222993	0.0217735	0.0238119	0.0285067	0.0345516	0.0327843	0.068593
d'	0.0432134	0.0328288	0.0234148	0.0187468	0.0114176	0.0129893	0.0208888	0.0212889	0.0200408	0.0393701	0.0226755	0.0384761	0.0178169	0.0137988	0.0236629	0.0260716	0.0370299	0.0354524	0.02383	0.0321896	0.0217233	0.0230979	0.0186583	0.0188461	0.0172981	0.0105863	0.0178344	0.00966436	0.01238	0.0107704	0.0135336	0.0135178	0.0180468	0.0243512	0.0256252	0.03066	0.0383596	0.0339553	0.125889
argent	0.0391807	0.0288277	0.0216776	0.0172075	0.0100846	0.0141514	0.0284724	0.0172057	0.012447	0.0227529	0.0137095	0.024412	0.0118019	0.00939721	0.0142119	0.0162096	0.0164769	0.018314	0.0134769	0.0205085	0.0122127	0.0141409	0.00970309	0.0175349	0.0251664	0.0147987	0.0295732	0.0184875	0.0167469	0.0189333	0.0180853	0.0211399	0.0205111	0.0308254	0.0365375	0.0385012	0.0536533	0.0500752	0.182847
</S>	0.0272121	0.0185348	0.0163813	0.0103699	0.00476539	0.00900009	0.0113795	0.00810582	0.00921045	0.0153057	0.00625544	0.00828812	0.00462629	0.00582761	0.00804059	0.00737836	0.00653844	0.0070927	0.00814762	0.0135555	0.0118745	0.0212157	0.0178801	0.025094	0.0355585	0.0341675	0.0442834	0.0379439	0.0436992	0.041953	0.0388495	0.0437525	0.0462724	0.0481475	0.0491526	0.050191	0.053418	0.0579243	0.0926066
