 	a82	a87	a23	a99	a62	a47	a62	a88	a62	a34	a21	a75	a56	a90	a69	a58	a82	a13	a9	a99	a87	a23	a99	a97	a99	a38	</S>
je	0.062102	0.0770228	0.0871633	0.048392	0.0380519	0.0354771	0.0337057	0.0279324	0.0114467	0.0148179	0.0129191	0.0100819	0.00662657	0.00960981	0.0191237	0.0117088	0.0165012	0.0340489	0.0447634	0.0526716	0.055595	0.0378333	0.0454684	0.0646501	0.0460356	0.0354378	0.0608132
recherche	0.118371	0.0601211	0.0908394	0.0520391	0.0296222	0.0245522	0.0197475	0.0186	0.0166797	0.0173015	0.0152073	0.0226663	0.0447047	0.053665	0.0441644	0.0325161	0.0386373	0.0333481	0.0338381	0.0257322	0.0221482	0.020335	0.0306544	0.0286936	0.0362185	0.0346374	0.0349599
la	0.0345041	0.0413156	0.0413425	0.0345909	0.037069	0.0447521	0.0474026	0.051309	0.0508247	0.0624072	0.0659763	0.0545065	0.0411809	0.0341993	0.0172151	0.0121268	0.010149	0.0109716	0.0110041	0.0106787	0.0102845	0.0209272	0.0306024	0.0566056	0.0293135	0.0595137	0.0792271
vase	0.0467814	0.0349108	0.0382035	0.0290915	0.0152218	0.0143459	0.0169118	0.0340281	0.0846111	0.111338	0.0985296	0.120099	0.115284	0.0431363	0.050055	0.0211808	0.0210185	0.018573	0.0233305	0.013876	0.00940067	0.00920801	0.0080667	0.00665011	0.00639965	0.00460138	0.00514775
du	0.0513477	0.0434848	0.0434294	0.0270782	0.0260591	0.0170658	0.016548	0.016536	0.0209283	0.0351183	0.0381453	0.0311162	0.0215205	0.0177725	0.0222106	0.027757	0.0198231	0.0262926	0.0487746	0.0264924	0.0662766	0.0514956	0.0705438	0.0651775	0.0817575	0.0608469	0.0264018
protoptère	0.115693	0.0664058	0.0587092	0.0306539	0.0343073	0.0171823	0.0178142	0.0182104	0.0224165	0.0259619	0.0263032	0.0191401	0.013772	0.0144862	0.015162	0.0159034	0.0200095	0.0218228	0.0253252	0.0343231	0.0381651	0.0572612	0.0471609	0.0585585	0.0775622	0.0716803	0.0360103
avec	0.0433054	0.0419479	0.0416469	0.0259307	0.0232679	0.0221039	0.0223701	0.0211656	0.0169779	0.0172192	0.0226617	0.0170852	0.015478	0.0184142	0.0164594	0.0198652	0.0235547	0.0316731	0.0352065	0.0399517	0.0532186	0.0548373	0.0599412	0.0725406	0.0667081	0.0677093	0.10876
le	0.0428712	0.0284921	0.0190709	0.0268985	0.0209509	0.0186622	0.0230154	0.0168711	0.00922101	0.00755735	0.00639346	0.006049	0.00870455	0.010285	0.0150188	0.0153278	0.0165673	0.0190082	0.0239417	0.0232513	0.0418502	0.0477158	0.0933294	0.0776934	0.115743	0.120635	0.144876
harpon	0.0274545	0.0228033	0.029795	0.0217416	0.0180224	0.0181141	0.0120195	0.0104699	0.0123523	0.0129986	0.011265	0.0116083	0.011921	0.0168025	0.0182947	0.0144015	0.0185822	0.0190627	0.018946	0.0520197	0.106712	0.0950258	0.0641371	0.103033	0.0873128	0.0842945	0.0808102
</S>	0.0662499	0.0421189	0.0399244	0.0323628	0.0203349	0.0225709	0.0125874	0.00589705	0.00317811	0.00263839	0.00381789	0.00295237	0.00413002	0.00391223	0.00419213	0.0044146	0.00563514	0.00875427	0.0132307	0.0140689	0.0413694	0.0449171	0.0597882	0.0839903	0.094678	0.109113	0.253173
