 	a66	a87	a23	a87	a23	a18	a61	a12	a47	a21	a12	a21	a5	a79	a90	a15	a7	a84	a57	a87	a23	a10	a75	a6	a5	a61	a62	a88	a9	a0	a21	a5	a90	a79	a69	a7	a56	a44	a26	a62	a21	a61	a12	a18	a25	a87	a23	a97	a82	a97	a87	a23	a97	a87	</S>
de	0.0597527	0.0637317	0.0577205	0.0445645	0.0317779	0.0282871	0.04943	0.0644572	0.062078	0.0107084	0.00694011	0.0076007	0.00993408	0.00857494	0.012817	0.013209	0.0157399	0.0169149	0.0196075	0.0165973	0.0271438	0.0278905	0.0134501	0.0191322	0.0141911	0.0139637	0.013672	0.00671764	0.00528471	0.00616449	0.00560754	0.00568737	0.00475463	0.00524017	0.00989856	0.0129335	0.0112597	0.0089861	0.00807646	0.00547037	0.00783748	0.00749006	0.00959022	0.0103645	0.00984135	0.00890522	0.00715883	0.0101391	0.0104049	0.0108076	0.00869127	0.0118908	0.0191226	0.0106272	0.031161
la	0.0113201	0.0103572	0.0114915	0.0195571	0.0222701	0.017363	0.00899217	0.00979409	0.0156483	0.0343539	0.0368656	0.0276982	0.0346658	0.057966	0.0610091	0.0579728	0.0745969	0.0660454	0.0420682	0.0500816	0.032333	0.0219898	0.0218415	0.0272032	0.0165752	0.0146924	0.0145523	0.016313	0.0151465	0.0194489	0.0135693	0.0102902	0.00914801	0.00980935	0.0054474	0.00343214	0.00277543	0.00256451	0.00218118	0.00256643	0.00438359	0.00277484	0.00631016	0.00514019	0.00507904	0.00536014	0.0062322	0.0027182	0.00364211	0.00457838	0.00307087	0.00365114	0.00541724	0.00388707	0.00575786
manière	0.00598764	0.00693523	0.00697098	0.00598323	0.0057921	0.0091798	0.00902505	0.0258486	0.0172115	0.015272	0.0182709	0.017844	0.0213661	0.0170425	0.0205256	0.042834	0.0171684	0.0423983	0.0644264	0.050392	0.0508055	0.0391992	0.0464048	0.0364951	0.0450675	0.0285563	0.048138	0.0532453	0.0352634	0.0453257	0.0202408	0.0222473	0.0105124	0.017334	0.0117771	0.00974205	0.00487234	0.00460333	0.00243365	0.00206867	0.00246039	0.00244536	0.00259161	0.00315137	0.00623449	0.0028401	0.00409281	0.00227619	0.00268655	0.00266219	0.00220499	0.00267002	0.00396875	0.00347652	0.00143169
dont	0.0393822	0.0200727	0.0149945	0.0117046	0.00761864	0.0030063	0.00350386	0.00338717	0.00494376	0.0121341	0.0149534	0.0304337	0.0287366	0.0221302	0.0303053	0.0513182	0.064785	0.0615672	0.0484241	0.0276514	0.0538924	0.0423024	0.033569	0.0229976	0.0260241	0.0246737	0.0113968	0.0166158	0.0117891	0.0118451	0.0125751	0.0298266	0.030923	0.0417144	0.0209494	0.0102776	0.00424707	0.00850952	0.00765177	0.00937313	0.00494481	0.00325368	0.0040255	0.00275168	0.00415282	0.00282719	0.00653735	0.00196249	0.0024984	0.00439562	0.00298996	0.00456765	0.00998574	0.0071007	0.00580011
il	0.033742	0.0186775	0.0149885	0.0121136	0.00424447	0.00125515	0.00239567	0.000864181	0.00226183	0.00173381	0.00314545	0.0029987	0.00920763	0.00865464	0.0190323	0.020725	0.0708824	0.0557567	0.0748929	0.0486168	0.054833	0.0471858	0.0463274	0.0375233	0.0398679	0.0381946	0.0225518	0.0419507	0.0247137	0.0193598	0.0171937	0.0246969	0.0176774	0.0199516	0.0196935	0.0147754	0.012003	0.0193579	0.0152772	0.0155227	0.00698532	0.00517234	0.00591463	0.0036764	0.00315731	0.00163231	0.0026197	0.000965796	0.00129903	0.00201767	0.0014644	0.00147099	0.00511764	0.00246492	0.00119528
lèche	0.0143653	0.00782744	0.00599667	0.00510678	0.00250801	0.00158596	0.00188413	0.00098081	0.00222038	0.0054572	0.0132348	0.011148	0.018994	0.0153289	0.0193428	0.0246194	0.063899	0.0880572	0.0750069	0.0518366	0.0679445	0.0634637	0.0679103	0.0448714	0.0440937	0.0454279	0.0253726	0.0231366	0.0244611	0.0162246	0.0148251	0.00915947	0.00738307	0.00729442	0.00515851	0.00597119	0.0100217	0.008128	0.0127029	0.0134854	0.00523897	0.0048597	0.00439076	0.00239147	0.00279165	0.00237193	0.00228524	0.00150431	0.00185397	0.0030288	0.00316926	0.00471843	0.00531945	0.00493507	0.00470455
l'	0.0546094	0.0195559	0.0121342	0.0106127	0.00362276	0.00143763	0.00243792	0.000748747	0.00221976	0.00196451	0.00471151	0.0134147	0.0170527	0.0117823	0.0214005	0.025021	0.0766724	0.0873744	0.0800028	0.052234	0.0655137	0.0690378	0.0686416	0.0545728	0.0381254	0.0281032	0.0176318	0.0191867	0.00520498	0.00541453	0.00381094	0.00444752	0.00488283	0.00560008	0.00429239	0.00301737	0.0044993	0.00624133	0.00648751	0.00651749	0.00392897	0.00382868	0.00825149	0.0043427	0.00525168	0.00487088	0.0063056	0.00247897	0.00323727	0.00756676	0.00585107	0.00583881	0.00858548	0.00563324	0.00378908
assiette	0.0637603	0.0155734	0.011088	0.00997513	0.00414885	0.00198412	0.00385515	0.00165143	0.00305874	0.00456819	0.00728364	0.0195697	0.0181217	0.0114399	0.0245228	0.022157	0.0478233	0.0383464	0.0464001	0.0727221	0.0421481	0.0360725	0.0491643	0.0365453	0.0291129	0.0233614	0.0190972	0.0239032	0.0154035	0.0105366	0.00982964	0.0128346	0.0125865	0.0114527	0.00874005	0.00587208	0.00654777	0.00843621	0.0141033	0.0163589	0.0143004	0.0121396	0.014155	0.00993733	0.0148696	0.00881523	0.0124089	0.00466281	0.00676557	0.0134855	0.0143063	0.0153893	0.0147407	0.0133367	0.0105305
elle	0.0267351	0.00955442	0.00691428	0.00862941	0.00389957	0.00193479	0.00222237	0.000671048	0.00205769	0.00205859	0.00410904	0.00515343	0.00536488	0.0046001	0.00996543	0.00936349	0.0418457	0.0233409	0.0516346	0.047219	0.0356945	0.0364392	0.0430606	0.0453076	0.0382258	0.0307266	0.0202095	0.0535872	0.0244853	0.0230021	0.0195088	0.0321448	0.0208218	0.0178842	0.0156861	0.0156846	0.0101232	0.0160735	0.0218565	0.0204429	0.01619	0.0126963	0.0143283	0.0110787	0.00951526	0.00885103	0.00688574	0.00628488	0.0106014	0.00964436	0.0158394	0.0201275	0.0213275	0.0218797	0.00651121
sera	0.0531055	0.025741	0.0151752	0.0175182	0.0115182	0.00931218	0.00746609	0.00189276	0.00554385	0.00445927	0.00507202	0.00694694	0.00620331	0.00605338	0.0120542	0.0120934	0.0338941	0.018082	0.0319341	0.0214565	0.0287079	0.0292936	0.0245295	0.034935	0.0353544	0.0360442	0.0204612	0.0294698	0.0201748	0.0170915	0.0143931	0.0179645	0.0130114	0.00938341	0.00753903	0.00776565	0.00599365	0.00840668	0.0208931	0.0189918	0.0142484	0.0220226	0.0102953	0.0138474	0.0119559	0.0085966	0.00881205	0.00938705	0.0120773	0.0139232	0.0320189	0.0358307	0.0380682	0.0378663	0.0251237
toute	0.0470057	0.0184048	0.0185541	0.0233264	0.0134702	0.0124815	0.00553941	0.00125398	0.00507768	0.00356315	0.00658223	0.00691323	0.00783969	0.00781945	0.0139224	0.0129064	0.0331194	0.0310824	0.0457056	0.0215446	0.0355068	0.0353547	0.0266681	0.0360996	0.0241735	0.0193818	0.0119713	0.0160449	0.0125745	0.0118431	0.0157554	0.020784	0.0323527	0.0152091	0.0131852	0.0104281	0.00978433	0.0151874	0.0310852	0.0313179	0.0167941	0.017145	0.0138041	0.00960951	0.0099732	0.0072507	0.00531067	0.00633849	0.00849517	0.0107896	0.0163258	0.0254565	0.0316557	0.0278417	0.0323896
propre	0.0242571	0.028248	0.0260498	0.0244907	0.0165479	0.0279967	0.0206848	0.00362789	0.0158814	0.00470703	0.0131396	0.00793378	0.00953359	0.00293643	0.00727389	0.0147261	0.0110015	0.0101447	0.0207082	0.0063179	0.00873945	0.0137911	0.0309532	0.0134605	0.0165819	0.00946501	0.0172595	0.0318778	0.0105045	0.00819515	0.0117718	0.0151375	0.0157476	0.0272518	0.0161474	0.0372131	0.0235842	0.0301309	0.0512499	0.0298226	0.0371741	0.0228205	0.0126879	0.011758	0.0186042	0.00908644	0.0111137	0.00955155	0.0104802	0.0162362	0.0150654	0.0173693	0.0434408	0.0279842	0.0215359
à	0.0400869	0.0230402	0.0152178	0.0122875	0.00847862	0.011626	0.0114953	0.00564287	0.0172009	0.00383479	0.0141202	0.0134651	0.0155578	0.0122428	0.0256293	0.0199052	0.0309602	0.0248186	0.0632312	0.0166035	0.0393813	0.0424765	0.0223976	0.0381493	0.0173295	0.0217475	0.0132828	0.0232045	0.0123465	0.010387	0.0141123	0.026298	0.0140411	0.00956067	0.00923183	0.00746002	0.00809295	0.00862642	0.0147013	0.0115614	0.0124578	0.00851318	0.00804763	0.00809683	0.0109559	0.0041294	0.00619243	0.00444368	0.00620474	0.00772099	0.00985532	0.0156199	0.0509312	0.0244854	0.072513
la	0.036613	0.0219549	0.0108934	0.00798745	0.00513212	0.00466085	0.00585636	0.00406936	0.00819152	0.00223153	0.00693388	0.0064359	0.00819162	0.00595399	0.0109275	0.0132312	0.0158669	0.0151813	0.0371013	0.0212587	0.0359544	0.0455226	0.0377252	0.044774	0.0311573	0.0309226	0.0290211	0.0440186	0.0172467	0.0192145	0.0213077	0.0410246	0.0209247	0.0160062	0.0122933	0.0108181	0.011353	0.011344	0.0112406	0.0103734	0.0104551	0.013804	0.0104731	0.0136416	0.0154107	0.00939304	0.0098021	0.0103407	0.0114729	0.0125576	0.0145392	0.0210968	0.0348945	0.022015	0.0391883
fin	0.0551872	0.0342513	0.016448	0.0111869	0.00574989	0.00658825	0.0104446	0.0117625	0.0109556	0.00503147	0.00832669	0.00696196	0.0103259	0.00414838	0.00731188	0.0156593	0.00505687	0.0109198	0.0226817	0.0100546	0.0143008	0.0251249	0.0260186	0.0207939	0.0223911	0.0181745	0.0196698	0.0355999	0.00701219	0.00922394	0.0109656	0.0290879	0.0189952	0.0239506	0.0189854	0.0158009	0.015165	0.0177919	0.0245649	0.0229683	0.0224274	0.0312802	0.0162517	0.0230976	0.0215125	0.0196224	0.0206967	0.0170931	0.00916314	0.0218189	0.0238998	0.0319828	0.0344585	0.0297168	0.0113404
</S>	0.0345971	0.0265056	0.0234254	0.0211687	0.0174228	0.0129136	0.0126496	0.0108736	0.0141877	0.00350455	0.00952285	0.00573336	0.0108124	0.00765686	0.0106919	0.012255	0.00998221	0.00953127	0.017165	0.00810124	0.0137251	0.0187564	0.017987	0.0203036	0.0148071	0.0135516	0.0145671	0.02919	0.0115287	0.0108728	0.0167668	0.0349112	0.0298601	0.0244787	0.0247844	0.0226508	0.0277979	0.0273389	0.0277738	0.0214745	0.0118059	0.0108116	0.0131022	0.0134817	0.0217215	0.00786575	0.0145719	0.0138439	0.0152803	0.017086	0.0144624	0.0169316	0.0506942	0.0245513	0.0519627
