 	a66	a87	a23	a79	a15	a92	a37	a85	a6	a37	a90	a93	a13	a11	a21	a5	a56	a75	a85	a92	a85	a6	a43	a96	a83	a18	a9	a87	a23	a87	</S>
qui	0.0333312	0.0515882	0.049474	0.0493064	0.0599086	0.0317509	0.0179871	0.0183899	0.00865147	0.00954241	0.00807363	0.00611059	0.00789742	0.0061898	0.00722789	0.00901003	0.00678634	0.0110196	0.0137066	0.0192217	0.0267799	0.0481788	0.0553308	0.0425836	0.052072	0.0600195	0.063053	0.0552794	0.0612268	0.0526755	0.0576273
a	0.0221	0.0182295	0.0151909	0.00748841	0.00743922	0.018603	0.0302892	0.0518725	0.0461861	0.0751766	0.045439	0.0202772	0.0179546	0.0130086	0.0145177	0.017502	0.0261042	0.0335593	0.0405077	0.0172151	0.0731108	0.0460056	0.0300466	0.0343888	0.0439797	0.0441727	0.0366057	0.0404473	0.0429037	0.0348493	0.0348291
étendu	0.0572981	0.0530263	0.0579483	0.0458589	0.0366249	0.0458346	0.0216868	0.0380044	0.0118452	0.0187282	0.0116556	0.0043794	0.00568008	0.00675087	0.00978625	0.0171963	0.0199731	0.0170109	0.0248361	0.00847225	0.0187055	0.026049	0.0151358	0.0267275	0.0299963	0.0499053	0.0391283	0.0438084	0.0593924	0.0878281	0.0907269
son	0.157557	0.100202	0.0478911	0.0311732	0.0116658	0.00924212	0.0100027	0.0118032	0.00568129	0.00807536	0.0101124	0.00438732	0.0038868	0.00492238	0.00642673	0.0229503	0.0366042	0.0654132	0.0735063	0.0253453	0.0369457	0.0357888	0.0308699	0.0287439	0.0304177	0.0273187	0.036326	0.037132	0.0411785	0.0282456	0.0201846
filet	0.055439	0.01921	0.0154513	0.00966622	0.0125557	0.0087564	0.0165448	0.0159883	0.0247101	0.0266444	0.0456731	0.0432266	0.0364677	0.0292396	0.0256742	0.0285574	0.0399599	0.0414426	0.0555722	0.0395804	0.0779697	0.0625835	0.0289464	0.0275653	0.0274787	0.0300709	0.0298255	0.0461449	0.0292897	0.0401676	0.00959773
dans	0.065664	0.0534829	0.0439228	0.0363324	0.0264664	0.0316427	0.030138	0.0367222	0.0192259	0.0275572	0.0481202	0.0299275	0.0324874	0.02067	0.0167265	0.0255178	0.0199209	0.0194224	0.021505	0.0192395	0.0287836	0.0325397	0.0276763	0.029386	0.031313	0.0393911	0.0331157	0.0432759	0.0346391	0.0453154	0.0298726
ce	0.083765	0.0598804	0.026964	0.0165437	0.00775662	0.00776196	0.0084116	0.0111048	0.00354526	0.00559681	0.00709952	0.00271449	0.00375965	0.00235008	0.00293422	0.011967	0.013453	0.0280927	0.0449171	0.0215752	0.0259812	0.0618438	0.0456114	0.0463888	0.0469433	0.0646212	0.053957	0.0835731	0.0733347	0.09524	0.0323123
champ	0.0721051	0.0338529	0.0155906	0.00842245	0.0111802	0.0165924	0.0172215	0.0247842	0.0152833	0.017855	0.0190287	0.00746929	0.0081231	0.00420544	0.00315475	0.00708771	0.0054623	0.0112947	0.0129373	0.016709	0.0135148	0.0475226	0.0484665	0.0436095	0.0512344	0.0704603	0.0861646	0.102901	0.0897534	0.0937304	0.0242823
de	0.0803818	0.0471381	0.0358401	0.0292361	0.0353281	0.0431111	0.0425075	0.0441137	0.0165712	0.022789	0.0225453	0.0201024	0.0175732	0.0122254	0.0145929	0.0321437	0.0326064	0.0277181	0.0216436	0.00789693	0.0166991	0.0533207	0.0284737	0.0268453	0.0406824	0.0479152	0.0316583	0.0398696	0.0344003	0.0578079	0.016263
chasse	0.0962146	0.04643	0.0220036	0.019463	0.0218616	0.0154618	0.018217	0.014355	0.0149489	0.0209011	0.0266186	0.0219491	0.026597	0.0128228	0.0157006	0.0247501	0.0353012	0.0469753	0.0548154	0.0284522	0.0521701	0.0434322	0.0257213	0.0284489	0.03713	0.0314773	0.0401761	0.0595492	0.0411805	0.0440385	0.0128369
</S>	0.0981679	0.0583006	0.0307504	0.0162661	0.0171234	0.0155564	0.0126186	0.0161423	0.0120941	0.0166542	0.0130996	0.0105903	0.0170813	0.0119994	0.01543	0.0260786	0.0376059	0.0460835	0.0604575	0.0248389	0.0411001	0.04496	0.0265114	0.0328469	0.043151	0.0440539	0.0378195	0.049937	0.0415403	0.0588103	0.0223304
