 	a87	a23	a30	a53	a20	a30	a35	a24	a35	a30	a14	a35	a26	a24	a71	a38	a14	a35	a75	a14	a73	a76	a73	a35	a54	a14	a44	a38	a76	a73	a56	a98	a14	a44	a57	a58	a53	a4	a13	a9	a87	a23	a83	a94	a96	a66	a11	a90	a13	a38	a24	a35	a44	a57	a87	</S>
elle	0.00543889	0.00606409	0.00919112	0.0175624	0.0253256	0.041012	0.031656	0.0656005	0.0418943	0.0630152	0.0766409	0.120846	0.0546886	0.0623709	0.022673	0.0116798	0.0101338	0.0242673	0.0160456	0.0102413	0.00737982	0.0165909	0.00795823	0.0191817	0.00987918	0.0106147	0.011152	0.0085484	0.00459631	0.00628549	0.00978933	0.00827925	0.00329052	0.00307736	0.00419384	0.0074417	0.00907394	0.00658121	0.0057449	0.00622196	0.00257293	0.00190654	0.00133626	0.00232574	0.00251775	0.00451083	0.00539708	0.00932428	0.00868361	0.0109765	0.011886	0.00702861	0.0102787	0.00576129	0.00832505	0.0249406
a	0.00238961	0.00250001	0.00405662	0.00287583	0.00507881	0.00477934	0.0144352	0.0285208	0.0377314	0.0255663	0.0259879	0.0174728	0.0314919	0.0678616	0.0408257	0.0424735	0.0467589	0.0600775	0.0462599	0.0246909	0.0294386	0.0228263	0.0122665	0.0175637	0.0181418	0.0269482	0.0110664	0.0112898	0.00552933	0.00585567	0.00813449	0.00981372	0.00480507	0.00446143	0.00402058	0.00813298	0.00912991	0.00725343	0.0144912	0.00760502	0.00855263	0.00653377	0.0100791	0.00830742	0.00929812	0.0152403	0.0238725	0.0214973	0.0227004	0.0227329	0.0192565	0.016052	0.0140284	0.00845071	0.0130447	0.00974453
mis	0.00869667	0.00759018	0.00630376	0.00509844	0.0149904	0.0118081	0.024705	0.0303144	0.0321987	0.023824	0.0180115	0.021628	0.0337414	0.0727163	0.0712769	0.0341777	0.0298323	0.0306537	0.0407022	0.0219234	0.0193931	0.00487035	0.00314001	0.00620651	0.00602768	0.00481259	0.00354679	0.00346399	0.00558625	0.00236527	0.00352176	0.00583425	0.00386294	0.010036	0.00574815	0.0072939	0.00611663	0.00523924	0.00844041	0.00262834	0.00364642	0.00485679	0.00793529	0.00565265	0.00981919	0.0150507	0.0158786	0.0245806	0.0270165	0.0362257	0.020768	0.0370973	0.0272325	0.0299832	0.0275611	0.0483682
ses	0.0374741	0.0300368	0.0154784	0.0084701	0.0147492	0.0265209	0.0397918	0.0477739	0.0508092	0.0480965	0.0367242	0.0303131	0.0207553	0.0214018	0.0236951	0.0301588	0.0255325	0.0299753	0.0321462	0.0356598	0.0194704	0.0215237	0.0182212	0.0425985	0.0197588	0.0123787	0.0173916	0.0140898	0.0151997	0.0225755	0.0277275	0.0191852	0.0182925	0.015009	0.00932891	0.00929231	0.00756838	0.0100311	0.00941657	0.0115267	0.00928179	0.0058879	0.00244774	0.00317839	0.00221591	0.00295064	0.00289892	0.00258935	0.00255188	0.00213351	0.00176789	0.00255385	0.00187121	0.00255955	0.00339284	0.00556965
anneaux	0.0173523	0.00982137	0.00685227	0.0039794	0.00401246	0.00475293	0.00491809	0.0128343	0.0223903	0.0248819	0.0190387	0.0161592	0.0154999	0.0187363	0.0256973	0.0406079	0.0334311	0.0596443	0.0367302	0.036678	0.0329896	0.0227742	0.022311	0.0270542	0.0251091	0.0163287	0.0157623	0.0133651	0.017668	0.0171867	0.0209387	0.0134566	0.0189734	0.0165664	0.00854509	0.00622987	0.0131035	0.0226404	0.019313	0.0160398	0.0136279	0.0105409	0.00869935	0.0105949	0.011963	0.0136471	0.0162727	0.0134649	0.0138464	0.00926329	0.0183044	0.0148588	0.0140519	0.0136732	0.0189193	0.017898
de	0.0420643	0.0321353	0.022915	0.0180603	0.0105991	0.014401	0.0144965	0.0173184	0.02911	0.0235954	0.0259709	0.0220555	0.0233716	0.0157946	0.0143523	0.0156676	0.0136137	0.0236286	0.0198339	0.0146731	0.00920689	0.0119316	0.0162996	0.0183081	0.0211435	0.00963402	0.00842904	0.00963511	0.0251158	0.0152989	0.0376245	0.0342152	0.0217638	0.014953	0.011848	0.0122399	0.00917489	0.0107081	0.0115942	0.00717908	0.00773602	0.0072947	0.00667516	0.00892809	0.0114957	0.0137606	0.0178786	0.0238551	0.0227089	0.0215879	0.0292762	0.022894	0.024616	0.0178329	0.0191479	0.0143518
bras	0.0260044	0.0167664	0.0125216	0.00870641	0.0105964	0.0102679	0.00762416	0.00621526	0.00901413	0.010026	0.00996573	0.0133749	0.0247631	0.0489566	0.034499	0.0243345	0.0188384	0.043144	0.0522889	0.0433418	0.0156079	0.0168025	0.0237421	0.0158079	0.033471	0.0208044	0.00874012	0.0100258	0.0185892	0.0213703	0.0176704	0.0126272	0.0101157	0.0128176	0.00619574	0.00740152	0.0104976	0.00713341	0.0095268	0.00328305	0.00831152	0.0103404	0.0104097	0.0109542	0.0130912	0.0169284	0.0177832	0.0205326	0.0208677	0.0203703	0.021738	0.0235942	0.0261772	0.0210678	0.0259219	0.0184317
et	0.0151411	0.00722798	0.00326856	0.00191737	0.00182298	0.0027661	0.00256558	0.00252437	0.00314382	0.00397592	0.00468659	0.00519211	0.00983119	0.0252038	0.0220438	0.0155726	0.017851	0.0546913	0.0686497	0.0642258	0.0232169	0.0268622	0.0393326	0.0313353	0.0340667	0.0351835	0.0321197	0.0239577	0.0276786	0.0321239	0.0327063	0.0175057	0.0204707	0.0161446	0.00886933	0.00740433	0.0105197	0.00717961	0.0259445	0.00623366	0.00509514	0.00775365	0.00491571	0.00577459	0.00826042	0.00833702	0.00945967	0.0119149	0.0135473	0.0108853	0.0175408	0.0236834	0.0180232	0.0226923	0.0230909	0.0178686
de	0.0200788	0.00993152	0.00488396	0.00348694	0.00186574	0.00209755	0.00216438	0.00509831	0.0047152	0.01084	0.00736281	0.00630711	0.00652618	0.010583	0.00750855	0.00582684	0.00582651	0.0175738	0.0184198	0.0135487	0.00580046	0.0133843	0.0169205	0.0227275	0.0205441	0.0302234	0.0205531	0.0237708	0.0153516	0.0288106	0.0227209	0.0158696	0.017214	0.00985544	0.0067014	0.00526067	0.0149071	0.0115529	0.0269554	0.00800076	0.00770366	0.00789717	0.00644992	0.00688701	0.0127071	0.0174816	0.0186215	0.034719	0.0440763	0.0316732	0.0394172	0.0544729	0.0415891	0.0532553	0.0491105	0.0721685
pied	0.0125222	0.00466587	0.00306842	0.00253625	0.00152624	0.00220271	0.00191192	0.00284967	0.00218516	0.00294131	0.00224396	0.00283066	0.00425898	0.00635968	0.00864684	0.00698741	0.00586248	0.0174913	0.015827	0.0165331	0.00953197	0.0110791	0.0291309	0.0209247	0.0243187	0.0266195	0.0266811	0.0171031	0.0279267	0.0248349	0.0154166	0.00842857	0.0154325	0.0103923	0.00648704	0.00598253	0.0115661	0.0200976	0.0311974	0.0143049	0.0146061	0.0164193	0.0151588	0.0124845	0.0203316	0.0210274	0.0250691	0.0327419	0.0480256	0.0386708	0.0301247	0.058227	0.0422157	0.0551896	0.0535182	0.0352824
