 	a15	a66	a87	a23	a87	a23	a87	a23	a79	a69	a58	a90	a25	a79	a5	a61	a12	a75	a61	a47	a24	a94	a71	a3	a87	a79	a90	a94	a90	a92	a12	a96	a75	a47	a36	a2	a57	a87	a23	a87	</S>
la	0.0267359	0.0197661	0.0151149	0.00962296	0.00761709	0.0053473	0.00739358	0.0162738	0.0463324	0.0744619	0.0528777	0.071925	0.0717156	0.078009	0.0633969	0.0412458	0.0209283	0.0189678	0.017795	0.0123825	0.0110578	0.00879831	0.00882843	0.00560935	0.00493111	0.00585559	0.0070128	0.00963043	0.00647737	0.00423056	0.0111063	0.0106605	0.0129802	0.0204635	0.0258959	0.0175403	0.0236061	0.0256935	0.0270913	0.0286419	0.0459793
voiture	0.00456247	0.00664701	0.0102948	0.00619752	0.0101876	0.0121952	0.015903	0.0314215	0.0369526	0.0313363	0.0235362	0.0432605	0.0528964	0.0383672	0.0267664	0.045596	0.0332502	0.0477791	0.069806	0.0565478	0.0620273	0.0493537	0.0753366	0.0706311	0.036361	0.032466	0.0228285	0.0106268	0.00495839	0.0042552	0.00227824	0.00256617	0.00239036	0.00169007	0.00189207	0.00176435	0.0019055	0.00259457	0.00425036	0.00439629	0.00192363
qui	0.0220711	0.0162652	0.012836	0.0142759	0.0143006	0.0165452	0.019149	0.0279858	0.0233916	0.0419456	0.0420145	0.0225971	0.0358673	0.0316193	0.0504254	0.0540157	0.0738616	0.0803825	0.0843069	0.066123	0.0491386	0.0422202	0.0184717	0.0197723	0.0100537	0.00485208	0.00639695	0.00262427	0.00222128	0.00337906	0.00382128	0.00450511	0.00833179	0.00913995	0.0125713	0.0127055	0.0100911	0.0110469	0.0096412	0.00807283	0.00096351
vient	0.0293118	0.0164417	0.015197	0.0122462	0.0103909	0.0139936	0.0111643	0.0139866	0.020402	0.016467	0.024688	0.0155442	0.0160244	0.017634	0.0394601	0.0390453	0.0312481	0.0233666	0.0166156	0.0160094	0.010139	0.00743844	0.00455502	0.01151	0.00851565	0.0124231	0.0209041	0.0184893	0.0195498	0.0274848	0.0135591	0.0287802	0.0216298	0.0389005	0.042905	0.0421878	0.0376298	0.0551884	0.0459304	0.0612307	0.0718124
de	0.0590907	0.0197481	0.0185734	0.0167328	0.0144637	0.0112346	0.0116096	0.0139769	0.0196039	0.0226762	0.0310654	0.0245536	0.024509	0.0307439	0.0365863	0.0357022	0.0350211	0.0257681	0.0284152	0.0182722	0.0155616	0.0171968	0.0230872	0.0144547	0.00712782	0.0039838	0.00530357	0.00933847	0.00454866	0.0041707	0.00705724	0.0213121	0.0204872	0.0426839	0.045094	0.0248395	0.0240777	0.0317611	0.0405611	0.056206	0.0827999
passer	0.0208545	0.0189464	0.0148323	0.0127314	0.0118296	0.0135069	0.00993738	0.0101382	0.0187929	0.0120111	0.0159007	0.0213473	0.0250336	0.0261084	0.0401598	0.0312099	0.0365192	0.0294756	0.0333826	0.0297295	0.0290165	0.0248813	0.0241425	0.0175827	0.0133307	0.0126229	0.0202813	0.0221719	0.0193489	0.0137479	0.0252838	0.0208399	0.0318344	0.0472783	0.0349964	0.0494853	0.0204648	0.0306076	0.0302188	0.035524	0.0438925
m'	0.0177191	0.0156444	0.0129939	0.00977136	0.00887934	0.0104555	0.0172012	0.0247724	0.0558531	0.0475528	0.0356051	0.0316206	0.0343112	0.0309025	0.0315882	0.0278514	0.0266059	0.019367	0.0223681	0.0191864	0.021381	0.0211598	0.0168092	0.0105602	0.0101032	0.00839666	0.02006	0.0191311	0.0142647	0.0100169	0.0279782	0.0252338	0.0489944	0.0464846	0.038432	0.0374807	0.0190602	0.0224811	0.0241763	0.02815	0.0293965
a	0.0212592	0.0226725	0.0284775	0.0323256	0.0374928	0.043849	0.0454974	0.0476693	0.0686265	0.0366489	0.0322432	0.0278231	0.0392297	0.0341147	0.0324489	0.0356413	0.0263205	0.0202388	0.0209496	0.0137527	0.016	0.0169383	0.0154097	0.0124512	0.014907	0.0156377	0.0348522	0.0277633	0.0151369	0.00804189	0.011699	0.00874282	0.01363	0.0143599	0.0127504	0.0164546	0.00904241	0.0133525	0.0154333	0.0149188	0.025197
éclaboussée	0.0118348	0.0199537	0.0238098	0.0179625	0.0170156	0.0169103	0.0153926	0.0205487	0.0855449	0.0386033	0.0225091	0.0211004	0.0300373	0.0194378	0.0130763	0.0140262	0.0112027	0.00879826	0.0111546	0.00867749	0.00798801	0.00771722	0.00806295	0.00686574	0.00800037	0.0127354	0.0187958	0.0259935	0.0150705	0.00838389	0.0187046	0.0100777	0.0322099	0.0450859	0.0486658	0.036638	0.0352632	0.0448426	0.0437907	0.0527942	0.0847177
</S>	0.0148565	0.0170722	0.0178191	0.0161475	0.0149252	0.0167979	0.0148337	0.0118807	0.0191218	0.0134618	0.00966299	0.00831496	0.0115943	0.00864029	0.00840971	0.00718112	0.00642169	0.00597379	0.00699501	0.00730171	0.00683757	0.00785216	0.00735277	0.00638051	0.00556907	0.00661575	0.00637054	0.00947484	0.00537153	0.00317289	0.0121115	0.0101583	0.0287625	0.0558418	0.0836035	0.0554681	0.075555	0.102355	0.089866	0.0980654	0.0858028
