 	a66	a87	a23	a79	a53	a93	a70	a96	a62	a47	a88	a62	a21	a85	a5	a85	a47	a79	a44	a58	a53	a4	a57	a82	a87	a23	a40	a7	a2	a54	a36	a0	a11	a75	a37	a90	a21	a56	a96	a56	a0	a88	a71	a9	a87	a23	a87	</S>
l'	0.0498794	0.0540992	0.0409321	0.027791	0.0246038	0.0365208	0.0416182	0.0684992	0.0548658	0.0359239	0.0234106	0.0299212	0.0272748	0.0150814	0.0109677	0.0114724	0.00803667	0.0113341	0.00438261	0.00784867	0.00618116	0.00835576	0.00593395	0.00847238	0.00656064	0.0112188	0.0109527	0.00997457	0.00880664	0.0147031	0.0104581	0.0128383	0.0215901	0.0155918	0.0121449	0.0116638	0.0127012	0.0163256	0.0215446	0.0237465	0.0239721	0.0150137	0.0188904	0.0210946	0.0183225	0.0198633	0.0136679	0.0349473
homme	0.00602004	0.00698645	0.0132848	0.019913	0.0226766	0.0159145	0.0253315	0.0272326	0.0397316	0.0428086	0.0630459	0.0694195	0.055205	0.0267719	0.0411346	0.0248109	0.0180333	0.0215675	0.028246	0.020442	0.0277787	0.02474	0.017511	0.0180736	0.012151	0.00763657	0.0205434	0.0274025	0.0529204	0.0258943	0.024282	0.0163478	0.019586	0.0205314	0.0118204	0.0117414	0.00739403	0.00971456	0.00564087	0.00663184	0.00555742	0.00240729	0.00366473	0.00361585	0.00413297	0.00638705	0.0103573	0.00695922
qui	0.0101716	0.0116594	0.00818632	0.00523311	0.00735599	0.0115466	0.0195434	0.0294573	0.0583681	0.0818004	0.0621761	0.124216	0.12335	0.0419147	0.0534542	0.0280775	0.0163575	0.0141125	0.0355686	0.0296591	0.0156026	0.0131573	0.00910726	0.0108608	0.0125213	0.0134903	0.0160491	0.0151723	0.0063278	0.00446574	0.00626643	0.00467249	0.00675403	0.0046964	0.00553052	0.00257345	0.00193852	0.00209624	0.00253559	0.00391005	0.00630169	0.00399004	0.0083273	0.00966633	0.00839943	0.0119536	0.01322	0.00820447
venait	0.0173519	0.0119287	0.00571639	0.00315636	0.00325135	0.004177	0.00450307	0.00303618	0.00806518	0.0216459	0.0196322	0.0253869	0.044914	0.0301096	0.0577949	0.0561357	0.0283902	0.0315237	0.042129	0.0228663	0.0178272	0.0127377	0.00785093	0.00974326	0.0226411	0.0423317	0.0149596	0.0153738	0.00648171	0.0156743	0.0123107	0.0198379	0.0254136	0.026318	0.0234058	0.00973272	0.00541172	0.00422165	0.00905353	0.0098527	0.0151537	0.0256779	0.0271969	0.0238062	0.0291562	0.0416279	0.0301261	0.0543609
dans	0.0387156	0.0244716	0.0199425	0.0168322	0.0087418	0.00880932	0.00712151	0.00712261	0.0164263	0.0264655	0.0234596	0.0108811	0.0274196	0.0204607	0.0127505	0.0413513	0.038112	0.0353988	0.0292358	0.0575228	0.0443459	0.0441251	0.0253591	0.0217163	0.017523	0.0188575	0.00916752	0.0108698	0.00424716	0.00378537	0.00776768	0.00940973	0.00845549	0.0102484	0.0125647	0.0101338	0.0105678	0.00943277	0.00976051	0.0166209	0.0223106	0.0118696	0.0382381	0.0327995	0.0299101	0.0277148	0.0342097	0.026748
cette	0.0201458	0.0100654	0.00611696	0.00479845	0.0152171	0.0161252	0.0153251	0.0160684	0.0231569	0.0210692	0.015895	0.0105777	0.0279556	0.0153705	0.0170685	0.0316279	0.0462928	0.0309284	0.0437769	0.0518943	0.0301225	0.0295112	0.0190141	0.0242207	0.0363083	0.0370564	0.0144908	0.0185238	0.00807553	0.0132945	0.0192104	0.0220927	0.0209195	0.0148182	0.0193794	0.0167323	0.0224571	0.0178929	0.0217762	0.0212555	0.0280719	0.0157207	0.0265801	0.0187471	0.0121708	0.0115433	0.0110583	0.00947979
route	0.0461271	0.0258155	0.0193248	0.00441728	0.00659253	0.00326698	0.00221965	0.00215775	0.0025461	0.00687818	0.00568916	0.014043	0.00868849	0.0068545	0.00864134	0.0164163	0.0174918	0.00924985	0.0209626	0.0228852	0.0194377	0.0151575	0.0122275	0.0154569	0.0253381	0.0344096	0.0183836	0.0246124	0.00719182	0.0161613	0.0356051	0.0604817	0.0415645	0.027823	0.0562337	0.0328395	0.0811665	0.0317438	0.0257604	0.0135108	0.0308781	0.0273101	0.0335046	0.0187386	0.0153213	0.0142742	0.00976587	0.00483379
a	0.0200813	0.0103313	0.00606883	0.0027762	0.00360535	0.00292749	0.00298351	0.00326106	0.00442492	0.0087169	0.00559949	0.0205868	0.0095683	0.00710736	0.00818938	0.022015	0.0177355	0.0185448	0.0619778	0.041386	0.0333617	0.0391055	0.0347901	0.0624076	0.0798853	0.0773978	0.0412377	0.0423214	0.0131805	0.0274185	0.038106	0.0200043	0.0226649	0.0175597	0.0245589	0.0269182	0.0292165	0.0114922	0.0118437	0.00723718	0.00844549	0.00498844	0.0075211	0.00615601	0.00612467	0.00842731	0.00922599	0.0105162
bifurqué	0.0175378	0.0131171	0.0167073	0.0096622	0.0137367	0.00965953	0.00831691	0.00691158	0.00561259	0.0064688	0.00733067	0.00696513	0.00564054	0.00634673	0.00535647	0.00762407	0.0107499	0.00868276	0.0133309	0.0151935	0.0201082	0.0160087	0.0169686	0.0205618	0.0266224	0.0236718	0.0200155	0.0213152	0.0119698	0.0171026	0.0261312	0.0248777	0.0347649	0.0305455	0.0304727	0.0253902	0.0317649	0.0358427	0.0399763	0.0303102	0.0452291	0.0449634	0.0441648	0.0339845	0.0300548	0.0316505	0.027979	0.0426017
à	0.0165407	0.0125516	0.00611405	0.00464657	0.0053063	0.00595678	0.00529596	0.00375209	0.00367983	0.00881295	0.00884246	0.00583757	0.00769968	0.00655329	0.00557638	0.0111017	0.00939723	0.00986468	0.0133866	0.0116099	0.00775088	0.0101263	0.00621956	0.00621812	0.00889387	0.0071827	0.00507596	0.0049791	0.00281259	0.00402333	0.00463833	0.00911711	0.0123338	0.009145	0.00980093	0.0124056	0.0131027	0.0168542	0.04645	0.0644141	0.0810184	0.0842186	0.0933779	0.0811787	0.0695024	0.0613511	0.0544791	0.0508031
gauche	0.0305976	0.0200741	0.00982688	0.00839497	0.0118814	0.0125423	0.00861547	0.00502715	0.00788609	0.0148087	0.0116645	0.00784048	0.0126209	0.010635	0.00550253	0.0186794	0.0161573	0.0165483	0.014402	0.0196774	0.0122203	0.0136573	0.0077438	0.00799295	0.00947658	0.00981292	0.00748007	0.0083688	0.00421138	0.00459109	0.00831635	0.0132364	0.0156218	0.0137474	0.0138677	0.014969	0.015964	0.0148262	0.03227	0.0378614	0.0469645	0.0670494	0.0720501	0.0602289	0.0713443	0.0682387	0.0335665	0.0509396
</S>	0.0412986	0.0357678	0.0210259	0.0170923	0.0296479	0.0237989	0.0224839	0.0143677	0.0160878	0.0229241	0.0122917	0.0158524	0.0235022	0.0125943	0.0127769	0.0172441	0.0131358	0.0151898	0.014953	0.0117323	0.00960721	0.00854884	0.00554405	0.00643658	0.00700123	0.00849471	0.00497185	0.00604482	0.00371353	0.00350829	0.00704712	0.00920137	0.0142775	0.0133893	0.0129858	0.0104025	0.0120667	0.00922495	0.0199601	0.0224677	0.0378475	0.023535	0.0547498	0.049374	0.0534643	0.0597128	0.0459636	0.0866915
