 	a66	a87	a97	a38	a56	a75	a56	a90	a25	a15	a7	a56	a31	a62	a61	a34	a93	a34	a56	a96	a70	a13	a9	a3	a97	a87	a97	</S>
cette	0.0874871	0.0884314	0.0876678	0.0314616	0.0266299	0.0259391	0.0217852	0.0365681	0.0366028	0.0325632	0.0465991	0.0457033	0.0419525	0.00845329	0.00786166	0.0190136	0.0142852	0.0318983	0.0493215	0.0477566	0.0329769	0.0275053	0.0232936	0.0309645	0.0351436	0.0238491	0.0195277	0.0187579
poule	0.00507086	0.0088533	0.0196007	0.0384685	0.0670308	0.161703	0.15633	0.140495	0.107979	0.0689898	0.0467243	0.0285142	0.0252505	0.0156874	0.0139285	0.0243406	0.0128388	0.0116563	0.00701432	0.00529934	0.0029737	0.00537701	0.00536335	0.00384198	0.00295635	0.00409108	0.00427064	0.0053506
a	0.0333002	0.0315681	0.0358606	0.0479068	0.0376322	0.0375642	0.0391187	0.0400356	0.0543716	0.0744423	0.0745264	0.0619223	0.0207277	0.00440766	0.00150619	0.00293857	0.00738187	0.00802557	0.0171635	0.0166519	0.0234129	0.0207946	0.0390361	0.0511284	0.0411205	0.0522192	0.0638663	0.0613699
été	0.0072963	0.00469401	0.00363219	0.00351092	0.00266824	0.00299939	0.00728188	0.0179295	0.0457609	0.0651627	0.0600956	0.0866747	0.0494957	0.0370072	0.0514713	0.104308	0.0481308	0.027485	0.0349957	0.0502465	0.0352491	0.0736232	0.0301907	0.0266901	0.0292333	0.0235242	0.0199711	0.0506714
prise	0.0323276	0.0226278	0.0239083	0.0147135	0.0125475	0.0067132	0.00514412	0.00796117	0.0165469	0.029538	0.0784519	0.149152	0.269754	0.154298	0.0578335	0.0166897	0.00638623	0.00493964	0.00818962	0.00845111	0.00783961	0.0131765	0.00746506	0.00538488	0.00750042	0.0108161	0.00797248	0.0136719
au	0.0420952	0.0313981	0.024272	0.0172848	0.0127587	0.00644346	0.00993588	0.0194973	0.0365456	0.0431644	0.082064	0.106574	0.144068	0.0785576	0.0433504	0.0245058	0.012225	0.015095	0.0164692	0.0183324	0.0284205	0.0248948	0.0167645	0.0203893	0.0325513	0.0298805	0.0347319	0.0277309
piège	0.0648193	0.0410962	0.0363902	0.0287928	0.0264355	0.0195712	0.01486	0.0147883	0.0214687	0.0380021	0.0529428	0.0499932	0.0263043	0.0172462	0.0136421	0.0180619	0.0201717	0.0172846	0.0201474	0.029039	0.0388087	0.0503144	0.0376439	0.0519788	0.0579436	0.0587667	0.0490765	0.0844098
ce	0.130974	0.0855399	0.0680105	0.0420899	0.0377164	0.0359561	0.0339837	0.0349962	0.0206534	0.0232567	0.0117825	0.0127242	0.0185013	0.0172995	0.023534	0.024272	0.0174214	0.0192273	0.0169115	0.021825	0.0162502	0.0179322	0.0317596	0.0233906	0.0313953	0.0451738	0.0519425	0.0854805
matin	0.0522103	0.035898	0.0299122	0.0189155	0.017112	0.0235576	0.0286588	0.0264662	0.0226908	0.0355126	0.0435363	0.0382209	0.0216863	0.0066651	0.00588832	0.0118364	0.00783572	0.00747192	0.0129424	0.0221584	0.0279812	0.0248445	0.0573465	0.0539601	0.0681306	0.0984166	0.105467	0.0946774
</S>	0.100558	0.0790007	0.0636221	0.027274	0.0230554	0.0238409	0.0295676	0.039784	0.0334354	0.0266851	0.0317901	0.0313753	0.0190606	0.00898813	0.00539757	0.00782993	0.0057263	0.00781833	0.0134479	0.0202143	0.0168032	0.0236663	0.0329546	0.0543185	0.0606098	0.0631343	0.0730497	0.0769916
