 	a66	a97	a3	a97	a38	a97	a83	a93	a56	a25	a98	a92	a21	a47	a21	a61	a21	a5	a18	a21	a92	a90	a93	a70	a11	a96	a66	a71	a9	a3	a99	a9	a3	</S>
cet	0.0481911	0.0721362	0.034122	0.0191802	0.0295683	0.0241017	0.021891	0.0224725	0.0193345	0.0112845	0.0111202	0.0206122	0.0155134	0.0116987	0.00759537	0.0116858	0.012472	0.0153865	0.0155631	0.0214025	0.0166007	0.0249785	0.0332875	0.058124	0.0648511	0.0807239	0.058432	0.0356329	0.0369219	0.0210012	0.0270082	0.0209813	0.0281076	0.0480177
homme	0.010465	0.0103518	0.0093782	0.0152883	0.0212007	0.055448	0.162013	0.101405	0.0775925	0.059481	0.0594008	0.0560552	0.0602995	0.0383034	0.0401656	0.0397106	0.0205456	0.0180673	0.0113791	0.0120511	0.0228169	0.0165428	0.0122136	0.0192119	0.0070625	0.00563606	0.00402106	0.002842	0.00325847	0.00415954	0.00388483	0.00589392	0.00559053	0.00826486
a	0.0452694	0.0422131	0.0485408	0.0402627	0.0610563	0.04271	0.0253171	0.0256682	0.0460432	0.041352	0.0375242	0.0466208	0.0666159	0.0176073	0.0254651	0.0219185	0.01819	0.0197885	0.007359	0.00506192	0.00486155	0.00363342	0.00549812	0.00341252	0.00417177	0.00728344	0.00858184	0.0118339	0.0269512	0.0358655	0.0430043	0.0496238	0.0503359	0.0603588
augmenté	0.0250241	0.0167762	0.0124663	0.0152143	0.0108663	0.0110799	0.00772974	0.00672832	0.00750105	0.00794499	0.00794055	0.0109507	0.0169553	0.0236842	0.0269807	0.0286462	0.0192416	0.0313962	0.045048	0.0303885	0.0276062	0.0293194	0.0317046	0.0125038	0.0205958	0.0224891	0.0295151	0.0376586	0.0459851	0.052192	0.0751309	0.0592997	0.0664435	0.126993
le	0.0296398	0.0242507	0.0235904	0.0365098	0.0308044	0.025077	0.0257387	0.0289153	0.0105821	0.00646442	0.006313	0.00541118	0.00936799	0.0307716	0.0586295	0.0595678	0.0663993	0.0598656	0.0496708	0.0521673	0.0384745	0.0417811	0.0370864	0.0283963	0.0206381	0.0218431	0.0377881	0.0148344	0.0233544	0.0145964	0.0204424	0.0214124	0.0191696	0.020446
prix	0.0225832	0.0209174	0.0334744	0.0524684	0.0459286	0.0361125	0.0581228	0.0512572	0.0282634	0.0184025	0.0194648	0.0191837	0.0245149	0.0320204	0.0698149	0.0532799	0.0422779	0.057587	0.0535366	0.0371191	0.0247791	0.0205067	0.0217081	0.0162605	0.00782497	0.0108566	0.0154456	0.010384	0.0132694	0.0183618	0.0147893	0.0197603	0.0170943	0.0126299
de	0.0241828	0.0219595	0.0129618	0.00776136	0.0117214	0.0069449	0.00421188	0.00563319	0.0114075	0.00940299	0.00978952	0.0224693	0.0185572	0.0135688	0.00978994	0.012054	0.00936235	0.0153422	0.0101209	0.0164033	0.0100234	0.0299286	0.0463778	0.0404073	0.0367548	0.0548435	0.0629542	0.0339776	0.0625177	0.0900985	0.0616095	0.0678257	0.0436401	0.105396
sa	0.0235277	0.0120936	0.00915612	0.00610616	0.0078251	0.00446646	0.00410273	0.00374938	0.00277393	0.00200722	0.00173051	0.00380998	0.00646823	0.0100846	0.01364	0.0138073	0.0181896	0.020512	0.0238921	0.0274865	0.0261372	0.0425626	0.0558167	0.0301272	0.0253931	0.0378437	0.0512766	0.0400338	0.0682737	0.0924636	0.0916284	0.0910797	0.0818538	0.0500809
maison	0.023988	0.013269	0.0138002	0.0124498	0.0141422	0.00735103	0.00575696	0.00520357	0.00407537	0.00414875	0.00455409	0.00436071	0.00721686	0.0136924	0.0206632	0.0215675	0.0228321	0.0340301	0.0217489	0.0305566	0.0310564	0.0326457	0.0436722	0.0382671	0.0342676	0.0378946	0.0517587	0.0383232	0.0534091	0.0748571	0.0696741	0.0915887	0.0679971	0.0491812
</S>	0.0160242	0.0113904	0.00741662	0.00788243	0.01267	0.00864424	0.00921996	0.00976111	0.00760468	0.00854969	0.00569039	0.00709515	0.00867346	0.00815271	0.00812349	0.00987294	0.0110225	0.0152397	0.00859932	0.0113449	0.00860695	0.00891642	0.0151816	0.0271827	0.0319699	0.065283	0.0820334	0.0529687	0.0702382	0.0623564	0.0638296	0.109478	0.0485153	0.160462
