 	a66	a87	a23	a87	a23	a87	a40	a6	a37	a21	a85	a47	a85	a6	a5	a43	a0	a11	a90	a98	a85	a6	a21	a92	a15	a7	a84	a87	a10	a62	a96	a75	a92	a98	a6	a21	a12	a31	a47	a88	a71	a9	a87	a23	a99	a87	a97	a10	</S>
ses	0.0133808	0.0213646	0.0446518	0.0355985	0.0398765	0.0385386	0.034251	0.0295769	0.0455486	0.0631125	0.0722862	0.0694467	0.0435044	0.0556489	0.0636829	0.0565939	0.0349366	0.0409868	0.0272633	0.0144812	0.00773675	0.00485775	0.00443486	0.00424581	0.00359742	0.00304935	0.00283963	0.00371385	0.00274849	0.00254553	0.00308221	0.00428191	0.00642741	0.00753102	0.00738833	0.00713884	0.00859998	0.00649059	0.00756657	0.00815986	0.00482312	0.00458549	0.00465433	0.00357265	0.00515192	0.00376965	0.00667636	0.00401047	0.0115894
copains	0.00233186	0.00348239	0.00450371	0.00478307	0.0063733	0.00811283	0.0143302	0.0318978	0.028576	0.0545844	0.0869584	0.067328	0.134071	0.0918984	0.0977005	0.0353767	0.0200631	0.0217964	0.0248847	0.0209512	0.0159491	0.029018	0.0290921	0.0278451	0.0159019	0.0175047	0.0155833	0.0123517	0.00976506	0.012328	0.0123144	0.00270847	0.00323416	0.00155642	0.00112401	0.000922886	0.00157391	0.00219653	0.0032019	0.00529282	0.00407489	0.00215675	0.00201591	0.00172368	0.00213414	0.00217785	0.00232166	0.00314159	0.0007854
se	0.0218461	0.021651	0.01355	0.010407	0.0158522	0.021534	0.0361411	0.0339364	0.0347966	0.048645	0.0474715	0.0458158	0.0223399	0.0214697	0.0452577	0.0468769	0.0426103	0.0458377	0.0468253	0.0345258	0.0397462	0.0329698	0.0418737	0.0336168	0.0131616	0.0152156	0.0150828	0.0108841	0.0119567	0.0185957	0.0152779	0.00988298	0.0127122	0.00844546	0.00373998	0.00312601	0.00256897	0.00365467	0.00498059	0.0036584	0.00271598	0.0027358	0.0035796	0.00346224	0.00496935	0.00531314	0.00857708	0.00731601	0.00279041
moquent	0.0186699	0.0148205	0.0103222	0.00767068	0.0083395	0.011466	0.0173754	0.0121013	0.0335305	0.0482618	0.0559377	0.0676314	0.0329801	0.0298007	0.036064	0.029148	0.0359342	0.0217325	0.0462563	0.0367507	0.0342251	0.0394452	0.0278734	0.0232228	0.0149833	0.0134627	0.0122132	0.0106123	0.0119658	0.00771849	0.0104041	0.00595161	0.00504764	0.0057609	0.0105392	0.00773639	0.00428989	0.00704382	0.00602824	0.00584938	0.00505991	0.00671663	0.0100009	0.0133034	0.026281	0.0246238	0.0146882	0.0204214	0.0397379
de	0.0333608	0.0157646	0.0117125	0.00922304	0.0127278	0.0124979	0.0108065	0.01116	0.01471	0.0157566	0.0131208	0.0216513	0.0348595	0.0280258	0.0267323	0.0255362	0.0303158	0.0352963	0.0402468	0.0465133	0.0609894	0.0513824	0.0423673	0.0457605	0.037982	0.0282375	0.0211116	0.0197024	0.0211902	0.0147422	0.011016	0.00806993	0.00793692	0.00878671	0.0129924	0.012575	0.00853325	0.00831273	0.00886444	0.00507517	0.00408166	0.00327165	0.004659	0.00435569	0.0113498	0.0107671	0.0205332	0.0110671	0.0442687
lui	0.0255355	0.0204612	0.0174381	0.0130413	0.014708	0.00680332	0.00536558	0.00438824	0.0067389	0.00789058	0.00882835	0.0166391	0.0183732	0.0285125	0.0293899	0.0392211	0.0394652	0.0416421	0.0432014	0.0641248	0.074615	0.0765819	0.0404663	0.0357606	0.0267211	0.0181115	0.0140924	0.0126813	0.0116133	0.0116726	0.00670076	0.0053252	0.0068673	0.00746862	0.00968064	0.0104739	0.0107754	0.0133683	0.0170265	0.0143384	0.0120746	0.0103618	0.0137795	0.0102704	0.0163259	0.0130589	0.0159238	0.0112896	0.020806
parce	0.0157478	0.0138921	0.0110923	0.011	0.0117311	0.00719606	0.00581263	0.00324984	0.00381002	0.00563881	0.00632329	0.0149288	0.0237309	0.0236631	0.0152843	0.0347698	0.034946	0.040023	0.0569299	0.0687085	0.0680524	0.0644615	0.0407965	0.0417648	0.0326979	0.0267528	0.0200229	0.013961	0.0159307	0.0190254	0.0101764	0.00707468	0.0105836	0.00886526	0.00858419	0.006549	0.00632174	0.0101672	0.0149668	0.0140888	0.013718	0.0119878	0.0222318	0.0143754	0.02077	0.0215263	0.0140047	0.0127568	0.0193072
qu'	0.0524409	0.0332755	0.0215647	0.0201537	0.0197437	0.013307	0.0160827	0.00616408	0.00994402	0.00887642	0.00578542	0.0126363	0.0169791	0.0168016	0.0208334	0.0374442	0.032871	0.0385472	0.0478541	0.0305768	0.0374697	0.0227679	0.0181566	0.0156309	0.0103145	0.01099	0.00945852	0.00875804	0.0063403	0.00898672	0.00629333	0.0109005	0.0265121	0.0342638	0.0317743	0.0233169	0.0207172	0.0130066	0.021369	0.0113523	0.00955354	0.00732701	0.0163768	0.011897	0.0261846	0.0203403	0.0354741	0.0223422	0.0402434
il	0.0519904	0.0324581	0.0156792	0.0110442	0.00959559	0.00742935	0.00964508	0.00600401	0.00627829	0.00554401	0.0048228	0.00732264	0.00706473	0.00389876	0.0052306	0.0120002	0.0128445	0.0152358	0.0178127	0.0221953	0.0309109	0.0197044	0.0196497	0.022442	0.0148397	0.0168586	0.0131511	0.0129131	0.0084966	0.0118651	0.00904486	0.0157838	0.029636	0.0412967	0.0606461	0.0419461	0.037989	0.017145	0.0294973	0.0143646	0.0141986	0.0132167	0.0245953	0.0223432	0.0356525	0.0278033	0.0505385	0.0428148	0.0365604
est	0.0377449	0.0399714	0.0304427	0.02466	0.0311758	0.00896	0.00319659	0.00213664	0.00295258	0.00297374	0.00314072	0.00469028	0.00518177	0.00316269	0.00423387	0.0114675	0.0170825	0.0154106	0.0164466	0.0289205	0.0293654	0.0287137	0.0308599	0.03496	0.0226179	0.0249395	0.0217277	0.0197792	0.0225626	0.0271379	0.0244132	0.0342185	0.0388053	0.0337757	0.0306597	0.0283005	0.0183618	0.0108746	0.0145563	0.0124273	0.00928438	0.00766555	0.0137432	0.0107771	0.0234453	0.0196862	0.0335598	0.024555	0.0542753
