 	a66	a87	a23	a13	a99	a50	a98	a54	a15	a7	a40	a54	a15	a7	a4	a93	a70	a99	a53	a20	a69	a4	a57	a4	a53	a70	a98	a88	a75	a15	a44	a54	a79	a54	a36	a40	a36	a11	a90	a15	a69	a58	a54	a79	a44	a70	a54	a44	a38	a50	a83	a9	a99	a97	a87	a23	a87	a23	a87	a23	a87	</S>
au	0.0384535	0.0827099	0.0743089	0.0629639	0.0372451	0.0227062	0.0179812	0.0334352	0.0270125	0.0157291	0.0109276	0.00706325	0.00762662	0.0172251	0.0127729	0.0106833	0.0111002	0.0138583	0.0197531	0.0153693	0.014753	0.0101474	0.0192053	0.0106536	0.0131771	0.0190147	0.0127806	0.0179442	0.0143504	0.021114	0.0124958	0.0116608	0.0115336	0.0120797	0.00869732	0.00498839	0.0118168	0.00757628	0.00890293	0.00748616	0.00556872	0.00508764	0.00589706	0.00926518	0.00951687	0.0153253	0.0116458	0.00746225	0.00423645	0.00438739	0.00893186	0.00804966	0.0105258	0.0154722	0.00687299	0.00778089	0.00813072	0.0071279	0.00744655	0.0106757	0.00886095	0.0324289
bout	0.000723119	0.00272488	0.00674015	0.00816471	0.0250206	0.0176478	0.0293551	0.121427	0.298981	0.100984	0.0591278	0.0339314	0.0106419	0.0290361	0.0276639	0.0201978	0.0222449	0.0329083	0.014398	0.018518	0.0157248	0.00597911	0.00849024	0.00238316	0.00422933	0.00509927	0.00472406	0.00365315	0.0026441	0.00257641	0.00107475	0.0034424	0.00130283	0.00129542	0.000371826	0.000922539	0.00253136	0.00705645	0.0053876	0.00425391	0.00349064	0.00266752	0.00273182	0.00666638	0.00448503	0.00509889	0.00168342	0.000906213	0.000510891	0.000533298	0.000737813	0.000705238	0.000876827	0.00035799	0.000400841	0.000228244	0.000289888	0.000270222	0.000377012	0.000621785	0.00116946	0.00161126
d'	0.0110431	0.017053	0.0141052	0.0153467	0.0361534	0.0363423	0.0432505	0.0363914	0.0628922	0.0465419	0.0482954	0.0392965	0.0201794	0.0472524	0.0348413	0.047681	0.0266865	0.032374	0.0255849	0.0306311	0.0356343	0.0267884	0.0310586	0.0149776	0.0186731	0.0187239	0.0189377	0.0174471	0.0237987	0.0158583	0.011588	0.0230122	0.0115795	0.0103545	0.00308939	0.00229606	0.00500845	0.00699088	0.00317187	0.00249341	0.00471183	0.00197428	0.00144238	0.00292998	0.00220612	0.00168794	0.000780767	0.000459536	0.00042263	0.000425037	0.00059326	0.000451622	0.000567211	0.000802569	0.000538392	0.00070798	0.000568529	0.000467918	0.000907917	0.00121621	0.00171504	0.000998713
un	0.00582614	0.00631738	0.00620973	0.00609545	0.0140412	0.0237621	0.0245907	0.0242562	0.0187035	0.0136781	0.011922	0.0182205	0.0296764	0.0507694	0.038146	0.0415014	0.0314494	0.0326144	0.0367946	0.0583456	0.0243777	0.0257678	0.0181859	0.0212694	0.0167872	0.0203209	0.0231439	0.0189597	0.0179204	0.0202034	0.0171669	0.0127343	0.0146583	0.0322225	0.0215355	0.0214977	0.0207051	0.0124584	0.00432934	0.00322805	0.00707389	0.00441656	0.00312208	0.00258051	0.00265226	0.00241636	0.00190797	0.0028552	0.00217988	0.00328225	0.00301626	0.00540687	0.00520665	0.0077468	0.00604738	0.00854875	0.0103742	0.0135872	0.0125616	0.00950604	0.0148674	0.0102513
moment	0.0148618	0.0114681	0.00670098	0.00369161	0.00421798	0.00634235	0.00521411	0.00594416	0.0065219	0.00661384	0.00816344	0.0117734	0.0242314	0.0158011	0.019241	0.0171569	0.0233837	0.0306176	0.0249387	0.0300953	0.0219585	0.0482589	0.0208381	0.0342336	0.0223224	0.0350431	0.0332342	0.0330399	0.021264	0.0331438	0.0231982	0.0143486	0.0215307	0.0289143	0.0241564	0.0272266	0.012898	0.00857787	0.00939167	0.0136336	0.0100989	0.0121156	0.00772371	0.0141625	0.0135177	0.0115116	0.00481651	0.0017584	0.00174053	0.00180606	0.00149814	0.00310567	0.00754453	0.00485346	0.00685019	0.0122135	0.0146605	0.0158432	0.0154729	0.0212133	0.025472	0.0278295
le	0.00825171	0.00468967	0.00523691	0.00223409	0.00714379	0.00801661	0.00919237	0.00586765	0.00877116	0.0179733	0.042029	0.025723	0.0338609	0.0663019	0.0580596	0.045005	0.0339658	0.0306357	0.0347897	0.0722068	0.0465793	0.0574433	0.0477664	0.0395245	0.0291777	0.0234041	0.0347383	0.0147073	0.0232043	0.0109512	0.0138903	0.0215466	0.0117842	0.0137059	0.00690864	0.00390409	0.00951434	0.00674424	0.00592272	0.0038463	0.00584517	0.00398211	0.00373654	0.00232536	0.0024871	0.00202345	0.000997286	0.0012902	0.000834521	0.00109772	0.00103438	0.00131552	0.00204522	0.00134468	0.00191729	0.0012343	0.00130592	0.00154437	0.00262213	0.00372162	0.00692041	0.00515618
voyageur	0.0136579	0.00535099	0.0031907	0.00137135	0.00253688	0.00468861	0.00446882	0.00592923	0.00521985	0.00793467	0.014072	0.0179198	0.0136578	0.0233798	0.0162029	0.0188438	0.0166473	0.0355475	0.0425386	0.0403931	0.0250066	0.0367789	0.0316282	0.0487655	0.0442421	0.0380564	0.0284439	0.0339947	0.0333225	0.0245893	0.0218525	0.0355504	0.0319609	0.0474786	0.03063	0.0324412	0.0203915	0.0116987	0.00842135	0.0152737	0.014049	0.0103781	0.0149019	0.0102991	0.0113219	0.00952781	0.00280984	0.00151038	0.00162862	0.0013066	0.00102086	0.00169156	0.00351612	0.00212027	0.00289477	0.00173046	0.00153287	0.00195521	0.00211269	0.00269253	0.00437553	0.00254512
a	0.0186239	0.00553853	0.00397867	0.0012245	0.00257404	0.00387643	0.00383172	0.00183981	0.00240861	0.00382763	0.00728347	0.0133811	0.0260303	0.0281044	0.0211458	0.0226593	0.0199162	0.0214889	0.0266976	0.0483192	0.0392205	0.088086	0.0700148	0.0723302	0.0346253	0.0338712	0.0559985	0.0267896	0.0362775	0.0121433	0.022646	0.034016	0.0200409	0.0311115	0.0175909	0.0137494	0.0109943	0.00761151	0.00410779	0.00834143	0.0110522	0.00767207	0.00780423	0.00796199	0.0132501	0.00787248	0.00151714	0.000340383	0.000408483	0.000407598	0.000794993	0.00101803	0.00273194	0.00116869	0.00169722	0.000909451	0.000779866	0.00110311	0.00135876	0.00220734	0.00356462	0.00206259
eu	0.0206142	0.0173777	0.0105102	0.00498798	0.00390749	0.00536153	0.00460018	0.00421732	0.00374808	0.00402062	0.00288487	0.00465773	0.00791247	0.00993393	0.00755898	0.00740997	0.0139981	0.0195542	0.0307626	0.0258126	0.020533	0.0377708	0.0313745	0.0638753	0.0514519	0.0594026	0.0407417	0.038038	0.0294831	0.0204923	0.0193612	0.0268049	0.0187047	0.0242671	0.0221033	0.0235787	0.00879747	0.00773432	0.00908805	0.00926403	0.00908265	0.00761095	0.0058262	0.00774266	0.00946653	0.00459646	0.00607708	0.00182405	0.00210535	0.0020244	0.00211362	0.00406277	0.00576787	0.00593165	0.01196	0.0146196	0.0171532	0.0189907	0.0211085	0.0245398	0.0266781	0.0180201
chaud	0.0169795	0.0122801	0.00780861	0.00514217	0.00427338	0.00435145	0.0041614	0.00420318	0.00331689	0.00398543	0.00345569	0.00544035	0.00711608	0.00889159	0.00751565	0.00734528	0.0112977	0.0158684	0.0174717	0.0176787	0.014952	0.0251238	0.0249116	0.0427034	0.0477646	0.0432245	0.0294091	0.0368898	0.0217311	0.0184118	0.0200437	0.0182625	0.0206049	0.0167466	0.0227803	0.0211736	0.00684264	0.00644723	0.00808473	0.00640119	0.00906815	0.00913531	0.00558704	0.0054699	0.00461856	0.00335112	0.00623384	0.00311716	0.00287593	0.00296019	0.00302643	0.0046265	0.00659969	0.00851751	0.0222955	0.0268165	0.0392434	0.0460396	0.0383514	0.0376929	0.0490862	0.044195
et	0.0187728	0.02045	0.0125976	0.00820368	0.00478281	0.00483204	0.00374973	0.00400218	0.00242052	0.00310247	0.00389817	0.00628097	0.00642902	0.00914811	0.00950076	0.0101269	0.0113899	0.0150425	0.016032	0.0179229	0.0141574	0.0227251	0.0219605	0.0287039	0.0360855	0.032249	0.0241923	0.0293651	0.019841	0.0189166	0.0201639	0.0173326	0.0201467	0.0159152	0.0207306	0.0183776	0.0106205	0.0101013	0.0116324	0.00839054	0.0124929	0.0129028	0.00810786	0.00669022	0.00557068	0.00423359	0.00696444	0.00332523	0.00331193	0.0030538	0.00304394	0.0048876	0.00624849	0.00579933	0.0118193	0.0195564	0.0375014	0.0392565	0.0365528	0.0433926	0.0607405	0.0742548
ôta	0.0276927	0.0248598	0.0156981	0.0108296	0.00996185	0.00742541	0.00696931	0.00645827	0.00471448	0.00449962	0.00557131	0.00764469	0.00593083	0.00744004	0.00914415	0.0101292	0.0086099	0.0101044	0.0133982	0.0136432	0.00849358	0.0134434	0.0150516	0.0168799	0.0242446	0.0304543	0.0177684	0.0330933	0.0208476	0.0225621	0.0242528	0.0191253	0.0239247	0.0166123	0.0231306	0.0201204	0.0131253	0.0115191	0.0119227	0.00759456	0.0106576	0.0104347	0.00723935	0.00624243	0.00728547	0.00431448	0.00937152	0.00814567	0.00743412	0.00616175	0.0063929	0.00950238	0.0129182	0.0088491	0.020786	0.031558	0.0458632	0.0469474	0.0322988	0.0339826	0.0394409	0.0492817
son	0.0247836	0.0178282	0.0102087	0.00719146	0.00856894	0.00701485	0.00514484	0.00300037	0.00148379	0.00228745	0.00322311	0.00506705	0.0077232	0.00842458	0.011812	0.0110659	0.00827938	0.00880182	0.0121298	0.0167707	0.00807042	0.0179083	0.01227	0.018031	0.0235036	0.0255581	0.0248876	0.0328176	0.0314998	0.0348561	0.045222	0.0319731	0.0344506	0.0284754	0.0397619	0.0313212	0.0303078	0.0149164	0.011305	0.00768625	0.00888679	0.00887129	0.00663172	0.00569155	0.007191	0.00524704	0.00591339	0.00517317	0.00734747	0.00699372	0.00611381	0.0115356	0.0123647	0.0111097	0.0154243	0.0216148	0.0317542	0.0361565	0.021417	0.0196372	0.0228123	0.0364809
manteau	0.0271294	0.0121177	0.01069	0.0107645	0.0102329	0.0106759	0.00908715	0.00639585	0.00384618	0.00545031	0.00856063	0.00743673	0.0123572	0.013085	0.0133789	0.0112248	0.0105828	0.0106285	0.0110438	0.0164642	0.0124844	0.0205105	0.0155783	0.020344	0.0226459	0.0182431	0.0251182	0.0224352	0.0206959	0.0218524	0.0250835	0.0193722	0.0198667	0.0176937	0.0219601	0.0208332	0.0167162	0.0120003	0.0088126	0.00762348	0.00750201	0.00822746	0.00752112	0.00605843	0.0063452	0.00665086	0.00783219	0.00937366	0.00641165	0.00645637	0.00526055	0.00901182	0.0129018	0.0131276	0.0142472	0.0314838	0.0407298	0.0452094	0.0379483	0.0380846	0.0399416	0.048652
</S>	0.0316641	0.0182974	0.0169797	0.0153543	0.0126998	0.010226	0.00859288	0.00447398	0.00258499	0.00424184	0.0075762	0.00701327	0.0100347	0.012577	0.0154088	0.0117398	0.00936966	0.00861591	0.0141801	0.0168307	0.0081065	0.0158817	0.0126454	0.0162533	0.0230558	0.0231295	0.0242339	0.0304656	0.0276844	0.025439	0.0307688	0.0242471	0.0239005	0.0132176	0.0217885	0.0185402	0.0211438	0.00996372	0.00827119	0.00495847	0.00754744	0.00489561	0.00483337	0.00415916	0.0051584	0.00440651	0.00768047	0.0108479	0.0124548	0.0138126	0.00924083	0.019951	0.0241408	0.0142961	0.0208018	0.0307815	0.0362721	0.0356735	0.0261193	0.0248175	0.0283808	0.0315727
