 	a66	a87	a23	a99	a87	a79	a4	a50	a70	a4	a53	a90	a54	a6	a0	a11	a12	a96	a61	a12	a18	a0	a24	a70	a93	a70	a44	a93	a70	a54	a79	a37	a26	a37	a21	a98	a15	a69	a58	a40	a15	a7	a2	a26	a57	a10	a87	a23	a87	</S>
cette	0.0199912	0.0259694	0.025309	0.0251496	0.0209413	0.0236642	0.0146107	0.0225414	0.0190316	0.0516276	0.0535097	0.055155	0.0449615	0.0280069	0.0472498	0.0326912	0.0430769	0.0531974	0.0276193	0.0276745	0.0238849	0.019253	0.0217158	0.0173251	0.00657307	0.00897176	0.0137224	0.010251	0.00882059	0.00582174	0.00732074	0.00690582	0.00436256	0.00579979	0.0080779	0.00662086	0.00625592	0.0168808	0.00678221	0.00794516	0.00760446	0.0109565	0.00776766	0.00858943	0.0134388	0.0106945	0.00726666	0.0129839	0.0119128	0.0335159
femme	0.00370404	0.00685976	0.00733764	0.0127475	0.017956	0.0614102	0.0423821	0.0670052	0.102022	0.0643065	0.0494324	0.0767543	0.0291672	0.019386	0.00529578	0.00460024	0.0050572	0.00336639	0.0028706	0.0026212	0.00602046	0.00626713	0.0110181	0.0136314	0.0109529	0.0193419	0.0232112	0.021566	0.0249757	0.0126689	0.0186499	0.0123073	0.0187886	0.0341972	0.0249986	0.0429933	0.035315	0.0180155	0.0135616	0.0103799	0.00316134	0.00706541	0.00462066	0.00285622	0.00394578	0.00194014	0.0022022	0.0030565	0.00332184	0.00468699
est	0.0123349	0.01063	0.0137392	0.0204162	0.0135187	0.0171427	0.0371016	0.0288977	0.0268641	0.0300757	0.0148262	0.0113481	0.0219663	0.0191733	0.0208391	0.02491	0.0257524	0.0251816	0.0187639	0.020719	0.0339828	0.0503036	0.0409144	0.0345775	0.0536528	0.0396357	0.0466364	0.040749	0.0428341	0.0181277	0.0129809	0.0122834	0.0035019	0.00371282	0.0049188	0.00222256	0.005593	0.00589133	0.00902922	0.00377284	0.0114359	0.0131692	0.0110087	0.0133944	0.015074	0.0104183	0.0128596	0.0133618	0.0157719	0.00398463
en	0.0351474	0.0110927	0.0071561	0.00760529	0.0102311	0.00696821	0.00725946	0.00693356	0.00883318	0.00808705	0.0109551	0.00895197	0.00497574	0.0103234	0.0106401	0.0189108	0.020994	0.028874	0.0460002	0.023692	0.0519065	0.0336332	0.0425113	0.0227899	0.0134688	0.0315297	0.0289805	0.0387878	0.0427252	0.043406	0.0626179	0.0452838	0.0327232	0.0193109	0.0317809	0.0223376	0.0191527	0.0253051	0.010047	0.00916191	0.00884631	0.00727788	0.00763166	0.00765891	0.00733694	0.00803661	0.00714534	0.00779342	0.00600245	0.0111792
train	0.0191065	0.0199653	0.0209125	0.0244338	0.027726	0.0291964	0.0261655	0.0136669	0.0121949	0.0102417	0.0183532	0.0182669	0.0122298	0.0189574	0.0189873	0.0214688	0.0223698	0.0239706	0.0422198	0.0210533	0.0335276	0.019636	0.0203355	0.0181276	0.0297281	0.0165065	0.017659	0.0324817	0.0253829	0.0388668	0.043809	0.0238838	0.0198508	0.0192927	0.017479	0.0244425	0.0203876	0.0250918	0.015237	0.0123689	0.00578237	0.0108672	0.0104426	0.0127887	0.0114677	0.0118361	0.00975282	0.0102589	0.0100975	0.011125
de	0.00471884	0.00263544	0.00228066	0.0037802	0.0022373	0.00497962	0.00746404	0.00822442	0.00704078	0.0142663	0.0236899	0.0215008	0.0509877	0.0532018	0.0732162	0.054174	0.053246	0.067562	0.0804998	0.0772688	0.0368097	0.0646289	0.0467784	0.0610338	0.0106809	0.0103337	0.011024	0.0091702	0.00626978	0.00568437	0.00412251	0.00329732	0.00140244	0.000964035	0.00165852	0.000859564	0.00153461	0.00401383	0.00310086	0.00227579	0.00299088	0.00706405	0.00475456	0.00730092	0.0146902	0.0104852	0.0144274	0.0153934	0.0106082	0.0136675
se	0.00554386	0.00516291	0.0030464	0.00356832	0.00274063	0.00330629	0.00313046	0.00535738	0.00561891	0.00793565	0.0117913	0.0148361	0.0163253	0.0127351	0.019178	0.0151839	0.0156227	0.0157531	0.0338287	0.0258985	0.0366578	0.0512575	0.0371092	0.0367077	0.0303934	0.0922071	0.0983848	0.10505	0.0931785	0.0486467	0.0404241	0.0178298	0.00533173	0.00765291	0.010948	0.00777237	0.00634251	0.00908337	0.00305648	0.00412761	0.004227	0.00408231	0.00209508	0.00181636	0.00314704	0.00192846	0.00250745	0.00330181	0.00375592	0.00441353
plaindre	0.00635557	0.00462194	0.00450996	0.0053922	0.00305342	0.0037687	0.00726895	0.00659131	0.00791575	0.00831379	0.00955928	0.0144147	0.0264836	0.0298504	0.0257734	0.0244199	0.0296749	0.0297612	0.0391812	0.0408701	0.0440513	0.0709365	0.0625737	0.0340625	0.0265952	0.0752578	0.0877194	0.0522492	0.0591176	0.0244891	0.0188503	0.00933853	0.00226157	0.00216294	0.00555206	0.00331112	0.00403027	0.00758441	0.00679158	0.00562597	0.00912637	0.00904208	0.00447915	0.00491907	0.00631255	0.00505267	0.00733825	0.00731111	0.00822596	0.00785144
parce	0.0120596	0.00913624	0.0082962	0.0117916	0.00781325	0.00957478	0.0115948	0.0095801	0.0100437	0.00858023	0.0139539	0.013504	0.02068	0.0312117	0.0243332	0.0257676	0.0296803	0.0380844	0.0779907	0.0501756	0.0342178	0.0472295	0.0382151	0.0386995	0.015225	0.0202858	0.0270176	0.0221278	0.0225832	0.0219496	0.018865	0.0167453	0.00771366	0.00568317	0.00991479	0.00874249	0.00852816	0.0141245	0.0178357	0.0164488	0.0265217	0.0241895	0.0154051	0.0180574	0.0128415	0.00823841	0.0137859	0.01563	0.0134885	0.0158373
que	0.0161947	0.0108597	0.0105925	0.0127508	0.009702	0.0133507	0.0114607	0.0111464	0.00965411	0.00745885	0.0119802	0.00945618	0.016394	0.0242087	0.0173675	0.0186256	0.0166907	0.0261527	0.0414552	0.0259288	0.0309072	0.0312812	0.0334321	0.0305674	0.0198747	0.023229	0.0262702	0.0323557	0.0341392	0.0365709	0.0345695	0.0283454	0.0120936	0.00841263	0.0107395	0.0102265	0.00968421	0.0137824	0.0156117	0.0163037	0.0206472	0.0316999	0.0216696	0.0215298	0.0242198	0.0187	0.0198169	0.0219583	0.0182707	0.0216612
