 	a66	a87	a23	a38	a62	a21	a12	a61	a96	a11	a34	a56	a61	a96	a56	a96	a79	a7	a54	a6	a36	a11	a75	a37	a44	a93	a70	a56	a43	a11	a88	a83	a18	a27	a26	a57	a87	a23	a87	a10	</S>
je	0.0450731	0.0401176	0.0233596	0.0374367	0.0274004	0.0341825	0.0256652	0.0271618	0.0158566	0.0150676	0.0155901	0.0117611	0.0151156	0.0283324	0.0228763	0.0145717	0.0241108	0.0556081	0.0575375	0.0398974	0.0338777	0.0549922	0.0422557	0.0338595	0.0298689	0.0396368	0.0268377	0.0190551	0.00914989	0.00695062	0.00674315	0.00692125	0.0126332	0.013911	0.0113044	0.0133101	0.00995515	0.00898862	0.0128552	0.0122206	0.0179513
ne	0.0359038	0.0243742	0.0505805	0.0383511	0.037644	0.0372213	0.026117	0.017249	0.0254543	0.023856	0.0189262	0.0227912	0.0262451	0.0209417	0.0314313	0.0352321	0.0491176	0.0456767	0.0419385	0.0400018	0.0218913	0.0166898	0.0117609	0.0124632	0.0120371	0.00850362	0.0166405	0.0102427	0.0138678	0.0154976	0.0110176	0.0132363	0.0103628	0.0118499	0.0161456	0.0186193	0.0193862	0.0225858	0.0202955	0.0332485	0.0346046
suis	0.0343254	0.0172088	0.0262029	0.0206884	0.0192433	0.029177	0.0180918	0.0269867	0.0568015	0.0518597	0.0468654	0.036659	0.0481762	0.0333807	0.0538894	0.0736309	0.0575606	0.0246853	0.0207238	0.0177293	0.00737431	0.00502898	0.00387836	0.0138744	0.00928369	0.00407687	0.00449187	0.00387712	0.00698177	0.00406215	0.00739037	0.00409769	0.0071529	0.0100911	0.0149422	0.0214733	0.0173926	0.0328081	0.0167136	0.0549379	0.0361848
plus	0.0583386	0.0606044	0.0406031	0.0314855	0.0239558	0.0157753	0.0132984	0.0077571	0.00863059	0.00724542	0.00455476	0.00513235	0.00501352	0.00435129	0.00703204	0.00880646	0.0112847	0.0205731	0.018427	0.0106394	0.00979517	0.00969232	0.0134897	0.0136059	0.0196353	0.02664	0.036047	0.0504863	0.0199758	0.0199754	0.0266272	0.0304504	0.0322354	0.0383794	0.040973	0.0425132	0.0402557	0.0421091	0.038088	0.0382368	0.0472801
parti	0.0837338	0.0599722	0.0406742	0.0444556	0.04134	0.0323167	0.0379822	0.0341629	0.0278379	0.027843	0.0130745	0.0148656	0.0119921	0.0112886	0.0172115	0.0255101	0.021599	0.030933	0.0240554	0.0203659	0.021226	0.0188527	0.0234212	0.0211857	0.0225961	0.0185704	0.01748	0.014532	0.0109842	0.00852249	0.0115333	0.0101787	0.00861075	0.0122051	0.0149382	0.0189571	0.0206178	0.0275949	0.0214483	0.0286094	0.0267214
en	0.057183	0.0487038	0.0361024	0.0271185	0.024193	0.0109318	0.0134073	0.0101057	0.00984189	0.0112941	0.0124997	0.00672824	0.0112818	0.0104124	0.0127554	0.0156244	0.0182865	0.0275634	0.0140974	0.0169578	0.0240679	0.029852	0.034803	0.0445374	0.0370494	0.0273191	0.0204551	0.0340813	0.019959	0.0215105	0.0245889	0.0352929	0.0263001	0.0317855	0.027432	0.0424407	0.0301256	0.0424071	0.0221891	0.0176094	0.0111057
voyage	0.0468098	0.028625	0.0182019	0.0165962	0.0133873	0.00952423	0.0161681	0.0178761	0.0129974	0.0137165	0.0158565	0.00990909	0.0131064	0.0125084	0.0182489	0.0221361	0.0215112	0.0291399	0.0175417	0.0202378	0.0210948	0.0205044	0.0217285	0.0269496	0.0212605	0.0265854	0.0126476	0.0275277	0.0287368	0.0218877	0.030624	0.0330407	0.0396494	0.0468182	0.0440286	0.0487776	0.0398459	0.0447702	0.0329898	0.0223752	0.0140591
car	0.100179	0.0637597	0.0734011	0.0371748	0.0451145	0.0306546	0.03041	0.0169263	0.0153167	0.01593	0.0150223	0.00842398	0.015897	0.0156929	0.0141114	0.0163922	0.0171835	0.019316	0.0147447	0.00942778	0.00929548	0.0131522	0.0115457	0.0147196	0.012442	0.0132406	0.00842496	0.00810982	0.00686065	0.00536914	0.0112113	0.0110464	0.0215073	0.0232796	0.0274188	0.0296191	0.02808	0.0432524	0.0461632	0.034101	0.0460825
mon	0.0613496	0.0331649	0.0280497	0.0178654	0.0152964	0.0115973	0.0107304	0.0112113	0.010426	0.0099795	0.0100899	0.00750305	0.00920359	0.00983449	0.00954661	0.0156645	0.0138526	0.0165743	0.0140066	0.00838083	0.00630492	0.00860987	0.00809403	0.0138589	0.0133829	0.0158997	0.00972478	0.00916565	0.0154038	0.0147714	0.0335369	0.0237476	0.0507956	0.0446152	0.0482233	0.0605845	0.0549732	0.0638524	0.0647669	0.0593651	0.0559963
oncle	0.0241394	0.0146343	0.010792	0.00836172	0.00815773	0.00594538	0.0115016	0.00969848	0.00930334	0.00986808	0.0152438	0.0111396	0.0152753	0.0153676	0.0126987	0.0202909	0.0157409	0.0310431	0.0234319	0.0198783	0.0269537	0.0295373	0.0335582	0.044205	0.0320515	0.0343781	0.0151512	0.0149944	0.035558	0.0187967	0.027699	0.0182629	0.0390745	0.0495494	0.0367131	0.0493426	0.0416308	0.0510576	0.0476808	0.0413584	0.0199345
m'	0.067908	0.0416505	0.0496575	0.034112	0.028155	0.0193685	0.019102	0.0167559	0.0213831	0.0235461	0.0163813	0.0183835	0.0199818	0.0203733	0.0304192	0.0361069	0.0355005	0.0238053	0.0232452	0.0163559	0.00715578	0.00874784	0.00769075	0.0206263	0.0128181	0.00866815	0.00397263	0.00341427	0.00915019	0.00548547	0.00826875	0.00637198	0.0106699	0.0152117	0.0247138	0.0367149	0.0347075	0.0545847	0.046015	0.0745588	0.038262
a	0.0271777	0.0199137	0.0228202	0.0161801	0.017738	0.013819	0.0198009	0.0165645	0.019208	0.0223533	0.0264436	0.0185243	0.0293752	0.0275626	0.027193	0.0331007	0.038843	0.0312504	0.0291565	0.0243577	0.0144403	0.0146605	0.0120117	0.0211397	0.0131913	0.0101722	0.00505968	0.00430137	0.0104066	0.00650713	0.00929758	0.00641848	0.0148071	0.0183714	0.030324	0.049433	0.0405996	0.045191	0.05633	0.0751885	0.0607667
retenu	0.0362927	0.0197837	0.022935	0.0134272	0.0107786	0.00816244	0.00806907	0.0080514	0.00891279	0.0100955	0.00953172	0.00785771	0.0126245	0.0106412	0.0135603	0.0138749	0.0165647	0.0192543	0.0193642	0.0204585	0.0128358	0.0154057	0.0138136	0.0211964	0.0217863	0.0260349	0.00736659	0.00689238	0.0139208	0.0118737	0.0157053	0.0104752	0.0206145	0.0295462	0.0437633	0.0584375	0.0647354	0.075005	0.0794137	0.0827089	0.0782285
</S>	0.0444424	0.026913	0.0220053	0.0174788	0.0137593	0.0142331	0.0156583	0.0144215	0.0137721	0.0147791	0.012512	0.00904778	0.0118632	0.00972802	0.0129123	0.0119239	0.013471	0.0170061	0.01422	0.0137254	0.0121905	0.0124235	0.0134832	0.0171688	0.0160248	0.0194467	0.00882233	0.00875298	0.0146562	0.0139552	0.0197533	0.0174255	0.0295022	0.0388358	0.0492241	0.0666202	0.0593681	0.0630304	0.0642433	0.0643994	0.0668005
