 	a66	a87	a23	a13	a53	a15	a98	a5	a12	a75	a85	a47	a36	a79	a37	a75	a85	a6	a36	a26	a21	a12	a18	a82	a87	a23	a99	a30	</S>
la	0.0504075	0.0716788	0.0591748	0.0577298	0.0465343	0.0673229	0.0252665	0.0258812	0.0182142	0.0172315	0.0226886	0.0214532	0.0106679	0.0111078	0.00881956	0.0219853	0.016624	0.0257258	0.0227538	0.0420365	0.0379218	0.0260368	0.0278098	0.0398031	0.0338603	0.0469793	0.0316906	0.0382786	0.0743155
pluie	0.00805578	0.0147038	0.0136442	0.0161403	0.0212464	0.0509332	0.143723	0.303859	0.210351	0.0879701	0.0586328	0.0145994	0.0290082	0.0138527	0.00410969	0.00241523	0.000567906	0.000569453	0.000845167	0.000496384	0.000467352	0.000268477	0.000474598	0.000257366	0.00057523	0.000712287	0.000219019	0.000567093	0.000734564
qui	0.180192	0.145683	0.142369	0.087295	0.0513664	0.0471859	0.046642	0.0217254	0.0516617	0.0671878	0.0455995	0.0109721	0.0251839	0.00678257	0.0046444	0.00416355	0.00231501	0.00164236	0.00206662	0.00212451	0.00186694	0.00107492	0.00317154	0.00279824	0.0103087	0.0072793	0.00833834	0.00957002	0.00878818
est	0.148481	0.0485302	0.0282066	0.0147384	0.00889566	0.00688706	0.00755217	0.00668253	0.0099902	0.0104544	0.0175851	0.0111821	0.0154239	0.0098469	0.00866955	0.0201312	0.0138587	0.0164494	0.0114472	0.0125475	0.0190391	0.0200895	0.0212544	0.0282134	0.0439265	0.0698209	0.0787246	0.11039	0.180982
tombée	0.0932462	0.0471183	0.0319131	0.0342269	0.0291586	0.0195705	0.0101862	0.0121856	0.01392	0.0187563	0.0159389	0.0149995	0.0166654	0.0131313	0.0179504	0.0214129	0.0223284	0.0245149	0.0155155	0.0203737	0.0387768	0.0583731	0.0499836	0.0435164	0.0342062	0.0444331	0.0499373	0.0587072	0.128954
hier	0.0631915	0.055244	0.0269653	0.0217697	0.0203477	0.00987417	0.00819938	0.00698099	0.0174451	0.0289569	0.0214792	0.025119	0.0259622	0.024563	0.0231709	0.0487964	0.0318895	0.0370021	0.0320499	0.0376372	0.0412702	0.0371889	0.0480361	0.0590007	0.0377519	0.0462658	0.0572398	0.0293125	0.0772898
contenait	0.0788906	0.0402824	0.023034	0.0159724	0.0116435	0.0106902	0.0125894	0.0126727	0.0305561	0.0275181	0.0172347	0.0186659	0.0187445	0.0162422	0.0116963	0.0328155	0.0226486	0.0291778	0.0342683	0.0314579	0.0337573	0.0382837	0.0423627	0.057016	0.0738474	0.0763896	0.0698879	0.0426842	0.06897
de	0.0906672	0.0425131	0.0387867	0.0224089	0.0171216	0.0143903	0.0135875	0.0133627	0.0152947	0.0180536	0.0193264	0.0234145	0.0192158	0.0155174	0.0229704	0.0181574	0.0292422	0.0118998	0.0221758	0.0271883	0.0220975	0.0406499	0.0171277	0.0692444	0.0444666	0.0660455	0.0697504	0.0564581	0.118865
la	0.041653	0.0229365	0.0158839	0.0136804	0.0104721	0.00975516	0.00924366	0.0115463	0.0165605	0.0176851	0.0149246	0.0147597	0.0100511	0.0106159	0.0122511	0.0202966	0.0201684	0.0251303	0.0313083	0.0222384	0.0261992	0.0350159	0.0215264	0.0428766	0.0684336	0.0743676	0.105064	0.116254	0.159101
grêle	0.0284547	0.0247173	0.0165055	0.012567	0.00858099	0.00558834	0.00305001	0.00469491	0.0129559	0.021551	0.0142162	0.0137476	0.0114418	0.0137118	0.0145301	0.0304076	0.0261669	0.0250526	0.0406628	0.0246538	0.028188	0.0432185	0.0195392	0.044644	0.0667803	0.0987788	0.100999	0.0966492	0.147946
</S>	0.0704159	0.0703381	0.0458931	0.0290828	0.0325911	0.0376817	0.0167639	0.0292027	0.0215044	0.0178561	0.0245372	0.0204376	0.0243428	0.0227232	0.0215121	0.0463343	0.029105	0.0125874	0.018451	0.03437	0.0295282	0.0242554	0.0361996	0.0210775	0.0417065	0.0736302	0.042586	0.048072	0.0572142
