 	a82	a87	a23	a10	a57	a87	a79	a15	a20	a15	a98	a85	a92	a98	a47	a15	a36	a90	a69	a53	a69	a20	a98	a79	a25	a69	a20	a54	a47	a36	a2	a57	a87	a23	a87	a97	</S>
quand	0.0473873	0.0491858	0.0377045	0.0540232	0.0410919	0.0441544	0.0697626	0.0854924	0.0638958	0.0822686	0.068734	0.054511	0.0321131	0.044614	0.0205698	0.021412	0.0194496	0.0182808	0.006946	0.00400043	0.0042542	0.00276707	0.00224694	0.00279132	0.00525337	0.00260429	0.00577548	0.00423729	0.00649546	0.00691095	0.00816753	0.0121616	0.00867633	0.00806253	0.00854645	0.0147551	0.0306972
les	0.013714	0.010075	0.00835189	0.015287	0.0126934	0.0232852	0.0288051	0.0430737	0.0374829	0.0477361	0.0320219	0.0186385	0.0567202	0.0512896	0.0351626	0.06482	0.0692704	0.0651097	0.0231857	0.0182659	0.021644	0.0232225	0.0103838	0.0105354	0.0131746	0.0170159	0.00850271	0.00971374	0.0100772	0.0113619	0.0216446	0.0182719	0.0261013	0.0310931	0.0373979	0.0290376	0.025833
gens	0.0287014	0.016772	0.0141962	0.0122988	0.010022	0.00756951	0.00802797	0.00623847	0.0147647	0.0367578	0.0417688	0.0514056	0.0957048	0.0629571	0.0984445	0.0975567	0.11443	0.0679613	0.0179921	0.00774664	0.00594445	0.00467892	0.00354912	0.0051546	0.00714102	0.00388846	0.00510379	0.00743563	0.0130911	0.00820802	0.0096988	0.0116121	0.0182502	0.0168034	0.0269513	0.0186576	0.0225147
se	0.036911	0.0133214	0.012364	0.00680338	0.0106776	0.0082113	0.00492187	0.00428227	0.00409268	0.0062375	0.0096929	0.00836636	0.0186911	0.012018	0.0166893	0.0145412	0.0202901	0.0199381	0.0171974	0.0267195	0.0232794	0.0403492	0.030457	0.0604892	0.0478455	0.0380916	0.0440936	0.0566066	0.0679226	0.0648976	0.0446928	0.049961	0.0357272	0.0314039	0.0271037	0.0268703	0.0382417
disputent	0.0540577	0.0272621	0.0296672	0.027102	0.016501	0.0285304	0.0136849	0.0156637	0.0095373	0.0119312	0.00990853	0.0180551	0.0201547	0.0179568	0.0213654	0.0203108	0.0228078	0.0252156	0.0187992	0.0167517	0.0129625	0.0149945	0.0153874	0.0198362	0.030614	0.0156098	0.0102203	0.0310819	0.0774377	0.0361927	0.0343784	0.0369524	0.055206	0.0677709	0.0329662	0.0486838	0.0344422
il	0.0927164	0.0511248	0.0339359	0.0442094	0.031603	0.0370205	0.03007	0.0314581	0.0217052	0.0219938	0.0359153	0.025336	0.0557314	0.0409635	0.0257614	0.0313072	0.0291789	0.027367	0.0107545	0.00906838	0.0105204	0.0135636	0.00841523	0.0158183	0.0251953	0.010826	0.00729453	0.0140489	0.0316035	0.0225978	0.0224578	0.0215962	0.0274409	0.0167525	0.0223249	0.016541	0.0257826
ne	0.0141501	0.00851043	0.00713896	0.00869097	0.00761053	0.0139621	0.0141557	0.0139177	0.018345	0.0171526	0.021108	0.0207468	0.0248629	0.0396875	0.0322748	0.0331865	0.0278366	0.0126686	0.00713424	0.00414119	0.00404407	0.00889546	0.00762059	0.0204526	0.0268589	0.0206348	0.0174025	0.04798	0.0885513	0.103143	0.0637382	0.0601923	0.0490173	0.0387833	0.0333778	0.0341043	0.0279223
faut	0.0186411	0.0126698	0.0137513	0.01438	0.0154605	0.022406	0.0243068	0.0185562	0.0213054	0.0173041	0.0166851	0.0159826	0.0211275	0.0287901	0.0312454	0.0270757	0.022475	0.0152201	0.011319	0.0125326	0.00740812	0.00634595	0.00510599	0.0123826	0.0156593	0.0178939	0.023025	0.0485494	0.059464	0.0753253	0.0725623	0.0605782	0.0621557	0.0530682	0.0316895	0.0425875	0.0249645
pas	0.0212007	0.0215781	0.0262951	0.0319956	0.034441	0.043094	0.0440023	0.0389922	0.0352993	0.0275307	0.0204379	0.0298278	0.0141257	0.0339237	0.0221714	0.0192252	0.0141069	0.00953119	0.0102526	0.00703685	0.00531719	0.00503621	0.00250392	0.00591033	0.0106029	0.0136472	0.0179677	0.0336504	0.044692	0.0446831	0.0336851	0.0342306	0.0338348	0.0327453	0.0288948	0.0656829	0.0818474
attiser	0.0140358	0.0139778	0.0170776	0.0196745	0.0254019	0.0499916	0.0449782	0.0391299	0.032137	0.0315215	0.0223044	0.0364923	0.0219012	0.0302209	0.0245969	0.0247348	0.0204991	0.0158657	0.014781	0.0115705	0.00765396	0.00710728	0.0034761	0.00999557	0.0158017	0.0122352	0.0118653	0.0157098	0.0238376	0.018441	0.0192459	0.0279567	0.033313	0.030696	0.0322407	0.0876773	0.131854
la	0.0342717	0.0116923	0.00702835	0.0152485	0.0157482	0.0343421	0.0226346	0.0216331	0.011758	0.0155747	0.0126517	0.0054517	0.0122982	0.0205288	0.00845946	0.0217355	0.0120659	0.00772309	0.00572023	0.00433712	0.00423117	0.00489408	0.00323314	0.00495163	0.00903087	0.0132182	0.0268467	0.0275501	0.0393812	0.0339641	0.0357639	0.0342156	0.0548657	0.0576358	0.0499268	0.0951178	0.20427
querelle	0.0414498	0.00931025	0.00695185	0.00824849	0.00839062	0.0218174	0.0112781	0.0145782	0.00773204	0.00921171	0.00904706	0.00799975	0.00929348	0.0165053	0.018276	0.0152607	0.00788408	0.00748172	0.00875824	0.00629509	0.00426183	0.00380093	0.00415541	0.00469164	0.00639991	0.00640472	0.0115685	0.0117577	0.0271101	0.0173132	0.0352814	0.0507112	0.106128	0.0723528	0.0844061	0.123896	0.18399
</S>	0.0137254	0.00580667	0.00514339	0.00991245	0.0105473	0.0318868	0.0224147	0.0218718	0.0141112	0.0195325	0.0181825	0.0126235	0.0284617	0.0233403	0.0141059	0.0250176	0.0157095	0.00668487	0.00700443	0.00293465	0.00355845	0.00474103	0.00289091	0.00470428	0.00795457	0.00813438	0.00939431	0.0069079	0.0161166	0.0324159	0.041381	0.0383235	0.0538302	0.0717762	0.0551906	0.105665	0.227998
