 	a82	a10	a87	a23	a87	a23	a58	a82	a53	a4	a57	a53	a4	a99	a4	a94	a38	a4	a70	a44	a7	a44	a4	a13	a53	a96	a70	a50	a83	a54	a73	a56	a96	a44	a35	a54	a6	a37	a27	a11	a31	a62	a83	a9	a99	a87	a23	a87	a23	a87	a23	a87	</S>
le	0.0150197	0.0151717	0.0191553	0.0109238	0.0150133	0.0159947	0.0178961	0.0159443	0.0190634	0.0080591	0.0251749	0.0210683	0.0193214	0.038889	0.062835	0.0502739	0.072101	0.0723626	0.0697605	0.045649	0.0544069	0.0475914	0.0314831	0.019571	0.0299061	0.00836159	0.00938649	0.00430139	0.00585802	0.00586857	0.00402477	0.00508793	0.00410438	0.00480444	0.00425173	0.0047347	0.00325811	0.00662305	0.00717764	0.00840699	0.00823765	0.00763923	0.00669778	0.00912609	0.00973292	0.00575469	0.00422926	0.00585185	0.00808306	0.00656746	0.00784928	0.00647606	0.0148693
vent	0.000763656	0.00406387	0.00523878	0.0039271	0.0102952	0.0121882	0.0212583	0.0370744	0.0735053	0.0974132	0.164322	0.207957	0.0829955	0.0493941	0.033443	0.0206286	0.0327719	0.0211654	0.0165448	0.00787889	0.00647572	0.00515495	0.00269278	0.00266588	0.00290187	0.00523326	0.00473822	0.00474982	0.00820292	0.00885429	0.00577831	0.00375109	0.00678597	0.00533757	0.00399203	0.00412639	0.00294841	0.00148452	0.00125314	0.000869698	0.000942941	0.000836512	0.000661481	0.000689025	0.00061104	0.000516951	0.000643458	0.000418304	0.000551982	0.000670493	0.000819765	0.000682744	0.00112987
soufflait	0.020088	0.0138188	0.0194241	0.0141051	0.0116299	0.0129338	0.0145118	0.0281466	0.0150766	0.0130723	0.0412023	0.0437256	0.0693661	0.0339336	0.0572	0.0264679	0.0298555	0.0377363	0.0186802	0.0377882	0.0422305	0.0458349	0.0358139	0.0389423	0.0675286	0.0363897	0.034619	0.0221098	0.0269884	0.0140896	0.0135386	0.0093457	0.00532981	0.0068695	0.00470424	0.00183912	0.00318474	0.00160387	0.00152035	0.00202454	0.00233778	0.00243963	0.00129938	0.00303661	0.00308225	0.0022316	0.000861824	0.00148874	0.00179019	0.0014996	0.0022716	0.00338379	0.00100713
et	0.0198391	0.0150443	0.0192571	0.0101036	0.00862289	0.0108677	0.0109494	0.0221742	0.0092561	0.00604822	0.0269525	0.0238789	0.0506126	0.0405164	0.0514367	0.0585189	0.0474952	0.0460736	0.0302412	0.0604848	0.0598438	0.0426874	0.0279508	0.0319205	0.0205823	0.0152461	0.0112909	0.013892	0.0135544	0.011834	0.0111656	0.011027	0.00944242	0.0124429	0.00839236	0.00542682	0.00471488	0.00266795	0.00166552	0.00157723	0.00198316	0.00248721	0.00511486	0.00554128	0.00675494	0.00954417	0.0112894	0.00899558	0.00989254	0.0120205	0.00852039	0.0190436	0.0131141
le	0.0186905	0.0126134	0.0121096	0.00864077	0.00909636	0.00728571	0.0104979	0.0265937	0.0217068	0.0138953	0.0178483	0.0172952	0.022086	0.0320606	0.0330627	0.0677868	0.050805	0.0379147	0.0401008	0.0724332	0.0428583	0.0569738	0.0502722	0.048696	0.0287254	0.0149977	0.0181947	0.0208814	0.00989256	0.00904994	0.00468142	0.00470722	0.0042255	0.0021673	0.00252502	0.00222003	0.00259384	0.00263797	0.002515	0.00343908	0.00416332	0.00391523	0.00324593	0.00753728	0.00437831	0.0070099	0.00908894	0.0106893	0.012813	0.0161142	0.00917798	0.0346921	0.0123967
voyageur	0.00668234	0.00703973	0.00738635	0.0085002	0.0100286	0.0117108	0.0135111	0.017698	0.0158555	0.0137838	0.0161896	0.0142354	0.0200216	0.0283833	0.0216088	0.0242565	0.0230217	0.0198172	0.0166179	0.0400927	0.0302718	0.0788651	0.0943208	0.0832458	0.0591133	0.0506887	0.0369476	0.0369197	0.0155442	0.019227	0.0169335	0.0190719	0.0165566	0.0149768	0.00931335	0.00568842	0.00650721	0.00585676	0.00559847	0.00576882	0.00721626	0.00605409	0.00285308	0.00358464	0.00255354	0.00282261	0.00335981	0.00290013	0.00519108	0.00361525	0.00260669	0.00692338	0.00246256
avait	0.012122	0.0121851	0.0126869	0.0157353	0.017134	0.0148692	0.0143772	0.0173087	0.00906009	0.00851283	0.00968351	0.00421397	0.0165815	0.0137252	0.0127683	0.0141132	0.0111405	0.00900555	0.0109602	0.0253889	0.0180736	0.0412705	0.0629999	0.0599106	0.0571684	0.044735	0.0361434	0.0357148	0.0182918	0.0226923	0.0142072	0.0155116	0.0135255	0.0133195	0.0109098	0.0067498	0.00767729	0.00973157	0.00987009	0.00986294	0.0190694	0.0170092	0.0106243	0.0181064	0.0124475	0.0110363	0.0111629	0.0150348	0.0246407	0.0226082	0.0144669	0.036294	0.0175614
de	0.024733	0.0199631	0.0230103	0.0276957	0.0280762	0.0245068	0.0270763	0.0230512	0.0149801	0.0127952	0.0181201	0.0100602	0.0249426	0.0189288	0.0195409	0.0204651	0.0134822	0.0101128	0.0137675	0.0182928	0.0132446	0.0144466	0.0208965	0.0244033	0.0233027	0.024639	0.0275459	0.0210415	0.00902875	0.00793278	0.00721352	0.00803653	0.00881328	0.0114094	0.0184378	0.0135538	0.0128882	0.0107504	0.01094	0.0124977	0.0181179	0.0155612	0.0103892	0.0184478	0.0193075	0.0182273	0.01822	0.0182696	0.0265454	0.0313213	0.0267812	0.0623681	0.0218199
plus	0.0208534	0.0187633	0.0178925	0.0174353	0.0201658	0.0132671	0.0124409	0.00886404	0.00486272	0.00259087	0.00474153	0.0040702	0.00868071	0.0167869	0.0125464	0.0215174	0.0191877	0.0104429	0.0263664	0.0218692	0.0217248	0.019175	0.0303727	0.0278787	0.0237777	0.019546	0.0256283	0.0181296	0.0091756	0.0103899	0.00999395	0.0113332	0.00971523	0.0116297	0.0142992	0.0122775	0.0115887	0.00904606	0.0103761	0.0146321	0.020136	0.0178976	0.0191851	0.0328566	0.0229063	0.0162492	0.0248827	0.0221668	0.0375653	0.0421405	0.0288102	0.0603207	0.0508478
en	0.0126937	0.0125842	0.0117734	0.0108273	0.0121678	0.00927725	0.0106323	0.00888765	0.00504006	0.00331394	0.00674969	0.00942467	0.0161089	0.0258709	0.0234606	0.0309731	0.0295119	0.0254861	0.0464321	0.0361287	0.0341533	0.0193713	0.0253807	0.0200728	0.0206344	0.0155511	0.018518	0.0122741	0.00868009	0.00834889	0.00748009	0.00778163	0.00913034	0.011082	0.0147432	0.0116616	0.0110245	0.0096491	0.00873149	0.00948323	0.0120971	0.0111835	0.00980961	0.0261598	0.0200809	0.0164551	0.0239074	0.0243048	0.0412304	0.0416359	0.0315932	0.0645255	0.0459204
