 	a23	a79	a20	a30	a35	a24	a25	a38	a14	a35	a41	a32	a71	a38	a41	a43	a11	a75	a14	a30	a57	a87	a23	a38	a76	a94	a58	a57	a53	a76	a41	a30	a57	a87	a23	a24	a98	a25	a38	a62	a41	a14	a35	a14	a73	a44	a58	a82	a38	a53	a20	a84	a87	</S>
il	0.00925915	0.0170222	0.0289188	0.0508172	0.0602269	0.11004	0.0367933	0.16284	0.125939	0.13349	0.0645138	0.0334086	0.0372972	0.0163616	0.00843081	0.00797374	0.0109666	0.0047164	0.00784347	0.00583535	0.00301379	0.00171755	0.00120649	0.0011103	0.000780055	0.000643214	0.000773685	0.000852892	0.000749972	0.00085836	0.00124591	0.00121064	0.00106858	0.00113414	0.00103591	0.00127454	0.00161606	0.00118213	0.00150623	0.00243646	0.00264861	0.00143845	0.00203135	0.00183724	0.0017933	0.00210877	0.00190633	0.00135448	0.002704	0.00312834	0.00367587	0.00593893	0.00366769	0.00765631
a	0.000780537	0.00116474	0.00173575	0.00322961	0.00544458	0.0178333	0.0183151	0.020262	0.0306057	0.0260845	0.0187873	0.013949	0.046474	0.0370594	0.0271346	0.0402011	0.0385657	0.0124288	0.0193603	0.0218195	0.0313804	0.0155877	0.0199634	0.0354511	0.0290676	0.0406061	0.0310687	0.0232233	0.0115866	0.0100899	0.0245778	0.0173212	0.0120744	0.0189014	0.0184647	0.0101908	0.00576934	0.00850583	0.00598288	0.00710267	0.00658836	0.0133455	0.0152879	0.0157701	0.012278	0.0170573	0.0173437	0.0211985	0.019713	0.0160055	0.0207709	0.0203763	0.0142883	0.0118253
mis	0.0108294	0.00620915	0.0063301	0.00398834	0.0117002	0.0214916	0.0231429	0.0179407	0.040876	0.0416358	0.0384322	0.050457	0.0370307	0.0251191	0.0349749	0.0344871	0.0348088	0.0136717	0.00990197	0.0152391	0.0133984	0.0146943	0.0114782	0.00772284	0.00475499	0.00376995	0.00459108	0.00571408	0.00446308	0.0043685	0.00395578	0.0035218	0.00318288	0.00458113	0.00350392	0.00236766	0.00223421	0.00305298	0.00282951	0.00460812	0.00470763	0.00803542	0.0134807	0.0183584	0.0181053	0.030312	0.0225273	0.0511628	0.0341015	0.0620322	0.0279344	0.0354577	0.0411734	0.0455511
un	0.0331362	0.0208379	0.0127989	0.0118966	0.0211264	0.0188304	0.0282583	0.014902	0.00884919	0.0151081	0.0127294	0.0147779	0.0209941	0.0205204	0.0226535	0.0446529	0.0319568	0.0239195	0.0357793	0.0374669	0.0294263	0.0238326	0.023543	0.0228983	0.0213663	0.0222063	0.0244078	0.0236503	0.0276298	0.0221574	0.0194052	0.0168747	0.0184007	0.0177141	0.018252	0.023443	0.00767568	0.0157237	0.0116231	0.0267092	0.0153132	0.0149365	0.0111919	0.0157039	0.0105197	0.0088967	0.0120285	0.010414	0.00922102	0.00793223	0.00375901	0.00366772	0.00386467	0.00441659
appât	0.0122348	0.00990785	0.00635639	0.00694096	0.00871744	0.018121	0.0189304	0.0129169	0.0130452	0.0127815	0.0108513	0.0125318	0.0256379	0.0270058	0.0334535	0.0365133	0.0268099	0.023267	0.0190973	0.0265116	0.0321075	0.0274275	0.0237279	0.0198173	0.0245029	0.0264169	0.0305433	0.0315198	0.0439725	0.0382176	0.0226963	0.021757	0.0264813	0.0333239	0.0282653	0.029635	0.0148048	0.0200602	0.0124505	0.0206487	0.0169792	0.00998752	0.0094359	0.00857531	0.00624109	0.00925815	0.01306	0.00908931	0.00457325	0.00460652	0.00608145	0.00470506	0.00299578	0.00440324
sur	0.0198542	0.018551	0.012714	0.0182136	0.0127125	0.0188446	0.0365226	0.0227212	0.0344502	0.0293252	0.0204637	0.0213464	0.0232877	0.0394092	0.0286293	0.0510184	0.0326781	0.0349902	0.0316758	0.0466593	0.029791	0.0314587	0.0191512	0.0261904	0.0275301	0.0229927	0.0236627	0.0183085	0.0200178	0.0156961	0.0125724	0.0157084	0.0129351	0.0148505	0.0112901	0.0141096	0.00508204	0.0131265	0.00441577	0.0132544	0.0109249	0.00918999	0.00773115	0.00554406	0.00257971	0.00749171	0.00884211	0.00739777	0.00529871	0.00521375	0.00679104	0.00597455	0.00329467	0.00751475
le	0.0646877	0.0578071	0.0277277	0.0241562	0.0175125	0.0273627	0.0357343	0.0261956	0.0461343	0.05362	0.0352245	0.0326881	0.0197881	0.0226009	0.0132678	0.0103648	0.00866654	0.0092998	0.00700393	0.00721423	0.0089657	0.00430352	0.00467585	0.00757591	0.004698	0.00987571	0.00680864	0.00622114	0.00591911	0.00667544	0.0121158	0.0115926	0.00770736	0.00904996	0.00850406	0.013946	0.00607377	0.006568	0.00613289	0.0111275	0.0191458	0.00794578	0.00840799	0.00967014	0.00603485	0.0182397	0.0135813	0.010804	0.0117023	0.0165859	0.00912002	0.0296274	0.0275675	0.105973
piège	0.0271514	0.0168811	0.00885922	0.00631021	0.00571903	0.0157833	0.0110208	0.0141423	0.0278204	0.0243203	0.0280556	0.0328865	0.0368146	0.0562868	0.0325408	0.0521483	0.0387197	0.0174864	0.0412066	0.0325349	0.035782	0.0233378	0.0155275	0.0188783	0.0173415	0.0175842	0.0199027	0.0171347	0.0190502	0.0157583	0.0111004	0.0113089	0.00922462	0.0104186	0.00836742	0.00686762	0.00483524	0.00755207	0.00688931	0.0108998	0.0263063	0.0147612	0.0122548	0.0137524	0.0174276	0.0155931	0.0162337	0.0104336	0.0098413	0.0129304	0.0113625	0.0132151	0.0047812	0.00665733
pour	0.0264055	0.0295446	0.0186845	0.0103585	0.0126254	0.0152829	0.00919981	0.0110297	0.0227373	0.0261271	0.0211187	0.0227725	0.0242619	0.0197192	0.0209186	0.0206448	0.0173599	0.0128584	0.0163996	0.0149821	0.0302635	0.0110459	0.0220426	0.0247792	0.0154868	0.0223817	0.02133	0.0250806	0.0227428	0.0245939	0.0273343	0.0294505	0.0261975	0.0270259	0.0176065	0.010546	0.00904405	0.00812281	0.00534351	0.0065887	0.0140801	0.00633965	0.00504709	0.00849919	0.00706262	0.0112004	0.0123175	0.0123794	0.0186796	0.0167172	0.0171951	0.0341633	0.0285846	0.0476963
attraper	0.0201074	0.0133125	0.0135644	0.00841426	0.0191858	0.0219325	0.00883277	0.0115232	0.0330935	0.0291424	0.0243938	0.0343319	0.0207538	0.0137831	0.0123373	0.0112972	0.0119278	0.00860142	0.0111412	0.00913588	0.0225385	0.010216	0.0200584	0.020171	0.0135723	0.0184747	0.020178	0.0218137	0.0231759	0.0223878	0.0265469	0.0255121	0.022374	0.0254898	0.0230603	0.0131677	0.0109506	0.00912633	0.00737985	0.0138962	0.0194189	0.0107034	0.0116846	0.0196856	0.0203194	0.0199266	0.0155444	0.0196257	0.0217693	0.023366	0.013913	0.0324285	0.0295268	0.0351855
