 	a66	a87	a23	a79	a4	a44	a54	a47	a37	a34	a98	a85	a92	a37	a93	a44	a11	a12	a96	a94	a93	a13	a9	a99	a87	a23	a87	</S>
celui	0.0308754	0.04908	0.0346562	0.0454001	0.0782477	0.105814	0.129426	0.0738866	0.036251	0.0160773	0.0185995	0.0151813	0.00908138	0.00726925	0.00874931	0.00689163	0.00673073	0.00924104	0.0190536	0.0223536	0.0311705	0.0301674	0.0430662	0.0429189	0.0476068	0.0334338	0.0214474	0.0273231
qui	0.0291579	0.0213038	0.0123127	0.018774	0.0214326	0.0326498	0.0570902	0.0699817	0.0647942	0.0717873	0.0443487	0.0529917	0.0399946	0.032327	0.0255427	0.0230464	0.0139043	0.0194215	0.0508533	0.0337044	0.0388516	0.0401752	0.0381078	0.0296405	0.0326078	0.0255544	0.0344558	0.025188
caresse	0.0541972	0.0476813	0.032553	0.0264668	0.0182927	0.0191523	0.0271264	0.0368954	0.0437265	0.0693558	0.0366194	0.0254827	0.00719539	0.00663661	0.00536431	0.00534768	0.0111724	0.0073238	0.00884469	0.0101285	0.0156462	0.0193273	0.0318784	0.0456255	0.0644853	0.0547856	0.112656	0.156033
l'	0.0605862	0.0511642	0.028251	0.0343478	0.0275885	0.0264639	0.0237359	0.022019	0.0193117	0.0271112	0.0430962	0.0300675	0.029895	0.021567	0.0132716	0.0150676	0.0176471	0.0159859	0.014312	0.0304479	0.0359922	0.0633192	0.0487685	0.0663508	0.0435575	0.0501766	0.0554791	0.084419
enfant	0.0926056	0.05379	0.0370849	0.0275517	0.0280877	0.0326611	0.023008	0.0197804	0.0124725	0.0151969	0.025588	0.0184081	0.0157954	0.0139107	0.00910896	0.00785476	0.0118424	0.0105945	0.0118173	0.0164952	0.0213542	0.0511217	0.0737604	0.106747	0.078245	0.0398038	0.0739062	0.071408
en	0.0605513	0.0341776	0.0286957	0.0303327	0.0302829	0.0327238	0.0152617	0.0177733	0.0200563	0.0288102	0.0224253	0.0217615	0.0152076	0.00755518	0.00491272	0.00352635	0.0119715	0.0193545	0.0255903	0.0436577	0.0500658	0.065699	0.079977	0.0687754	0.0845787	0.0572787	0.0593197	0.0596778
premier	0.0625917	0.0500773	0.0381266	0.0249558	0.0337422	0.044595	0.0415753	0.0353606	0.0284365	0.0319932	0.025538	0.0192974	0.00766102	0.00673655	0.00629197	0.0050713	0.0139741	0.0106249	0.0156421	0.0108983	0.0196338	0.026184	0.0479107	0.0552603	0.0736091	0.0661273	0.0762756	0.121809
c'	0.135649	0.083817	0.0442138	0.0334459	0.0208094	0.0380243	0.0199379	0.0247544	0.0342505	0.0483403	0.0515213	0.0211642	0.00651492	0.00544361	0.00930542	0.00561834	0.0151446	0.0163533	0.0175164	0.0207217	0.0455667	0.051272	0.0481816	0.041551	0.0472833	0.0249964	0.0507233	0.0378795
est	0.107907	0.0552383	0.0324045	0.0272653	0.0233965	0.0319978	0.0294177	0.036302	0.0511446	0.0908821	0.0459172	0.0125942	0.00526975	0.00376592	0.005464	0.00411457	0.00970592	0.017554	0.0320025	0.0314759	0.044885	0.0597843	0.0498706	0.0474901	0.0592678	0.0217244	0.0420962	0.0210616
sa	0.092686	0.0945281	0.0690222	0.0619253	0.0557023	0.0351922	0.0219816	0.0298963	0.0263081	0.0251106	0.00802192	0.00436838	0.0040945	0.00443	0.00534605	0.00559325	0.0123725	0.0136897	0.0198955	0.0210866	0.0243936	0.0275962	0.0401128	0.0671357	0.0553063	0.0386585	0.0741274	0.0614184
maman	0.0556926	0.052648	0.0397349	0.0357724	0.0374831	0.0197204	0.0145469	0.0218089	0.0241446	0.0282407	0.0142902	0.0116252	0.00923596	0.00766878	0.00701514	0.00509901	0.0144215	0.0142323	0.0175396	0.0161938	0.0279428	0.0416358	0.0586825	0.072844	0.0876915	0.0700891	0.0969992	0.0970012
</S>	0.0488958	0.0630122	0.0228489	0.0242481	0.024349	0.0245241	0.00927838	0.0127293	0.0138053	0.0339442	0.0179361	0.0103828	0.00672229	0.00727939	0.00921118	0.00466255	0.0144856	0.0145014	0.024929	0.0225999	0.0550967	0.0615688	0.085201	0.0530006	0.0775476	0.0990553	0.0680229	0.0901618
