 	a66	a87	a23	a87	a10	a87	a23	a62	a47	a61	a43	a56	a61	a21	a12	a56	a94	a75	a98	a85	a47	a36	a85	a47	a36	a2	a12	a96	a61	a12	a75	a85	a47	a7	a2	a57	a87	a23	a97	a99	a87	a23	a99	a97	</S>
la	0.0589258	0.0437455	0.0331586	0.0241223	0.0248017	0.0166961	0.0127193	0.021063	0.0389031	0.0289078	0.0220316	0.0218126	0.0179207	0.016587	0.0189926	0.0154396	0.0174847	0.0213636	0.0170001	0.0289693	0.0196084	0.0289069	0.0231105	0.0260556	0.0334274	0.0356606	0.03164	0.0286568	0.0222987	0.0164849	0.00931332	0.00892376	0.00696743	0.0160426	0.0112839	0.0171152	0.0146709	0.0117108	0.00945272	0.014059	0.0151026	0.0114173	0.0227353	0.0206671	0.0440434
manière	0.00102149	0.00149957	0.00150353	0.00117683	0.00267188	0.00286935	0.00460864	0.00604714	0.0121071	0.00755903	0.00656811	0.0126851	0.0282656	0.0277556	0.0376803	0.054316	0.0688273	0.140582	0.100091	0.161341	0.147264	0.0993116	0.0389803	0.021918	0.00291665	0.00116013	0.00164703	0.000816935	0.000568937	0.00126099	0.000703627	0.000525724	0.000431749	0.000198301	0.000272904	0.000372057	0.000385606	0.000250974	0.000229562	0.000145186	0.000257296	0.000193656	0.00016791	0.000538323	0.000305707
dont	0.0524955	0.054389	0.0425225	0.0288711	0.0193325	0.0154929	0.0202755	0.0204498	0.0215868	0.0166929	0.0150388	0.0130523	0.0090269	0.0101653	0.0141105	0.0257981	0.0419242	0.0228779	0.0226943	0.0357554	0.0477373	0.0185771	0.0181188	0.0270351	0.0169168	0.0237491	0.0211408	0.0166665	0.0155363	0.0183286	0.00748789	0.00892497	0.00470352	0.0109124	0.00749748	0.00934691	0.017128	0.019137	0.0128939	0.0176661	0.0233419	0.0332406	0.0333708	0.0454768	0.0225131
il	0.0277525	0.0371932	0.0238627	0.0183779	0.00833165	0.00904645	0.00876939	0.00701548	0.00879057	0.00573479	0.00564305	0.00849912	0.00513255	0.00652815	0.00651518	0.00467548	0.00488585	0.00397551	0.0060243	0.00731851	0.00992055	0.00585247	0.00705789	0.0135531	0.0305587	0.0973623	0.106495	0.0657581	0.0508663	0.0563301	0.0448021	0.0162637	0.00862274	0.0183482	0.0143663	0.0234412	0.0242726	0.0179938	0.0145284	0.0295415	0.0239711	0.0319175	0.0282592	0.0282394	0.0176055
ressemble	0.0305118	0.0147826	0.00778255	0.0101813	0.0123551	0.0133288	0.0141045	0.0152493	0.0190082	0.0147043	0.00828802	0.0120119	0.00950284	0.015053	0.0148348	0.00872022	0.0173382	0.00619126	0.0321918	0.0164482	0.0469724	0.0288643	0.0394435	0.0483619	0.0603764	0.0736099	0.088767	0.0794984	0.0362513	0.0434948	0.0245184	0.0115572	0.00768437	0.00548395	0.0074175	0.00895865	0.00935678	0.0086043	0.00450725	0.00728741	0.0104835	0.0119843	0.00807382	0.0196304	0.0162236
à	0.0321678	0.028177	0.0244051	0.0328155	0.0228762	0.0201873	0.0305588	0.027957	0.0223543	0.0226038	0.0251229	0.0293817	0.0252086	0.0286851	0.0324187	0.0281894	0.0441659	0.0304837	0.043544	0.0303041	0.0338977	0.0232198	0.0246052	0.0241221	0.0255758	0.0229948	0.0181389	0.0189959	0.0132468	0.0196881	0.0043871	0.00367309	0.00328951	0.00512907	0.00366	0.00587345	0.00778589	0.00902062	0.00444263	0.010062	0.0121373	0.0240254	0.0291374	0.0215612	0.0497234
son	0.0341065	0.0363583	0.0386965	0.0462076	0.0201787	0.0176089	0.018086	0.0147871	0.0137938	0.0161993	0.018119	0.0206962	0.0165259	0.0196644	0.0187656	0.0144243	0.0182405	0.0134596	0.0139993	0.0134512	0.0183398	0.0146537	0.0130027	0.0141872	0.0143019	0.0131343	0.0129794	0.024866	0.0289126	0.0265295	0.0222663	0.0108638	0.0110099	0.0182713	0.0165973	0.023707	0.0193132	0.0335864	0.0179909	0.0313761	0.034064	0.0261351	0.0410765	0.0269185	0.0625481
père	0.0202227	0.0222916	0.0200516	0.0214357	0.00932403	0.0163746	0.0224575	0.0194875	0.0178008	0.0192756	0.0301447	0.0268761	0.0174716	0.0202309	0.0172628	0.0119632	0.0154782	0.0132042	0.00804103	0.00706039	0.00996447	0.0131644	0.0104569	0.0151571	0.00731943	0.0117445	0.0129526	0.0095826	0.0131274	0.0134244	0.021806	0.0194604	0.0162943	0.0194964	0.0210127	0.030909	0.0236353	0.0251355	0.0172757	0.0332355	0.0402727	0.0336013	0.0518522	0.0436465	0.129018
est	0.0253406	0.0162612	0.0139109	0.0106193	0.00678208	0.00839604	0.012201	0.00744331	0.0104601	0.0130332	0.0177579	0.0195409	0.0136763	0.02302	0.0185298	0.0147558	0.0210474	0.012001	0.0126081	0.0154595	0.0232192	0.0422927	0.0319059	0.0269623	0.01823	0.00823591	0.0129248	0.01308	0.0183603	0.0138016	0.0141273	0.0111318	0.0118636	0.0188586	0.0233354	0.0300206	0.024826	0.0210875	0.0154832	0.0452	0.0515937	0.0461473	0.075803	0.038065	0.0705999
extraordinaire	0.0266324	0.0138054	0.0122981	0.0130867	0.00818605	0.0116561	0.0167518	0.0199774	0.0198387	0.0195894	0.0224456	0.0231688	0.0165388	0.0147584	0.015186	0.0173033	0.0220595	0.0163308	0.0159707	0.0162353	0.0206572	0.0250199	0.0213247	0.0343073	0.0215865	0.0156645	0.0176885	0.0186875	0.018533	0.0190397	0.0137525	0.0159278	0.0176291	0.0189101	0.0194797	0.0220254	0.020246	0.0241915	0.0146942	0.0323574	0.0383165	0.0356125	0.0538262	0.0330436	0.0856595
</S>	0.0320771	0.0190468	0.0160415	0.010249	0.00741484	0.0034194	0.00305636	0.005373	0.00777861	0.00764447	0.00574772	0.0074451	0.00848988	0.0131562	0.0122076	0.00859197	0.00869331	0.00731829	0.0122882	0.00777006	0.00725536	0.00818047	0.0097928	0.00848743	0.0110171	0.00936383	0.00903492	0.0166524	0.0164881	0.0141572	0.0188964	0.0230764	0.0233002	0.041636	0.0347969	0.0465419	0.0363618	0.0372702	0.0335835	0.052734	0.0541456	0.0513266	0.0766604	0.0433442	0.112087
