 	a66	a87	a23	a53	a94	a75	a43	a75	a85	a6	a21	a5	a24	a75	a85	a5	a61	a47	a88	a18	a71	a9	a87	a23	a87	</S>
fais-	0.0230299	0.0212288	0.0211166	0.00899892	0.0113231	0.00964899	0.00992594	0.0108098	0.0136063	0.0102216	0.00861869	0.00473504	0.00920626	0.0104713	0.0349009	0.0836669	0.0963326	0.0872147	0.084071	0.08763	0.0835818	0.0735073	0.0414616	0.052308	0.0400028	0.0623813
moi	0.053094	0.0440436	0.0457094	0.032747	0.0337896	0.0306957	0.0328433	0.0437499	0.0456466	0.0561316	0.0589897	0.0387277	0.042157	0.0384284	0.0404333	0.0360101	0.0345302	0.0282918	0.0217238	0.0309204	0.0330939	0.0437818	0.0340005	0.032105	0.0435587	0.0247972
goûter	0.165533	0.141265	0.119008	0.0845845	0.052529	0.0220374	0.0174322	0.0143673	0.0168602	0.012159	0.0135189	0.00821943	0.00967353	0.00486364	0.00794313	0.00391939	0.0103082	0.0111272	0.0117698	0.0203464	0.0221941	0.0325834	0.0209749	0.0322381	0.0810269	0.0635165
ce	0.0933276	0.0877241	0.0664155	0.0903433	0.0935608	0.0495109	0.0481543	0.0308029	0.0307321	0.0226002	0.0384998	0.0188584	0.0284542	0.0192389	0.0507442	0.0195849	0.0179238	0.020733	0.0196985	0.0211981	0.0223776	0.0244519	0.0242921	0.0186258	0.0309486	0.0111983
que	0.0961648	0.0483211	0.022055	0.0202089	0.0223911	0.0258179	0.0290065	0.0252788	0.0235965	0.0280949	0.0334559	0.0362005	0.0359996	0.0525713	0.0698191	0.0362367	0.0326347	0.0540596	0.0561349	0.0611016	0.0415432	0.027356	0.0236587	0.0216947	0.0436889	0.0329093
tu	0.156578	0.0927269	0.0507785	0.0273107	0.0205428	0.0207641	0.0204678	0.0246134	0.0275598	0.0273648	0.019739	0.0138019	0.0130623	0.0170376	0.0469357	0.0241464	0.028317	0.0455341	0.0352953	0.0455904	0.0285503	0.0572138	0.0250973	0.0255362	0.0903997	0.0150368
as	0.0917202	0.0603512	0.0602094	0.0415107	0.0331008	0.0457833	0.0367815	0.0266756	0.0203067	0.0183036	0.0284443	0.0192719	0.0173063	0.0161711	0.0492498	0.0220802	0.0298465	0.0232425	0.0300035	0.0436271	0.0346706	0.0586847	0.0387828	0.0424277	0.0767523	0.0346957
préparé	0.165027	0.0834223	0.103031	0.0577115	0.0332875	0.0334364	0.0291692	0.0118489	0.0107131	0.0100506	0.0137625	0.00745573	0.0124822	0.00838672	0.0158909	0.0151431	0.0201687	0.0174719	0.0220663	0.0296794	0.0307772	0.047223	0.0535627	0.0481135	0.0799165	0.0402029
s'	0.14524	0.112533	0.0759288	0.0487971	0.0247096	0.027061	0.0276922	0.0142112	0.0118208	0.0101736	0.02098	0.00906779	0.0130427	0.00731243	0.0152009	0.0137753	0.0184598	0.0167996	0.025725	0.0294175	0.0218919	0.0497394	0.0329435	0.0523391	0.086822	0.088316
il	0.0658274	0.0412005	0.028769	0.02539	0.023276	0.0294125	0.0255333	0.0141104	0.00891311	0.0082094	0.0134342	0.00612465	0.00975918	0.0106998	0.0179864	0.0160225	0.0202772	0.0211775	0.0367678	0.043032	0.026828	0.0900557	0.0620499	0.0834937	0.11165	0.16
te	0.103636	0.0869851	0.0711151	0.070057	0.0410323	0.0424878	0.0401651	0.0215634	0.0155116	0.013763	0.0252593	0.0128405	0.0142587	0.0110313	0.016171	0.00943457	0.01347	0.0146017	0.0208029	0.027035	0.0180946	0.0506782	0.0359707	0.0509873	0.0873923	0.085655
plait	0.0706802	0.0535733	0.0485823	0.0389302	0.033327	0.0336091	0.034087	0.0210452	0.0183867	0.0152347	0.0244592	0.0111152	0.0137922	0.00945713	0.0180283	0.0122853	0.0179993	0.0177993	0.0283339	0.0396223	0.022839	0.0766259	0.0563462	0.0736106	0.102492	0.107739
</S>	0.0438987	0.0343348	0.0363841	0.0223692	0.0334358	0.0363866	0.0406107	0.0254884	0.0219887	0.0191525	0.0259501	0.0119833	0.0206857	0.0209948	0.0249504	0.0326852	0.0348989	0.0358533	0.0413642	0.0493265	0.0340546	0.0699985	0.0558103	0.0690897	0.0776259	0.0806793
