 	a66	a87	a23	a83	a70	a90	a98	a92	a85	a6	a37	a21	a61	a75	a85	a6	a75	a79	a44	a93	a44	a54	a7	a84	a57	a87	a23	a87	</S>
le	0.0169674	0.0253354	0.023807	0.0295412	0.028319	0.0266919	0.0390267	0.0477361	0.0715205	0.0667089	0.0709463	0.0749108	0.0495678	0.0422517	0.0487093	0.0327058	0.0458735	0.0293175	0.0298621	0.0292926	0.0173036	0.0121521	0.0110598	0.022243	0.0247418	0.014369	0.0114252	0.01394	0.0436742
silure	0.00505902	0.00917487	0.01224	0.0266358	0.0316262	0.0576391	0.134155	0.121693	0.113719	0.144511	0.0764448	0.0300415	0.0563474	0.0825949	0.0232714	0.024246	0.011361	0.00960144	0.0053312	0.00355566	0.00257963	0.00196637	0.00290603	0.00291679	0.0032731	0.00239033	0.00137693	0.00228382	0.00105889
m'	0.0110401	0.0383227	0.058425	0.0942346	0.122138	0.182517	0.165636	0.124779	0.0400946	0.0351694	0.00806058	0.00732942	0.00430485	0.00466529	0.00512843	0.00816708	0.00728369	0.00620523	0.00822207	0.00763857	0.0082371	0.00479883	0.00720012	0.00951277	0.0114744	0.00657462	0.00492763	0.00523902	0.00267407
a	0.0177087	0.0156029	0.0132614	0.0149059	0.0237268	0.0524855	0.0529944	0.0577202	0.045706	0.0552344	0.0739788	0.0700478	0.0810676	0.0607817	0.0774113	0.0891935	0.0904757	0.0409976	0.0136032	0.0126875	0.00482705	0.00453205	0.00230958	0.00268595	0.00366696	0.0042361	0.00907956	0.00506181	0.00401022
piqué	0.0159359	0.022892	0.0252963	0.0273501	0.0387467	0.0326802	0.0381748	0.0405469	0.0453559	0.0320549	0.034436	0.0411084	0.0793108	0.0718526	0.0912013	0.0864939	0.0593274	0.0469981	0.0509503	0.0311999	0.0149345	0.0105134	0.013104	0.0103666	0.00555678	0.00681475	0.00884492	0.00758467	0.0103679
dans	0.04818	0.0378825	0.0290818	0.0367741	0.0333091	0.0401107	0.0311575	0.0360526	0.0299723	0.0207159	0.035307	0.023804	0.0192284	0.0280372	0.0326514	0.0277796	0.0310845	0.0211644	0.0281195	0.0408056	0.0322964	0.0373251	0.0525345	0.0472871	0.0388571	0.0340638	0.0265886	0.0354162	0.0644132
le	0.0452216	0.0270703	0.0208321	0.0207965	0.0179401	0.0240813	0.0186986	0.0212791	0.0180344	0.0153756	0.0162791	0.0113388	0.00777537	0.00943072	0.0108177	0.00997136	0.0186768	0.0150732	0.0208022	0.0500655	0.028141	0.0601241	0.0697737	0.0823719	0.0631817	0.0648678	0.0624589	0.0579006	0.11162
ruisseau	0.0293737	0.0282011	0.0220855	0.018429	0.0284163	0.0446983	0.0336915	0.0463497	0.0344668	0.0363201	0.0340843	0.0275643	0.0156243	0.0201368	0.0303564	0.0290533	0.0362732	0.0277744	0.0348956	0.0350811	0.0361058	0.0388904	0.0394032	0.0623796	0.0478796	0.0554611	0.0506747	0.0325184	0.0238117
vouma	0.0646804	0.0726707	0.0448417	0.0312339	0.0448835	0.0606072	0.0802832	0.0958398	0.0909095	0.0654437	0.0481795	0.0218897	0.0342299	0.0362583	0.0186433	0.0173976	0.0142715	0.00999983	0.0130495	0.00695838	0.00670694	0.00766595	0.0121504	0.0107752	0.00873384	0.0125326	0.0195864	0.0281776	0.0214002
</S>	0.03571	0.0372871	0.026905	0.0285202	0.0211489	0.0255471	0.0262093	0.0259954	0.0254754	0.0195689	0.0199303	0.0142454	0.0095924	0.0102826	0.0112384	0.0109244	0.0113967	0.00927554	0.0242593	0.0205474	0.0237246	0.0553426	0.0516595	0.0752135	0.0771612	0.0519925	0.0400615	0.0576265	0.153158
