 	a23	a99	a75	a43	a75	a70	a93	a75	a25	a90	a38	a75	a66	a0	a56	a34	a56	a13	a9	a38	a75	a96	a83	a61	a66	a90	a92	a11	a75	a47	a7	a57	a87	a10	a9	</S>
la	0.0798349	0.0783139	0.0761155	0.0595155	0.0439327	0.0284342	0.034314	0.0346554	0.0281792	0.0545387	0.0348121	0.0305973	0.0226994	0.0327373	0.0355792	0.0213792	0.0178659	0.029996	0.0370876	0.0273643	0.00737813	0.00674819	0.0256225	0.00603212	0.00966857	0.0097389	0.00579841	0.00511423	0.00977399	0.00725424	0.00809372	0.00922505	0.0113207	0.0173567	0.0207616	0.0321605
rigidité	0.00492693	0.00763852	0.0135948	0.016623	0.019493	0.030143	0.0465901	0.0436365	0.0429361	0.0441328	0.0568607	0.0699356	0.0922416	0.0706161	0.0769409	0.0579633	0.0560572	0.0331346	0.0624389	0.0322705	0.0277436	0.0402926	0.0201336	0.0113484	0.00541999	0.00417582	0.00213144	0.000793209	0.00212554	0.00188099	0.00131028	0.00080059	0.00105396	0.000952229	0.000943271	0.000720446
de	0.0177962	0.0206441	0.0257545	0.0294649	0.0362747	0.0522675	0.0911006	0.10651	0.107452	0.0618996	0.0516555	0.0416463	0.0423478	0.0680266	0.0277082	0.031379	0.0309719	0.0213892	0.0240204	0.0159582	0.00909644	0.0182169	0.0125	0.00882242	0.0114195	0.00487163	0.00398318	0.00188856	0.00331169	0.00198248	0.00197732	0.00275528	0.00375433	0.00604809	0.00342939	0.00167518
l'	0.0127233	0.012075	0.0142838	0.0192318	0.030476	0.0600537	0.0728745	0.0820157	0.0505856	0.0224421	0.0198997	0.0196804	0.0215557	0.0453596	0.0194118	0.0247179	0.0267494	0.0186175	0.0255072	0.0315007	0.036546	0.0395986	0.0212711	0.0138548	0.0205042	0.0093545	0.0120164	0.0168124	0.0131885	0.0137878	0.0216936	0.0228196	0.0183588	0.03042	0.0394667	0.0405455
oranger	0.0204412	0.0172187	0.0101388	0.0120141	0.0179786	0.021254	0.0263867	0.0252336	0.0235244	0.0192005	0.0265452	0.0364234	0.0510575	0.0347887	0.0411697	0.0509218	0.0304768	0.0255304	0.0412414	0.0381843	0.0226535	0.0333467	0.0422834	0.0176908	0.0145477	0.011467	0.0214906	0.0173661	0.0418029	0.029928	0.024903	0.0240158	0.0278141	0.0198704	0.017763	0.0633273
est	0.0320033	0.0336524	0.0435313	0.080132	0.0625195	0.0389582	0.0562874	0.0530736	0.0578536	0.0389458	0.0306318	0.0311749	0.0263518	0.0188608	0.0139106	0.00922053	0.0070094	0.0135541	0.0185882	0.0165438	0.0130684	0.018651	0.0222182	0.0165844	0.0229618	0.0151097	0.0101659	0.00387896	0.00986242	0.0144078	0.0147814	0.0249399	0.0210829	0.0280849	0.0368965	0.0445029
plus	0.0332108	0.0229128	0.0244249	0.0295307	0.0412732	0.0373116	0.0339086	0.0460684	0.0311538	0.0175531	0.0287526	0.028397	0.0387396	0.026469	0.0462128	0.0470528	0.0318009	0.0197662	0.0186683	0.0167533	0.0086853	0.00966902	0.0089004	0.00411076	0.00512092	0.00477286	0.00684733	0.00353023	0.0172569	0.0322627	0.0376728	0.0487131	0.0423267	0.0343017	0.0490571	0.0668118
que	0.0471941	0.031107	0.0351864	0.0463675	0.0395354	0.0294882	0.0433631	0.0783379	0.0951484	0.0606341	0.0392911	0.0397009	0.0496954	0.0260493	0.0617102	0.0307498	0.0159151	0.0086073	0.0122009	0.0109959	0.00614238	0.00297934	0.00360369	0.00131199	0.00198205	0.00228965	0.00398988	0.00397885	0.0076222	0.0124501	0.0153065	0.0255214	0.0183872	0.022591	0.0266556	0.0439101
celle	0.0321284	0.0251146	0.0343045	0.0267887	0.0259523	0.0157864	0.0103882	0.00809896	0.00893725	0.00918487	0.0100742	0.00847928	0.0116064	0.00558162	0.0128767	0.00633877	0.00737693	0.0107113	0.0130717	0.0136639	0.00768105	0.00524735	0.00592743	0.00294454	0.00272137	0.00480097	0.00504302	0.00424133	0.0225496	0.0584559	0.0882669	0.083809	0.10525	0.0637545	0.0784411	0.164401
du	0.0474835	0.0378937	0.0260558	0.0350707	0.040047	0.0357521	0.0295963	0.0225971	0.0209809	0.023319	0.0295791	0.0307346	0.0437245	0.0330145	0.0669674	0.0492882	0.0475208	0.0476398	0.0394273	0.0409999	0.0155755	0.0143921	0.0214448	0.00928918	0.0121207	0.0129137	0.00986198	0.0059823	0.0181144	0.0201673	0.0232867	0.0161865	0.0174627	0.00871999	0.0133433	0.0334466
safoutier	0.0592614	0.0308263	0.0220525	0.0287114	0.0326176	0.0339186	0.0238075	0.0259362	0.0229546	0.0215005	0.0270343	0.0331455	0.0349036	0.0196863	0.0439748	0.0343861	0.0343497	0.0228593	0.0182334	0.0237248	0.0176901	0.0284868	0.00973292	0.012228	0.0165518	0.00459783	0.00724185	0.00801305	0.0209632	0.0337307	0.0316281	0.0332398	0.037585	0.0228996	0.0348023	0.0867244
</S>	0.0528895	0.0302524	0.0378213	0.0240641	0.0151318	0.0106655	0.00819799	0.00898699	0.00945269	0.00834902	0.00752763	0.00771999	0.0112849	0.00826706	0.0143676	0.00911235	0.00788671	0.00952153	0.0103012	0.00960698	0.00824694	0.0111133	0.00781577	0.00808001	0.010363	0.00631114	0.0108308	0.0316163	0.0490229	0.0721044	0.0743304	0.0584245	0.0759155	0.0444144	0.0520245	0.177979
