 	a66	a87	a23	a50	a83	a71	a58	a13	a53	a90	a4	a57	a82	a87	a23	a40	a6	a56	a93	a4	a93	a62	a34	a56	a90	a69	a90	a25	a92	a56	a96	a94	a90	a94	a4	a57	a82	a87	a23	a53	a20	a69	a15	a7	a5	a12	a21	a6	a37	a54	a36	a7	a20	a98	a85	a47	a79	a44	a32	a38	a82	a10	a87	a23	a99	a97	</S>
ekoko	0.0485201	0.055357	0.058814	0.0380804	0.0617346	0.0266245	0.0235362	0.0192875	0.00998667	0.0109289	0.0143199	0.0142838	0.0227986	0.0278442	0.0238602	0.0190217	0.0130822	0.0167631	0.0154987	0.0196641	0.0132942	0.0183623	0.0131521	0.0212696	0.020817	0.0124843	0.017231	0.0241852	0.00953758	0.0105889	0.021486	0.0173162	0.0100001	0.0104171	0.00808133	0.013549	0.00575398	0.0130627	0.00528043	0.0141247	0.0198854	0.0199068	0.00810394	0.00689806	0.0045819	0.0062476	0.00403268	0.00273738	0.00397848	0.00452158	0.00463852	0.00450146	0.00394408	0.00424038	0.00650683	0.00545023	0.00448658	0.00284643	0.00285459	0.00321226	0.0034247	0.00295475	0.00322355	0.00448751	0.0067327	0.00669167	0.0289097
était	0.00698018	0.00596715	0.00685278	0.00986792	0.0058465	0.00588412	0.00649441	0.00664782	0.00839293	0.0123411	0.0129321	0.0166663	0.0117825	0.0171834	0.0203699	0.0173078	0.0234734	0.0202192	0.0207822	0.0210747	0.0178114	0.021241	0.0233787	0.0183246	0.0155	0.0197719	0.0234481	0.0251667	0.0270155	0.0236362	0.0187103	0.0214022	0.0218319	0.0183183	0.019891	0.0240457	0.0178037	0.0184095	0.0138578	0.0113624	0.0147335	0.0176494	0.0127029	0.0282341	0.0136504	0.0088385	0.0111233	0.0107578	0.0263784	0.0139391	0.0114018	0.0115107	0.00890206	0.00567595	0.0102161	0.016776	0.0263048	0.0131735	0.0089553	0.00574913	0.0135227	0.00607758	0.00628902	0.00665088	0.00679418	0.0116123	0.0143874
un	0.0114201	0.0113868	0.00542496	0.00603822	0.00656303	0.0070891	0.00491635	0.0107979	0.0136761	0.0126514	0.0198911	0.0209942	0.0117665	0.0121842	0.0144996	0.0170849	0.0177849	0.013821	0.0122727	0.0190481	0.0133537	0.0164831	0.018868	0.0117661	0.0108076	0.015848	0.0206016	0.0366355	0.0229928	0.0349559	0.0184198	0.0353325	0.0211065	0.0144182	0.0251424	0.0229812	0.0148848	0.0181455	0.011499	0.0111385	0.0136524	0.0160316	0.0214628	0.0381989	0.0273786	0.0299712	0.00947294	0.0111139	0.00923336	0.00807283	0.00982759	0.00782577	0.00329773	0.00538023	0.00625275	0.00694026	0.00536394	0.0162335	0.00428457	0.0084931	0.012526	0.0108163	0.0147456	0.0116468	0.0116281	0.0247679	0.0106895
chasseur	0.0111333	0.00887982	0.00437767	0.00313513	0.00465356	0.00347844	0.00257123	0.00222603	0.00320979	0.00223387	0.00168885	0.00217929	0.0071783	0.0100082	0.00736661	0.0256818	0.0125458	0.00943941	0.00929514	0.00952539	0.00790518	0.0056387	0.00937114	0.00697429	0.00425453	0.00664738	0.0149039	0.0147675	0.0182631	0.0122363	0.0210435	0.0151282	0.016473	0.0147989	0.0216907	0.0177455	0.0194512	0.0100312	0.0185599	0.0150116	0.0149546	0.0209116	0.0149994	0.0167407	0.0341969	0.0783041	0.0593071	0.0680216	0.0469113	0.0280874	0.0272509	0.0127029	0.0137636	0.0233642	0.013179	0.0114744	0.00559774	0.0151372	0.00774945	0.0123302	0.0112905	0.0103117	0.00700894	0.00799891	0.00802601	0.00670953	0.0119666
plein	0.015244	0.0106251	0.00838918	0.00446753	0.00921788	0.00371537	0.00860162	0.0051999	0.00961491	0.00683864	0.00332558	0.00610968	0.0198318	0.0242503	0.0241419	0.0615636	0.0365787	0.0198254	0.0344798	0.0310494	0.0263862	0.0136816	0.0196575	0.0221403	0.014491	0.0280045	0.044794	0.0223026	0.0341534	0.0247515	0.0336406	0.0197013	0.0183935	0.0182283	0.0180643	0.0126615	0.0103	0.00655585	0.00963004	0.0127293	0.00905444	0.0140481	0.00903133	0.00801891	0.00940008	0.0118665	0.0105156	0.0140035	0.0134994	0.0122828	0.0117074	0.00886562	0.00938964	0.0110918	0.00834999	0.00578194	0.00422672	0.00833567	0.0025246	0.00608158	0.00645756	0.00678173	0.00571536	0.00730961	0.00861902	0.00858785	0.0151155
de	0.0404243	0.047704	0.0527851	0.0251822	0.0258734	0.0139085	0.00880792	0.0134363	0.0123119	0.0107162	0.010318	0.0122553	0.016422	0.0189454	0.0197103	0.0259261	0.0265432	0.0270856	0.0304366	0.0298772	0.0209432	0.0207974	0.0314208	0.0290717	0.0236599	0.0204409	0.0203399	0.0235623	0.021478	0.0190628	0.02773	0.018969	0.0184839	0.0158924	0.0135216	0.0100553	0.00838817	0.0093111	0.00831803	0.011497	0.00865172	0.00985255	0.01112	0.00994413	0.0079817	0.00773015	0.00697611	0.0050516	0.0044755	0.00479269	0.0043045	0.00424174	0.00588161	0.00800121	0.0067285	0.00476641	0.00283416	0.00288265	0.00235606	0.00357828	0.00379721	0.0034402	0.00287367	0.00336016	0.00515519	0.00533743	0.0122721
dextérité	0.0191837	0.0133346	0.00865717	0.00569811	0.00647345	0.00373727	0.00526953	0.00496931	0.00609487	0.00687812	0.00637637	0.0102137	0.0139583	0.02318	0.0168082	0.0216842	0.0189726	0.014083	0.0214231	0.0153478	0.0110528	0.00898918	0.0159421	0.0149683	0.0117963	0.0291505	0.0425236	0.0284986	0.0556229	0.029995	0.0457927	0.0274917	0.0691207	0.0215942	0.0376599	0.0297008	0.0210014	0.0195184	0.0255299	0.0163078	0.0218404	0.0268045	0.0264303	0.0217115	0.0112518	0.0149234	0.0126856	0.00748953	0.00303504	0.00326531	0.00415621	0.00275146	0.00274893	0.00350013	0.00321124	0.00253433	0.0018669	0.00154238	0.000821763	0.00143396	0.00222065	0.00146379	0.00129067	0.00252825	0.00311857	0.00279153	0.00798158
quand	0.0183701	0.0107759	0.00568686	0.00414474	0.00553796	0.00374278	0.00798896	0.00759562	0.00690309	0.00863064	0.00583856	0.00932539	0.0173711	0.0174917	0.0178777	0.0297846	0.0166687	0.0133007	0.023503	0.0240477	0.0194989	0.018223	0.0152073	0.0155781	0.0148434	0.0550157	0.0571207	0.0489212	0.0589785	0.0328893	0.0550053	0.0280256	0.0458195	0.0268271	0.0446347	0.0497011	0.0192082	0.0287138	0.021264	0.0188147	0.0128224	0.0120798	0.00693899	0.00823992	0.00391353	0.00228928	0.00397008	0.00398097	0.00146693	0.00134259	0.000992083	0.000461172	0.00106733	0.000920612	0.000668586	0.000527046	0.000304862	0.000259187	0.000309826	0.000362265	0.00049785	0.00125798	0.00104962	0.000942982	0.000861116	0.00234404	0.00125297
il	0.0417318	0.0211699	0.0083229	0.00687914	0.00934098	0.0062348	0.00672984	0.00627924	0.00486134	0.00470268	0.00324698	0.0055634	0.00824507	0.0102544	0.00758963	0.0329783	0.0103782	0.0131511	0.0150653	0.0302024	0.0196266	0.0270048	0.0284595	0.0155991	0.020096	0.0404094	0.0360417	0.0354343	0.039949	0.0253465	0.0337027	0.0232941	0.0198298	0.0257277	0.02567	0.0350796	0.0126596	0.0259611	0.0127647	0.0224169	0.0185206	0.021556	0.0126471	0.0155918	0.0112469	0.00915429	0.0091554	0.00814674	0.00308241	0.00411241	0.0040381	0.00256058	0.00327144	0.00260442	0.00368188	0.00246406	0.00278172	0.00418958	0.00225771	0.00372426	0.0067121	0.00880499	0.00938079	0.015177	0.010378	0.0120311	0.014728
ouvrait	0.0245926	0.0141234	0.00759654	0.00553862	0.00782399	0.0040774	0.00708133	0.00495351	0.00408724	0.00360191	0.00249156	0.00539867	0.00900898	0.0131115	0.00943365	0.0348067	0.0150393	0.0153846	0.0204528	0.0305868	0.020841	0.0210432	0.0228726	0.0147903	0.0172733	0.036993	0.0321594	0.0284649	0.0348986	0.0226126	0.0356194	0.0247165	0.0235345	0.0254385	0.0285445	0.0285638	0.0121129	0.0195501	0.0108798	0.0219638	0.0171265	0.0238328	0.0161934	0.0253631	0.0176333	0.0130753	0.0191429	0.0175287	0.00701873	0.00735821	0.0056539	0.004575	0.00497024	0.00268223	0.00372042	0.00306135	0.00267514	0.00285641	0.00171421	0.00243964	0.00574897	0.00925625	0.009482	0.0115964	0.00831854	0.0133672	0.0215455
