 	a15	a66	a87	a23	a99	a53	a15	a98	a85	a47	a15	a79	a25	a69	a58	a53	a15	a56	a75	a79	a98	a47	a36	a2	a57	a87	a23	a87	</S>
le	0.0365355	0.0506775	0.0555005	0.0291722	0.030514	0.0363551	0.0616322	0.0422565	0.0296706	0.0211251	0.0251192	0.014329	0.00676438	0.00327446	0.00268262	0.00319084	0.00283236	0.00383475	0.00571166	0.0133384	0.0251652	0.0292655	0.0503817	0.0460259	0.0599968	0.0405544	0.0699721	0.0971279	0.106993
tilapia	0.0251668	0.0268851	0.0433249	0.0196994	0.0338013	0.0468959	0.0986701	0.304259	0.177664	0.107797	0.033173	0.0351777	0.00797515	0.00706468	0.00305244	0.00270219	0.00189063	0.000722713	0.000884722	0.000526231	0.000430694	0.00143929	0.00207887	0.00248398	0.00186068	0.00191301	0.00214965	0.00826517	0.00204591
meurt	0.025475	0.0323614	0.0346339	0.0281035	0.0263091	0.028361	0.0284987	0.0363062	0.0287815	0.0348757	0.0355514	0.0279083	0.0448434	0.0161398	0.0117614	0.00712031	0.00417763	0.00344057	0.00676773	0.0107605	0.0275902	0.0400309	0.0787658	0.12649	0.0440312	0.0362485	0.0599026	0.0637801	0.0509833
à	0.0103007	0.00638917	0.0036831	0.00366297	0.00248265	0.00281301	0.00208805	0.00415287	0.0079641	0.00856969	0.00859131	0.00871917	0.0169542	0.0214687	0.038246	0.0726482	0.0421373	0.0297037	0.0451374	0.0679729	0.0601786	0.0785481	0.0522647	0.0541442	0.0779178	0.0343484	0.0627681	0.0565573	0.119588
cause	0.0746201	0.0764716	0.0373574	0.0329979	0.0415227	0.0315495	0.0207535	0.019563	0.0668359	0.0443511	0.0317971	0.0296096	0.0185398	0.0180466	0.0257824	0.0252087	0.0219352	0.020152	0.027082	0.0282253	0.0355705	0.0574613	0.0315266	0.0253224	0.0292423	0.0331705	0.0307064	0.0255409	0.0390575
de	0.0263244	0.0261866	0.0148955	0.0101312	0.00948911	0.00804578	0.00831476	0.0180325	0.0180793	0.0167732	0.0115956	0.00610496	0.00742077	0.00554393	0.00605562	0.00866578	0.00957486	0.023169	0.0505149	0.0942844	0.115835	0.111913	0.103427	0.0821562	0.0352996	0.0349076	0.0501292	0.0372844	0.0498458
son	0.0268063	0.0287784	0.0213884	0.016193	0.015624	0.016022	0.0152053	0.0274247	0.0329924	0.0289786	0.0259731	0.0216108	0.0152082	0.0162743	0.0146735	0.0171226	0.0202142	0.0321077	0.0509489	0.063868	0.0591978	0.0598846	0.0505505	0.0543089	0.0430873	0.0437256	0.0569641	0.0558718	0.0689949
amour	0.0229121	0.0228374	0.0161841	0.0113913	0.0104712	0.0129828	0.00905796	0.0165662	0.0222634	0.0189748	0.0283271	0.0339057	0.0262332	0.0215223	0.0273081	0.0280936	0.0346659	0.0581689	0.0682785	0.078525	0.0994906	0.0754305	0.0489945	0.0368411	0.0296204	0.03601	0.0391324	0.0326721	0.0331388
pour	0.028975	0.0374627	0.0297031	0.0224701	0.014724	0.0151746	0.0123797	0.0176736	0.0166801	0.011774	0.0107452	0.01338	0.00712949	0.00558209	0.00610975	0.00475138	0.00934603	0.0244225	0.0224803	0.0522363	0.0756413	0.0889479	0.0801638	0.0519353	0.0419664	0.063849	0.065389	0.0663542	0.102553
ses	0.0278701	0.0371794	0.0261037	0.0209134	0.0175649	0.0183188	0.0204096	0.0208735	0.0163412	0.0185181	0.0276229	0.0207833	0.013349	0.0114133	0.0124619	0.00973857	0.0108004	0.02148	0.0276384	0.0475187	0.0489764	0.0466181	0.0547522	0.0525912	0.0582462	0.055277	0.0758799	0.0740967	0.106663
enfants	0.014817	0.0129474	0.0121128	0.00871759	0.00601241	0.00688883	0.00659668	0.0107609	0.0106637	0.00968262	0.0111593	0.010209	0.00836315	0.0121668	0.011267	0.0132502	0.0125356	0.0215039	0.0298651	0.0454011	0.0460032	0.0392543	0.0599192	0.0417482	0.0779503	0.0767621	0.10071	0.108133	0.174599
</S>	0.0236183	0.0195989	0.0201059	0.0146643	0.00916613	0.00941035	0.0098708	0.0138364	0.0135185	0.00690987	0.00647063	0.00591562	0.00410164	0.00481692	0.0046225	0.00488911	0.00857778	0.0214923	0.0314594	0.0487065	0.0511155	0.0393996	0.0723885	0.0513484	0.0824165	0.0902898	0.0869355	0.0914592	0.152895
