 	a66	a10	a87	a38	a20	a47	a5	a21	a98	a71	a38	a62	a21	a61	a75	a85	a73	a90	a4	a57	a3	a87	a23	a5	a44	a98	a41	a61	a75	a5	a96	a75	a85	a79	a44	a56	a47	a88	a62	a83	a93	a56	a34	a56	a70	a83	a9	a99	a87	a23	a87	a23	</S>
je	0.0306249	0.0227899	0.0202414	0.0212291	0.0182809	0.0159544	0.0266723	0.0341927	0.052329	0.0437286	0.0464541	0.0515623	0.0473388	0.0308194	0.0294734	0.0233042	0.0192758	0.0144775	0.0137413	0.0167079	0.0193366	0.0190522	0.0201141	0.0371144	0.0282658	0.0226894	0.0200313	0.0174144	0.0125079	0.00858357	0.00725063	0.00990603	0.0134053	0.0151241	0.0180509	0.0259944	0.0208321	0.0157293	0.0112722	0.011879	0.00633042	0.00242777	0.00363392	0.00688848	0.00460988	0.00318417	0.00422694	0.00357967	0.00456185	0.0038727	0.00520308	0.0032984	0.0144315
suis	0.0134459	0.0125139	0.0157091	0.0235003	0.0439228	0.093478	0.0713007	0.0361018	0.0655422	0.0391598	0.0371032	0.0238048	0.0374322	0.026717	0.0214584	0.0175046	0.0161808	0.0143257	0.0148327	0.0140328	0.0136461	0.0155963	0.0117049	0.0121776	0.0127535	0.00990718	0.00939378	0.00673729	0.00848895	0.0123771	0.0155229	0.0137405	0.0141981	0.0112679	0.0149483	0.0104715	0.00694536	0.00594046	0.00460756	0.00526072	0.00604514	0.0108192	0.00499718	0.00896742	0.00893558	0.00985116	0.00856676	0.0155807	0.0177686	0.0150556	0.0114499	0.0168043	0.0114054
un	0.015464	0.00750994	0.00814051	0.00784257	0.00792958	0.0133776	0.00567797	0.00733665	0.00913737	0.00939073	0.0138577	0.0143279	0.00927949	0.0188528	0.0198945	0.0113323	0.0189975	0.0125682	0.0139121	0.00991837	0.011946	0.0074668	0.00921076	0.015731	0.0170341	0.0198248	0.0210872	0.0133419	0.0192752	0.0199067	0.021503	0.0258793	0.0284833	0.0221209	0.00855836	0.00726137	0.0265192	0.00890533	0.00925613	0.0345629	0.0100564	0.0222998	0.00834028	0.0285356	0.0183928	0.0266279	0.0258745	0.0514812	0.0415955	0.0542467	0.0390997	0.047358	0.0434694
oncle	0.0334186	0.0216505	0.0149152	0.0196611	0.0268625	0.0222079	0.0204843	0.0123965	0.0185648	0.0160608	0.0165378	0.0208847	0.0168068	0.0104565	0.00858604	0.0131947	0.015494	0.0166844	0.0179975	0.0233047	0.0166901	0.022633	0.0209181	0.012507	0.0164281	0.0158388	0.0216356	0.0255062	0.0334842	0.023128	0.0288998	0.0324771	0.0303261	0.0399184	0.0367773	0.0419328	0.0380991	0.0318626	0.0229852	0.0292243	0.0239892	0.00659156	0.00535333	0.00853391	0.00554578	0.00507234	0.00463579	0.00487586	0.00484463	0.00479247	0.00534762	0.00422466	0.00875155
pour	0.0325302	0.0201077	0.0172218	0.0122283	0.0084864	0.00436757	0.00704833	0.010231	0.0181902	0.0264274	0.0320932	0.0320594	0.0231168	0.0172865	0.0142921	0.0157453	0.0159723	0.012915	0.0155769	0.0217336	0.0151415	0.0223142	0.0173539	0.0187787	0.0248117	0.0156453	0.0219406	0.0215339	0.0212019	0.015062	0.014282	0.0133291	0.012394	0.013778	0.0117699	0.0140268	0.0199365	0.0161181	0.0132	0.021166	0.0135341	0.0116411	0.00892152	0.0224553	0.0191962	0.0279641	0.0220602	0.0271145	0.0176196	0.0282562	0.0299449	0.0274355	0.0424426
cet	0.0286101	0.0209621	0.0205777	0.0195692	0.0149918	0.00591026	0.00667953	0.0104855	0.0090138	0.00912543	0.00946962	0.0136845	0.0117646	0.0148765	0.0222169	0.0209806	0.0284043	0.0415529	0.0425174	0.0333494	0.0319418	0.0254005	0.0295761	0.0252092	0.0272417	0.0388163	0.0445583	0.0391641	0.0280991	0.0314976	0.0245455	0.0168198	0.00988752	0.00748641	0.00543846	0.00508905	0.0103709	0.00864892	0.00817898	0.00911037	0.00553105	0.00621337	0.0117666	0.0191513	0.0135849	0.0186613	0.0159792	0.0180343	0.0157983	0.0160764	0.0149069	0.0144351	0.0180382
enfant	0.0205961	0.0173394	0.0154296	0.0128126	0.0144382	0.00735735	0.00616253	0.00653648	0.00892663	0.0101697	0.0118962	0.0155684	0.0137104	0.0139764	0.0199367	0.0223736	0.0217261	0.0350306	0.0431219	0.0411	0.0409662	0.0358042	0.034692	0.0255805	0.0411832	0.0404333	0.0569379	0.0552237	0.0493775	0.0375586	0.033695	0.0271443	0.0227524	0.0154198	0.0152934	0.0114905	0.00931902	0.00761184	0.0063149	0.0113882	0.00193356	0.00134503	0.00174582	0.00628015	0.00388885	0.00279895	0.0070009	0.0084477	0.00874965	0.00631378	0.00587851	0.00354087	0.00568067
que	0.0199036	0.012247	0.0132296	0.0112404	0.0123705	0.00494572	0.00451188	0.00549436	0.00692917	0.00844544	0.0123767	0.0147145	0.00944433	0.0146588	0.0247286	0.0295627	0.0491966	0.0840427	0.0684917	0.0450574	0.0466136	0.0412734	0.0442404	0.0344345	0.0303691	0.0361583	0.029587	0.0291022	0.0219265	0.0173765	0.0148092	0.00999945	0.0100738	0.00678531	0.00799722	0.00650355	0.0104394	0.0056102	0.00576169	0.0090496	0.00394476	0.00427145	0.0045408	0.00896473	0.00784616	0.00838135	0.0143948	0.0184805	0.013432	0.00976391	0.0119732	0.0120051	0.0122988
j'	0.024223	0.0241906	0.0236535	0.0195497	0.0198318	0.0121503	0.0102068	0.00966954	0.00984419	0.00802531	0.009415	0.0101149	0.0108353	0.0137854	0.0174025	0.0225472	0.0337526	0.0298823	0.0420604	0.0252104	0.0258222	0.0204661	0.0326455	0.0218885	0.0286835	0.0351379	0.027488	0.0324133	0.0218749	0.0225367	0.0167507	0.0143022	0.0139505	0.0135948	0.0127685	0.0166393	0.0278146	0.0188948	0.015191	0.0207901	0.008097	0.00509703	0.007796	0.00997459	0.00699195	0.0105709	0.0133961	0.014668	0.0132742	0.0190557	0.0219866	0.0315926	0.0214955
héberge	0.0237562	0.0171831	0.0139202	0.00985358	0.00864559	0.00206748	0.00257389	0.00440894	0.00854213	0.00925405	0.0106528	0.0168471	0.0189587	0.0150016	0.0136322	0.0236386	0.0236057	0.0221765	0.0313771	0.0287769	0.0249306	0.025266	0.0339253	0.0212325	0.0343123	0.0308618	0.0270952	0.0311455	0.0286681	0.0294698	0.0308487	0.0260731	0.0291235	0.020028	0.0179691	0.0140226	0.0331021	0.0183399	0.0112323	0.0381604	0.0109899	0.010056	0.00728118	0.00807198	0.00821371	0.00864452	0.0138808	0.0132004	0.0116364	0.0122043	0.018849	0.0201168	0.0261756
</S>	0.0310216	0.0121625	0.00543764	0.00452705	0.00268735	0.000815383	0.000977757	0.00251393	0.00526556	0.00825376	0.00952082	0.0154812	0.0159053	0.0137465	0.0148276	0.0236459	0.0243472	0.026976	0.0341813	0.0349664	0.0311609	0.0320327	0.0346145	0.0219226	0.0310699	0.0346745	0.0303714	0.0307057	0.0233584	0.0254373	0.0248807	0.0212479	0.0261184	0.0178719	0.0170737	0.0123586	0.0328744	0.0193129	0.017468	0.0338203	0.0102678	0.00762706	0.00576008	0.00892453	0.00670274	0.00949933	0.0185188	0.0214448	0.0133547	0.0161882	0.0250599	0.0290632	0.0219536
