 	a66	a87	a97	a40	a36	a7	a93	a94	a75	a85	a92	a85	a37	a85	a21	a61	a18	a0	a62	a21	a6	a36	a26	a57	a87	a23	a18	a75	a6	a37	a43	a0	a62	a88	a24	a31	a88	a0	a75	a56	a75	a85	a6	a36	a26	a30	a10	a87	a23	a87	a23	</S>
dans	0.0422868	0.0719565	0.0363878	0.0495127	0.0370771	0.0462198	0.0653233	0.0720687	0.0837267	0.0558475	0.039492	0.0239207	0.0153412	0.0108325	0.0110403	0.0128427	0.0135752	0.0149756	0.0147443	0.0134453	0.019763	0.0148531	0.0161352	0.0155092	0.015439	0.0131625	0.013266	0.0104318	0.0069327	0.0064059	0.0105021	0.00500849	0.00463827	0.00550715	0.00583887	0.0060454	0.00795801	0.00927629	0.00600735	0.00326984	0.00274618	0.0035156	0.00322851	0.00436254	0.00504526	0.00357588	0.00614636	0.00742743	0.00635235	0.00775915	0.00804641	0.0152277
certains	0.0251947	0.0302388	0.0341727	0.0452138	0.0309054	0.0445331	0.0212419	0.0123786	0.00781219	0.0121014	0.022941	0.0202255	0.0193694	0.0241721	0.0175574	0.0176015	0.0215732	0.0183584	0.0243741	0.0406212	0.0450408	0.0439422	0.0382079	0.0297884	0.0213811	0.014732	0.015728	0.0112219	0.00872569	0.00565516	0.00606038	0.00503847	0.00428111	0.00533252	0.00654503	0.00901502	0.00967887	0.00759732	0.0116257	0.00749034	0.00512274	0.00808238	0.0105913	0.0145156	0.021345	0.0151132	0.0191321	0.0228474	0.0288753	0.0218321	0.0185034	0.0163652
villages	0.0279039	0.0221534	0.010195	0.0203393	0.0120686	0.0143579	0.0103171	0.0247493	0.0186541	0.011473	0.0140474	0.0147001	0.0215391	0.0253562	0.0328337	0.0260348	0.0324355	0.0439591	0.0221859	0.0157377	0.0249684	0.0200082	0.0273683	0.0198575	0.02336	0.0391469	0.0327685	0.039632	0.0370806	0.025472	0.0369639	0.0214581	0.0245512	0.0254039	0.0321464	0.016069	0.0184823	0.00671357	0.00650399	0.00622014	0.00431194	0.00764289	0.0057669	0.00723093	0.00751267	0.00558021	0.00771149	0.00985305	0.0143278	0.0101388	0.00872773	0.00597999
on	0.0374291	0.00585754	0.00426959	0.00667494	0.00818626	0.00584688	0.0039604	0.00615418	0.00842533	0.00685269	0.00722333	0.00905229	0.00841273	0.0122638	0.0154343	0.0139578	0.0277799	0.0221843	0.0210494	0.0115749	0.0254813	0.0193727	0.0136828	0.0205581	0.0159808	0.0304742	0.0366687	0.0458988	0.0371135	0.0386193	0.0550703	0.0405764	0.0467211	0.0414913	0.0531602	0.041185	0.0316576	0.0250042	0.0111214	0.00656428	0.0102139	0.00849808	0.00874609	0.00972719	0.00791671	0.0111664	0.0121518	0.00893675	0.00992256	0.00940942	0.0129941	0.0113251
consomme	0.0308356	0.0104559	0.00568072	0.00718703	0.00798234	0.00566834	0.00393079	0.00626666	0.00851388	0.0150028	0.0141199	0.0239674	0.0176559	0.0242403	0.0244351	0.0242694	0.0435482	0.0463068	0.0405753	0.0440896	0.0470941	0.0546354	0.0441675	0.0369325	0.0382838	0.0369918	0.0286774	0.0283968	0.019561	0.0186251	0.0285519	0.0183568	0.0119496	0.0160748	0.0141731	0.0121347	0.00640288	0.00767558	0.0082718	0.0034335	0.00259929	0.00341833	0.00462619	0.00478971	0.0034588	0.00504693	0.00705586	0.00993315	0.012827	0.0105485	0.0180101	0.032564
le	0.0221426	0.00747767	0.00333193	0.00126676	0.00258202	0.00184962	0.00347432	0.0079336	0.00508403	0.00600207	0.00555307	0.00600318	0.00739719	0.0190122	0.0118224	0.0124261	0.0282315	0.0396952	0.0364434	0.0617975	0.0574223	0.0464549	0.0610535	0.0351224	0.056194	0.0688081	0.0786849	0.0538073	0.0340431	0.0258993	0.0229437	0.0293848	0.0132748	0.0179748	0.0120829	0.0127923	0.0135678	0.00919955	0.00645855	0.00287402	0.00276877	0.00649678	0.0053961	0.00425218	0.00547523	0.00314498	0.0037162	0.00690791	0.00538927	0.00415591	0.00341109	0.00131612
letsia	0.0706601	0.0355423	0.0239397	0.00942005	0.00729631	0.00517849	0.00733347	0.00691581	0.00361591	0.00710151	0.00882876	0.0110017	0.0119454	0.0298747	0.0147459	0.0178371	0.0378472	0.0518211	0.049786	0.0658969	0.0448092	0.0454981	0.0594938	0.031538	0.0457316	0.0438197	0.0353643	0.0329595	0.0260411	0.0168126	0.0123759	0.0171168	0.0104291	0.0064801	0.00711064	0.00366548	0.00744404	0.00399159	0.00595792	0.00340686	0.00265007	0.00496023	0.00480469	0.00357589	0.00458258	0.00324469	0.0045822	0.00901699	0.00812615	0.00803153	0.0070664	0.00272386
mais	0.0469957	0.027697	0.0127752	0.00645921	0.00468816	0.00397361	0.00326948	0.00311583	0.00188131	0.00486108	0.00827244	0.0110435	0.00899318	0.0156779	0.0173723	0.0196085	0.0262493	0.0359443	0.037506	0.0701098	0.0700772	0.0664882	0.0578463	0.0732577	0.059885	0.0275061	0.0300631	0.0154359	0.0104818	0.00958482	0.00889666	0.00669948	0.00469747	0.0041709	0.00462624	0.00509838	0.0037874	0.00497477	0.00854727	0.00720662	0.00706621	0.0140644	0.00870518	0.00928057	0.00736318	0.00721424	0.0134045	0.0196712	0.0165936	0.0192976	0.0194012	0.012113
nous	0.0529564	0.0348184	0.0181534	0.0090207	0.00422523	0.00489185	0.0042507	0.00392173	0.00184152	0.005049	0.00781973	0.00888735	0.00803376	0.0124466	0.0203872	0.0247664	0.028292	0.0299661	0.0364591	0.0341766	0.0480256	0.0431911	0.0345577	0.0462026	0.0369872	0.0211394	0.0290691	0.0207583	0.0164671	0.0187967	0.0166433	0.0248742	0.0196482	0.0157249	0.0207102	0.0135654	0.00719423	0.00499661	0.00966255	0.00823229	0.00754762	0.0121573	0.0079504	0.0113628	0.0132317	0.00930416	0.0166806	0.0175777	0.0219689	0.0274016	0.029797	0.0182101
n'	0.0635466	0.0539485	0.0327134	0.0127163	0.00571171	0.00313856	0.00312495	0.00239376	0.00192508	0.00570383	0.00837094	0.0149074	0.0127054	0.0169747	0.0208307	0.0217223	0.0252358	0.0233976	0.0294899	0.0309499	0.0369801	0.0329436	0.025696	0.0274444	0.0249582	0.0176011	0.0176546	0.0159425	0.0139586	0.0146557	0.0152207	0.01242	0.0140386	0.0110333	0.0138329	0.00841976	0.00657289	0.0033422	0.00840174	0.00999042	0.00949954	0.0116992	0.00946414	0.0139738	0.0153071	0.00971583	0.0235932	0.0232531	0.0288439	0.0452285	0.0466662	0.0421405
en	0.040355	0.0545824	0.0397599	0.0138195	0.003553	0.00332976	0.00418715	0.00283601	0.00142709	0.00367755	0.00509121	0.00786942	0.0083933	0.00775942	0.0128547	0.0134254	0.0139707	0.0122082	0.016497	0.0186323	0.0233509	0.0203413	0.0167112	0.0146446	0.0101196	0.00557435	0.00470032	0.00392672	0.0034043	0.00351691	0.00421278	0.00248901	0.00345597	0.00340315	0.00577937	0.00501835	0.00625799	0.00320853	0.0127336	0.0156223	0.0155795	0.0201059	0.0187374	0.0327379	0.0418334	0.0243206	0.0494534	0.0473848	0.0496401	0.0820963	0.0848257	0.0805847
