 	a66	a87	a23	a87	a23	a10	a75	a47	a6	a5	a85	a0	a61	a75	a47	a36	a47	a6	a37	a36	a26	a57	a87	a23	a4	a57	a53	a90	a56	a34	a93	a70	a93	a43	a75	a56	a47	a88	a43	a27	a10	a97	a10	a87	a23	a87	a23	a87	</S>
parmi	0.0183003	0.0199039	0.018095	0.0214456	0.0187683	0.0348284	0.0404079	0.0561368	0.0724521	0.104061	0.10071	0.0708214	0.035531	0.0242446	0.019769	0.0150208	0.010476	0.00724115	0.00659783	0.013286	0.0124727	0.0129665	0.00962414	0.0128492	0.0100748	0.0168791	0.0139768	0.0135952	0.0132721	0.0134073	0.023934	0.0210561	0.0173476	0.0116891	0.00886677	0.00904395	0.00460894	0.00602867	0.00290216	0.00306059	0.00285665	0.002747	0.00411788	0.00376977	0.00405109	0.00483775	0.00596172	0.00428949	0.0216158
ceux	0.014424	0.0141199	0.0180341	0.0184223	0.0196936	0.0212126	0.0262488	0.0322977	0.0207454	0.0202395	0.0173057	0.0134462	0.0116779	0.0205524	0.0348707	0.020116	0.0655305	0.0329775	0.0355422	0.0295806	0.0488153	0.0561025	0.0264144	0.0291049	0.0277627	0.0219212	0.0152541	0.0177211	0.0244414	0.0163706	0.0120207	0.00984773	0.00850278	0.00994441	0.00885445	0.00863192	0.004549	0.0144823	0.010502	0.0112934	0.0142451	0.0205123	0.0185583	0.0195304	0.0143125	0.0148272	0.0115054	0.00980501	0.00712904
qui	0.0186634	0.0218033	0.0176213	0.0200252	0.01931	0.0346084	0.049961	0.0638223	0.114212	0.0620791	0.0391634	0.0194173	0.014667	0.0214624	0.0239046	0.0213553	0.0468473	0.0286935	0.0254272	0.0255532	0.0341644	0.0407861	0.0317162	0.0302535	0.0244878	0.0212404	0.0283942	0.0150761	0.0169068	0.0083313	0.00756489	0.00509381	0.00560415	0.00385895	0.0020296	0.00149233	0.00111465	0.00201386	0.00285035	0.00163397	0.0021135	0.00246319	0.00120721	0.00316897	0.00281862	0.00252173	0.00441609	0.00558734	0.00249311
se	0.0485864	0.0272292	0.0138936	0.00750587	0.00563786	0.00334946	0.00558008	0.00395341	0.00581648	0.00945721	0.00973086	0.00865474	0.00619482	0.00851753	0.0103226	0.00698974	0.0137902	0.0137302	0.0186329	0.0327022	0.0307886	0.0163285	0.0299784	0.0197951	0.026356	0.0197188	0.0222998	0.026713	0.0395385	0.0328281	0.0340855	0.0494998	0.0563937	0.0438656	0.0200957	0.0130847	0.0167917	0.0169774	0.0154361	0.0194795	0.0105322	0.0145629	0.0143608	0.0228866	0.0270273	0.0304938	0.0293149	0.0298734	0.0106183
querellaient	0.0321153	0.021322	0.0163349	0.0129941	0.00981185	0.00734811	0.00737133	0.00544132	0.00822284	0.0128773	0.0132985	0.0271603	0.0374223	0.0435013	0.0435874	0.0341072	0.0518759	0.0464402	0.0472078	0.0304185	0.032623	0.0247525	0.0402599	0.0252063	0.0275803	0.0226755	0.0260534	0.0290365	0.0486104	0.0410797	0.0247727	0.0230037	0.024125	0.0104809	0.00757405	0.00850629	0.00705258	0.00940221	0.00377848	0.00398025	0.0031223	0.00296272	0.0042746	0.00355866	0.00336556	0.00635645	0.0123214	0.00705981	0.00756625
lequel	0.0428058	0.0259843	0.0196123	0.0147653	0.0121104	0.0108422	0.0149655	0.0170488	0.0266796	0.0182692	0.0139462	0.0129867	0.0174022	0.016656	0.0313596	0.0114515	0.0215896	0.0137281	0.0194985	0.0173583	0.0194645	0.0216704	0.021956	0.0308127	0.0157735	0.0258708	0.0338494	0.0320741	0.034093	0.0398218	0.0421949	0.0596581	0.0427595	0.0443494	0.0107293	0.00546309	0.00703881	0.0112593	0.00501318	0.00745305	0.00415817	0.00405704	0.00476822	0.00732842	0.0108742	0.0173748	0.0290194	0.0179626	0.0140923
s'	0.0457379	0.0361391	0.0356374	0.0291681	0.019909	0.0116315	0.0121342	0.0111115	0.01075	0.00653737	0.00664399	0.0061046	0.00822504	0.0108019	0.0205948	0.0101194	0.0196463	0.0171397	0.0212299	0.0209056	0.0206373	0.0181762	0.0247023	0.0242075	0.0145651	0.0148422	0.0131769	0.0148276	0.033622	0.0420394	0.0309474	0.0312261	0.0297859	0.0278038	0.0121335	0.00497463	0.00985292	0.0105528	0.007428	0.0111385	0.0085555	0.00862527	0.0115299	0.0115197	0.0166391	0.0274648	0.0586387	0.0512132	0.0490068
est	0.0300016	0.0291515	0.0271299	0.0258712	0.019601	0.0120897	0.00970244	0.00620114	0.0063992	0.0048048	0.00397924	0.00469429	0.0114435	0.0119563	0.0250496	0.0140505	0.0261072	0.0244308	0.0389511	0.0212302	0.0240682	0.0226555	0.0287086	0.035366	0.0349393	0.0251644	0.0309473	0.0210959	0.0403228	0.0298587	0.0205365	0.0159481	0.0203911	0.0200346	0.0150435	0.00582112	0.0136474	0.016806	0.018114	0.0116944	0.014977	0.0142109	0.0158334	0.0129911	0.0167686	0.0219166	0.0385079	0.0298054	0.0309804
calmé	0.0257673	0.0192639	0.0201399	0.0187837	0.0180556	0.015662	0.0145739	0.0119189	0.0115033	0.011245	0.0106563	0.0136521	0.0190067	0.0196919	0.026032	0.0205621	0.0217763	0.0165474	0.0290557	0.0217518	0.0206704	0.0244738	0.0169495	0.0299125	0.0278069	0.0305425	0.0298691	0.0344241	0.0303882	0.0237138	0.0172469	0.017133	0.0197408	0.037276	0.0146421	0.00737238	0.0124007	0.011833	0.00874084	0.00888346	0.00853531	0.00731873	0.0100401	0.0111278	0.0101628	0.0125703	0.0384672	0.0287033	0.0834087
avant	0.0216213	0.015775	0.018994	0.018969	0.019146	0.0169616	0.0162814	0.0125509	0.0120962	0.0130762	0.0133704	0.0201965	0.0162021	0.0234484	0.025691	0.0214053	0.0172961	0.0157233	0.0287957	0.014948	0.0164568	0.0196321	0.0165191	0.0290174	0.0284062	0.0326804	0.0332461	0.030992	0.0343411	0.0233495	0.0173823	0.0197531	0.0170962	0.03306	0.0236358	0.0125714	0.0139076	0.0116728	0.00928462	0.0100324	0.0099393	0.00806076	0.0102503	0.0102501	0.0110538	0.0122792	0.0296269	0.0277306	0.0852238
