 	a66	a87	a23	a99	a53	a15	a79	a7	a5	a12	a56	a92	a37	a11	a75	a92	a7	a26	a44	a93	a70	a93	a56	a98	a47	a7	a13	a3	a99	a87	a23	a87	</S>
sa	0.0385665	0.0390312	0.0334928	0.0379767	0.0494457	0.117024	0.0588766	0.119752	0.0289584	0.025251	0.0140974	0.014425	0.0110637	0.0110979	0.0127398	0.00952087	0.00728085	0.00687705	0.00715848	0.0125394	0.0195615	0.00950339	0.00946089	0.0135676	0.0259351	0.0383582	0.0378264	0.0339494	0.0331336	0.034769	0.030785	0.0229693	0.0350055
mère	0.00546717	0.00728572	0.0207683	0.0339546	0.0420348	0.0369576	0.0833492	0.112422	0.135125	0.0618362	0.077294	0.0757589	0.030173	0.0323117	0.0213156	0.033493	0.0338839	0.0159199	0.0156574	0.0060804	0.0122219	0.012895	0.012595	0.0194294	0.00981735	0.00678663	0.00682518	0.00570435	0.00581968	0.00665387	0.00542122	0.00804074	0.00670079
l'	0.0240428	0.0208522	0.0258932	0.0264614	0.0305898	0.0256419	0.031676	0.0337536	0.0690067	0.0779051	0.0714985	0.0545169	0.0572777	0.0652625	0.0544393	0.0311776	0.0277486	0.0226353	0.0169174	0.0150908	0.00806881	0.00942702	0.0105001	0.011551	0.0142722	0.012392	0.0157663	0.0259821	0.0193974	0.0303759	0.011587	0.0297432	0.0185496
a	0.0194359	0.00828511	0.0102911	0.0103658	0.0119552	0.0190621	0.0401121	0.0190666	0.0286717	0.0208512	0.0901103	0.116711	0.128079	0.13885	0.0585463	0.0573488	0.0731713	0.0472192	0.0239202	0.011237	0.00396388	0.00245233	0.00213081	0.00267586	0.00278122	0.00320723	0.00553487	0.00544824	0.00507193	0.00453901	0.00596399	0.0070976	0.0158433
frappé	0.0348778	0.018574	0.0114009	0.0208026	0.0388894	0.0807493	0.0759663	0.0706918	0.0624151	0.0518972	0.0649424	0.0679572	0.0696995	0.0636762	0.0403356	0.0388971	0.0487995	0.0265083	0.0146749	0.0131596	0.00559997	0.00344041	0.00223948	0.00271432	0.0024773	0.00327796	0.00528301	0.00667071	0.00399826	0.00624937	0.0090195	0.0112835	0.0228315
parce	0.0208039	0.0136282	0.0117207	0.0126141	0.0192183	0.0252734	0.0444908	0.0582203	0.0595342	0.0503783	0.0377206	0.038209	0.0278616	0.0300882	0.0323329	0.0179712	0.0116587	0.00987079	0.0084182	0.0121639	0.0132746	0.0127867	0.012145	0.0114948	0.0235964	0.0340676	0.0368258	0.054545	0.0484715	0.0534553	0.0366042	0.0408444	0.0797115
qu'	0.0348616	0.0184273	0.0268038	0.0178388	0.0220993	0.0351862	0.0773999	0.0852597	0.0674406	0.0501023	0.0568012	0.062471	0.0365408	0.0354788	0.0259887	0.0199376	0.0108994	0.00846827	0.00667345	0.00979727	0.00779254	0.0106545	0.00827566	0.00846094	0.0171121	0.0178761	0.0192079	0.0224288	0.0255154	0.0272801	0.0237555	0.0377637	0.0654006
il	0.0563219	0.0611605	0.057734	0.0549772	0.0383692	0.0281853	0.0212933	0.0229549	0.0225339	0.0184916	0.0230825	0.0327882	0.0242362	0.0253964	0.0313631	0.0257671	0.036489	0.0356919	0.0305099	0.0341714	0.0183809	0.0151258	0.0100174	0.00780007	0.0144452	0.0167645	0.0216748	0.0300318	0.0299229	0.0355856	0.0266252	0.0474284	0.04468
a	0.0481978	0.0476918	0.0468584	0.0357689	0.0375993	0.0271368	0.0207135	0.0185158	0.014237	0.0199011	0.0188272	0.0132679	0.0126571	0.0136922	0.0151132	0.0121104	0.0149444	0.0134163	0.0139324	0.00920299	0.0201653	0.0369695	0.0427707	0.0367574	0.0653718	0.0418654	0.0563265	0.0530889	0.0491193	0.0375344	0.0330053	0.0442684	0.0289729
écarté	0.0389096	0.0428178	0.0452968	0.0478982	0.0487822	0.0251825	0.0391006	0.0256032	0.0109555	0.0191968	0.0136561	0.0069928	0.00924909	0.00733505	0.0130197	0.00985116	0.0127995	0.0124836	0.0124353	0.012637	0.0161808	0.0210215	0.0213272	0.0134541	0.03472	0.0306583	0.0558026	0.0477339	0.0508061	0.049632	0.05636	0.0693122	0.0787888
