 	a66	a87	a23	a79	a57	a4	a44	a94	a54	a79	a7	a53	a4	a53	a90	a15	a79	a44	a90	a79	a37	a92	a37	a18	a56	a37	a18	a71	a82	a87	a23	a87	</S>
le	0.0242488	0.0246096	0.0195525	0.0204416	0.0193795	0.0280235	0.0791629	0.0584648	0.0645388	0.0710694	0.0337036	0.0294986	0.0214896	0.00907979	0.0111418	0.00839561	0.00764897	0.00675078	0.00701042	0.0076769	0.00664712	0.00925685	0.0234831	0.0206958	0.0242748	0.0447841	0.0543116	0.0598378	0.0418958	0.0341579	0.0276799	0.0251836	0.0759041
pic	0.00241337	0.00275173	0.00185745	0.00171744	0.00196535	0.0037572	0.0166396	0.0253033	0.0560735	0.0552642	0.0986094	0.145169	0.20953	0.0951554	0.0459323	0.0439268	0.0473682	0.0488181	0.0214033	0.0161796	0.00919487	0.00835164	0.00631487	0.0040787	0.00556825	0.00623861	0.00213241	0.00433384	0.00540282	0.0010373	0.00253207	0.00309277	0.00188605
pointillé	0.0142255	0.022564	0.0149596	0.0150316	0.024465	0.0379495	0.0324042	0.0426903	0.170489	0.116344	0.125483	0.0355702	0.0535931	0.038282	0.093762	0.0304864	0.0426993	0.0233603	0.0176945	0.00815952	0.00636708	0.00182905	0.00311377	0.00118938	0.00158321	0.00104249	0.00317909	0.00504729	0.00383479	0.00292779	0.00410966	0.00277682	0.00278728
est	0.0587532	0.0450085	0.0731524	0.0327729	0.0446339	0.03045	0.0241746	0.0272019	0.0367898	0.0348779	0.03924	0.0207705	0.0279827	0.0239163	0.0298357	0.026142	0.0295566	0.070167	0.0537087	0.0839325	0.044163	0.0337625	0.0134909	0.00743606	0.00675199	0.00760085	0.0109974	0.0118486	0.0173551	0.00856001	0.00741328	0.00692173	0.0106315
en	0.00584943	0.00761426	0.0113587	0.00949992	0.00950527	0.00615406	0.00681015	0.0118476	0.0110532	0.0138416	0.0233222	0.0344501	0.0614377	0.0900402	0.113002	0.107875	0.0847213	0.0612369	0.0653091	0.0886031	0.0661338	0.0205133	0.0198066	0.00686877	0.00543672	0.00516657	0.00756297	0.0108008	0.00884607	0.0060081	0.00926811	0.00511485	0.00494149
train	0.00825011	0.00870798	0.00957021	0.0109817	0.0159246	0.00987048	0.00964909	0.010009	0.0110286	0.0100762	0.0156617	0.0276987	0.0445657	0.0539581	0.0953092	0.0668599	0.0733135	0.0680479	0.0597978	0.0969665	0.0912311	0.0309555	0.0257235	0.015021	0.0154884	0.0128557	0.0166396	0.0202475	0.0114838	0.0134894	0.0175994	0.0144607	0.00855746
de	0.0316588	0.0131068	0.0157822	0.0174954	0.0199407	0.0406651	0.0698477	0.0620591	0.0846707	0.0519875	0.0483435	0.0298248	0.0336102	0.0174158	0.0123495	0.00898255	0.0118504	0.0111016	0.00575749	0.00652524	0.00961711	0.0113028	0.0217503	0.0183658	0.0139172	0.0169874	0.0418583	0.0343793	0.0393137	0.0372386	0.0557164	0.0593548	0.0472233
poursuivre	0.0103933	0.0104673	0.010329	0.00926517	0.00699975	0.00839727	0.0142731	0.025154	0.0346346	0.0420343	0.0649501	0.116949	0.0876963	0.072393	0.0589199	0.0639751	0.0444351	0.041091	0.0216464	0.0151703	0.0214391	0.0164127	0.0194757	0.0133243	0.0162603	0.0151518	0.0219654	0.0217127	0.0173559	0.0205221	0.0199909	0.0217475	0.0154681
le	0.024236	0.0182437	0.0123261	0.00545865	0.00487172	0.00887116	0.0224989	0.0211807	0.0254768	0.0296843	0.0293846	0.035601	0.0328228	0.0213237	0.015319	0.0112949	0.0110653	0.0148546	0.0137589	0.0172294	0.0156608	0.025698	0.0422381	0.04431	0.0430541	0.0547776	0.0828516	0.0423507	0.0566378	0.052837	0.0455741	0.0514121	0.0670961
termite	0.0196307	0.0201235	0.0174967	0.0125328	0.0115774	0.0154028	0.0258866	0.021962	0.0290708	0.0271852	0.0283293	0.034759	0.0389203	0.034334	0.0280309	0.0162312	0.0180999	0.0244451	0.0193602	0.0193934	0.0140821	0.0138194	0.0243664	0.0181167	0.0194147	0.0314925	0.0443761	0.0589176	0.0443734	0.0631932	0.0628152	0.0695774	0.0726832
</S>	0.0243226	0.0196399	0.0147331	0.0112152	0.00824301	0.0138577	0.0213577	0.0235997	0.0253234	0.0224881	0.0221281	0.0271762	0.0208424	0.0202423	0.0170613	0.00963664	0.0108576	0.0142652	0.0102744	0.00998466	0.0130755	0.0149169	0.0235913	0.0231714	0.0240381	0.0304353	0.0589028	0.0731855	0.0523119	0.0765469	0.0725919	0.0984515	0.091532
