 	a66	a87	a97	a87	a79	a44	a57	a11	a41	a56	a54	a44	a70	a53	a79	a44	a4	a90	a4	a53	a44	a54	a56	a44	a53	a44	a11	a53	a4	a13	a40	a7	a11	a70	a37	a70	a83	a13	a83	a70	a99	a70	a4	a13	a70	a96	a99	a18	a26	a57	a99	a87	a97	a87	a23	a87	a23	a87	</S>
le	0.0141876	0.0172872	0.0102728	0.0115207	0.00969631	0.00831772	0.0163155	0.0178707	0.019486	0.0279278	0.0265181	0.0259524	0.0687675	0.076568	0.0873737	0.0757501	0.05835	0.0472555	0.0205699	0.0288302	0.00991638	0.0130491	0.00968124	0.00948718	0.00797375	0.00893553	0.00543173	0.00821061	0.00906866	0.00635304	0.00739329	0.00706922	0.00898089	0.0116304	0.00873556	0.0156061	0.0212265	0.0182523	0.0163623	0.0152965	0.0114451	0.0113535	0.00697954	0.00726826	0.00452214	0.00499646	0.00570905	0.00405667	0.00451663	0.00285239	0.00237486	0.00327369	0.00275024	0.00333451	0.00441642	0.00490061	0.0066693	0.00528212	0.0158204
berger	0.00194666	0.0130369	0.0129234	0.0491709	0.022981	0.0373871	0.120089	0.0759075	0.0486398	0.0582899	0.0660547	0.0315288	0.0675494	0.0270328	0.0431473	0.0121499	0.0175012	0.0305086	0.0217489	0.0155193	0.00269902	0.00412462	0.00327951	0.00530567	0.0056802	0.0207775	0.00907075	0.0254111	0.0239752	0.0163855	0.0166626	0.0152853	0.0121595	0.0115974	0.00841179	0.0120013	0.00462349	0.00276607	0.00422717	0.0047996	0.0044599	0.00355025	0.00287372	0.000910686	0.000766859	0.00040737	0.000459843	0.000235701	0.00023705	0.000332711	0.000215503	0.000332547	0.000178942	0.000267724	0.000224176	0.000291923	0.000446873	0.000835001	0.000616207
fait	0.00207449	0.0079878	0.0157674	0.0215091	0.0243624	0.017399	0.0559968	0.100587	0.045272	0.0906853	0.0630035	0.0846643	0.0518532	0.11127	0.0974584	0.0889927	0.056679	0.0207121	0.00553208	0.00314616	0.00104649	0.00170424	0.00121075	0.000706902	0.0010824	0.00101657	0.00118768	0.00168267	0.00157387	0.00154636	0.00162628	0.00185807	0.00172538	0.0012327	0.000968481	0.00302493	0.0011502	0.000970928	0.0017328	0.00161871	0.00145827	0.00146363	0.000826041	0.000413013	0.000417307	0.00024559	0.000236287	0.000235438	0.000100014	0.000200657	8.6862e-05	0.000137482	6.36703e-05	7.34831e-05	3.90042e-05	7.57493e-05	6.04283e-05	0.000165658	8.24357e-05
reposer	0.0245928	0.0175448	0.0123398	0.013034	0.0136708	0.0372657	0.0401151	0.0443499	0.0722247	0.0655335	0.0505568	0.066133	0.0404648	0.0532287	0.0173949	0.0268102	0.0288213	0.0179137	0.0119256	0.00936739	0.00165388	0.0039924	0.00673412	0.00531184	0.00484545	0.00888176	0.0141358	0.00832852	0.011609	0.016121	0.0198885	0.0197869	0.0259146	0.0243228	0.0142012	0.0280149	0.0107703	0.00738384	0.0111187	0.010406	0.0141333	0.0150888	0.0120729	0.00358976	0.00284634	0.00162877	0.00179957	0.00302636	0.00178617	0.0027335	0.00275398	0.0024811	0.00212888	0.00285656	0.00201377	0.00247244	0.00267466	0.00461683	0.00258727
les	0.0169056	0.0237033	0.0366858	0.0265103	0.0408108	0.0357869	0.034834	0.0252861	0.0335969	0.0210908	0.022379	0.0454679	0.0199683	0.0199602	0.0126194	0.00991283	0.00545088	0.00444994	0.00746987	0.0180388	0.0115124	0.0205254	0.0182581	0.00707588	0.0168884	0.0253083	0.0254304	0.0131847	0.0177618	0.0182077	0.0145922	0.016203	0.0284407	0.0341052	0.0221929	0.0212521	0.0164057	0.0232169	0.0391792	0.0330061	0.0189296	0.0265361	0.0224416	0.0116308	0.00400479	0.00435129	0.00380956	0.00333003	0.00225549	0.0022798	0.00208044	0.00206266	0.00179734	0.00174234	0.00173232	0.0017646	0.00156413	0.00259608	0.00141644
boeufs	0.0249124	0.0223584	0.0332019	0.0168154	0.0393975	0.0248646	0.0394316	0.0461505	0.0556963	0.0328837	0.0212746	0.0493096	0.0224225	0.018943	0.00922174	0.0183851	0.0184743	0.0129886	0.0197303	0.0296173	0.0265588	0.0433015	0.04499	0.0158032	0.0166924	0.0182952	0.0133916	0.00926177	0.00818262	0.0136223	0.0128527	0.00957685	0.0192552	0.0166517	0.0103559	0.0110381	0.0120859	0.00926954	0.0132683	0.0111506	0.00875838	0.0132885	0.0087403	0.0136604	0.00914224	0.00663747	0.00667241	0.00794728	0.00584769	0.00447128	0.00383436	0.00364293	0.00297738	0.00238426	0.00144548	0.00226175	0.00236763	0.00200994	0.00222698
car	0.0346079	0.021955	0.0221222	0.013275	0.0146183	0.01277	0.00975133	0.0140381	0.012841	0.0142778	0.0082565	0.0300561	0.0112149	0.0124313	0.00461536	0.0191606	0.00981713	0.00809814	0.0122799	0.0173565	0.0387011	0.0318265	0.0443793	0.020727	0.0445556	0.0168121	0.0214184	0.0200541	0.0176813	0.0288589	0.0160433	0.0168732	0.029323	0.0281921	0.0160639	0.014003	0.0138328	0.00857805	0.0121678	0.00954365	0.00861916	0.00939327	0.0106744	0.0137522	0.00976523	0.0125103	0.0130086	0.0146014	0.0142633	0.0115467	0.0147692	0.0175006	0.0140574	0.0147981	0.0125843	0.0136492	0.0168946	0.0128692	0.011565
ceux-ci	0.0310976	0.014686	0.0117357	0.00523955	0.00503967	0.00597579	0.00362551	0.00742406	0.00358703	0.0105651	0.0167945	0.0169129	0.0161806	0.0238939	0.0263088	0.0365575	0.0360473	0.0318366	0.0366364	0.040045	0.0463443	0.0322111	0.0348727	0.0329337	0.0382064	0.0235594	0.0262258	0.021078	0.0176946	0.0220202	0.0126477	0.0113279	0.0118519	0.017677	0.00916444	0.0105351	0.00884891	0.00894693	0.00758574	0.00638356	0.00549395	0.00547153	0.00571451	0.00463967	0.00453628	0.00523888	0.00460118	0.00498598	0.00553117	0.00726714	0.00686851	0.00849288	0.00850167	0.0138511	0.0143844	0.0230739	0.0207538	0.0241289	0.0461598
ont	0.0298249	0.0282786	0.0290813	0.0200617	0.0197217	0.00902782	0.0047501	0.00694271	0.00446874	0.00871848	0.00916417	0.0120188	0.0217936	0.0229707	0.030091	0.0305995	0.0258446	0.0351637	0.0338115	0.0408673	0.0414021	0.0310547	0.0224335	0.0238259	0.0306673	0.0159078	0.0154627	0.0122444	0.0100646	0.0121826	0.00689168	0.00665665	0.00623978	0.00867176	0.00502144	0.00605253	0.00522328	0.00509568	0.00483986	0.00420679	0.00349713	0.00379303	0.0039249	0.00422079	0.00428208	0.00940443	0.0104297	0.0086287	0.00885895	0.00924935	0.00734646	0.00958127	0.0106051	0.0217569	0.0273273	0.0310912	0.0284358	0.0364104	0.0638107
beaucoup	0.0216541	0.0114622	0.0134414	0.00752092	0.00829139	0.00656731	0.00315612	0.00659256	0.00298428	0.00744002	0.00606083	0.00927417	0.0110661	0.0129319	0.0113945	0.0175455	0.0107935	0.019898	0.0173053	0.0279736	0.0440909	0.0342142	0.024212	0.0205076	0.0293314	0.013791	0.0133673	0.0142724	0.0102071	0.0128481	0.00716753	0.00681183	0.00710284	0.00981504	0.00712903	0.0078594	0.00676472	0.00683051	0.00747659	0.00660596	0.00497842	0.00587385	0.00656024	0.00857822	0.00822564	0.0174736	0.0209021	0.0171117	0.0176227	0.0179757	0.0144493	0.0169149	0.0202362	0.0341252	0.0589991	0.046528	0.0502194	0.054044	0.0554224
