 	a66	a87	a83	a70	a90	a98	a85	a41	a75	a61	a96	a75	a25	a15	a75	a92	a75	a85	a47	a37	a21	a92	a98	a85	a47	a7	a44	a34	a93	a70	a83	a9	a10	a87	a23	a97	a99	a97	a87	a23	a97	a3	a87	</S>
ma	0.0254282	0.0196377	0.0191332	0.0243438	0.0340029	0.0296	0.0413351	0.055287	0.065719	0.0595971	0.0398734	0.033494	0.0410395	0.0251715	0.0245837	0.0248105	0.0153962	0.0162751	0.0196739	0.0285623	0.0312983	0.0233048	0.0239867	0.0281531	0.0152945	0.0192621	0.0141744	0.031476	0.0225705	0.0137733	0.0140212	0.014543	0.0095244	0.00911921	0.00704673	0.00581851	0.00584211	0.00546581	0.0065957	0.00717465	0.00714894	0.0119551	0.006635	0.0228521
mère	0.0056505	0.00801011	0.016709	0.0176878	0.0322669	0.0995918	0.113836	0.0529891	0.0539574	0.0444377	0.0534873	0.0891885	0.0446511	0.0442436	0.0265103	0.0280009	0.0310985	0.0317279	0.0199066	0.0137313	0.0136675	0.011821	0.0125981	0.0159928	0.0127213	0.0083122	0.0122571	0.0175254	0.0175005	0.0123431	0.00638179	0.00486566	0.00294969	0.00208749	0.00121435	0.00104139	0.00142093	0.00162464	0.00131003	0.00158715	0.00149863	0.00391239	0.00290429	0.00478036
m'	0.0435472	0.0193468	0.0339239	0.0336235	0.0317553	0.0439289	0.0588471	0.0337502	0.0566693	0.0361186	0.0594659	0.118702	0.0482465	0.0411214	0.0508483	0.0370437	0.0212707	0.0241492	0.0159244	0.00334955	0.00613033	0.00745412	0.011003	0.00994139	0.0140622	0.00433999	0.00983816	0.00373885	0.00384459	0.00602528	0.00379109	0.00524048	0.00597996	0.00415978	0.00429121	0.00402172	0.0048807	0.00714887	0.00521137	0.00659428	0.00982388	0.0185799	0.0204665	0.0117998
a	0.0386246	0.017125	0.0105902	0.0175145	0.0151236	0.0171612	0.0120194	0.0142589	0.00880041	0.00830805	0.0110539	0.0193615	0.0254462	0.0292666	0.031492	0.0443974	0.0432579	0.052608	0.0658703	0.0461932	0.0199382	0.0385264	0.0371317	0.0374405	0.0335693	0.0223334	0.0289018	0.0162061	0.0367007	0.013876	0.00928665	0.0100241	0.0092612	0.0105657	0.00853603	0.00587653	0.0117404	0.0129172	0.0115108	0.0168564	0.0215853	0.0204468	0.0153926	0.0229035
défendu	0.0327369	0.0253206	0.0155805	0.0187791	0.0196049	0.0280251	0.0401534	0.0441526	0.0575074	0.0276991	0.0239825	0.023509	0.0333758	0.0573871	0.0377391	0.0414635	0.0556545	0.0478922	0.0382454	0.0359923	0.0242811	0.0221367	0.0228759	0.0302075	0.019037	0.0214199	0.0126049	0.0163607	0.0257731	0.0127935	0.00779625	0.00903135	0.00471832	0.00588495	0.00575549	0.0034421	0.00420617	0.00494421	0.00474971	0.00642076	0.00717138	0.00724263	0.00640151	0.00994397
d'	0.0188433	0.00850348	0.0114271	0.0116378	0.0141365	0.0160237	0.0174611	0.0200673	0.0303738	0.0327464	0.0353989	0.0551611	0.061133	0.0578628	0.0581406	0.0726172	0.0703026	0.0637654	0.0483494	0.0405743	0.0283426	0.0248439	0.0158144	0.0094254	0.00696308	0.00654124	0.00584838	0.00809029	0.0160353	0.00825735	0.00830787	0.00895544	0.0076652	0.00759681	0.00829166	0.00743113	0.00777546	0.00725232	0.00688526	0.00790589	0.0111455	0.00909327	0.00875694	0.0182496
utiliser	0.0242963	0.0112879	0.0183394	0.0173152	0.0189844	0.0200366	0.0228854	0.0259253	0.0293095	0.0388249	0.0375702	0.0540437	0.0593383	0.0622582	0.056771	0.0696033	0.0662299	0.0637648	0.0500215	0.0290975	0.0262517	0.0169858	0.0141414	0.00644932	0.00635425	0.00454329	0.00543846	0.00392353	0.00729973	0.00971783	0.00722701	0.0087456	0.00800186	0.00497819	0.00499021	0.0032302	0.00630315	0.00763168	0.0064069	0.00679624	0.0104659	0.0125861	0.012093	0.0235355
les	0.0793009	0.0182932	0.0211317	0.0142323	0.00720591	0.00580988	0.00549736	0.00729051	0.0130754	0.0133883	0.0209809	0.0419593	0.0391127	0.0360362	0.0305765	0.0565381	0.0411356	0.0328951	0.0291027	0.0153949	0.00833227	0.00744815	0.00634766	0.00519791	0.00371198	0.00584535	0.00602141	0.00548139	0.0238726	0.00777623	0.0102875	0.00809551	0.0101202	0.0148652	0.0195014	0.0123961	0.017689	0.0331946	0.0322569	0.0372337	0.0549843	0.0608039	0.0404079	0.0391715
feuilles	0.0409821	0.013679	0.0132346	0.0108658	0.00584383	0.00444063	0.00441461	0.00754409	0.0123902	0.0155208	0.0188364	0.0287931	0.0397775	0.0427916	0.0325482	0.0577321	0.0513607	0.0363651	0.0354017	0.0322655	0.0170213	0.0116526	0.0101314	0.00507465	0.00707388	0.0150331	0.0102162	0.00627131	0.0163061	0.00606199	0.00930364	0.0105462	0.0171211	0.0185715	0.0193299	0.0135024	0.0216755	0.037301	0.0299405	0.0300761	0.0443397	0.0507085	0.0439764	0.0439775
aboyo	0.0424613	0.0312332	0.0237679	0.031847	0.0283291	0.023866	0.0209765	0.0149482	0.0259735	0.0258754	0.0268166	0.0322639	0.0367819	0.0327172	0.0225665	0.0314031	0.022376	0.0151278	0.015796	0.0154747	0.00841892	0.0100787	0.014774	0.00932299	0.00857233	0.0129517	0.0131558	0.0163945	0.0272863	0.00918332	0.0109197	0.00854845	0.0108454	0.0132618	0.0120636	0.00979449	0.0133912	0.0142737	0.0192767	0.0284469	0.0470736	0.0566379	0.0572075	0.0475189
