 	a66	a87	a23	a30	a4	a94	a90	a76	a90	a94	a12	a35	a85	a47	a98	a47	a36	a56	a43	a11	a13	a9	a99	a87	a23	a13	a38	a0	a11	a96	a24	a31	a43	a56	a90	a69	a58	a82	a87	</S>
l'	0.0197178	0.0317411	0.0390404	0.0417132	0.0635841	0.0452988	0.0714934	0.083193	0.0465661	0.0196512	0.020022	0.00976369	0.00699544	0.00842084	0.00950598	0.0125872	0.01302	0.0187178	0.0180869	0.0211448	0.0483026	0.036579	0.0279757	0.0263765	0.0191883	0.0174322	0.0306553	0.00983559	0.00876041	0.00663553	0.00767685	0.0137956	0.0128211	0.0296286	0.0176599	0.0124289	0.0117803	0.02024	0.00773825	0.0342257
autre	0.00715184	0.00651269	0.00675347	0.0169099	0.0392343	0.0279232	0.0462583	0.0773972	0.0494865	0.0457645	0.0784907	0.0675292	0.0472667	0.0427595	0.0421734	0.0318633	0.0309977	0.0298794	0.0150159	0.0173796	0.0270284	0.0305173	0.0366067	0.0309003	0.0156821	0.0104404	0.011111	0.0061869	0.0125548	0.0140705	0.00548447	0.0124882	0.0110843	0.00507355	0.0067751	0.00434737	0.00423481	0.00762443	0.00759921	0.0134429
commerce	0.018471	0.0119626	0.0131358	0.0224227	0.0292554	0.0447453	0.0455832	0.0576752	0.0252016	0.0281448	0.0718305	0.107593	0.0563954	0.0356233	0.0443192	0.0488694	0.035664	0.0229836	0.0153099	0.0186564	0.0213865	0.0147189	0.0115163	0.0168033	0.00476668	0.00535324	0.00592624	0.00479234	0.00754886	0.00804522	0.00415438	0.0126476	0.0139352	0.0152623	0.0117697	0.0108677	0.0167401	0.0214009	0.0215293	0.016993
concerne	0.0684815	0.038497	0.0268556	0.0380563	0.0363516	0.0552871	0.0414443	0.0297418	0.0202998	0.0115761	0.0283356	0.0271206	0.021226	0.0341986	0.0241538	0.0359064	0.0500006	0.0198577	0.0248798	0.0397058	0.0238859	0.0160855	0.014903	0.00557768	0.00414358	0.00990413	0.00496065	0.00465277	0.00903288	0.00921953	0.00436082	0.00992531	0.00982923	0.0039521	0.0150842	0.0145766	0.0314437	0.0170475	0.039049	0.0803899
les	0.0400897	0.0695311	0.0640843	0.0427421	0.0317021	0.0231404	0.0260332	0.0218638	0.0342263	0.0183478	0.0205417	0.0106272	0.0089612	0.01298	0.0108556	0.0139019	0.015025	0.0132359	0.0194438	0.0214538	0.0114466	0.0104138	0.00935253	0.00945255	0.00709221	0.010024	0.018021	0.0108871	0.0179574	0.0229673	0.0292569	0.0258391	0.0208022	0.0304605	0.0389388	0.0241621	0.0348949	0.0294143	0.0260615	0.0937683
poulets	0.0330706	0.0218508	0.0164964	0.0118581	0.0130315	0.0120564	0.0192875	0.0166305	0.0171783	0.0204639	0.030276	0.0164189	0.018494	0.0177542	0.019261	0.0310958	0.0328853	0.0293707	0.0359014	0.0415076	0.0209922	0.0186833	0.0151681	0.0153427	0.0133093	0.0131641	0.0181256	0.0128224	0.022571	0.0201924	0.0280859	0.0231299	0.0448526	0.0619646	0.056777	0.0414972	0.0312857	0.0296363	0.0221138	0.0353968
et	0.0213803	0.0197527	0.0165063	0.0194967	0.0226534	0.0225679	0.0256946	0.0252326	0.0276124	0.04201	0.0405886	0.0334394	0.0224727	0.0283338	0.024741	0.0220781	0.0168853	0.0209056	0.0194116	0.0178004	0.0271057	0.0142162	0.00909399	0.0110686	0.00554142	0.0122156	0.0143881	0.00746432	0.00881757	0.00410249	0.00949551	0.0135672	0.0246733	0.0577951	0.0386026	0.0463471	0.0458661	0.0667541	0.03113	0.0621918
un	0.0302137	0.019407	0.0103934	0.00850199	0.00776274	0.00773684	0.00787486	0.00688853	0.00814011	0.0150944	0.0197707	0.0245863	0.0164277	0.0328474	0.0132755	0.0432685	0.0211087	0.0319415	0.0312473	0.0302002	0.0348193	0.0281579	0.0261782	0.0215775	0.0160121	0.022436	0.0224385	0.0117624	0.0216309	0.0158979	0.017333	0.0245964	0.0316196	0.0264192	0.0362408	0.0425778	0.0571832	0.0506163	0.0569396	0.0488758
autre	0.0282018	0.0188216	0.0125155	0.0136461	0.00843918	0.00892606	0.00590313	0.00691561	0.00971385	0.0106494	0.00952839	0.0161073	0.00709666	0.0159656	0.00748598	0.0281931	0.00599938	0.0209494	0.0225008	0.0157314	0.0232943	0.0235719	0.0297068	0.0306471	0.0156295	0.0314014	0.0367152	0.0212359	0.0514266	0.033291	0.0352726	0.0420685	0.0492059	0.0476574	0.0399786	0.0386794	0.0404753	0.0593239	0.0600812	0.0170473
les	0.0316783	0.0406291	0.0252808	0.0188538	0.0273269	0.0200312	0.0132954	0.0139677	0.013596	0.0183	0.0240988	0.027236	0.0186515	0.0289439	0.0207944	0.0260011	0.0105279	0.0135629	0.0128783	0.0116516	0.013159	0.0124353	0.0128413	0.0134321	0.0103088	0.020249	0.0177716	0.0153847	0.0205438	0.0133579	0.0133149	0.0207696	0.0250799	0.0476859	0.0371448	0.0399066	0.0532448	0.0777712	0.0575195	0.0607739
