 	a87	a23	a79	a20	a73	a94	a4	a90	a76	a73	a94	a11	a24	a9	a87	a23	a30	a13	a54	a73	a44	a98	a70	a93	a90	a98	a41	a56	a34	a98	a9	a87	</S>
il	0.00932671	0.00815949	0.0123858	0.0303481	0.0439286	0.0744724	0.0659108	0.102289	0.0892617	0.0642316	0.0303165	0.0275662	0.0232495	0.0190855	0.00656115	0.00611797	0.00413793	0.00345043	0.00658224	0.0123291	0.00813649	0.00773226	0.0107285	0.0196254	0.0221513	0.0236975	0.0289114	0.036236	0.04446	0.0345282	0.0437589	0.0332212	0.0471017
s'	0.00430392	0.00473126	0.00531883	0.00595228	0.0052378	0.00698486	0.00950955	0.0152557	0.0195123	0.0265188	0.0306675	0.0321155	0.0888636	0.0632419	0.0395464	0.0314279	0.0347321	0.0293964	0.0160678	0.0188102	0.0220841	0.0228267	0.0320244	0.0547227	0.0446601	0.0332537	0.0270472	0.0559864	0.0535269	0.0648289	0.0450634	0.0316301	0.0241507
est	0.0189322	0.0139097	0.0122897	0.0163352	0.0272586	0.0253614	0.0392826	0.051162	0.0323063	0.0374385	0.0512185	0.0397257	0.0516217	0.0508436	0.0294081	0.0241746	0.00839035	0.0077227	0.00667501	0.00687066	0.00822307	0.00580813	0.00554941	0.00414769	0.0107083	0.0324795	0.0221735	0.0514117	0.0434771	0.0510358	0.0609616	0.0904219	0.0626752
levé	0.0261846	0.0593078	0.0550495	0.0304261	0.0342142	0.0441629	0.0462656	0.0381389	0.0393827	0.0211836	0.0178543	0.0181887	0.0218208	0.0175968	0.0172688	0.0318795	0.0442197	0.0372575	0.0675353	0.0762771	0.0719052	0.0700758	0.0475602	0.0190989	0.0113993	0.00977232	0.00658185	0.00404983	0.0033329	0.00321059	0.00285458	0.00149734	0.00444648
et	0.0847495	0.0352383	0.0356823	0.0251316	0.0169238	0.0238497	0.0287563	0.0469039	0.0392754	0.0210744	0.0297361	0.0173494	0.0246249	0.011764	0.0111311	0.0084495	0.015622	0.00951341	0.0114227	0.0231687	0.0290801	0.0272798	0.0212272	0.0211932	0.0141775	0.0151003	0.0186712	0.0182348	0.028233	0.0411049	0.0383228	0.0560417	0.150966
j'	0.0420253	0.0258208	0.0141053	0.00879348	0.00769616	0.0119794	0.0171454	0.0193306	0.0130338	0.0134565	0.0170786	0.0141637	0.0170048	0.0152767	0.0152048	0.015136	0.0145195	0.0149097	0.0107024	0.0110212	0.00852688	0.0104676	0.0164728	0.0166257	0.0270531	0.0467808	0.0537036	0.0535883	0.0728315	0.0825413	0.0761382	0.10761	0.109256
en	0.0313532	0.0205215	0.0171384	0.016987	0.0139538	0.0112156	0.0145502	0.0163131	0.0119571	0.0171329	0.0213445	0.014212	0.024383	0.011718	0.00967187	0.00851648	0.00954984	0.00950946	0.0118747	0.0112886	0.0151826	0.0122854	0.0126605	0.00904416	0.00769377	0.0111943	0.012699	0.0185672	0.0870557	0.09723	0.117862	0.146702	0.148632
ai	0.024104	0.019367	0.0129088	0.0117241	0.010005	0.0104846	0.0167993	0.0259579	0.01296	0.0176052	0.0279648	0.0192485	0.0242116	0.0155596	0.011413	0.0175872	0.0141813	0.0169192	0.0233727	0.0264928	0.0250074	0.027827	0.0295345	0.0268947	0.029134	0.0463395	0.0555091	0.0486247	0.06764	0.0691739	0.0711677	0.068888	0.0753929
fait	0.0287112	0.0356326	0.0304954	0.0217696	0.0129409	0.0159516	0.0296352	0.0440285	0.0156549	0.0171426	0.0187451	0.0129553	0.01391	0.0104834	0.00831815	0.00901433	0.00774163	0.00805061	0.00989364	0.0138335	0.0130724	0.0137406	0.0230021	0.0177519	0.0182962	0.0245065	0.0525637	0.0275352	0.0695328	0.0458059	0.0636845	0.104697	0.160903
autant	0.0300867	0.0247881	0.0253718	0.0236428	0.0200391	0.0294473	0.052936	0.0654311	0.0276359	0.0203022	0.0234229	0.00950114	0.0111067	0.00903923	0.00538303	0.00320974	0.00456086	0.00446732	0.0101624	0.0162566	0.0160394	0.015798	0.0204979	0.0197163	0.0218502	0.0149594	0.0263814	0.0268603	0.0417585	0.0568822	0.0611257	0.101659	0.159681
</S>	0.00594358	0.00453034	0.00272642	0.00285637	0.00534891	0.00635229	0.00972794	0.0119581	0.010004	0.00876579	0.00298718	0.00258635	0.00315714	0.00163459	0.00144201	0.00127495	0.00189505	0.0024383	0.00391573	0.007602	0.00312459	0.004786	0.00888022	0.0149039	0.0408869	0.0515454	0.0619999	0.0821476	0.118575	0.110172	0.131437	0.106203	0.16819
