 	a66	a87	a23	a44	a36	a6	a85	a36	a85	a6	a47	a36	a85	a6	a36	a47	a34	a56	a94	a90	a76	a94	a38	a71	a9	a87	a23	a97	a38	a36	a2	a54	a15	a36	a2	a40	a6	a36	a26	a61	a21	a85	a47	a56	a94	a66	a38	a30	a87	a23	a87	a23	a87	</S>
jadis	0.00691319	0.0185043	0.0234493	0.0225129	0.0220645	0.0248074	0.0363604	0.0243719	0.0257396	0.0233429	0.0187866	0.0287522	0.0283603	0.0437359	0.0280849	0.0379389	0.0367576	0.0287023	0.034781	0.0458534	0.0389916	0.0405563	0.0466081	0.0477073	0.0281897	0.0208437	0.0172912	0.0146119	0.0121211	0.0158159	0.0128708	0.0173923	0.0166002	0.0201799	0.0153419	0.0102597	0.00980757	0.00487992	0.00576387	0.00290703	0.00160652	0.00270694	0.00195687	0.00137374	0.00156668	0.00283715	0.00289754	0.0026631	0.00297279	0.00249568	0.00350336	0.00403273	0.00345339	0.00737395
on	0.022097	0.0236982	0.019447	0.0167314	0.0239115	0.0358313	0.0349098	0.0228551	0.0317344	0.0223553	0.0193895	0.054636	0.0142754	0.0373435	0.0293441	0.0244512	0.0247744	0.00734779	0.00954828	0.00983978	0.0128202	0.0115734	0.0163146	0.0150785	0.0208526	0.0226785	0.018144	0.0209062	0.03184	0.0370082	0.0254688	0.0286987	0.0245178	0.013369	0.00645757	0.00603394	0.00740816	0.0102751	0.0187634	0.0204786	0.0289535	0.0147658	0.00576542	0.00335157	0.00492656	0.00494953	0.00747583	0.0074548	0.0100131	0.010533	0.0108913	0.0172891	0.0117073	0.0087149
éclairait	0.00569557	0.00469487	0.00476936	0.0257713	0.0379902	0.108863	0.0695023	0.10327	0.151266	0.0915266	0.039391	0.0504438	0.0141938	0.0136779	0.0185745	0.0144753	0.00502331	0.00432458	0.00437973	0.00309738	0.00215957	0.00231209	0.00487942	0.00966777	0.00930786	0.0102281	0.00875835	0.0106471	0.0119311	0.0150476	0.0188014	0.0403003	0.0303976	0.0165174	0.00540615	0.00284818	0.0016108	0.00121023	0.00207789	0.00223071	0.00103079	0.00129022	0.00111002	0.000991633	0.00166219	0.00226729	0.00124369	0.00122266	0.00122014	0.00148223	0.00196597	0.00198394	0.00296357	0.00229568
la	0.0150039	0.00426136	0.00203756	0.0049448	0.00387013	0.00873299	0.00534726	0.00467075	0.0100513	0.0080807	0.00634294	0.0211105	0.00539841	0.00929973	0.00517882	0.0105231	0.0114755	0.0335701	0.0262377	0.0587683	0.145254	0.0351129	0.068564	0.042794	0.0349297	0.0244358	0.0132021	0.00933759	0.0133507	0.0155575	0.025135	0.0188614	0.0199193	0.0171758	0.00662116	0.00381497	0.00337056	0.00377696	0.00881278	0.0138519	0.0128053	0.00554392	0.00740055	0.0193673	0.0210367	0.0294465	0.0121134	0.0181904	0.0118323	0.0183563	0.0194279	0.0106423	0.0201294	0.0149229
maison	0.0254072	0.012776	0.0063877	0.0317301	0.0256631	0.0230208	0.014481	0.0175694	0.0202986	0.0201649	0.0226882	0.0230843	0.0347081	0.0151018	0.0214718	0.0175248	0.010756	0.0201357	0.0138038	0.0182772	0.015681	0.0166497	0.0208484	0.0248041	0.0117464	0.0293543	0.0137975	0.0140223	0.0160565	0.0166183	0.0265634	0.0266013	0.0230917	0.017275	0.0281353	0.0149905	0.012353	0.01285	0.00252179	0.00593594	0.00494935	0.00414496	0.00618982	0.0135772	0.0390107	0.0638715	0.0181498	0.0168794	0.0109396	0.0187464	0.0177708	0.0151894	0.0157226	0.00991139
avec	0.0199752	0.0121115	0.00873368	0.0226239	0.0279738	0.01507	0.0162108	0.0205579	0.0222824	0.0252141	0.0198816	0.0163835	0.0146682	0.024888	0.0284492	0.0181019	0.0212142	0.0119251	0.019698	0.0128881	0.00972344	0.0228727	0.0244953	0.034083	0.0172479	0.0417944	0.0306927	0.0277878	0.0264928	0.0215779	0.0269024	0.0364246	0.0317307	0.015655	0.00637661	0.00373661	0.00364157	0.00418452	0.00814994	0.0114047	0.00498354	0.0113611	0.0172658	0.0186248	0.0324398	0.0372341	0.0224042	0.017534	0.00813781	0.00915773	0.0128114	0.00981945	0.0080036	0.00639669
le	0.0756313	0.021881	0.0140785	0.0110425	0.00793054	0.00303738	0.00415723	0.00589912	0.00235674	0.00368039	0.00513597	0.00812788	0.0068687	0.0163868	0.00986329	0.013114	0.0211388	0.00500514	0.00543571	0.00317607	0.00286605	0.00378895	0.00851387	0.00937925	0.0158362	0.0247128	0.0308655	0.0365697	0.0585778	0.0610976	0.0441974	0.0274358	0.0236584	0.0112233	0.00433392	0.0011617	0.00116489	0.000722672	0.00628351	0.00811165	0.00279204	0.0132384	0.015921	0.0209098	0.0169041	0.0268174	0.0339123	0.0449752	0.0226455	0.0387791	0.0383679	0.0353204	0.0436487	0.0213203
feu	0.0296076	0.0227732	0.0121955	0.00784821	0.00825199	0.00457568	0.00668306	0.00505633	0.0043112	0.0064551	0.00583501	0.0100577	0.00590237	0.0170247	0.00877158	0.0146082	0.0224673	0.00798691	0.00947405	0.012015	0.0077019	0.0106783	0.0153447	0.0182899	0.0232893	0.0335249	0.0335412	0.0329612	0.0529688	0.0525769	0.0314767	0.0169666	0.0155105	0.00972773	0.00481894	0.0013526	0.00178412	0.0013386	0.010679	0.0124324	0.00981569	0.0206366	0.0256868	0.0339166	0.0397449	0.057639	0.0392823	0.0359119	0.0192005	0.033894	0.0200556	0.0164445	0.0248038	0.0141027
d'	0.0320855	0.0117465	0.00556742	0.0023044	0.00158164	0.000724556	0.00111571	0.00143069	0.00133326	0.00158725	0.00140463	0.00291979	0.00260879	0.00519163	0.00231347	0.0051534	0.0099081	0.00406887	0.00501299	0.00785576	0.00637432	0.00931832	0.0114036	0.0191148	0.0247361	0.0468022	0.0309282	0.0232003	0.0342553	0.0242592	0.016894	0.0068904	0.00713312	0.00477401	0.00137148	0.000784679	0.000704908	0.000345978	0.00279973	0.00360841	0.00201348	0.00439477	0.0138588	0.0221311	0.0390689	0.0544299	0.0443929	0.0517127	0.0397982	0.0561334	0.0735293	0.0713499	0.0953008	0.0502724
une	0.0302516	0.0178994	0.013575	0.00784425	0.00536733	0.00174029	0.00214446	0.00221155	0.00150871	0.00217713	0.00219734	0.00236039	0.00408455	0.00619049	0.00446382	0.00777694	0.0125184	0.00719722	0.0102891	0.013325	0.00891543	0.0136813	0.00951818	0.0145746	0.0146811	0.0258605	0.0245461	0.0207573	0.0244877	0.0175869	0.0151048	0.00841995	0.00781192	0.005944	0.00193066	0.0006915	0.0015426	0.000640039	0.00656013	0.011614	0.00603749	0.0103205	0.0189077	0.0175313	0.0226223	0.0538767	0.0576458	0.083972	0.0597256	0.0773765	0.058569	0.0556632	0.0553909	0.0323693
