 	a66	a87	a30	a4	a93	a70	a53	a90	a93	a94	a90	a69	a20	a47	a37	a79	a44	a54	a36	a37	a44	a98	a6	a37	a54	a37	a96	a88	a71	a4	a13	a38	a90	a25	a56	a88	a61	a75	a15	a7	a58	a84	a57	a87	a97	a30	</S>
ongondo	0.0119917	0.0141698	0.0253252	0.0449419	0.0439898	0.0502266	0.0521442	0.0427	0.0408251	0.0413951	0.0383825	0.0471458	0.0201064	0.00513852	0.00456944	0.00594234	0.00526653	0.00689581	0.00867022	0.00628356	0.00648045	0.011145	0.00850439	0.0134557	0.0159767	0.0142943	0.0237847	0.0327527	0.0359536	0.0297499	0.0199152	0.00743009	0.0055862	0.0166496	0.0112683	0.0182629	0.0173741	0.0133821	0.0115924	0.0121405	0.00956904	0.0132496	0.0137401	0.0172748	0.0158844	0.0395044	0.0489685
est	0.00757218	0.00858659	0.0071005	0.00873646	0.0117316	0.0118643	0.00715848	0.0100642	0.0102472	0.0135466	0.0122476	0.0350505	0.0445591	0.0321142	0.0253868	0.0293701	0.0283679	0.0396208	0.0438552	0.0545312	0.0776126	0.0493012	0.056197	0.0476816	0.0368453	0.034079	0.0217365	0.0178848	0.0209522	0.0184562	0.0117614	0.0127524	0.0109553	0.0101796	0.00540112	0.0056644	0.00383303	0.00423915	0.00877688	0.0080211	0.00925136	0.00869062	0.0101432	0.0125442	0.0237285	0.0123753	0.0192247
allée	0.0105051	0.00479826	0.0029907	0.00365204	0.00560606	0.00909355	0.00647882	0.0127289	0.0105908	0.0175424	0.0121683	0.0222586	0.0197592	0.0294051	0.0260379	0.0418602	0.0384474	0.04896	0.0588365	0.0442479	0.0714354	0.0527188	0.03982	0.0397155	0.040792	0.0301994	0.0237528	0.0154236	0.00978754	0.0117144	0.00450291	0.00502895	0.00316061	0.00507391	0.00380724	0.00486667	0.00633013	0.00982807	0.0104823	0.0141899	0.0122963	0.0190305	0.0196586	0.0209732	0.0419443	0.0227505	0.0347487
consulter	0.0615971	0.0397726	0.0473121	0.0277587	0.013252	0.0121476	0.0150959	0.0133376	0.0159316	0.0111704	0.0116883	0.00762888	0.0322169	0.0702222	0.0556816	0.0422238	0.0318119	0.0356895	0.0414233	0.0434157	0.0453395	0.0211288	0.0166757	0.00956562	0.0146898	0.0105606	0.0127604	0.0145082	0.00651006	0.00997896	0.0155065	0.0137623	0.0153	0.00971821	0.0106661	0.00739542	0.00767167	0.00730389	0.00752845	0.00863777	0.00996055	0.00933629	0.012434	0.0161426	0.0229465	0.0158634	0.0187311
un	0.0414597	0.025844	0.0335376	0.0184891	0.0108486	0.00763816	0.00976984	0.00794918	0.00900318	0.00514643	0.00831466	0.00676473	0.0193936	0.0337067	0.0265871	0.0348737	0.0362894	0.0346493	0.0349818	0.0374008	0.0301408	0.0268081	0.0230778	0.0184149	0.0245326	0.0256258	0.0247844	0.0239427	0.0166224	0.022957	0.0315178	0.0275171	0.0257966	0.0212787	0.0210362	0.0144528	0.0267551	0.0263391	0.0161905	0.0145114	0.0148923	0.0127974	0.010445	0.0118451	0.0159294	0.0139447	0.0151967
guérisseur	0.0501878	0.0189603	0.0320538	0.0165043	0.020247	0.0223466	0.0251315	0.030822	0.0244525	0.0157024	0.026472	0.0162954	0.024897	0.0445112	0.0309496	0.0243075	0.0222902	0.0280059	0.0182215	0.0136678	0.0121961	0.0201293	0.0189764	0.0308358	0.0206195	0.019217	0.037919	0.0382382	0.0317364	0.0346765	0.0388152	0.0140245	0.0207926	0.0169978	0.0169606	0.0118212	0.0158672	0.0135307	0.0103466	0.0132222	0.00924236	0.0155499	0.00727736	0.00862169	0.0058466	0.00412932	0.00638317
pour	0.0245975	0.0125712	0.0195376	0.0264203	0.02403	0.0333391	0.017545	0.0273701	0.0287707	0.0299959	0.0366508	0.0541411	0.0681913	0.0481424	0.0518353	0.0702045	0.0438629	0.0454135	0.0300717	0.0242603	0.0123253	0.0150326	0.0085808	0.00926364	0.0054714	0.00421043	0.00889179	0.00999532	0.00750369	0.0109364	0.00611817	0.00393514	0.00416609	0.00728211	0.00429971	0.00504206	0.00807478	0.00508042	0.00431484	0.00553877	0.00766779	0.00824421	0.0129268	0.0192625	0.0243418	0.0297876	0.0347545
ses	0.0465132	0.018848	0.0185353	0.0245711	0.0300407	0.0209018	0.0209741	0.0287796	0.0230552	0.00951402	0.0215207	0.0250108	0.0573163	0.0265544	0.0230334	0.0488638	0.0313039	0.0291949	0.0256234	0.0186346	0.0112893	0.0110065	0.00596435	0.00564605	0.00300696	0.00303829	0.00427359	0.00625901	0.00584198	0.00857466	0.00671295	0.0062672	0.00969934	0.00754748	0.00684453	0.00605934	0.0121695	0.00745836	0.00842828	0.0173019	0.0277282	0.0367199	0.0453787	0.0434116	0.0508608	0.0513653	0.0423567
maux	0.0450226	0.0202443	0.025953	0.0276081	0.0317751	0.0162848	0.0268276	0.0275733	0.016679	0.00860165	0.00980475	0.00985244	0.0231582	0.0253207	0.0217855	0.0326959	0.0240097	0.0287397	0.0273656	0.0238425	0.0289763	0.0308851	0.0183787	0.0175281	0.0139772	0.013029	0.0186887	0.022454	0.0164701	0.0152822	0.0109228	0.0118404	0.0117653	0.00997854	0.00825694	0.00843576	0.0112356	0.00938478	0.0101622	0.0144996	0.0200846	0.0290474	0.0305345	0.031981	0.0309705	0.0357463	0.0463401
de	0.0251993	0.0173933	0.0176313	0.0279237	0.0210524	0.0146621	0.0223254	0.0207318	0.0186132	0.0304869	0.0243277	0.0284334	0.0126451	0.0131564	0.012771	0.0132186	0.00827281	0.0101837	0.0104905	0.00679259	0.00386499	0.00250729	0.00227107	0.00305478	0.00474312	0.00259492	0.00653431	0.00765105	0.0112826	0.0100957	0.00916106	0.00518159	0.00473058	0.0106942	0.0058708	0.0163126	0.0211922	0.0237725	0.02228	0.0225667	0.0332731	0.0408807	0.0489041	0.0544922	0.0768006	0.102151	0.0908253
tête	0.0152152	0.00713379	0.00770734	0.0150315	0.012407	0.0137832	0.0107758	0.0138356	0.0140574	0.0170929	0.0172212	0.0146353	0.0217677	0.0152623	0.0174956	0.0211425	0.0168392	0.0207178	0.0202764	0.0132719	0.0139845	0.0146541	0.0139675	0.0177901	0.0223141	0.0099975	0.0212193	0.021391	0.0249399	0.0140437	0.0157482	0.00993567	0.00782163	0.0180596	0.0139625	0.0299786	0.0330362	0.0490197	0.0484076	0.0503142	0.0384584	0.0414798	0.0354254	0.0272269	0.0380824	0.029141	0.033931
</S>	0.0139267	0.00339154	0.0042146	0.00484837	0.00438022	0.00561673	0.00619331	0.00725066	0.00513453	0.0108394	0.0100351	0.00818223	0.0119098	0.011387	0.00881902	0.0144954	0.00882204	0.011689	0.0151244	0.00966898	0.0098498	0.00665337	0.00701096	0.00947968	0.0165215	0.00692945	0.0193004	0.0185293	0.0235217	0.0186187	0.0195979	0.0100577	0.00775127	0.0245207	0.014935	0.0382075	0.0535212	0.0592685	0.0612806	0.0597856	0.0681808	0.0719829	0.0533512	0.0430393	0.0476939	0.0345852	0.0198968
