 	a23	a87	a23	a87	a23	a18	a50	a31	a61	a47	a0	a62	a47	a24	a9	a38	a21	a61	a96	a21	a47	a75	a85	a0	a11	a88	a9	a75	a6	a61	a85	a37	a34	a21	a5	a96	a83	a90	a56	a43	a0	a10	a87	a23	a87	</S>
je	0.0642674	0.0313013	0.0229187	0.0299516	0.0181093	0.017047	0.0142991	0.0249575	0.0224369	0.0261108	0.0164423	0.0150944	0.0163742	0.00997082	0.0136039	0.012979	0.0125779	0.00962087	0.00870268	0.010742	0.00893729	0.0104703	0.0083056	0.00930108	0.0101369	0.00839534	0.0127967	0.0113221	0.0167952	0.0274283	0.0182066	0.0230961	0.0250911	0.0238881	0.0312655	0.028371	0.0168813	0.0268184	0.0225564	0.0231305	0.0233329	0.0267629	0.033449	0.0444193	0.0338551	0.0774792
lui	0.0236408	0.0179618	0.0159985	0.0138841	0.012439	0.0183054	0.0247531	0.0301059	0.0429791	0.0398161	0.0244391	0.032764	0.0362241	0.0308627	0.0382527	0.0276732	0.0287975	0.0196217	0.0311989	0.0366588	0.0475849	0.033827	0.0424067	0.0306519	0.0268777	0.0207462	0.0304691	0.020987	0.0227238	0.0158367	0.0139737	0.00879393	0.0060118	0.00711555	0.00336286	0.00334725	0.00628881	0.00939411	0.00889184	0.00936484	0.0102574	0.0105133	0.0132459	0.0135943	0.0145343	0.0228224
ai	0.0491503	0.0174372	0.0149783	0.00702559	0.00684556	0.00817639	0.00971683	0.0126629	0.0179358	0.0122917	0.0150376	0.022424	0.0242707	0.0204392	0.0341488	0.0238807	0.0418642	0.027616	0.0441683	0.0415374	0.0565773	0.0338062	0.0354973	0.0200937	0.0257674	0.0348151	0.0309151	0.0273044	0.0252444	0.0166804	0.0127968	0.0122877	0.00959331	0.00865921	0.00854203	0.00940192	0.00794764	0.010153	0.0105088	0.0103707	0.0111171	0.0229497	0.0235965	0.0277537	0.0326489	0.0233641
appris	0.040869	0.0491932	0.0397584	0.0385101	0.0388317	0.0347953	0.0351079	0.0215943	0.0167004	0.00960294	0.0121133	0.00893566	0.0104642	0.0144999	0.0167718	0.0116341	0.0115708	0.0107167	0.0115534	0.0146136	0.030031	0.023605	0.033038	0.0215381	0.0247925	0.0222845	0.0229545	0.0198281	0.014461	0.0162514	0.022563	0.0185681	0.0112906	0.0108352	0.0147876	0.0164825	0.0154169	0.0123582	0.0178451	0.0299282	0.0258289	0.0214492	0.0215401	0.0223998	0.0298842	0.0322014
à	0.0412268	0.0287295	0.0168359	0.0152549	0.0140311	0.012029	0.0109899	0.00891883	0.0104162	0.00808902	0.0112145	0.0072852	0.010068	0.0164498	0.0169107	0.0147048	0.0209148	0.0181685	0.0196694	0.0185063	0.0282594	0.0188024	0.0203024	0.0137616	0.0176138	0.0180033	0.0212558	0.0217446	0.0244925	0.0279587	0.0394573	0.0375706	0.0232051	0.0204326	0.0284345	0.0312359	0.031811	0.0212372	0.0251069	0.0541674	0.0352725	0.0433043	0.0242654	0.0154392	0.0206577	0.0157947
lire	0.060023	0.0302114	0.0246449	0.01544	0.0136134	0.0130834	0.0107653	0.00793206	0.00760107	0.00548161	0.00793694	0.00542266	0.00689232	0.00720506	0.0101099	0.00787126	0.0127202	0.01189	0.012074	0.0143103	0.0246192	0.0218099	0.0259635	0.0156748	0.0176532	0.0150941	0.0136835	0.011809	0.0128654	0.0129854	0.0191767	0.0283581	0.0196164	0.021402	0.0316941	0.0354191	0.0340572	0.0241567	0.032272	0.0541179	0.0488259	0.0552393	0.0300041	0.0421867	0.0349966	0.0310901
et	0.0564281	0.0226014	0.0181188	0.0128958	0.00953176	0.00864327	0.00602508	0.00637797	0.00522557	0.0055836	0.00822634	0.00791738	0.0115417	0.011249	0.014748	0.014284	0.0204463	0.0179985	0.0183543	0.0200976	0.0264238	0.0200348	0.0186239	0.0114952	0.0163798	0.0155535	0.0141337	0.0146601	0.0123728	0.00956753	0.0182593	0.0288746	0.0215217	0.0251614	0.0439401	0.0518463	0.0510519	0.0253293	0.0302844	0.0578523	0.044512	0.0457887	0.0325266	0.0247079	0.0261314	0.0166725
à	0.0352193	0.0211025	0.0143398	0.013182	0.00731669	0.00648059	0.00497869	0.00685832	0.00389921	0.00511153	0.00709451	0.00636182	0.00570553	0.00436178	0.00473098	0.00787076	0.0110941	0.00929453	0.00841464	0.00801145	0.00822487	0.00791256	0.00556636	0.00552787	0.00615688	0.00519788	0.00871352	0.00898439	0.0120444	0.0122649	0.0128752	0.0199791	0.0253895	0.0181136	0.0348949	0.0530617	0.0308196	0.037301	0.0439881	0.0699532	0.066357	0.0653364	0.0715881	0.0653329	0.0725214	0.0404659
écrire	0.0317912	0.0158844	0.00833827	0.00669775	0.00642292	0.00750887	0.00536889	0.00518823	0.00389418	0.00374849	0.00784904	0.0060515	0.00821785	0.00953727	0.00993215	0.0135504	0.0174308	0.0147727	0.0133435	0.0138922	0.0150075	0.0130383	0.0108018	0.0101296	0.0110928	0.00977787	0.0154275	0.0171808	0.0223375	0.023531	0.0281929	0.0263437	0.0309368	0.0250161	0.0358547	0.0490234	0.032721	0.0344262	0.0386112	0.066394	0.055431	0.0652256	0.0547559	0.0357167	0.0395446	0.0240606
en	0.0268815	0.0135632	0.00623478	0.00636535	0.00540617	0.00834704	0.00523215	0.00539702	0.00450363	0.00300153	0.00889543	0.00621068	0.00922714	0.0158974	0.0126562	0.0131716	0.0180662	0.0152545	0.0146466	0.0139042	0.0162168	0.0122664	0.0146208	0.0108933	0.0139205	0.0148604	0.0221674	0.0245034	0.0435426	0.0374802	0.0325953	0.0274284	0.0347844	0.02483	0.0414463	0.044754	0.0311402	0.0322347	0.0310204	0.0482786	0.0310003	0.0488635	0.0401643	0.0294666	0.0375577	0.0411011
