 	a66	a10	a87	a9	a38	a88	a62	a31	a88	a71	a90	a15	a79	a94	a96	a88	a71	a38	a21	a12	a18	a12	a18	a11	a90	a69	a32	a75	a90	a15	a69	a58	a4	a57	a3	a87	a23	a87	a23	a87	</S>
un	0.0810051	0.0560222	0.0377435	0.0406496	0.0394403	0.0340282	0.0207547	0.0239462	0.0110043	0.0103946	0.00759292	0.0152226	0.00757182	0.00848313	0.0175554	0.0144599	0.0163203	0.0185989	0.0188137	0.0267251	0.019145	0.0143038	0.0112672	0.0136069	0.0210929	0.0137312	0.0099533	0.0107155	0.0150814	0.0295477	0.0229794	0.0434466	0.0434708	0.035724	0.0299088	0.0370047	0.0323506	0.0204634	0.0190982	0.0261738	0.0246023
homme	0.00352376	0.00476942	0.00542622	0.00638357	0.00540575	0.0066223	0.0149628	0.0182016	0.0128383	0.0266908	0.0257682	0.0632428	0.037545	0.0408012	0.0343006	0.0341818	0.0376916	0.0801734	0.0474926	0.0206573	0.0497707	0.0729617	0.0540244	0.0952096	0.0549492	0.0294603	0.023789	0.0264012	0.0125921	0.00703636	0.00580032	0.00460687	0.00352278	0.00396575	0.00259101	0.00214135	0.002755	0.00241317	0.00367164	0.00454644	0.0111122
s'	0.0497067	0.0254733	0.0354071	0.0384621	0.0282931	0.0494296	0.0717733	0.0606506	0.0307028	0.0194849	0.0208923	0.0125793	0.0123221	0.00773027	0.00760736	0.00745041	0.0154636	0.0129744	0.00822639	0.00751805	0.00878274	0.0035847	0.00303122	0.00260416	0.00318483	0.00278194	0.00163457	0.00349863	0.00803851	0.0177278	0.0253846	0.0246044	0.0160577	0.018494	0.0300659	0.0263771	0.0413053	0.0380472	0.0534838	0.0854018	0.0637615
est	0.0310095	0.0114213	0.017415	0.0103585	0.0127431	0.0127777	0.0164943	0.0107415	0.0147345	0.0118279	0.0128208	0.00711668	0.0101282	0.0108518	0.00733829	0.0108391	0.020284	0.020013	0.0133176	0.0193483	0.0213015	0.0174296	0.0247817	0.0456478	0.01537	0.0335517	0.0340234	0.0464708	0.0324876	0.0234293	0.0321489	0.023393	0.0138571	0.0169541	0.0396583	0.0239426	0.0417152	0.0633906	0.0485783	0.051281	0.0690063
tenu	0.0294698	0.0273764	0.0302509	0.0283303	0.0254024	0.0225328	0.0242746	0.0133586	0.0303146	0.0244612	0.0241161	0.0243909	0.0172341	0.0211441	0.0218815	0.0322912	0.0367293	0.0634419	0.0671744	0.0288137	0.0311523	0.0335507	0.0638248	0.0512744	0.0383127	0.0188962	0.018825	0.0206847	0.0136794	0.00917091	0.0136236	0.00785009	0.00678516	0.00658623	0.00825496	0.00737778	0.0085972	0.00803271	0.00926443	0.0088326	0.0224356
debout	0.0642036	0.0578514	0.0534235	0.0503812	0.0501308	0.0425916	0.0406307	0.0228104	0.0193128	0.0124044	0.0142482	0.0118386	0.00880826	0.0111175	0.0117011	0.0149898	0.0218475	0.012238	0.0136151	0.0153639	0.0125672	0.00797214	0.0120248	0.0053763	0.0057851	0.00623295	0.00640346	0.00988831	0.0153688	0.0263742	0.0322391	0.0324623	0.0207411	0.01773	0.0265083	0.0347493	0.0349275	0.0301111	0.0277816	0.0296382	0.0556101
au	0.0325251	0.0289943	0.0238187	0.0252822	0.0261201	0.0225563	0.0209924	0.0170794	0.0187244	0.0180844	0.0154957	0.0169663	0.0151604	0.0148866	0.0138652	0.0134203	0.0190002	0.0142563	0.0132689	0.0128186	0.0126486	0.00829757	0.008593	0.00730502	0.00688643	0.00752791	0.00798858	0.0129198	0.0117485	0.0222624	0.0260745	0.0383839	0.0343542	0.0391626	0.0471149	0.0549293	0.0631009	0.0671436	0.0467028	0.0535297	0.0400097
milieu	0.0549014	0.0440964	0.0368698	0.0366348	0.0373998	0.0319561	0.0343009	0.026343	0.0289714	0.0275271	0.0249045	0.0282208	0.0332431	0.0258816	0.0285438	0.020921	0.0290594	0.0176695	0.0118733	0.0100346	0.00935971	0.00862444	0.00927834	0.00885464	0.0111363	0.0113135	0.0102659	0.0102094	0.0103673	0.0114378	0.0181626	0.0232626	0.0208226	0.0249033	0.0270878	0.0297305	0.0393977	0.0374909	0.0276105	0.0339078	0.0274242
de	0.0669789	0.0529856	0.0371657	0.0275967	0.0262111	0.0276921	0.0232904	0.00843585	0.00927048	0.0051062	0.00566975	0.00586768	0.00250554	0.00244867	0.00325121	0.00295194	0.00795891	0.00645642	0.00437863	0.00693538	0.00648068	0.0110985	0.0100143	0.0106845	0.012155	0.0137554	0.0119878	0.0137014	0.0110014	0.0102436	0.0226758	0.0411752	0.0246335	0.0311292	0.0470428	0.0524983	0.0636212	0.0781797	0.0537578	0.0631738	0.0778328
la	0.0316997	0.0210099	0.0150962	0.0120867	0.0113548	0.0120499	0.0127682	0.00669003	0.00641214	0.00561276	0.00697528	0.00862404	0.00514055	0.00554063	0.00660262	0.00684331	0.0105446	0.00693853	0.00554473	0.00592981	0.00537207	0.0063663	0.0061905	0.00822371	0.00460849	0.00985968	0.00970588	0.0125937	0.0181395	0.0236495	0.047115	0.0567842	0.0528547	0.0540479	0.0575484	0.057347	0.0626321	0.0796433	0.0620781	0.0781557	0.08362
route	0.0282135	0.018907	0.0184493	0.0151163	0.0115384	0.0112248	0.0113627	0.0116243	0.00838271	0.00874539	0.0111187	0.0134725	0.0160144	0.0165776	0.0165472	0.0146985	0.015749	0.0122606	0.0123551	0.0229506	0.0170077	0.0180614	0.0138931	0.0130826	0.0136652	0.020958	0.0146204	0.0340345	0.0226809	0.0213779	0.0243681	0.0400053	0.0270705	0.0341235	0.0372305	0.0385052	0.0514943	0.0393985	0.0535371	0.0537741	0.115803
</S>	0.0887671	0.0423863	0.0474476	0.0264982	0.020918	0.0198753	0.022757	0.0155257	0.00814841	0.00542314	0.00558276	0.00483475	0.00349771	0.00438564	0.00393937	0.00440032	0.00655119	0.00459843	0.00466528	0.00841703	0.00565367	0.00237876	0.00228056	0.00263664	0.00291505	0.004239	0.00335655	0.011042	0.0132009	0.0182382	0.0242331	0.0345599	0.0158256	0.0212774	0.0401295	0.0427572	0.0529172	0.0547598	0.0782613	0.0853389	0.135379
