 	a66	a87	a23	a83	a90	a15	a25	a69	a54	a75	a85	a92	a98	a85	a6	a36	a21	a5	a85	a5	a36	a61	a96	a88	a71	a99	a97	a3	a87	a40	a36	a27	a11	a96	a47	a96	a75	a85	a21	a5	a23	a98	a79	a44	a40	a85	a47	a36	a5	a56	a12	a96	a98	a79	a7	a15	a7	a84	a57	a87	a23	a87	a23	a99	a97	</S>
malgré	0.0327164	0.0341348	0.0363369	0.046051	0.0470194	0.0546674	0.0619239	0.0382539	0.0337237	0.0320366	0.026881	0.0255198	0.0135535	0.00847469	0.0112625	0.00676322	0.00702405	0.00869123	0.0105082	0.00836825	0.00639526	0.00532854	0.00748237	0.00777862	0.00685671	0.00818624	0.0141477	0.00914243	0.0104657	0.0254307	0.013645	0.0158882	0.00716813	0.0108551	0.0132779	0.0135332	0.0122803	0.0137219	0.0197748	0.0214555	0.0152987	0.0178002	0.0191572	0.0144205	0.0211908	0.0229947	0.00890848	0.00651417	0.00503623	0.00589158	0.00310552	0.00271533	0.00202458	0.00195915	0.00373747	0.00481922	0.00366549	0.00501529	0.00473574	0.00324782	0.00372426	0.00336064	0.00313917	0.00735314	0.0044937	0.0189663
tout	0.00937144	0.00886138	0.00656984	0.0104924	0.0145952	0.0134876	0.0178194	0.0241878	0.014235	0.0254073	0.0264978	0.0217779	0.0157714	0.0127438	0.0274945	0.0175932	0.0123848	0.0268212	0.0130336	0.0152623	0.0202366	0.010513	0.0161565	0.0133958	0.00814622	0.0148397	0.0158327	0.0172995	0.00946112	0.0186322	0.0118771	0.0152754	0.00511566	0.00874454	0.0205869	0.0157083	0.0201096	0.0136598	0.0158688	0.0152764	0.021575	0.0162623	0.0118379	0.0051642	0.00614049	0.00656333	0.00600954	0.004271	0.00386811	0.00524747	0.00455173	0.0067105	0.0080847	0.0102926	0.0140994	0.0119212	0.0135981	0.0164737	0.0156467	0.0085718	0.02369	0.0161675	0.0224389	0.0288191	0.0431563	0.0476947
le	0.00691225	0.00520072	0.00417794	0.00516954	0.00382485	0.00329357	0.00679208	0.0108849	0.0126937	0.0176094	0.0285819	0.0290417	0.0255846	0.0279837	0.0361443	0.020388	0.0105602	0.023173	0.0202237	0.0324391	0.0486297	0.0350661	0.037867	0.0250404	0.0170886	0.035473	0.0130719	0.022605	0.0120312	0.0117648	0.0179474	0.0189197	0.0132488	0.0115221	0.0184264	0.0147254	0.0168701	0.0150455	0.0212169	0.0233777	0.0227214	0.0264558	0.0166657	0.0143235	0.0168793	0.00681705	0.00297272	0.00146865	0.00382916	0.00194153	0.00332673	0.00393639	0.00223341	0.00138424	0.00307199	0.00169388	0.00147935	0.00212651	0.00329217	0.0028349	0.00324504	0.0055896	0.00697077	0.0184299	0.0317746	0.0339191
bien	0.0300609	0.0209728	0.0154058	0.0127974	0.0154126	0.00459324	0.00411895	0.00419048	0.00460972	0.00569958	0.00404539	0.0046566	0.00726561	0.0071008	0.00565908	0.00612189	0.00524099	0.00979271	0.00957122	0.0105602	0.00634952	0.0100316	0.00786465	0.00905336	0.0117485	0.0088963	0.00605143	0.0110286	0.00821221	0.00849694	0.00628148	0.00848037	0.00656306	0.00571693	0.00809519	0.00779363	0.00551251	0.00594768	0.00981776	0.0114937	0.0110741	0.0156361	0.00935192	0.0152873	0.0168158	0.0159098	0.0114189	0.0125602	0.0267316	0.014161	0.0163871	0.0114669	0.0166159	0.0161061	0.012364	0.0222088	0.0348278	0.0356616	0.0607485	0.0458262	0.0408961	0.0428855	0.0340044	0.0406776	0.0348064	0.034259
que	0.0228177	0.0200201	0.0218302	0.0180324	0.0250211	0.0133593	0.00939788	0.00761779	0.00900498	0.00730063	0.00711883	0.00792071	0.00763744	0.00608689	0.0116056	0.0163534	0.0349949	0.0136267	0.0189023	0.01486	0.0147721	0.0225926	0.0122542	0.0164694	0.027435	0.0153935	0.0193916	0.0149069	0.0212174	0.0283844	0.0209476	0.0228331	0.0508448	0.0517871	0.0354404	0.0256366	0.0359089	0.0309582	0.0260665	0.0188331	0.012347	0.0121144	0.0135597	0.0100138	0.00725512	0.00651478	0.00749505	0.00660246	0.00503745	0.00423087	0.00441757	0.00390776	0.00588917	0.00524257	0.00339143	0.00679493	0.00550748	0.00557732	0.00538981	0.00894364	0.00517653	0.00944702	0.00798321	0.0105822	0.00542522	0.0155709
j'	0.00837598	0.00443053	0.00254651	0.00249216	0.00275064	0.00310041	0.00528293	0.00858283	0.00729725	0.0137675	0.0208097	0.021258	0.0124808	0.00761412	0.0141212	0.00854523	0.00577812	0.0102607	0.0100594	0.0112724	0.0101971	0.00816923	0.0240215	0.0317607	0.0328838	0.0592551	0.0389439	0.045398	0.0452895	0.028322	0.0434834	0.0280976	0.037965	0.0378497	0.0565586	0.0408811	0.0411007	0.0405825	0.0352329	0.0227612	0.0133266	0.0194358	0.0193834	0.00940027	0.0105965	0.00474436	0.000965219	0.000873928	0.000941026	0.000432329	0.00125248	0.00104479	0.00103345	0.000679675	0.00135534	0.000944767	0.00118481	0.00215073	0.0017775	0.00248168	0.00172597	0.00253788	0.00285237	0.00397534	0.00289484	0.00242861
ai	0.0130543	0.00823225	0.00818104	0.0051563	0.00867057	0.00463359	0.00804264	0.011457	0.00773756	0.0123407	0.0125621	0.00791327	0.00742602	0.00559712	0.00592768	0.00491399	0.0045681	0.0110097	0.00831883	0.00873039	0.0092183	0.00736777	0.0179272	0.0190058	0.0219433	0.0448605	0.039696	0.0473547	0.0391535	0.0159793	0.0379968	0.0261927	0.0240075	0.0237609	0.0390813	0.0280923	0.0374675	0.0265431	0.0249795	0.0231865	0.0163298	0.0248651	0.0585967	0.0303772	0.021683	0.0132138	0.00548195	0.00324443	0.00554614	0.0033336	0.0095228	0.00601973	0.0054146	0.00217524	0.00619932	0.0026498	0.00442302	0.00653108	0.00263198	0.00838196	0.00453771	0.00711016	0.00718671	0.010741	0.00781384	0.00770179
fait	0.0382083	0.0269545	0.0329367	0.0201309	0.0284225	0.0226259	0.0256662	0.018418	0.0166837	0.0138859	0.00959251	0.00611331	0.00728584	0.00638013	0.00339392	0.00618911	0.00510531	0.0135665	0.0127727	0.0171109	0.00890556	0.0160909	0.0149292	0.0206797	0.024133	0.0351204	0.0276855	0.027861	0.019388	0.00805195	0.0176757	0.0103596	0.00814884	0.0102776	0.0117165	0.0174669	0.0140351	0.013434	0.0137665	0.0164202	0.0177713	0.0142055	0.0176187	0.0105705	0.00962837	0.00752267	0.00379003	0.00280828	0.00490903	0.0021751	0.005746	0.00734621	0.00921676	0.00860024	0.00827558	0.00655654	0.00659788	0.00537582	0.00620347	0.0123122	0.0121428	0.0172522	0.0269126	0.037539	0.0340437	0.0372903
pour	0.0190381	0.0147381	0.0185659	0.0143877	0.0250887	0.0178815	0.0160556	0.00848682	0.00870079	0.00796132	0.00652532	0.00541175	0.00778179	0.00776897	0.00451014	0.0109361	0.0107986	0.0193361	0.0151675	0.0184713	0.01152	0.0186158	0.014482	0.0202691	0.0236361	0.0259124	0.0251199	0.0239268	0.0160443	0.0087899	0.0181731	0.0109038	0.0104489	0.013007	0.0127451	0.016332	0.0158156	0.0162451	0.0169656	0.0229103	0.0232545	0.0210599	0.0239567	0.0126132	0.00964213	0.0109274	0.00614561	0.00465012	0.00547502	0.00324913	0.00454164	0.0056592	0.00726874	0.00767267	0.00632341	0.00614821	0.00556923	0.00542595	0.00620338	0.0110055	0.0117556	0.0175111	0.0287512	0.0476915	0.0409017	0.0671225
vous	0.0250759	0.0162477	0.0161121	0.0171156	0.0263277	0.0194351	0.0178678	0.0098039	0.00959347	0.00998284	0.00903551	0.0090421	0.0125457	0.0125726	0.00786059	0.0166883	0.0164328	0.0229079	0.0181447	0.0188539	0.0124532	0.0152512	0.0133195	0.0182559	0.0206509	0.0215797	0.0192255	0.0195569	0.0126459	0.00718028	0.0152281	0.00923705	0.00843072	0.00997135	0.0107344	0.0115329	0.0120545	0.0109194	0.0127369	0.0160859	0.0178091	0.0154741	0.0177421	0.0108905	0.0104401	0.00760351	0.00416053	0.00430457	0.00513442	0.00231778	0.00405109	0.00603309	0.00560204	0.00825314	0.0080809	0.00722167	0.0049783	0.00859133	0.00910211	0.0102932	0.0171558	0.0198209	0.0349117	0.046867	0.0484714	0.075993
