 	a10	a87	a82	a87	a97	a99	a97	a10	a97	a87	a79	a5	a96	a18	a61	a75	a37	a61	a21	a47	a21	a47	a24	a71	a38	a21	a96	a21	a75	a85	a73	a26	a57	a53	a15	a73	a2	a57	a40	a5	a61	a85	a6	a61	a83	a21	a85	a41	a12	a31	a0	a75	a44	a26	a53	a15	a44	a13	a62	a0	a9	a10	a87	a23	a97	</S>
la	0.0318708	0.0294011	0.0134974	0.0123492	0.00561256	0.00560224	0.00539249	0.00712832	0.00730869	0.0119884	0.00882644	0.00778972	0.0119477	0.0121405	0.0162804	0.012324	0.0323885	0.0444215	0.0114346	0.0223089	0.0178096	0.0202322	0.0161134	0.00760349	0.00877251	0.00929596	0.00945997	0.0077792	0.0145857	0.0164922	0.0175643	0.017582	0.0210906	0.0133253	0.0189883	0.0269599	0.0261451	0.016684	0.0192087	0.0229557	0.0316466	0.0204464	0.0137527	0.0121393	0.0121823	0.0124905	0.011154	0.00845161	0.00641002	0.00608828	0.00895679	0.00823445	0.0127261	0.0134745	0.0149315	0.0153036	0.0147583	0.0170182	0.0164899	0.00944638	0.0126328	0.0172562	0.0121207	0.0157936	0.0125028	0.0249311
tornade	0.000953769	0.00236675	0.00290307	0.00295697	0.00467777	0.00837633	0.0166458	0.0255162	0.0634505	0.0546478	0.055859	0.111831	0.0945254	0.0550712	0.0405562	0.0538053	0.0239037	0.0226024	0.033777	0.0537386	0.0348839	0.012556	0.0104466	0.0265537	0.0133358	0.00891095	0.0137055	0.0043266	0.00724147	0.0203813	0.00805249	0.0120806	0.00756155	0.0191442	0.0207828	0.00560576	0.00272966	0.0154385	0.00316563	0.00136367	0.00143429	0.00166755	0.00219864	0.00174652	0.00131437	0.00107449	0.00138335	0.00134337	0.00114324	0.000691576	0.000940778	0.000474615	0.000516405	0.000483764	0.00248894	0.00133064	0.000852139	0.00058357	0.000251029	0.000160864	0.000171308	0.000152459	0.000230255	0.000153425	0.000484078	0.000297024
d'	0.0146802	0.0070809	0.00832404	0.00713465	0.0102922	0.0119094	0.0103504	0.0198641	0.0408491	0.041681	0.0405874	0.0312942	0.0542127	0.0674192	0.0402489	0.0502334	0.0388669	0.043239	0.0390441	0.0625031	0.0761815	0.0443705	0.0334523	0.0250624	0.0314404	0.0224392	0.0284245	0.00742711	0.00463453	0.00569882	0.00391811	0.00184497	0.00144527	0.00279364	0.00539147	0.00402946	0.00332635	0.0031659	0.00260753	0.00207423	0.00290373	0.00445468	0.00624794	0.00384285	0.00287772	0.00249641	0.00155935	0.00264817	0.00201193	0.000730527	0.000972157	0.00152477	0.00227999	0.00179681	0.00598256	0.00217433	0.00220239	0.000629927	0.000162662	0.000278479	0.0002819	0.000203297	0.000803782	0.00031003	0.000618708	0.000461747
hier	0.0134333	0.00866778	0.0104632	0.00708963	0.0086395	0.00935969	0.0117494	0.0130293	0.0190912	0.0155563	0.0240771	0.0252478	0.0334048	0.029206	0.0293766	0.0266144	0.0426404	0.0127174	0.0231739	0.0263716	0.0294077	0.0134985	0.0102495	0.0137842	0.0174185	0.0122062	0.0118725	0.00879232	0.00579956	0.00767321	0.00778959	0.00296665	0.0029023	0.00658837	0.0181224	0.0213749	0.0201596	0.028607	0.0158114	0.0118298	0.00933197	0.0092451	0.0343445	0.0155467	0.0191994	0.0166831	0.0174564	0.0161516	0.0165722	0.0107939	0.00633673	0.00645604	0.0096882	0.0171241	0.00512616	0.00583558	0.00847735	0.00586094	0.00776095	0.0132802	0.0176557	0.0146268	0.0202422	0.0131247	0.0162117	0.0101045
a	0.0157709	0.0108109	0.00882713	0.00688012	0.00776425	0.0156659	0.0151937	0.0203625	0.0192895	0.0138521	0.0184991	0.0197883	0.0342315	0.038753	0.0245045	0.0234947	0.0269793	0.0141146	0.0113311	0.0172064	0.0116115	0.00533097	0.0059542	0.0053422	0.00602264	0.00740077	0.00656465	0.00587077	0.00490467	0.00632992	0.0124271	0.00524459	0.00477204	0.0119211	0.0167757	0.0297889	0.0570945	0.0291907	0.0230133	0.0388505	0.0347336	0.0403926	0.0397472	0.0333145	0.0366744	0.0256688	0.0239512	0.0218495	0.0173038	0.00964695	0.00322587	0.00368047	0.00513614	0.00448889	0.00390616	0.00318544	0.00542412	0.00136653	0.00157624	0.00231564	0.0035297	0.00345416	0.00386461	0.00349494	0.00622373	0.00411437
emporté	0.012192	0.00571072	0.00632137	0.00677477	0.00838711	0.0123529	0.0069771	0.00948559	0.00544773	0.00506519	0.00513532	0.00534479	0.0105218	0.0333747	0.012057	0.0145968	0.010087	0.0215594	0.010745	0.0139977	0.0256619	0.0211254	0.0322618	0.0236763	0.0338769	0.0248173	0.0222857	0.0203433	0.0134245	0.0140444	0.0192243	0.00808372	0.00618309	0.0132871	0.0190521	0.0298722	0.0574671	0.0302214	0.0367627	0.0453428	0.0340573	0.0466355	0.0348122	0.0259319	0.0256173	0.0111444	0.0100432	0.0133074	0.0101865	0.00598781	0.00410436	0.00802617	0.0080739	0.00852013	0.0100145	0.00628489	0.00850659	0.00240071	0.000982021	0.00101514	0.00117887	0.00145754	0.00202835	0.00221514	0.00156604	0.00275405
beaucoup	0.0179467	0.00515422	0.00448449	0.00479352	0.00522215	0.00561684	0.00404988	0.00595208	0.00440013	0.00499432	0.00510399	0.00437849	0.00565341	0.00985461	0.00543343	0.00523905	0.00752096	0.0107986	0.00906261	0.00888408	0.0210534	0.0160743	0.0209445	0.0242787	0.0262337	0.0215355	0.023317	0.0213051	0.0147658	0.0137624	0.019248	0.0111019	0.00607881	0.0143195	0.0174066	0.0191657	0.064032	0.0169043	0.0277689	0.0398983	0.0364241	0.0540072	0.0407419	0.0286906	0.0263797	0.0191781	0.0175107	0.0223174	0.0149194	0.00765228	0.00574742	0.0131044	0.0124674	0.0193728	0.0159461	0.0163894	0.0172521	0.00807917	0.00538714	0.00702124	0.00526644	0.00755467	0.00706118	0.00550064	0.00469838	0.00759207
de	0.0161042	0.0072438	0.0044658	0.0042032	0.00424891	0.0044078	0.00432137	0.00668339	0.005488	0.0062394	0.00572419	0.00336567	0.0040195	0.0059017	0.00398729	0.00592242	0.00761619	0.0134306	0.0190575	0.0135617	0.015996	0.0184227	0.0146427	0.0157032	0.0212919	0.0208963	0.0200424	0.0194882	0.0105723	0.013334	0.021258	0.0159892	0.0100533	0.0178324	0.010869	0.0208079	0.0554688	0.018018	0.0162709	0.034254	0.0425189	0.0613073	0.0249123	0.0221096	0.0195171	0.0159583	0.0172681	0.0254622	0.0163631	0.016758	0.0110025	0.0197018	0.0237052	0.0294832	0.0156951	0.0151234	0.0111454	0.00863453	0.0080261	0.00861993	0.00652299	0.00955077	0.00766528	0.00773597	0.00744112	0.0105681
toits	0.0127155	0.0121982	0.00825435	0.00550822	0.00550028	0.00621961	0.00561191	0.00632057	0.00610295	0.00594317	0.00653202	0.00595337	0.00819976	0.00890241	0.0113658	0.0105656	0.0117126	0.0159582	0.0227076	0.0131363	0.0161086	0.0151166	0.0118365	0.0154742	0.0175388	0.0188741	0.0163122	0.0165667	0.00910519	0.0138643	0.0203492	0.0347209	0.0274738	0.0255967	0.0162553	0.0225714	0.0310272	0.0198654	0.0165977	0.0307364	0.0340745	0.0335247	0.0122677	0.0101847	0.00949893	0.0141199	0.0145874	0.0154504	0.0142805	0.0141166	0.00781996	0.0114109	0.0129278	0.0119074	0.00698266	0.0108433	0.0128318	0.0103567	0.0162139	0.0160988	0.0144131	0.0251392	0.0161617	0.0236253	0.0186825	0.0270802
dans	0.0293922	0.0191839	0.0117313	0.0087425	0.00701444	0.00666589	0.00477841	0.00482236	0.00578694	0.004357	0.00589071	0.00383674	0.00572855	0.00649317	0.00478962	0.00549228	0.00594599	0.00888955	0.00636899	0.00762214	0.00918024	0.00893634	0.00685115	0.0072253	0.00861197	0.0164371	0.0130726	0.0148457	0.00828986	0.0123363	0.019172	0.0222421	0.0242085	0.0205718	0.0193503	0.0204798	0.0429387	0.0154941	0.0183722	0.0350731	0.0272168	0.0264419	0.014998	0.0157204	0.0130072	0.0140757	0.0103034	0.0118427	0.00840029	0.00502794	0.00387669	0.00569396	0.00492973	0.0041179	0.00667143	0.0184947	0.0206911	0.0163898	0.0190209	0.0145623	0.020602	0.0481909	0.0269145	0.0380229	0.0434269	0.0541384
