 	a66	a87	a23	a83	a31	a47	a31	a62	a88	a75	a56	a75	a85	a92	a85	a92	a56	a90	a93	a4	a75	a47	a36	a2	a57	a87	a23	a97	a99	a97	a87	a97	</S>
je	0.0551814	0.0443716	0.0341524	0.0234974	0.0237172	0.0201215	0.0235195	0.0179309	0.0122497	0.0114356	0.0147593	0.01445	0.0152049	0.0237159	0.029025	0.0197104	0.0234361	0.013401	0.0128252	0.030155	0.0266468	0.0701011	0.0377486	0.0378143	0.0528244	0.0306861	0.0334038	0.0403788	0.0257393	0.0315405	0.0296776	0.0454207	0.0751582
ne	0.0461103	0.0376925	0.0668164	0.058553	0.056854	0.0596833	0.039247	0.042471	0.0261004	0.024081	0.0229544	0.0286858	0.0551389	0.0411411	0.0295756	0.0300069	0.0169939	0.0137955	0.024793	0.0197797	0.0217833	0.0209814	0.0178566	0.0194533	0.0223558	0.0198665	0.0230802	0.0198401	0.023149	0.0170037	0.0191969	0.0186663	0.0162931
veux	0.0369011	0.0325079	0.0611657	0.0627041	0.084613	0.0998337	0.10712	0.0822949	0.0544886	0.0381554	0.0215191	0.0204102	0.0101065	0.0106049	0.00534351	0.00431039	0.00326961	0.00407871	0.00697205	0.00786618	0.0139659	0.0146077	0.0134561	0.0169487	0.0144078	0.0133828	0.0141685	0.0125683	0.0169626	0.0234423	0.0178347	0.0391237	0.0348652
pas	0.0406125	0.0301924	0.0212886	0.0167031	0.0159487	0.0160457	0.0242642	0.0209848	0.0140434	0.0146653	0.0120117	0.0159521	0.0138468	0.0359144	0.0395829	0.0312527	0.0470296	0.0646332	0.0354242	0.0501243	0.036286	0.0240822	0.0261395	0.0331168	0.0246718	0.0251833	0.0264953	0.0305967	0.0348534	0.0311915	0.0356376	0.0528185	0.0584066
dire	0.0526154	0.0278775	0.0151707	0.013957	0.0118334	0.00969465	0.0154136	0.0146794	0.0148046	0.026654	0.0555872	0.0557433	0.0598938	0.0903472	0.0719934	0.0448799	0.0451187	0.0277041	0.0328512	0.018414	0.0231279	0.0262947	0.0395083	0.0304153	0.0311728	0.0213229	0.0127011	0.0134948	0.0131578	0.0220023	0.0216	0.0256536	0.0143155
au-	0.0508083	0.0365659	0.0250053	0.0181264	0.0170195	0.0149722	0.0226561	0.0167035	0.00974817	0.0128388	0.020333	0.023178	0.0181091	0.0303659	0.0249245	0.0268801	0.0218754	0.0388993	0.056159	0.0426741	0.0515695	0.0446564	0.0804281	0.0724701	0.048985	0.0338665	0.0248441	0.0239141	0.0243178	0.0216287	0.0174209	0.0155119	0.0125442
revoir	0.140163	0.0766504	0.0478129	0.0354851	0.018392	0.0111262	0.0115777	0.012774	0.00528465	0.0086499	0.00940588	0.0127838	0.00787295	0.00936382	0.0123126	0.00680244	0.0141581	0.0110178	0.0208027	0.0200783	0.0215841	0.0510194	0.0613771	0.0511828	0.0624539	0.0403033	0.0315024	0.0307016	0.0312166	0.0456114	0.0336405	0.0352038	0.0116886
à	0.0655354	0.0647645	0.0657731	0.0623385	0.0523974	0.0414957	0.046157	0.0476323	0.0183762	0.0173779	0.0111692	0.0166167	0.0071326	0.0196894	0.0263007	0.0253727	0.0371044	0.0509438	0.0362291	0.0249099	0.0269146	0.0143119	0.0197087	0.0213594	0.0241013	0.0135807	0.0291031	0.0162643	0.0212562	0.0216659	0.0226269	0.0176843	0.0141064
ma	0.0751523	0.0423289	0.0346728	0.0269981	0.0202293	0.0178103	0.0176052	0.0194987	0.0103904	0.01298	0.00829916	0.00988638	0.00454058	0.0102347	0.0158466	0.00823167	0.0191797	0.0243536	0.0120812	0.0150791	0.0161181	0.0191425	0.0279748	0.0376353	0.0547836	0.0320289	0.0580443	0.0443993	0.0607565	0.0629401	0.0627686	0.0589846	0.0590249
mère	0.0674508	0.0372903	0.023539	0.0189252	0.0160996	0.0132937	0.0135392	0.0129517	0.0123117	0.0184752	0.0157498	0.0139318	0.0084553	0.0121537	0.015375	0.00771424	0.0153285	0.0192347	0.0196504	0.017481	0.0155587	0.0229573	0.0210679	0.0185421	0.0253479	0.0173131	0.0304921	0.0436076	0.0539198	0.0637184	0.0691394	0.0845292	0.154855
</S>	0.0408556	0.0194476	0.0115984	0.0115502	0.00814993	0.00853438	0.00807889	0.0118191	0.00719732	0.00998707	0.00810989	0.00771902	0.00360718	0.00456898	0.00380577	0.00261102	0.00580385	0.0124755	0.0166497	0.0200476	0.022042	0.0278679	0.0367719	0.0473161	0.061666	0.0435745	0.0519031	0.0661068	0.0796456	0.0682484	0.0723295	0.0883118	0.111599
