 	a66	a87	a23	a12	a62	a5	a47	a88	a75	a5	a21	a5	a37	a61	a47	a31	a0	a9	a99	a87	a23	a87	</S>
cette	0.0639367	0.0554693	0.0471604	0.033677	0.02046	0.0160482	0.0127665	0.012582	0.0124876	0.0116111	0.0102138	0.0186996	0.0542136	0.0767322	0.0811191	0.0582693	0.0484304	0.0651426	0.0571939	0.054087	0.0756467	0.0519018	0.062151
manière	0.0993569	0.102732	0.182448	0.133327	0.0856788	0.0441566	0.0523955	0.0321577	0.0259433	0.0251548	0.032777	0.0255324	0.0430582	0.0134539	0.01014	0.00506992	0.00758259	0.00519458	0.0067717	0.0175685	0.0138595	0.0151085	0.0205333
de	0.0559445	0.0544354	0.059673	0.045109	0.0552121	0.0383225	0.0395063	0.0255825	0.0261615	0.0278241	0.0261379	0.0281736	0.0300314	0.0350243	0.0423648	0.0423946	0.0578332	0.0424891	0.0606829	0.0558719	0.0535988	0.057604	0.0400227
s'	0.0746922	0.036203	0.0215069	0.0353085	0.043988	0.0943929	0.0710855	0.0432813	0.0659229	0.0685835	0.0903119	0.0605784	0.0572357	0.0377374	0.0232245	0.026987	0.0307904	0.0235883	0.0192786	0.0208669	0.0179662	0.0226579	0.013812
habiller	0.126209	0.0937071	0.0437854	0.0535886	0.0520173	0.042743	0.0485523	0.072317	0.0972285	0.0813307	0.0707882	0.0576676	0.0325994	0.0213647	0.0144026	0.0113967	0.0133294	0.00674525	0.00617794	0.0122583	0.010126	0.0130054	0.0186595
est	0.0597595	0.0272136	0.0188828	0.0106268	0.00939654	0.00916265	0.0142864	0.0216781	0.0326012	0.022449	0.0202521	0.0241209	0.0213119	0.0431904	0.0535281	0.0756511	0.0710857	0.0410782	0.0530245	0.0632172	0.0732094	0.11732	0.116953
celle	0.0641024	0.0384222	0.0195031	0.0155474	0.0157882	0.0101234	0.00945063	0.0145319	0.0186622	0.0166655	0.0160984	0.0192992	0.0197384	0.0303039	0.0357744	0.0427774	0.0600806	0.0606009	0.0727675	0.105835	0.0799299	0.127685	0.106312
des	0.0309655	0.0180628	0.00622424	0.00720092	0.00587901	0.0115138	0.0116779	0.0145488	0.0204415	0.0186982	0.0216926	0.026763	0.026283	0.0423943	0.0545732	0.0581993	0.0528663	0.0479264	0.064406	0.121174	0.0785126	0.109297	0.1507
enfants	0.01972	0.00751844	0.00412837	0.00538169	0.00546315	0.0108113	0.00931991	0.0115957	0.0188708	0.0138483	0.0133429	0.0202221	0.0224142	0.0414762	0.0497136	0.0695239	0.0640964	0.0969969	0.0733541	0.130121	0.0913354	0.11651	0.104236
</S>	0.0111821	0.0039952	0.00273109	0.00308275	0.00281562	0.00506096	0.00688324	0.0129896	0.0187703	0.0205861	0.0199702	0.0233964	0.0419166	0.0519924	0.0673868	0.0888378	0.0859733	0.103374	0.0913188	0.0870765	0.0771865	0.0949262	0.0785472
