 	a66	a87	a23	a53	a54	a92	a56	a34	a56	a25	a56	a90	a4	a70	a75	a92	a47	a93	a70	a93	a70	a66	a9	a99	a87	</S>
cette	0.0338907	0.0457606	0.0441319	0.0411678	0.0255745	0.0208977	0.0130816	0.010483	0.0250292	0.0317701	0.0395494	0.0327344	0.0265001	0.013073	0.0123233	0.0137844	0.0485003	0.0563427	0.0677288	0.0590533	0.0606585	0.0585033	0.0489659	0.0379552	0.0291682	0.103372
fille	0.00390432	0.00617459	0.0162199	0.0425023	0.140178	0.223942	0.115269	0.0898673	0.0947798	0.0728542	0.0372344	0.0208314	0.0114987	0.013551	0.0157296	0.0185585	0.0215392	0.0112854	0.00398446	0.00274248	0.00368552	0.00497754	0.00374959	0.0058861	0.00824962	0.0108054
avait	0.0610859	0.0569239	0.0531879	0.0559779	0.0457638	0.053038	0.0552298	0.0516203	0.0389578	0.0282678	0.0172474	0.0251576	0.0272299	0.0543777	0.0387242	0.0160687	0.0310205	0.0345833	0.0126071	0.0145107	0.0178343	0.0224855	0.0238162	0.0472167	0.0712338	0.0458331
fui	0.0381402	0.0151754	0.00606332	0.0049616	0.00536396	0.0102261	0.0221088	0.0208331	0.0193647	0.0184916	0.0301168	0.0724054	0.0784053	0.089138	0.0777844	0.039912	0.0294908	0.0158832	0.0185259	0.0299232	0.0303029	0.0386105	0.039414	0.0528673	0.0610275	0.135464
la	0.103538	0.0561814	0.0261338	0.0188225	0.0104802	0.00924609	0.0202135	0.0113143	0.0181484	0.0212979	0.037387	0.0326681	0.0287152	0.015307	0.0138477	0.0189942	0.0314488	0.0285553	0.0294611	0.0306314	0.0569242	0.0669007	0.0601021	0.0508983	0.0447047	0.158078
maison	0.0644384	0.0350218	0.0143497	0.0083455	0.0042816	0.00695914	0.041151	0.0391456	0.031499	0.0227553	0.0270161	0.0237173	0.0167546	0.0118559	0.0105786	0.0168347	0.0155558	0.0114534	0.0160702	0.0202635	0.0374307	0.0539028	0.0600879	0.0812724	0.135029	0.19423
de	0.0470538	0.0335245	0.0184884	0.011123	0.00833785	0.0170581	0.0469554	0.0373616	0.0239834	0.020862	0.0274194	0.0280246	0.0239626	0.0212746	0.0250519	0.0298158	0.0326969	0.0114697	0.0234129	0.0278325	0.0524337	0.0372987	0.0383212	0.0603182	0.0920277	0.203892
son	0.0402115	0.0292665	0.0270649	0.0227402	0.0153968	0.0214577	0.0301986	0.024743	0.0159776	0.0131428	0.0193481	0.0177924	0.0119794	0.0136406	0.0145994	0.0200066	0.036977	0.0201587	0.0349192	0.0374386	0.060606	0.0454779	0.0664634	0.0750707	0.100064	0.185258
mari	0.0506894	0.0366435	0.0208011	0.0108983	0.00660539	0.00472944	0.0087393	0.012714	0.0120468	0.0115645	0.0172861	0.0115123	0.00976691	0.008497	0.00905956	0.0223226	0.0236919	0.012422	0.0355247	0.0402709	0.0702232	0.0997709	0.0980537	0.122526	0.119412	0.124229
</S>	0.0256669	0.0358422	0.0209897	0.013429	0.00693616	0.00930331	0.0196526	0.0215381	0.0173735	0.0139391	0.0161615	0.00990765	0.00740427	0.00459364	0.00407073	0.00932481	0.01823	0.0102303	0.0340032	0.0533539	0.0875104	0.0785755	0.0923107	0.0664	0.069439	0.253814
