 	a23	a79	a20	a30	a24	a41	a24	a41	a14	a35	a57	a54	a30	a35	a30	a35	a76	a90	a82	a76	a35	a41	a14	a57	a38	a4	a13	a9	a87	</S>
il	0.0543175	0.0964663	0.123997	0.206974	0.100856	0.0528302	0.0231591	0.0142522	0.0118643	0.00749092	0.00819857	0.00437697	0.00345212	0.00354939	0.00321398	0.00308531	0.00372389	0.00593438	0.00962569	0.0117391	0.0143159	0.0123422	0.0161152	0.0224544	0.0237665	0.0333921	0.0436263	0.0285313	0.0222343	0.0341153
est	0.0017202	0.0022854	0.00246229	0.00419486	0.0211555	0.0407117	0.0735247	0.0738887	0.053787	0.0241288	0.027258	0.0219042	0.0166234	0.0281292	0.0195074	0.0228218	0.0160276	0.0162243	0.0154357	0.0144741	0.0207479	0.0344603	0.0408225	0.0332379	0.060178	0.057277	0.0692114	0.0648511	0.0627841	0.0601648
venu	0.0135864	0.0115216	0.0105712	0.0121364	0.0207151	0.034446	0.0580934	0.035057	0.0114627	0.00676193	0.00511495	0.00371452	0.00295271	0.00392804	0.00267787	0.00494844	0.00557548	0.00435898	0.00597635	0.0109887	0.0130905	0.0282982	0.0433323	0.0880281	0.0973378	0.114646	0.0980003	0.0921174	0.0880677	0.0724941
m'	0.0321378	0.0233895	0.014498	0.0218224	0.0205362	0.0275635	0.0438108	0.0340337	0.0255492	0.0279315	0.0209975	0.0152005	0.0232524	0.0250409	0.0322111	0.048535	0.0447473	0.0397445	0.0482173	0.0630555	0.0726678	0.0630556	0.0519808	0.0495262	0.0243703	0.0235584	0.0108169	0.0245705	0.0207405	0.0264385
accueillir	0.0346875	0.0223212	0.0139346	0.0304048	0.0551943	0.0939661	0.154413	0.0524208	0.0291046	0.0362445	0.0232188	0.0249231	0.0179319	0.0189836	0.021197	0.0305968	0.0324832	0.0408739	0.0303016	0.0227753	0.029256	0.0203549	0.0161389	0.0165271	0.019524	0.0167647	0.0277097	0.0286583	0.0200629	0.0190271
à	0.0884833	0.0526739	0.0374378	0.0254132	0.0189679	0.0321325	0.0499874	0.0465142	0.0197605	0.0311339	0.0253503	0.0260879	0.0166479	0.0322885	0.028893	0.0246212	0.0260908	0.0186754	0.0162216	0.0220561	0.026847	0.0273764	0.0198385	0.032351	0.0395377	0.040936	0.0461569	0.05662	0.0402132	0.0306861
l'	0.0669791	0.0333602	0.0199719	0.0245133	0.0239859	0.0427425	0.077916	0.0405199	0.0161959	0.0115892	0.0133155	0.00886316	0.00812267	0.0112953	0.0115487	0.0138973	0.0180417	0.0229876	0.0203736	0.0221563	0.0258431	0.0462201	0.0445119	0.0394757	0.0457726	0.0523546	0.0688383	0.074271	0.0583869	0.0359503
entrée	0.0444215	0.029895	0.0203442	0.00753285	0.00498365	0.00932	0.0235111	0.00814619	0.00274468	0.00243368	0.00291636	0.00193784	0.00251807	0.00372978	0.00500337	0.00452805	0.00713544	0.026705	0.0496635	0.0573519	0.0710233	0.0917907	0.0871681	0.0871684	0.0981373	0.0726641	0.0761122	0.0564662	0.0296773	0.0149705
du	0.027984	0.0290667	0.0279977	0.0229437	0.0181778	0.0215007	0.0252342	0.0188849	0.0136938	0.0162118	0.0222462	0.0112576	0.00909445	0.0107565	0.0123819	0.0125103	0.0223337	0.0301808	0.045954	0.0461283	0.0300518	0.0320765	0.0309349	0.046015	0.0520121	0.0702457	0.07241	0.0610237	0.0555811	0.10511
village	0.0403449	0.0572252	0.0465946	0.0183945	0.0169572	0.0414572	0.0569963	0.0380116	0.0179885	0.0199215	0.018268	0.0114164	0.0062	0.00941641	0.0103149	0.0140701	0.0206989	0.0207534	0.0351081	0.0582682	0.0457394	0.0456104	0.0390737	0.053352	0.0457124	0.0491905	0.0626582	0.0375867	0.0331896	0.029481
</S>	0.00941837	0.0162071	0.0199305	0.0141361	0.0192055	0.0170252	0.0130241	0.00891987	0.00403253	0.00306381	0.00605804	0.00298951	0.00342229	0.00485068	0.0043998	0.00420777	0.00568567	0.00482636	0.00713112	0.0174425	0.0117941	0.0286929	0.0240234	0.0503859	0.0544066	0.0895594	0.102421	0.108152	0.129673	0.214916
