 	a66	a87	a23	a83	a53	a15	a20	a85	a6	a37	a43	a11	a62	a31	a0	a34	a98	a79	a7	a98	a15	a7	a84	a87	a23	a99	a38	a37	</S>
la	0.0487013	0.0488894	0.0577807	0.0399415	0.036191	0.0363669	0.0543105	0.0127904	0.0199455	0.0235619	0.0175847	0.0146639	0.0133315	0.00648103	0.00902668	0.011388	0.0172908	0.0162119	0.0141323	0.0209977	0.0340593	0.0588401	0.0574413	0.0522335	0.0374	0.0508351	0.0837091	0.0519647	0.0539296
pluie	0.00791193	0.0179315	0.0235951	0.0293835	0.0222537	0.0454747	0.086615	0.206814	0.221384	0.161937	0.0756323	0.067431	0.00502736	0.00465968	0.00390791	0.00412914	0.00244625	0.0021776	0.00116474	0.00137557	0.000746142	0.000274331	0.000383262	0.000644451	0.000479445	0.000504361	0.00100233	0.00308119	0.00163226
m'	0.122611	0.148074	0.113171	0.0998365	0.0625024	0.0766423	0.0486519	0.0508623	0.0588142	0.0714848	0.0338416	0.0198636	0.00601629	0.00622219	0.00415276	0.00312808	0.00183114	0.0037091	0.00254816	0.00508405	0.00414696	0.00475989	0.0062424	0.0032078	0.00750021	0.00683067	0.00590731	0.0137643	0.00859281
a	0.0301091	0.00948311	0.00707325	0.00858002	0.0147662	0.0224259	0.0211448	0.0548149	0.0490152	0.0620239	0.083564	0.100624	0.107014	0.0753061	0.0635923	0.0236705	0.0210699	0.0139644	0.0161606	0.0147888	0.0186537	0.0294526	0.0269445	0.0171745	0.021434	0.0255211	0.0220276	0.018904	0.0206969
fait	0.0722709	0.0346566	0.0194411	0.0154647	0.017453	0.0122042	0.00750706	0.0119414	0.0194404	0.0314781	0.0486325	0.0777556	0.139079	0.206099	0.0857162	0.0136772	0.0127589	0.0103857	0.0180578	0.0144191	0.012788	0.0216187	0.021375	0.0151451	0.0135076	0.0139957	0.0112237	0.0134966	0.00841224
manquer	0.105331	0.058495	0.0214157	0.0168324	0.014821	0.0127234	0.0248883	0.0330752	0.0441845	0.0459461	0.0353454	0.044678	0.0547992	0.0710267	0.0921305	0.0356793	0.0384164	0.018271	0.012579	0.0211924	0.0136307	0.0210289	0.0169896	0.0128856	0.0124112	0.0185885	0.0233167	0.0272678	0.0520507
les	0.0527911	0.036428	0.0218858	0.0179331	0.014942	0.0130253	0.00952541	0.00638861	0.00539511	0.00581974	0.0064749	0.00955171	0.0112594	0.0164677	0.0217933	0.0234774	0.0469933	0.040929	0.0785837	0.0701703	0.0432964	0.0518478	0.0535901	0.0491274	0.0531013	0.0549508	0.0354687	0.0538365	0.0949462
cours	0.0365945	0.023548	0.014563	0.0124218	0.0113471	0.0103377	0.010851	0.0101673	0.00956892	0.00974545	0.0114689	0.0133969	0.0141869	0.0162781	0.0219783	0.0224649	0.0371683	0.0490534	0.0530692	0.0531373	0.0504458	0.0542175	0.0433116	0.0460469	0.0836478	0.0673143	0.0490142	0.077756	0.086899
aujourd'	0.0232477	0.0173891	0.0118864	0.0122923	0.00860864	0.00478017	0.00858113	0.00973184	0.0108175	0.0127363	0.012911	0.0108015	0.00763047	0.0121325	0.019956	0.0142928	0.0234424	0.034754	0.0807675	0.0591909	0.070077	0.0721876	0.0512833	0.0660353	0.113916	0.0632894	0.0397623	0.0691309	0.0583678
hui	0.0316941	0.0198688	0.0139466	0.0142732	0.0124011	0.00637412	0.0100919	0.0167174	0.0227206	0.0292658	0.024762	0.0162392	0.0138955	0.0183549	0.0135797	0.00941953	0.0202115	0.016217	0.0489825	0.0475546	0.0629768	0.0674639	0.041598	0.0534395	0.112636	0.0596223	0.0421241	0.0644176	0.089152
</S>	0.0287349	0.0235147	0.0181762	0.0195331	0.0145603	0.0121717	0.0135127	0.0105847	0.012745	0.0149665	0.010139	0.00746251	0.00453854	0.00889924	0.00870202	0.00839332	0.021356	0.0157511	0.0565304	0.0421192	0.0569463	0.0773562	0.0715537	0.0660281	0.0978029	0.0676502	0.0532939	0.0628766	0.0941011
