 	a66	a87	a23	a87	a23	a10	a54	a7	a54	a6	a85	a92	a37	a90	a69	a90	a25	a44	a34	a96	a88	a62	a75	a92	a79	a44	a75	a85	a92	a75	a5	a37	a36	a27	a30	a87	a23	a87	a23	</S>
parmi	0.0168252	0.0280085	0.0282918	0.0446702	0.0424869	0.0471008	0.0616921	0.0832084	0.11654	0.111457	0.0515014	0.0532506	0.0319646	0.0226723	0.0161449	0.0106053	0.00987262	0.0144098	0.0085592	0.00692899	0.00732858	0.00618482	0.00567795	0.00607683	0.0128601	0.00745189	0.00487131	0.00426298	0.00713974	0.00717415	0.00558617	0.00742756	0.0131314	0.00986456	0.0137717	0.00857326	0.00933239	0.0098639	0.0150301	0.0321998
ces	0.0109517	0.0118098	0.013436	0.0104027	0.0226761	0.0304724	0.0260571	0.0411267	0.0698105	0.0508719	0.0362404	0.0474158	0.0372428	0.0291634	0.0249576	0.0159212	0.0176	0.0146527	0.016661	0.0169333	0.0241316	0.0116349	0.0259291	0.0143511	0.0115557	0.0110814	0.00987132	0.0110575	0.0104734	0.0194613	0.0167041	0.023606	0.0315087	0.0431942	0.0319604	0.0345963	0.0350759	0.0271747	0.0369092	0.02532
enfants	0.0161491	0.0128269	0.0067169	0.00607882	0.0116279	0.0316933	0.0554067	0.0914176	0.0706569	0.0945711	0.05647	0.0540306	0.0598647	0.0516883	0.0528164	0.0380719	0.0296436	0.021945	0.0263249	0.0270234	0.0227032	0.0190495	0.013957	0.00954443	0.0058598	0.00648664	0.00478326	0.00298008	0.00328739	0.00250485	0.0036612	0.00408244	0.00430094	0.00609891	0.00984609	0.0092788	0.0149205	0.0121363	0.0169589	0.0125358
quel	0.065923	0.0389619	0.019732	0.0183941	0.0209085	0.0220609	0.0261946	0.0253083	0.0113868	0.0170747	0.028505	0.0335003	0.0412792	0.0261241	0.016505	0.0209617	0.0164367	0.0217457	0.0167511	0.0211733	0.0290121	0.0518902	0.0298782	0.0233432	0.0202084	0.0155474	0.0136006	0.0220146	0.0117038	0.0140373	0.0191012	0.0209084	0.0164099	0.0314317	0.0274471	0.0283146	0.0292599	0.0275406	0.0333679	0.026056
est	0.0416473	0.0308398	0.0202394	0.020976	0.015951	0.0180606	0.0154554	0.0343852	0.0200269	0.0557627	0.0342983	0.0293582	0.0926392	0.0220272	0.0337534	0.0421636	0.0340589	0.047173	0.0276671	0.0333546	0.017869	0.0253354	0.0166805	0.0173946	0.00655748	0.0109952	0.0126189	0.0205516	0.0146214	0.0159588	0.00912069	0.0121578	0.0148729	0.0208129	0.00913952	0.0131281	0.0202168	0.0121276	0.0329272	0.0270761
celui	0.0770794	0.037257	0.0260287	0.0279149	0.0262017	0.0352395	0.023579	0.0345932	0.0353312	0.0473826	0.0320079	0.0252077	0.035153	0.0219799	0.0118301	0.0322876	0.027864	0.0183189	0.0251015	0.042065	0.0317278	0.0293013	0.0227264	0.0212491	0.0202642	0.0294631	0.0308013	0.0305579	0.0438302	0.0270307	0.0135367	0.00774278	0.00597911	0.00461595	0.00866072	0.00440988	0.00681864	0.00351918	0.00843949	0.00690263
qui	0.0691887	0.0443613	0.0322652	0.0226077	0.0335867	0.0454121	0.0265265	0.0481132	0.0303307	0.0296268	0.0161321	0.0106759	0.0109206	0.0197246	0.00814575	0.0165952	0.0179917	0.0114498	0.0133627	0.013897	0.00724262	0.00694595	0.0129006	0.00802083	0.0106514	0.00870349	0.0139397	0.0228799	0.0240139	0.0340937	0.0464326	0.0269051	0.024429	0.0232115	0.0530252	0.023514	0.042171	0.0211369	0.0442264	0.0246418
n'	0.0578869	0.0358213	0.0340665	0.0254513	0.0280267	0.0244501	0.0148071	0.0120199	0.0045102	0.00696842	0.00843667	0.00672543	0.00817229	0.00985176	0.00709602	0.00706409	0.0109533	0.0102464	0.0100179	0.0114795	0.00772405	0.00351099	0.0076169	0.00488586	0.00785257	0.00746399	0.0162054	0.0208985	0.02851	0.0400917	0.0521244	0.0509248	0.0490207	0.0485449	0.0480563	0.0512368	0.0571334	0.0453649	0.055542	0.0632401
arrive	0.0498822	0.0528806	0.0529122	0.0424754	0.0445217	0.0307365	0.0227845	0.0175043	0.00846937	0.0113349	0.0116763	0.0176769	0.0117766	0.0118546	0.012517	0.0059129	0.0117836	0.013287	0.00838416	0.0124525	0.0152933	0.011397	0.0192519	0.0160013	0.0249481	0.0173263	0.0180376	0.0137835	0.0154644	0.0218595	0.0276963	0.0322977	0.0296302	0.0333837	0.0383909	0.041432	0.0360755	0.0349585	0.0433742	0.0585748
pas	0.0405693	0.0377605	0.0396171	0.0604294	0.0628973	0.0384856	0.0320814	0.0207598	0.00791483	0.0133273	0.0136361	0.0177685	0.0247309	0.0255523	0.0177928	0.0117208	0.0182667	0.0207095	0.0141967	0.0218434	0.0223149	0.0129543	0.0188335	0.0128762	0.0142796	0.0111264	0.012261	0.0182861	0.0164111	0.0216731	0.0209936	0.0225233	0.0205221	0.0253515	0.0230022	0.0255173	0.0270886	0.0252915	0.0315806	0.0770526
