 	a66	a87	a23	a13	a75	a47	a36	a37	a66	a90	a25	a69	a53	a44	a94	a44	a93	a44	a90	a93	a90	a15	a7	a40	a36	a2	a57	a87	a23	a99	a54	a36	a37	a62	a88	a71	a9	a54	a15	a7	a2	a57	a87	</S>
je	0.0338768	0.039332	0.049782	0.0313071	0.038304	0.0341172	0.0365211	0.0082781	0.00610969	0.00581008	0.00980562	0.00736755	0.00557571	0.0184833	0.00736836	0.00903313	0.0162954	0.0201426	0.0176847	0.0332322	0.0275282	0.0373137	0.0328972	0.0313779	0.0199663	0.0303657	0.0265763	0.0287597	0.0157657	0.0277319	0.011263	0.00793263	0.0126689	0.0184149	0.0100998	0.0150013	0.0121309	0.0154378	0.0120203	0.0190941	0.0219228	0.0265621	0.0278914	0.0828508
ne	0.0153548	0.0111036	0.0114632	0.0156591	0.0265904	0.0370244	0.0462014	0.0613574	0.0258424	0.0408457	0.0200376	0.030583	0.0302992	0.0355004	0.0231907	0.026	0.023314	0.0249228	0.0366564	0.0205927	0.0222899	0.0215725	0.0246468	0.0161106	0.0214295	0.0159397	0.0192522	0.0116167	0.0140843	0.00739016	0.00827268	0.00755503	0.00978811	0.0117914	0.02012	0.015888	0.011715	0.0199258	0.041864	0.0216969	0.0269369	0.0206241	0.0290256	0.0179252
sais	0.0239925	0.0102177	0.00690453	0.0124694	0.00721633	0.0162526	0.047867	0.0588511	0.0315598	0.0381017	0.0277116	0.0411126	0.0329376	0.0462875	0.0388893	0.0289491	0.0382162	0.0392102	0.0447036	0.0403657	0.0280433	0.0340452	0.0273317	0.0262578	0.0245644	0.0149033	0.0114552	0.00640035	0.0038055	0.00240998	0.00130977	0.00225479	0.00689326	0.00888203	0.00412401	0.00683302	0.00713336	0.00960379	0.019633	0.0215189	0.0320599	0.0176273	0.0337342	0.0173601
pas	0.0310819	0.0196889	0.0149762	0.0100216	0.00477927	0.00535135	0.00999331	0.00463773	0.00513387	0.00615228	0.00732456	0.0126899	0.0189494	0.0191132	0.0121076	0.0129776	0.0156308	0.0278379	0.0152967	0.025861	0.0221396	0.0139805	0.0246705	0.0362756	0.0255103	0.0194876	0.021303	0.016342	0.0258537	0.0296864	0.0278962	0.0315023	0.0348523	0.0251874	0.0292259	0.0365945	0.0200549	0.0431416	0.0349603	0.0498554	0.0385914	0.0282655	0.0306128	0.0544054
tisser	0.0299141	0.0173581	0.012048	0.00655559	0.00281498	0.00394999	0.00427757	0.00560199	0.0127045	0.0212597	0.0182502	0.0335352	0.0375253	0.0296228	0.0401135	0.0512401	0.0376138	0.0634847	0.049348	0.0663246	0.0512699	0.0313923	0.0378621	0.0173041	0.014901	0.0113361	0.0133361	0.0135662	0.0171349	0.0145663	0.0163877	0.0189229	0.0177256	0.0140597	0.0272987	0.0174905	0.00974483	0.0178948	0.0182108	0.0194421	0.0168466	0.0122435	0.0140309	0.0134898
une	0.0440914	0.0341433	0.0275963	0.0145472	0.00561805	0.00769672	0.00717539	0.00647985	0.0187541	0.0202013	0.055309	0.0361581	0.0375802	0.0338692	0.042803	0.0586053	0.0487439	0.0339534	0.0406474	0.0352095	0.0457871	0.0240832	0.0225911	0.0171225	0.0175975	0.0189607	0.0116018	0.00845847	0.00503711	0.00612006	0.00546514	0.00674866	0.0142785	0.0202462	0.0153454	0.0260189	0.0188686	0.0206437	0.015633	0.018025	0.0146095	0.014325	0.00974004	0.0135103
nasse	0.0210179	0.0190013	0.00942177	0.00723574	0.00535039	0.0131663	0.0121006	0.00820203	0.0132798	0.0149303	0.038615	0.0161945	0.0177161	0.0178146	0.0274037	0.0278293	0.0500024	0.0398961	0.0560341	0.0794249	0.0757694	0.0550792	0.0545681	0.0258292	0.0237454	0.0158086	0.0123553	0.00977771	0.00808086	0.0104642	0.0104634	0.0106607	0.0112013	0.0120918	0.0148938	0.0156738	0.0108323	0.0119604	0.0155686	0.0295884	0.0231448	0.0140712	0.0169303	0.0168044
mais	0.0616405	0.024706	0.0125422	0.0115701	0.00543895	0.0145737	0.0138594	0.0173707	0.0172737	0.0329831	0.0360926	0.0340648	0.0308674	0.0276751	0.0480434	0.0462632	0.0652614	0.0295909	0.0392157	0.0459385	0.0296508	0.0315442	0.0215451	0.011031	0.00963241	0.00522656	0.00761202	0.00420449	0.00375811	0.00663774	0.00677792	0.00553045	0.0164889	0.0180122	0.0164045	0.0165584	0.0123102	0.0175394	0.0231198	0.0327857	0.026341	0.0188823	0.0274268	0.0160087
je	0.0492152	0.0245541	0.0100257	0.00636564	0.00387912	0.00507765	0.004577	0.00406366	0.0115896	0.0199924	0.0283178	0.0184843	0.023736	0.0277879	0.0252346	0.0269059	0.0277416	0.0254178	0.0342739	0.0512761	0.0321429	0.0345214	0.02994	0.0124806	0.0113767	0.00722907	0.0105509	0.00792034	0.00729634	0.00768882	0.00697177	0.00613764	0.0230073	0.0375875	0.0144201	0.0164066	0.0135053	0.0187597	0.0307366	0.0476808	0.0405855	0.049606	0.0669152	0.0380168
me	0.0323839	0.0272912	0.0138432	0.0103139	0.00505263	0.00508755	0.00525376	0.0050318	0.0102658	0.0194737	0.0202332	0.0189784	0.026922	0.0253158	0.0293968	0.034303	0.0321983	0.0353715	0.0343719	0.0536111	0.0498144	0.0387548	0.0489456	0.0119863	0.0092279	0.00711622	0.00792181	0.00820282	0.00798609	0.00657283	0.00702786	0.00689663	0.022483	0.0215527	0.0247195	0.0161736	0.0181395	0.0198134	0.0222253	0.0350498	0.0266616	0.03818	0.0503654	0.0494833
débrouille	0.0278676	0.0277398	0.0108219	0.00502583	0.00255668	0.00267217	0.0026656	0.00361833	0.00596693	0.0121668	0.0112595	0.0120919	0.0180155	0.0189418	0.0307997	0.0392428	0.0346032	0.0440613	0.0430036	0.0552888	0.0567943	0.0518308	0.0544471	0.0212894	0.019527	0.0198175	0.0201043	0.0196615	0.0210849	0.0123032	0.0118602	0.0129127	0.0309808	0.0236099	0.0229496	0.00759604	0.00728605	0.0114726	0.0185054	0.0211149	0.0242361	0.0253935	0.0300872	0.046725
</S>	0.0445659	0.0241036	0.0152477	0.00602255	0.00250869	0.00387371	0.00312817	0.00428812	0.0068045	0.00941945	0.0110492	0.0109648	0.0138098	0.0185953	0.0191263	0.0271995	0.0203993	0.0216413	0.0201316	0.019525	0.0197965	0.0188043	0.0184233	0.00731783	0.00782445	0.00989341	0.0078624	0.00683046	0.00708317	0.00657038	0.00788729	0.00776049	0.0347547	0.0461239	0.0412436	0.0248156	0.0299142	0.0463924	0.045754	0.0498155	0.0442817	0.0519392	0.0495039	0.107003
