 	a66	a87	a23	a99	a40	a36	a2	a11	a18	a25	a62	a12	a62	a90	a69	a90	a93	a4	a62	a88	a75	a92	a44	a13	a38	a10	a87	a23	a87	</S>
j'	0.0305461	0.0533892	0.0397929	0.0326336	0.0233801	0.0309418	0.0406764	0.049074	0.0239789	0.0284256	0.0398038	0.0227486	0.0381037	0.0291462	0.0217532	0.0170362	0.0163216	0.0116638	0.0123733	0.0152844	0.0488542	0.0510103	0.0718616	0.0665829	0.047956	0.0413064	0.0222656	0.0240964	0.0171791	0.0318138
ai	0.0325672	0.0247661	0.0328157	0.032851	0.13572	0.101367	0.0902573	0.0468863	0.0384147	0.0411022	0.0330807	0.029875	0.0211039	0.0125193	0.020821	0.0189745	0.0191655	0.0259864	0.0305057	0.0249926	0.0175565	0.0185325	0.0241723	0.0205388	0.0142212	0.0166755	0.0146137	0.0154522	0.0226327	0.0218327
manqué	0.0311762	0.0351608	0.0340842	0.030391	0.0420709	0.017516	0.0136802	0.0129242	0.0161039	0.0245862	0.0247005	0.0162833	0.0135557	0.0131556	0.0153491	0.0196394	0.024363	0.0167281	0.0178933	0.0221827	0.0256232	0.0309553	0.0358108	0.0595778	0.0507893	0.0702109	0.0656461	0.0543727	0.098749	0.0667207
de	0.039116	0.0248583	0.0124804	0.014978	0.00996807	0.00663142	0.00843609	0.00873824	0.0169896	0.0236411	0.0282262	0.034311	0.0651342	0.0637441	0.0619075	0.0546037	0.0499762	0.0468632	0.0335435	0.0343177	0.0429635	0.0306884	0.0390912	0.0410465	0.0300738	0.0234333	0.0288463	0.0369991	0.0237491	0.0646443
camion	0.0346992	0.0177172	0.0130776	0.0104754	0.0063117	0.00741562	0.00892335	0.00825055	0.00656012	0.010792	0.0176483	0.0239143	0.0494411	0.0473725	0.0563456	0.0435241	0.030437	0.0407136	0.030872	0.0370186	0.0561935	0.0559621	0.0344073	0.0450616	0.0507138	0.0518844	0.0565503	0.0531727	0.0452529	0.0492916
pour	0.0766271	0.0533911	0.0207213	0.0164376	0.00683663	0.00277986	0.00117255	0.0042319	0.00309896	0.00951152	0.00765826	0.00887748	0.0274696	0.0339029	0.0494525	0.0550831	0.0438993	0.0560998	0.0538036	0.0452477	0.0430553	0.0396903	0.0417969	0.039908	0.0425342	0.0408688	0.0405198	0.0454135	0.0464888	0.0434217
partir	0.0970186	0.0719696	0.0493295	0.0165544	0.00771322	0.00316966	0.00203658	0.00736903	0.00472607	0.00740115	0.00883697	0.00548525	0.016041	0.0156071	0.0141453	0.015316	0.0102807	0.0118915	0.0141319	0.0188412	0.0358257	0.0391668	0.0539332	0.0411537	0.0778991	0.0794586	0.0647501	0.0732452	0.072914	0.063789
à	0.0500493	0.0478963	0.0298076	0.0174494	0.00583964	0.00292424	0.00226476	0.00701892	0.0040298	0.00872606	0.0150153	0.0100272	0.0272501	0.0284784	0.016797	0.0166653	0.0143756	0.0101607	0.0119307	0.0179648	0.0513123	0.0504994	0.0723368	0.0504791	0.100034	0.0628393	0.069904	0.0564115	0.0719267	0.0695857
boundji	0.0558565	0.0314846	0.0187448	0.0101007	0.00460304	0.00347369	0.00292187	0.00969213	0.00788746	0.0121377	0.0126209	0.0109121	0.0131916	0.0150177	0.012667	0.0132539	0.0108099	0.0103672	0.0126847	0.0120439	0.0352845	0.0551848	0.0699852	0.0635914	0.0805381	0.0938462	0.0647084	0.062435	0.0699395	0.124016
</S>	0.0691442	0.0309941	0.0161868	0.00799744	0.00263624	0.00233655	0.0017841	0.00784657	0.00547419	0.00928175	0.00472031	0.00581269	0.00673864	0.00804333	0.00913712	0.00953973	0.00909271	0.0108882	0.0115831	0.012199	0.0282045	0.0460544	0.0443423	0.0569383	0.0717564	0.0996989	0.0733963	0.0732291	0.0869481	0.177995
