 	a66	a87	a40	a5	a37	a56	a94	a90	a69	a15	a98	a47	a36	a37	a24	a47	a31	a43	a0	a31	a24	a96	a88	a71	a9	a99	a97	a24	a88	a75	a92	a36	a56	a92	a37	a56	a44	a90	a15	a7	a84	a57	a87	a23	a3	a9	a97	</S>
les	0.0357612	0.0350628	0.0340034	0.0467564	0.0536682	0.0599953	0.0458734	0.0242892	0.0326637	0.0229147	0.024457	0.0290577	0.0215988	0.0140567	0.0247754	0.015536	0.0201366	0.0207312	0.0156292	0.0183462	0.0156749	0.0188591	0.0204605	0.0138288	0.0159189	0.0234251	0.0214019	0.0108784	0.0109324	0.00959101	0.0133367	0.0110416	0.0123874	0.010843	0.0117234	0.00629036	0.00669005	0.0114719	0.00945705	0.0147441	0.012917	0.00994515	0.0120138	0.0216204	0.0165779	0.0179543	0.0144909	0.030211
femmes	0.00233178	0.00623119	0.0179296	0.0233221	0.055125	0.0526737	0.0594799	0.046231	0.0233469	0.0252344	0.035081	0.0520985	0.0400875	0.0335971	0.036325	0.0519487	0.0580765	0.0540148	0.0594896	0.0368791	0.0182778	0.0418859	0.0176193	0.013955	0.0156695	0.0136811	0.00557158	0.00310204	0.00276735	0.00267065	0.00505938	0.0120574	0.0051161	0.00604917	0.00459029	0.00482619	0.00362055	0.00359786	0.00647927	0.00918702	0.00260474	0.00338296	0.00355137	0.00456076	0.00379212	0.00686905	0.00676141	0.00319086
sont	0.0241181	0.0257826	0.0291747	0.0376744	0.0419695	0.0717247	0.035931	0.0243758	0.0163505	0.0185676	0.0225988	0.0247421	0.0274398	0.0270569	0.0296029	0.0390901	0.0426525	0.0565113	0.0428731	0.0360328	0.035841	0.026041	0.0165642	0.0109732	0.00970643	0.00651536	0.00501749	0.00652567	0.00638685	0.00971568	0.00994761	0.0107338	0.0148166	0.00775435	0.00822896	0.00666428	0.0038569	0.0084496	0.00711054	0.00876481	0.00676724	0.00767336	0.00812536	0.0201918	0.0134542	0.0189175	0.0214765	0.00951058
en	0.0111248	0.0192516	0.00674105	0.00638573	0.00694605	0.0072369	0.0169343	0.00436228	0.00709676	0.00569867	0.00682829	0.0107847	0.025995	0.0245649	0.0376645	0.0262969	0.0276363	0.0301439	0.0199897	0.0145237	0.0132185	0.0361838	0.0244331	0.0368595	0.0704053	0.0532621	0.0348486	0.0144571	0.0246613	0.031915	0.0324862	0.0337899	0.0174682	0.0165342	0.0143436	0.0104037	0.0145508	0.0103225	0.0159656	0.0153115	0.0190042	0.0148701	0.0209567	0.0215986	0.0280932	0.0264014	0.0186097	0.0128396
train	0.0199506	0.0219432	0.0132949	0.0111957	0.0120924	0.0118159	0.0208381	0.00690328	0.00763257	0.00944971	0.00955408	0.0104392	0.0190303	0.02515	0.028537	0.0259661	0.0197399	0.0263359	0.0228097	0.0194533	0.0218637	0.0260614	0.0293094	0.022798	0.0364664	0.0298388	0.0386446	0.0545656	0.0821143	0.0602307	0.0480791	0.0375114	0.0294192	0.0147916	0.0179442	0.00633512	0.0062911	0.0064877	0.00653401	0.00824701	0.00378249	0.012041	0.0110829	0.00952325	0.0130173	0.0107477	0.00774489	0.00639532
de	0.0356287	0.0200174	0.0126108	0.00935389	0.00838551	0.0240509	0.0286914	0.0165023	0.038027	0.0170745	0.0263461	0.032376	0.0421023	0.0470106	0.0627856	0.0665756	0.0641678	0.0960361	0.0631259	0.0473964	0.0540739	0.0312497	0.038793	0.0193108	0.0114936	0.0147584	0.00691692	0.00367098	0.00270698	0.00322285	0.0031389	0.00288453	0.0049857	0.00294515	0.00226738	0.00233343	0.00283697	0.00341833	0.00103811	0.00159471	0.00248983	0.00280778	0.00195843	0.0042101	0.00227349	0.00396502	0.0066442	0.00374619
lancer	0.015188	0.00593288	0.00297032	0.00284489	0.00257795	0.00865079	0.0158716	0.00903687	0.0273765	0.0100125	0.0170992	0.0177009	0.0303496	0.0375382	0.0400817	0.0400378	0.0306929	0.0312317	0.0186412	0.0533135	0.05725	0.0446206	0.112014	0.0890954	0.100227	0.047321	0.0359022	0.0164525	0.0178136	0.0110505	0.00677863	0.00569528	0.0142809	0.00369952	0.00406625	0.00279207	0.00284056	0.00182536	0.000800263	0.000671741	0.000838416	0.000762089	0.000623581	0.00114085	0.000420299	0.000903072	0.00154472	0.00142024
des	0.0263004	0.0111465	0.00476288	0.00534806	0.0034059	0.0100682	0.0170366	0.00936408	0.0223388	0.021182	0.0342214	0.0315122	0.0519322	0.0709734	0.0506592	0.0487795	0.036912	0.0362398	0.0293845	0.0427794	0.0389482	0.0334847	0.0585914	0.0345885	0.0390398	0.0269169	0.027205	0.0261727	0.0185023	0.00922983	0.00386306	0.00365918	0.00725232	0.00533706	0.00441965	0.00498899	0.00591423	0.00649158	0.00498807	0.00567048	0.00361407	0.00930314	0.00958694	0.00841355	0.00550489	0.00611458	0.0068442	0.0210074
cris	0.0318942	0.0186055	0.00736304	0.00758422	0.00665524	0.0162169	0.0160606	0.0118215	0.0211651	0.0311684	0.0438302	0.05179	0.0628807	0.0688126	0.0578505	0.0414285	0.0411537	0.0293375	0.0230982	0.0240888	0.0219136	0.0251276	0.0253365	0.0166865	0.0147923	0.012098	0.0139917	0.015893	0.0182588	0.0136764	0.00939568	0.0106529	0.0125777	0.00653087	0.00567675	0.00466731	0.00426532	0.00531729	0.00428638	0.00962502	0.00356002	0.0132154	0.0134934	0.0174625	0.0146312	0.0202746	0.0187554	0.0350327
de	0.0419177	0.0333947	0.0142662	0.0107177	0.012593	0.0204265	0.0148025	0.0144682	0.033075	0.0293388	0.0361414	0.0519025	0.050595	0.0508891	0.040881	0.0285208	0.0263797	0.0209463	0.0167168	0.0137808	0.0111145	0.00948326	0.0105764	0.00526657	0.00518702	0.00823664	0.0185968	0.018925	0.0126423	0.0101551	0.0105817	0.00713324	0.00811922	0.00708323	0.00593317	0.00633038	0.00656216	0.010789	0.0116458	0.0169056	0.0137043	0.0286435	0.029388	0.0340458	0.0223145	0.0241213	0.0215426	0.0632193
malheur	0.0199209	0.0120045	0.00519508	0.00528364	0.00638774	0.00975327	0.00996871	0.00631434	0.0153576	0.0160821	0.0204652	0.0277094	0.0316699	0.033701	0.0289274	0.0202181	0.0170867	0.0164061	0.0108581	0.0103737	0.012365	0.0154314	0.0158818	0.0142536	0.0153397	0.0175504	0.0300599	0.0319477	0.0194335	0.0127301	0.0118886	0.011609	0.0076939	0.0053021	0.0073525	0.00658703	0.0096663	0.0109047	0.010218	0.0234256	0.0139177	0.0363742	0.0438331	0.0727912	0.0361941	0.0489313	0.0338191	0.100815
parce	0.0296816	0.0160065	0.00749619	0.00630974	0.00619635	0.00859577	0.00939287	0.00566917	0.013748	0.0129446	0.0163979	0.0228373	0.0280198	0.0289683	0.0274767	0.0201107	0.0178883	0.0165918	0.0124026	0.0103178	0.0142786	0.0153054	0.0146275	0.0133086	0.0128445	0.0174656	0.0259904	0.027865	0.0155548	0.0105635	0.0109388	0.00795666	0.00650981	0.00565127	0.00619573	0.00645398	0.00922496	0.0138887	0.0134577	0.0303793	0.0147066	0.0416728	0.0383568	0.0614601	0.0503798	0.0612258	0.039381	0.0973043
que	0.051878	0.024008	0.0119998	0.0126929	0.00769453	0.0100653	0.00626051	0.0148664	0.0189374	0.0105346	0.0127057	0.0169659	0.0217316	0.0229438	0.0234527	0.0170676	0.0256057	0.0171309	0.0229866	0.0182578	0.0190729	0.00880161	0.0129899	0.0056618	0.00417874	0.00936673	0.0216777	0.0210609	0.0146435	0.0119537	0.0120216	0.00674569	0.00960042	0.00933648	0.0152143	0.0230804	0.025219	0.0352804	0.0295498	0.0347885	0.0347185	0.0399968	0.0336961	0.0378065	0.0416546	0.0350902	0.032882	0.0461255
le	0.0396506	0.0222357	0.01107	0.0117996	0.0065204	0.00844942	0.00504018	0.0114629	0.0172944	0.00875258	0.0112883	0.0129426	0.0139378	0.0133262	0.0137648	0.0125963	0.0273407	0.0239762	0.0288407	0.0262531	0.0271154	0.0167399	0.0222824	0.0116631	0.00908541	0.0150661	0.0225783	0.015698	0.015606	0.0140188	0.0148276	0.0144552	0.0275992	0.0269414	0.0430391	0.0314223	0.02434	0.0342906	0.0167872	0.0229523	0.0232912	0.0197636	0.0149282	0.0350006	0.0393355	0.0348857	0.0358925	0.0438519
notable	0.0525238	0.0348413	0.0182109	0.0134747	0.00738904	0.00905299	0.010569	0.00481706	0.00887964	0.0116416	0.00967262	0.0183788	0.0229386	0.0209583	0.0231084	0.0217031	0.0200592	0.0278584	0.0305629	0.0270734	0.0330511	0.0200791	0.0247309	0.0146855	0.0140171	0.018407	0.0124401	0.0169026	0.0173607	0.019898	0.0233646	0.0139653	0.024303	0.022961	0.0233137	0.028486	0.0199001	0.0409686	0.0221563	0.024844	0.0134316	0.0225125	0.0164898	0.0277563	0.0180862	0.019808	0.0326733	0.0196938
vient	0.0445562	0.0302375	0.0190129	0.016749	0.0112134	0.0108393	0.0117359	0.00779414	0.00772728	0.0106771	0.00910757	0.0112074	0.014099	0.0156509	0.0194608	0.0176521	0.0142585	0.0237157	0.0274249	0.0204667	0.0269854	0.0162307	0.021645	0.00888577	0.00875001	0.0141914	0.0167926	0.0176108	0.0133554	0.0125239	0.0140014	0.0132359	0.0163391	0.0222826	0.0319863	0.0452201	0.0243807	0.0339643	0.0310941	0.0247249	0.0257381	0.0228543	0.0215683	0.0337628	0.0397574	0.0338158	0.0422877	0.0224288
de	0.0370705	0.0234924	0.0187995	0.0137763	0.00962495	0.00881654	0.00535746	0.0111032	0.00858724	0.00719801	0.00759578	0.00999542	0.0107768	0.0143332	0.0154907	0.0141273	0.0195594	0.0218043	0.0248487	0.0191977	0.0190988	0.00969567	0.0142673	0.00688135	0.00581922	0.00799352	0.0126938	0.0124803	0.00850022	0.010397	0.011313	0.00861698	0.00670312	0.00938904	0.0153827	0.0342439	0.0226991	0.0410387	0.0385517	0.0347966	0.0575958	0.0351155	0.027863	0.0453538	0.0587487	0.0472061	0.03427	0.0617298
mourir	0.0230885	0.0188024	0.0145015	0.0105785	0.00922158	0.00897287	0.00774388	0.00883379	0.0114184	0.0111012	0.0119709	0.0138609	0.0133635	0.0129032	0.0126147	0.0116764	0.0123948	0.01142	0.011582	0.0113007	0.0109817	0.00941294	0.00994547	0.00787364	0.00706473	0.010152	0.0116133	0.011186	0.0108648	0.013451	0.0159349	0.0149349	0.0158015	0.0153074	0.0162853	0.0274922	0.0203463	0.0370723	0.0449771	0.0457093	0.0400717	0.0408318	0.0388066	0.0540464	0.0414153	0.0434119	0.0340861	0.103574
</S>	0.038399	0.0286208	0.016996	0.00958595	0.00724795	0.00742411	0.00711683	0.00638596	0.00936847	0.00757533	0.00949066	0.0114641	0.012057	0.011437	0.0111614	0.00966562	0.011158	0.00864765	0.0106019	0.00951434	0.0102242	0.00735079	0.00795723	0.00491384	0.00405562	0.00710251	0.00996762	0.00907582	0.00866248	0.0134425	0.0166296	0.0166896	0.0240368	0.0261353	0.0293633	0.0345887	0.0224642	0.034349	0.040612	0.0469575	0.0421127	0.0379413	0.0396923	0.0491618	0.0478109	0.0516136	0.0353013	0.0778694
