 	a85	a87	a23	a10	a75	a85	a36	a2	a53	a76	a73	a44	a11	a0	a47	a88	a31	a47	a96	a62	a21	a85	a37	a18	a31	a21	a41	a36	a26	a57	a87	a23	a87	a23	a10	</S>
dans	0.0424193	0.0297503	0.0280286	0.0138725	0.0328851	0.0320121	0.0348665	0.0703418	0.129284	0.0582727	0.0465515	0.0301893	0.0386519	0.0400301	0.017743	0.0162446	0.016695	0.0130608	0.0122595	0.0152428	0.0111618	0.0143408	0.0157824	0.0164566	0.013153	0.0225122	0.0166218	0.013438	0.0147119	0.0181821	0.0132264	0.0116268	0.0134251	0.0190438	0.0250799	0.0428358
notre	0.0189958	0.0196683	0.0361889	0.0412415	0.0631148	0.0574405	0.0650402	0.0960352	0.0600212	0.053558	0.0533069	0.041974	0.0316688	0.0153357	0.0136048	0.00861197	0.00861495	0.0114086	0.0249433	0.0174501	0.01618	0.0101617	0.0150302	0.011386	0.0149706	0.0153092	0.0175925	0.0154859	0.0194833	0.0177074	0.0166744	0.0186675	0.021606	0.0180364	0.015856	0.0176294
village	0.120767	0.0602519	0.0423052	0.030499	0.0249406	0.0213601	0.0206218	0.0388155	0.011755	0.0334581	0.0850114	0.100695	0.0808466	0.0404649	0.0383683	0.0214186	0.0121261	0.0102049	0.0100983	0.014144	0.0124101	0.0114341	0.00864612	0.0155887	0.0189415	0.0136107	0.0144507	0.0133616	0.0146119	0.0117935	0.00940561	0.0110906	0.00776778	0.007214	0.00575715	0.00576405
il	0.0792657	0.0382282	0.0184367	0.0158255	0.022219	0.0341149	0.0177618	0.0195225	0.0262005	0.0197224	0.0233023	0.0230809	0.0304229	0.0311999	0.0301244	0.0281009	0.0249519	0.0175635	0.0340813	0.0320145	0.0396557	0.0304748	0.0238286	0.0268997	0.0200259	0.0271842	0.0364625	0.0240921	0.0157847	0.0192276	0.0209739	0.0280486	0.0360479	0.0308577	0.0285984	0.0256981
y	0.0418322	0.0294601	0.0204604	0.0197191	0.0122073	0.00719585	0.00598377	0.00931387	0.00948525	0.0233771	0.0303667	0.0478806	0.055637	0.0514101	0.0561064	0.0548838	0.0517636	0.0247854	0.0163697	0.0161671	0.0181629	0.015505	0.0172299	0.0342074	0.0424035	0.0278973	0.040785	0.0197665	0.0159398	0.018296	0.0235146	0.0290597	0.0249779	0.0198645	0.0424796	0.0255049
a	0.028673	0.015723	0.0149751	0.0153805	0.0138209	0.0131643	0.00896087	0.0123206	0.00767026	0.0199093	0.0224135	0.0182159	0.0216484	0.0164943	0.0181549	0.0166363	0.0221752	0.0169966	0.0192823	0.0264006	0.0289372	0.0302991	0.032679	0.0371674	0.0396756	0.0510341	0.0466999	0.0497619	0.0486744	0.0476941	0.0445776	0.0575428	0.0428398	0.029162	0.0332054	0.0310341
un	0.031571	0.01913	0.0253795	0.023529	0.0188783	0.0112387	0.00810417	0.00644543	0.00553773	0.00700906	0.00887119	0.00863921	0.00717014	0.00578511	0.00958255	0.00559298	0.00492783	0.00432026	0.0103545	0.0111669	0.0117414	0.0197008	0.0314393	0.037324	0.0345944	0.0464254	0.0603201	0.047145	0.0465536	0.0581636	0.0552324	0.0628299	0.0720309	0.061845	0.0564972	0.0649237
pressoir	0.0353415	0.0183351	0.0235672	0.0199467	0.0209605	0.0149035	0.0104174	0.00665046	0.00618264	0.004741	0.00901229	0.0090832	0.00980101	0.0105743	0.0154204	0.013493	0.012322	0.0122677	0.0166114	0.0166531	0.0121501	0.0130532	0.0154662	0.0162241	0.0172179	0.0269359	0.0364998	0.0414978	0.0500653	0.06545	0.0525095	0.0489926	0.0800387	0.0622572	0.0652771	0.11008
à	0.050402	0.0199013	0.0184499	0.0157763	0.0158823	0.0132577	0.00573044	0.00418362	0.00366022	0.00306754	0.00360319	0.0031137	0.00414078	0.00295371	0.00317176	0.00337611	0.00353064	0.00305157	0.00563927	0.00728586	0.00624527	0.00919326	0.00715738	0.00771348	0.00893564	0.0173041	0.0304123	0.0427402	0.0539481	0.0865678	0.0749847	0.0639704	0.122234	0.0930474	0.0853317	0.100036
huile	0.0536027	0.0212777	0.00959968	0.00580033	0.00509691	0.00451104	0.00254892	0.00261671	0.00275814	0.00255457	0.00362517	0.00297084	0.00320666	0.00350402	0.00765625	0.00713625	0.00635964	0.00565136	0.0104166	0.0134412	0.010484	0.0192664	0.0184817	0.0233205	0.0244353	0.026664	0.0417354	0.0392043	0.0445274	0.0682036	0.0623174	0.0611399	0.115514	0.0836048	0.0912101	0.0955567
</S>	0.058372	0.0203744	0.00750344	0.00264886	0.00247606	0.00123576	0.00101205	0.00104547	0.00109946	0.00104054	0.0016965	0.00104589	0.00121374	0.00157334	0.0018457	0.00193194	0.00219251	0.00250603	0.00971808	0.0170455	0.011326	0.0205651	0.020981	0.0194116	0.0292455	0.0390883	0.0585073	0.0417593	0.0466592	0.0706226	0.069076	0.0540691	0.0943782	0.0995917	0.111461	0.0756811
