 	a66	a87	a23	a30	a83	a96	a93	a15	a79	a37	a75	a85	a6	a36	a0	a11	a62	a88	a9	a87	a23	a10	a83	a75	a79	a69	a4	a93	a70	a62	a88	a71	a9	a53	a15	a92	a56	a37	a11	a56	a62	a21	a47	a88	a0	a88	a50	a88	a0	a10	a87	a23	a87	a23	a87	a23	a99	a87	</S>
cette	0.0136734	0.0242222	0.0214847	0.016482	0.0364802	0.0237071	0.0264141	0.0187807	0.0446981	0.0801621	0.0543986	0.0439751	0.0424618	0.0212492	0.0216938	0.0258977	0.0209346	0.0216396	0.016199	0.0265848	0.0165483	0.00804455	0.0114927	0.00790994	0.00839632	0.0127573	0.00980572	0.00816106	0.0108468	0.00699337	0.00787825	0.00814823	0.00804621	0.0124858	0.00855088	0.0104642	0.00915244	0.00467382	0.00457317	0.00476296	0.00881047	0.00789579	0.00487046	0.00423588	0.00687301	0.00638496	0.00942291	0.00748747	0.00877544	0.0112782	0.0104651	0.0104088	0.0116021	0.0130538	0.0102561	0.0104732	0.0231144	0.0167158	0.0370453
femme	0.00602555	0.0114836	0.0205405	0.028342	0.0198193	0.0311452	0.0158424	0.041772	0.0951902	0.0612048	0.119311	0.0870318	0.0762843	0.0628074	0.0436639	0.0239692	0.0112934	0.0169427	0.0107799	0.0291889	0.0146109	0.0117927	0.0100967	0.0112208	0.00926284	0.00852496	0.00503611	0.00362049	0.0024733	0.00211054	0.00321989	0.00296579	0.00668054	0.00993672	0.0195994	0.0104751	0.00857411	0.00738919	0.00953162	0.00400106	0.00316813	0.0039577	0.00199168	0.00206494	0.00264388	0.00121163	0.000841995	0.000420149	0.00108174	0.000980341	0.000566892	0.000494666	0.000737068	0.00106256	0.000770063	0.000647995	0.000889552	0.00181656	0.000891758
a	0.0168196	0.0162248	0.0194315	0.0213644	0.0391765	0.0361591	0.0208292	0.0102688	0.0180336	0.0288648	0.0330876	0.0322627	0.0468907	0.0425744	0.0540342	0.0399611	0.0376421	0.0360363	0.0283241	0.025928	0.0355637	0.0302588	0.0269025	0.0264298	0.0125456	0.0190625	0.0223396	0.0279584	0.0120902	0.0201138	0.0298896	0.019059	0.0170313	0.00648037	0.00500889	0.00349079	0.00231024	0.00236553	0.0012289	0.00136402	0.00257533	0.00120484	0.00130375	0.00305108	0.00246169	0.00307664	0.00206784	0.00180048	0.00202306	0.00251132	0.00331932	0.00768528	0.00626567	0.00538364	0.00582562	0.00604133	0.00320515	0.0130915	0.0016993
une	0.0141264	0.00554078	0.00422439	0.00490768	0.00456312	0.00943127	0.00754012	0.0131692	0.0144379	0.0373022	0.0672227	0.0593807	0.0595139	0.0412089	0.0395185	0.0272291	0.0160214	0.0317901	0.0149172	0.013919	0.0140703	0.00902894	0.0177612	0.0128675	0.0128915	0.00985393	0.0100111	0.0120323	0.0158008	0.0147381	0.0211959	0.0450549	0.030695	0.0150005	0.0266383	0.0207685	0.0154735	0.0120538	0.00756074	0.0130004	0.00654486	0.00551566	0.0100481	0.0123101	0.00905241	0.0081367	0.00523543	0.00431719	0.00805407	0.00510377	0.00640705	0.00678334	0.00772957	0.0100137	0.0119008	0.0143163	0.0159911	0.0126752	0.0174026
bonne	0.0102073	0.0167174	0.0150972	0.013429	0.0116878	0.0134946	0.0102859	0.0187504	0.0280321	0.0220632	0.024037	0.0312805	0.0267768	0.0293341	0.0209025	0.0262042	0.0213247	0.0266602	0.0267534	0.0149318	0.0198083	0.0187278	0.0254136	0.0241484	0.0242288	0.0293228	0.0366457	0.036464	0.0417032	0.0311587	0.021152	0.0368596	0.0282656	0.017908	0.0144937	0.0279208	0.0190377	0.0218449	0.00861613	0.013926	0.00759951	0.00742882	0.0105736	0.00830617	0.0130883	0.0069388	0.00520038	0.00354285	0.00625694	0.00175233	0.00169831	0.00165206	0.00201223	0.00300331	0.00283894	0.00330583	0.00410198	0.00312111	0.00196286
audition	0.00850111	0.00487099	0.00469969	0.00606919	0.0084357	0.0106305	0.0115846	0.0174567	0.0228351	0.0313226	0.0380488	0.0730683	0.0556403	0.0385744	0.0611494	0.0485142	0.0276573	0.0383964	0.0161641	0.0358381	0.0331216	0.031121	0.0278632	0.0208469	0.012156	0.0210756	0.0169729	0.024158	0.0153986	0.0110328	0.0105127	0.00579277	0.00744823	0.00403673	0.00590993	0.005387	0.00617644	0.00593063	0.00536223	0.00598845	0.00636894	0.00459299	0.00639688	0.0082194	0.01071	0.00819196	0.0087554	0.00856858	0.0058218	0.00365709	0.00451165	0.00582221	0.010392	0.0098602	0.0134133	0.0147364	0.0127521	0.0125166	0.00896317
car	0.0072704	0.00421503	0.00359538	0.00581677	0.0078754	0.00683095	0.00473268	0.00716469	0.0135214	0.0181172	0.0187411	0.0129386	0.0237359	0.0235712	0.0327773	0.0472006	0.0557536	0.0461848	0.0405864	0.0509213	0.0467973	0.0391046	0.0328659	0.0354774	0.0291311	0.0351963	0.0269629	0.0260752	0.0192246	0.0144707	0.00947855	0.00982205	0.0104914	0.00586518	0.00362158	0.00617338	0.00797626	0.0058728	0.00362706	0.00465478	0.0105096	0.00602429	0.0042673	0.00503853	0.00734587	0.0117522	0.0130367	0.0120798	0.00953322	0.00882232	0.00737084	0.00759505	0.00835846	0.0101242	0.0157248	0.0113513	0.0154157	0.0113868	0.0198231
elle	0.0263085	0.0194677	0.0129309	0.0177541	0.0156865	0.0137711	0.0103173	0.0114336	0.0141071	0.0119084	0.00902049	0.0115039	0.0113568	0.00936438	0.00971433	0.0219019	0.0295505	0.0163851	0.0470632	0.035101	0.0455859	0.0421365	0.0298244	0.0381554	0.0344975	0.026903	0.038614	0.0277727	0.0256859	0.0223753	0.0162526	0.0218848	0.0248578	0.0137977	0.0109018	0.0116831	0.0132916	0.0121139	0.00437765	0.00891247	0.00988365	0.00677888	0.00688512	0.00534088	0.00415197	0.00573265	0.00662346	0.00441876	0.00600664	0.00693516	0.00492156	0.00775472	0.00890202	0.00933097	0.0103374	0.0176879	0.0163933	0.0288149	0.0088294
a	0.0292619	0.0370006	0.0333315	0.0310703	0.0267542	0.019132	0.00942448	0.00570488	0.00727954	0.00649428	0.00482661	0.00555658	0.00988093	0.00850426	0.0119636	0.0184301	0.0290142	0.0198463	0.0358743	0.0183848	0.0302432	0.029078	0.0271417	0.0316949	0.0308365	0.0252385	0.0395142	0.0311587	0.03223	0.0200484	0.0146325	0.0230651	0.0149092	0.0212431	0.0203636	0.0149488	0.0100628	0.0116845	0.0074431	0.00907047	0.0133068	0.0109359	0.00623142	0.00482901	0.00408296	0.00796927	0.00928962	0.00462946	0.00569169	0.0110671	0.0079829	0.00879573	0.00866541	0.00937803	0.010451	0.0156863	0.0107079	0.0288799	0.00907703
entendu	0.0297663	0.052785	0.0567135	0.047813	0.0353689	0.025718	0.00728192	0.00606832	0.00577502	0.00293665	0.00309557	0.00363653	0.00678051	0.0115218	0.0136562	0.0154809	0.0204879	0.013959	0.0208825	0.00934228	0.0212255	0.0232051	0.0239971	0.0253284	0.0257649	0.0182426	0.0232598	0.0228253	0.0215453	0.0207207	0.0192562	0.0227008	0.0169228	0.0206728	0.0188852	0.0163766	0.0142337	0.0161967	0.00918867	0.0119259	0.0145917	0.0129724	0.0067695	0.00423	0.00371388	0.00744719	0.00837407	0.00309939	0.00454466	0.00793001	0.00703519	0.00567512	0.00780492	0.00901991	0.0129293	0.0210544	0.0195905	0.0369307	0.0247435
