 	a66	a87	a23	a87	a23	a27	a18	a66	a54	a15	a47	a41	a6	a37	a93	a56	a96	a12	a31	a88	a93	a96	a70	a71	a57	a3	a87	a23	a99	a87	a97	</S>
il	0.0269298	0.0295898	0.0573366	0.0506632	0.029998	0.0503774	0.0804658	0.0888962	0.0499261	0.0608844	0.0594734	0.0717966	0.036412	0.023521	0.0230603	0.0127947	0.0170435	0.019009	0.0127765	0.00908951	0.0120207	0.015025	0.0203729	0.0182607	0.0225789	0.0174239	0.0146646	0.0122991	0.0123959	0.0168811	0.0102322	0.0178012
y	0.0183496	0.0119669	0.0166886	0.017239	0.0156948	0.0169156	0.0148513	0.0215458	0.0196538	0.0497261	0.0821036	0.0827857	0.0657256	0.0414751	0.03529	0.0161412	0.0221469	0.0215658	0.0180274	0.0196591	0.0355237	0.025455	0.0238861	0.0232793	0.0253682	0.0336675	0.0330409	0.034296	0.0464461	0.0325333	0.0453136	0.0336386
a	0.0300976	0.0143103	0.0159128	0.0131366	0.0135853	0.0152075	0.0173359	0.0134312	0.00890977	0.00976908	0.0125066	0.0109108	0.00757961	0.0050039	0.00243639	0.00242131	0.00572044	0.0156908	0.0262988	0.0260404	0.0353792	0.028324	0.030316	0.0323778	0.031684	0.0557975	0.0956661	0.0834242	0.118816	0.0536312	0.0930122	0.0752669
un	0.0529074	0.104264	0.0747228	0.0448546	0.0978531	0.03294	0.0207609	0.0112722	0.0119699	0.0139158	0.0256888	0.0357777	0.0550573	0.0577354	0.0420304	0.0479983	0.036714	0.0188457	0.0228723	0.0189006	0.011519	0.0134597	0.0102053	0.010563	0.0136286	0.0117924	0.0159926	0.0137487	0.0119327	0.0166059	0.0120311	0.0314402
pont	0.111504	0.0948376	0.0707975	0.0701386	0.058442	0.0467395	0.0403241	0.0441744	0.0519834	0.0324819	0.0357655	0.0503924	0.0561555	0.0340134	0.0221232	0.0179108	0.0220119	0.0107103	0.00732036	0.00732048	0.00621681	0.00488437	0.00575772	0.00581619	0.00535918	0.00538777	0.00953072	0.0123036	0.0129023	0.0130923	0.0128502	0.0207524
traditionnel	0.0621509	0.0718103	0.0667771	0.0604814	0.0663135	0.0532954	0.0465814	0.0231856	0.018258	0.0181142	0.0340763	0.0472056	0.0501116	0.0349052	0.029964	0.0398857	0.0381008	0.0183286	0.0137925	0.0184204	0.0149548	0.0226446	0.0226741	0.0183971	0.0133881	0.00910728	0.0120631	0.0113689	0.01154	0.0155365	0.00923624	0.0273305
sur	0.0480765	0.0344411	0.0417233	0.0303434	0.040977	0.0314244	0.0333748	0.0303598	0.0251491	0.0222536	0.0179483	0.0181707	0.0221432	0.0205304	0.0082521	0.00966094	0.0127242	0.018604	0.0190943	0.0267572	0.021957	0.0308212	0.036476	0.0371744	0.035444	0.0365675	0.0383558	0.04093	0.04236	0.0472871	0.0371308	0.0834876
la	0.0467053	0.0413605	0.0401764	0.0350908	0.0379615	0.0358611	0.035003	0.0296948	0.0196256	0.0175978	0.0116789	0.0103737	0.0097039	0.00792755	0.00578371	0.00646927	0.00741523	0.015135	0.0272387	0.0346977	0.0321037	0.0436842	0.052267	0.0439478	0.0429065	0.0396947	0.0446224	0.0313328	0.0430264	0.0367743	0.0423283	0.0718113
rivière	0.047661	0.0309026	0.0326641	0.0319913	0.0294076	0.0226973	0.0255865	0.0224178	0.0131655	0.0115142	0.00914511	0.00947358	0.0129496	0.0163279	0.0212092	0.0163659	0.0228651	0.0249985	0.0183534	0.0199952	0.0162127	0.0121675	0.0211042	0.0244992	0.0301412	0.0674243	0.0478756	0.0693962	0.0701059	0.0679968	0.0601745	0.0732106
ngoko	0.0647565	0.0310728	0.060698	0.0498311	0.046546	0.035811	0.0259062	0.0235582	0.0113905	0.0096147	0.0110827	0.00905199	0.00698707	0.00610211	0.00270617	0.00118187	0.00278061	0.0031857	0.00351298	0.00539469	0.00792685	0.0102095	0.0122236	0.00842449	0.0176144	0.0305562	0.038213	0.0541265	0.0629608	0.117216	0.0796092	0.149749
</S>	0.058877	0.026799	0.0415764	0.038803	0.0345343	0.0241858	0.023727	0.0279842	0.0121385	0.00927297	0.00744769	0.00823587	0.0104568	0.0125976	0.0114707	0.00393597	0.0104737	0.0123198	0.0128316	0.0139446	0.0165265	0.0109302	0.0232344	0.0203876	0.0380671	0.0575833	0.0542821	0.057367	0.0571772	0.0750774	0.0915447	0.09621
