 	a85	a66	a87	a97	a83	a50	a83	a71	a75	a41	a92	a75	a5	a12	a18	a75	a85	a92	a98	a85	a47	a37	a56	a0	a24	a83	a9	a99	a97	a83	a38	a75	a6	a0	a47	a96	a21	a75	a85	a6	a36	a54	a47	a7	a4	a13	a9	a97	a99	a97	a99	a97	</S>
le	0.0355233	0.0292078	0.0187595	0.0212194	0.013624	0.0175873	0.0110447	0.0179864	0.0313649	0.0282089	0.0259375	0.0486966	0.0139299	0.0110332	0.00821145	0.0086878	0.00571881	0.0119153	0.00711066	0.00746898	0.010575	0.00925916	0.00799262	0.0109111	0.00861877	0.0120913	0.00812623	0.00658789	0.0055422	0.005586	0.00575506	0.008767	0.00561999	0.00643764	0.0106007	0.00952717	0.0135035	0.0409518	0.0219515	0.0404127	0.0513645	0.0201159	0.0302756	0.0514149	0.0410887	0.0554877	0.0356324	0.015797	0.0146113	0.0124516	0.0118027	0.0200137	0.0178902
soleil	0.00235273	0.00389519	0.00262093	0.0073493	0.00476006	0.00774035	0.0123353	0.00914167	0.0295313	0.0609878	0.0418774	0.0589176	0.0265102	0.0409571	0.0676713	0.0451163	0.0140802	0.0377485	0.0300971	0.0387597	0.0557001	0.0805746	0.0331705	0.0485242	0.0350668	0.0261997	0.0380626	0.0410758	0.0331683	0.017184	0.0102302	0.00535697	0.00343348	0.00242728	0.00224324	0.000908769	0.00117415	0.00150773	0.00168923	0.0015836	0.00276909	0.00154378	0.0009925	0.000724098	0.000543835	0.000219369	0.000682932	0.00116808	0.00151815	0.000875402	0.00142773	0.00465374	0.00115
paraît	0.0173831	0.00811857	0.00610624	0.00683896	0.0103772	0.0204593	0.0298703	0.0296338	0.0224233	0.00911959	0.0199915	0.0265787	0.0295619	0.0222696	0.0373857	0.026321	0.00532181	0.00984884	0.00660998	0.0151226	0.0266301	0.0955042	0.0663279	0.123619	0.0665822	0.0555004	0.028901	0.0236615	0.0119305	0.00878569	0.00592503	0.00542342	0.00279433	0.00393742	0.00377386	0.00559213	0.00456576	0.00486422	0.00418251	0.0089237	0.00852407	0.00401167	0.00424188	0.00471869	0.00286702	0.00506455	0.00589223	0.0030586	0.0142709	0.0085438	0.00803669	0.00848061	0.00552273
le	0.0481528	0.0376841	0.0466315	0.0259156	0.0144954	0.0135959	0.0135337	0.0134718	0.00708305	0.00422859	0.00728097	0.00534028	0.00833869	0.00651867	0.00545876	0.00784991	0.00961388	0.0081041	0.0145841	0.0126042	0.0133341	0.0175392	0.0227786	0.0268027	0.0291557	0.0410105	0.0302837	0.0313296	0.0313818	0.0286952	0.0301774	0.0320754	0.0344522	0.0398798	0.0200421	0.0154816	0.00971733	0.0131042	0.0158425	0.0180908	0.0165661	0.0097333	0.00655686	0.0132079	0.0124676	0.0180039	0.0123417	0.0145238	0.0187084	0.0212016	0.0210096	0.0118948	0.0121239
jour	0.0227646	0.0243632	0.020984	0.0230409	0.0146453	0.0174644	0.0124404	0.0236733	0.0144342	0.00917546	0.0098848	0.00992919	0.0146924	0.0206632	0.0112578	0.0134603	0.0149093	0.0124979	0.0183982	0.0165987	0.017622	0.019929	0.0330738	0.0377295	0.0470145	0.0351318	0.0375548	0.0368444	0.0363015	0.0325666	0.0320812	0.0299862	0.0367942	0.040659	0.0354788	0.0229351	0.0153732	0.0180793	0.0113887	0.0221833	0.0236953	0.00520829	0.00557888	0.00637254	0.00436883	0.0102751	0.00367171	0.00312566	0.00408602	0.00306555	0.00262035	0.00209098	0.00183676
et	0.0506869	0.0193382	0.00924114	0.0172832	0.0193975	0.028593	0.0131316	0.0184488	0.0131156	0.00945489	0.011032	0.0120347	0.0135709	0.0186042	0.0237008	0.0162257	0.0110576	0.0131611	0.0127911	0.0153164	0.0183195	0.0241332	0.0336205	0.0357945	0.0421004	0.0208752	0.0202758	0.0286834	0.0223524	0.0155038	0.0141935	0.0170127	0.0106008	0.0184702	0.0156833	0.0161286	0.0125532	0.011501	0.0141862	0.0170445	0.00987578	0.0178556	0.0177503	0.0307532	0.0223183	0.0256144	0.0188024	0.0125141	0.0134634	0.0133292	0.0164368	0.0122544	0.033814
la	0.0343308	0.0144191	0.00861176	0.00973344	0.0108285	0.0124808	0.00873757	0.0118394	0.00641672	0.00630483	0.00652523	0.00738681	0.0127086	0.0139398	0.0194144	0.0172996	0.0164084	0.0183317	0.0196294	0.0280934	0.0367095	0.0406794	0.0409216	0.0492568	0.0525231	0.0399294	0.0333244	0.0408547	0.0271347	0.017056	0.0139816	0.0165199	0.0102503	0.0157442	0.011245	0.0128263	0.0114074	0.00769839	0.00679576	0.0088568	0.00453946	0.0106079	0.0086608	0.0139193	0.00840745	0.00865537	0.0086165	0.0168949	0.0175186	0.0199502	0.0359743	0.0249795	0.0441204
lune	0.0267151	0.00865562	0.00528611	0.00855975	0.0145478	0.0241699	0.0182421	0.0215712	0.015116	0.0137299	0.0137654	0.014859	0.0251452	0.0323287	0.0457444	0.0319334	0.0143944	0.0165194	0.0164682	0.0180548	0.0321396	0.0352057	0.0283891	0.0447313	0.0468178	0.0265262	0.023118	0.0255685	0.0177927	0.0140089	0.0118732	0.0178721	0.0117507	0.0172337	0.0123038	0.018787	0.0197991	0.0164091	0.0101453	0.0222438	0.0124273	0.011068	0.0117908	0.0184922	0.00968182	0.0175207	0.0114634	0.00878273	0.0119457	0.00923096	0.0123563	0.0078813	0.0188367
la	0.0529715	0.0276959	0.0166444	0.0162595	0.0171884	0.00933803	0.00924507	0.0108307	0.00987764	0.011636	0.0145371	0.0179991	0.0139341	0.0200675	0.0252361	0.0104486	0.0180088	0.0182273	0.0175659	0.0205969	0.0259341	0.0252016	0.0182485	0.0166467	0.0240372	0.0159138	0.018563	0.0249728	0.0229613	0.0178516	0.0149947	0.0167797	0.0150581	0.030855	0.0250434	0.0267139	0.035208	0.0188553	0.0211295	0.0199316	0.0121548	0.00804819	0.00685143	0.0391746	0.0122293	0.0101471	0.0149238	0.0141638	0.0156635	0.0150985	0.0194144	0.0258385	0.0130837
nuit	0.0357689	0.0223013	0.0142484	0.0144067	0.0162808	0.0130163	0.0130512	0.0174571	0.00576126	0.00641505	0.00786377	0.00978778	0.0164001	0.0186835	0.0166796	0.0145715	0.0265777	0.0211966	0.0260056	0.0392532	0.042887	0.048486	0.0527054	0.0422458	0.0345603	0.0181927	0.0178324	0.0211377	0.0220859	0.019456	0.0160282	0.019472	0.0169762	0.0181939	0.0144377	0.017755	0.0171154	0.0138868	0.00997206	0.0120168	0.0120845	0.00437205	0.00523094	0.0158625	0.00796462	0.0129961	0.0105435	0.010313	0.011859	0.0124893	0.0174871	0.0244642	0.0231638
