 	a15	a66	a87	a23	a79	a7	a54	a6	a98	a15	a98	a79	a90	a44	a12	a62	a93	a34	a93	a70	a62	a50	a34	a21	a12	a96	a62	a88	a71	a9	a87	a23	a99	a62	a5	a85	a6	a5	a12	a62	a96	a18	a26	a57	a87	a23	a99	a97	</S>
cette	0.0165249	0.0240845	0.0292407	0.049539	0.0283154	0.0502466	0.026082	0.03347	0.0389631	0.0276402	0.0273084	0.0723151	0.0652446	0.0303065	0.0277611	0.0202927	0.0111696	0.00819365	0.00962337	0.00820182	0.00920032	0.00934065	0.00981853	0.0149905	0.0125368	0.00773804	0.00775382	0.00603825	0.00407411	0.00396342	0.00378095	0.00381609	0.00512068	0.00423428	0.00365853	0.00761592	0.00611592	0.00622191	0.0101846	0.00896513	0.0155551	0.0186763	0.025674	0.0256868	0.0258841	0.0254118	0.0338543	0.028268	0.0512979
rue	0.00653761	0.0117543	0.0281239	0.0411908	0.0459847	0.176724	0.156989	0.212685	0.0959513	0.0455584	0.0235036	0.00798806	0.00500516	0.00484958	0.00892882	0.00618152	0.00811965	0.00371423	0.00330599	0.00312553	0.00552678	0.00405695	0.00277708	0.00637895	0.0088928	0.0113785	0.0074332	0.00327714	0.00877813	0.00378265	0.00707763	0.00254275	0.00200988	0.00150808	0.00097732	0.00322844	0.00161368	0.00170953	0.00248761	0.00184559	0.00194805	0.0010206	0.000961137	0.00127054	0.00129904	0.0014902	0.00175846	0.00363094	0.00311807
est	0.0190853	0.0233903	0.0241164	0.0293829	0.0331654	0.0413734	0.0813466	0.055541	0.100643	0.0633356	0.0526669	0.0155548	0.00694629	0.00890006	0.00919979	0.00617238	0.0115287	0.00827618	0.0137742	0.024877	0.0150782	0.0162516	0.0192759	0.0279515	0.0209299	0.0141364	0.0141842	0.0132867	0.0202017	0.024266	0.0135358	0.00770052	0.00566162	0.0065419	0.00366862	0.00551982	0.00547722	0.0049336	0.00573463	0.005139	0.0064787	0.00810093	0.0103938	0.013495	0.0113045	0.0177073	0.0175951	0.0209207	0.0152526
animée	0.0082047	0.00297134	0.00241102	0.00224813	0.00211911	0.00188582	0.00511977	0.00579542	0.00926054	0.0138817	0.0135835	0.012002	0.0128091	0.0250028	0.0345017	0.0690646	0.0615221	0.0790887	0.0727043	0.0605032	0.0519385	0.0278897	0.0288866	0.021509	0.0112835	0.0130158	0.01135	0.0100212	0.00982892	0.0150957	0.0113914	0.00682175	0.00705711	0.0133932	0.00887962	0.00712078	0.00678706	0.00789774	0.00689026	0.0105628	0.0140154	0.0315778	0.0202279	0.0326934	0.0285518	0.0255507	0.02328	0.0174841	0.024319
de	0.00669324	0.00611384	0.00571761	0.00380674	0.00463556	0.00891143	0.0242838	0.0261205	0.0366504	0.0516138	0.0451553	0.0325236	0.0586685	0.0574859	0.0360666	0.0509258	0.0343935	0.0584235	0.031322	0.0511169	0.0384261	0.0171637	0.0155363	0.0123229	0.00636815	0.0042367	0.00328811	0.00506436	0.00328117	0.00413455	0.00571874	0.0086158	0.00950188	0.0153986	0.0130769	0.00721667	0.00837947	0.0110287	0.00772005	0.00842318	0.0163006	0.014541	0.0148141	0.0127613	0.0147617	0.0143346	0.0282047	0.0150116	0.0337399
ce	0.0135078	0.00746262	0.00665413	0.00527718	0.00481304	0.00470336	0.005352	0.00882067	0.00917077	0.0196311	0.028187	0.0293999	0.059382	0.0389422	0.0495289	0.0664903	0.0579415	0.0740224	0.0435954	0.059364	0.0506256	0.0349761	0.0382537	0.0201747	0.0151258	0.0139154	0.00812375	0.00807239	0.00870317	0.010267	0.0095567	0.00595153	0.00929129	0.0126566	0.0130683	0.009588	0.0112748	0.0108139	0.00954034	0.0093202	0.0127836	0.00951386	0.00787067	0.0104467	0.00822368	0.00933735	0.0131995	0.011074	0.0160054
côté	0.0152063	0.00659865	0.00457685	0.00342016	0.00426079	0.00394161	0.00902266	0.0103771	0.0132133	0.0238312	0.0441198	0.0840518	0.081949	0.0537588	0.0468222	0.0609346	0.0330599	0.0443568	0.0202835	0.0189967	0.0232177	0.0122971	0.013967	0.0156863	0.00581591	0.00515618	0.0035004	0.00686523	0.0036425	0.00469798	0.00444244	0.00607455	0.0101846	0.0114147	0.0141103	0.0120466	0.0158169	0.0178559	0.0221006	0.0173684	0.0277852	0.0188058	0.0190534	0.0178638	0.0193148	0.0183751	0.0270925	0.02121	0.0214568
à	0.0359575	0.0230827	0.0193891	0.0144097	0.0203218	0.0191446	0.0183439	0.014728	0.00816861	0.0121593	0.0302793	0.0297837	0.0276833	0.0133494	0.0102355	0.0179438	0.00724153	0.01404	0.00843238	0.0122096	0.0216793	0.00852521	0.00480296	0.00532382	0.00241602	0.00148101	0.00105146	0.00584981	0.00210896	0.00394682	0.00432484	0.00487355	0.00933322	0.00676076	0.00709812	0.0058348	0.0078795	0.00731236	0.0155496	0.0119111	0.0325241	0.0299462	0.0322101	0.0360786	0.0476443	0.0574559	0.0903589	0.0868032	0.0920117
cause	0.0236072	0.0146995	0.00830953	0.00558988	0.00548247	0.00883567	0.00562947	0.00825262	0.00624847	0.00837784	0.0168404	0.0360896	0.0469263	0.0265886	0.020301	0.0313714	0.0162887	0.0267905	0.0129813	0.0192745	0.0221307	0.0114611	0.00980682	0.00905059	0.00683051	0.00522454	0.00486012	0.0111745	0.00833973	0.0109964	0.0122066	0.00897729	0.0125083	0.0109735	0.0110733	0.00946315	0.0119612	0.00872403	0.0148533	0.0135773	0.0236056	0.0289571	0.0251769	0.0373381	0.039637	0.0506597	0.0642186	0.0867007	0.0810283
de	0.0201008	0.0241773	0.0126832	0.0123674	0.00834939	0.0205511	0.00710772	0.00949298	0.006822	0.00787319	0.0142198	0.0231615	0.0247666	0.0230134	0.0221702	0.02029	0.0162755	0.0184616	0.0156807	0.0199764	0.0205352	0.014105	0.0101785	0.00841722	0.00667596	0.0059174	0.00567359	0.00882604	0.00650293	0.00984193	0.00914341	0.0132509	0.0196496	0.0155599	0.0105267	0.0123607	0.0116608	0.0082479	0.0182359	0.0125406	0.0245525	0.0380446	0.031176	0.0369853	0.0505614	0.0560747	0.0586679	0.0736903	0.0748563
