 	a23	a54	a85	a0	a41	a75	a25	a79	a98	a92	a37	a90	a56	a21	a12	a96	a94	a90	a56	a61	a96	a37	a26	a57	a97	a87	a23	a87	a97	</S>
les	0.113259	0.135899	0.109443	0.103546	0.0620487	0.0743663	0.0342879	0.025833	0.0177962	0.0150228	0.0136781	0.0108586	0.0094967	0.00880576	0.00565744	0.00759795	0.00445215	0.0087846	0.0119477	0.018428	0.0147227	0.0141458	0.01402	0.0217006	0.0150808	0.0170437	0.0162281	0.0245111	0.0188951	0.052443
feuilles	0.00483061	0.00908077	0.00840154	0.00801274	0.0235916	0.0423598	0.0588695	0.0627205	0.0928977	0.114771	0.129117	0.13126	0.105301	0.095856	0.04136	0.0276417	0.00748902	0.00235405	0.00234307	0.00271044	0.00436944	0.00185712	0.00225452	0.00232838	0.00209276	0.00208437	0.0039962	0.00330448	0.00471057	0.00203324
du	0.0612967	0.0526678	0.0399602	0.0474462	0.0864222	0.0691934	0.0629375	0.0538852	0.0237662	0.0244218	0.0272294	0.0460308	0.0565636	0.0641531	0.037413	0.0340679	0.0201474	0.0102092	0.00758796	0.00614741	0.00512165	0.010935	0.0139161	0.0114431	0.0144013	0.0201378	0.0183698	0.0243307	0.0428846	0.00691297
manguier	0.0204781	0.00849761	0.00954943	0.0184502	0.0422497	0.0377827	0.0404243	0.0243341	0.04162	0.0518637	0.0640025	0.1242	0.116268	0.141838	0.0717171	0.0241099	0.00373338	0.00195996	0.00264427	0.0117919	0.0133484	0.010981	0.0208257	0.0180519	0.0143553	0.0148187	0.012935	0.014795	0.0140774	0.00829701
sont	0.132631	0.077561	0.0519687	0.0409629	0.0402524	0.0258532	0.0234238	0.0121621	0.0110211	0.0121515	0.0221083	0.0439796	0.0567608	0.049437	0.0552169	0.0476017	0.0317718	0.0240029	0.0135518	0.00808992	0.0053369	0.0087575	0.00704869	0.00819368	0.0144595	0.0257708	0.0258366	0.0341688	0.0372018	0.0527167
en	0.0309649	0.0171527	0.0136435	0.0121833	0.0129234	0.00748928	0.00652258	0.00737406	0.00938293	0.00825383	0.0260475	0.0468196	0.0657533	0.0703452	0.074218	0.0462282	0.0319988	0.027171	0.0252086	0.0302213	0.0223918	0.04073	0.0482411	0.0337196	0.0501481	0.049546	0.046742	0.0544086	0.0377302	0.0464404
train	0.0305304	0.0181694	0.0157482	0.0134208	0.0115864	0.00891472	0.0101428	0.010338	0.0126576	0.0129581	0.0298891	0.067707	0.103423	0.0968741	0.0914488	0.057466	0.02926	0.0210209	0.0220226	0.0228986	0.0215288	0.033634	0.0415769	0.0294419	0.0405268	0.0281848	0.0357729	0.0340879	0.026891	0.0218788
de	0.0796539	0.0572063	0.0347264	0.0309049	0.0226856	0.0196655	0.00800418	0.00590711	0.00870834	0.0108925	0.0133501	0.017305	0.0150515	0.0107746	0.00654632	0.0120369	0.0106058	0.0266951	0.0354433	0.0404257	0.0300468	0.0356052	0.0370183	0.0328081	0.0496024	0.0453692	0.0665496	0.062279	0.0720434	0.102089
tomber	0.0877812	0.0719886	0.0473687	0.0330352	0.0340805	0.0443544	0.0400237	0.0236665	0.0207211	0.0315299	0.0472666	0.0376138	0.0316334	0.0300618	0.030579	0.0405811	0.0197679	0.0209189	0.0186516	0.0162445	0.0152992	0.020903	0.0193611	0.0157521	0.0240776	0.0282297	0.033389	0.0355706	0.042948	0.0366011
</S>	0.0557094	0.0327348	0.0334371	0.022684	0.0201666	0.0157753	0.0131896	0.0101615	0.00697245	0.00748012	0.0126903	0.0131899	0.0147268	0.010541	0.0109005	0.0100446	0.0109013	0.0169032	0.0279885	0.0450875	0.0350323	0.0415872	0.0461535	0.0466768	0.050597	0.0489196	0.0774027	0.0529295	0.0800813	0.129335
