 	a66	a87	a23	a83	a54	a92	a37	a85	a6	a36	a47	a88	a94	a93	a56	a54	a85	a6	a0	a61	a62	a96	a98	a47	a36	a7	a79	a44	a66	a57	a9	a87	a23	a87	a97	</S>
le	0.0321558	0.0399859	0.0345459	0.0360393	0.0871971	0.0859095	0.0975459	0.0898636	0.0534463	0.0274483	0.0220039	0.00949036	0.00680194	0.00987084	0.0094678	0.00938005	0.0120462	0.0112787	0.0169269	0.0227166	0.0418857	0.0344267	0.0192866	0.0213708	0.0156045	0.0115112	0.0121579	0.00932254	0.013163	0.0133906	0.0162333	0.0127178	0.0100747	0.012827	0.0152254	0.0266813
guérisseur	0.0015704	0.00425079	0.00583954	0.00727611	0.0371765	0.0510114	0.0908708	0.206609	0.125974	0.09207	0.0926794	0.0645603	0.0302992	0.0739824	0.047122	0.0312465	0.0209174	0.00420248	0.000556012	0.00030699	0.000382173	0.000441552	0.00051937	0.000580239	0.00142401	0.000966091	0.000941679	0.000834604	0.00087668	0.000440158	0.00026803	0.000365241	0.000419599	0.000700164	0.00178591	0.00053273
rencontre	0.0287522	0.0231395	0.0264415	0.0406055	0.0539501	0.0414671	0.0437162	0.0507756	0.0578323	0.108531	0.0877882	0.103914	0.0840992	0.0747567	0.0727491	0.0275353	0.0188131	0.00603783	0.00304082	0.00162963	0.00141669	0.00179164	0.00436485	0.00253525	0.0055149	0.00224782	0.00195151	0.00249734	0.00206485	0.000936087	0.000824938	0.00167222	0.00383421	0.00297539	0.00543918	0.00435765
des	0.0202905	0.0104008	0.0132244	0.00689201	0.00685293	0.0088109	0.00707947	0.00869378	0.0117765	0.02261	0.0360989	0.0543929	0.0405364	0.0611577	0.0645684	0.0275654	0.0343618	0.0262766	0.0122071	0.00896141	0.00896968	0.0116472	0.0191663	0.0257296	0.031638	0.0243307	0.0288074	0.0478488	0.0400755	0.0404085	0.0476967	0.0324658	0.047444	0.0308063	0.0351977	0.0450098
cas	0.0300689	0.0129061	0.0121438	0.0149902	0.00852272	0.0145767	0.00555444	0.00327787	0.0062068	0.00949584	0.00793584	0.0265156	0.0164102	0.0498442	0.0823309	0.0461608	0.046873	0.0671347	0.046939	0.0347493	0.0339873	0.0340374	0.0254585	0.0242275	0.0295447	0.0286157	0.0244217	0.0617102	0.018061	0.0268155	0.044621	0.0179948	0.0288105	0.0293815	0.01196	0.0177156
difficiles	0.0397338	0.0220833	0.014084	0.013542	0.00949977	0.0124573	0.0117986	0.00953937	0.0174991	0.0301502	0.0326822	0.0588577	0.0338182	0.0488131	0.0447927	0.0288185	0.0278639	0.0313771	0.0281817	0.0269032	0.0179715	0.0170565	0.0111899	0.00773886	0.00970086	0.0162722	0.0171135	0.0281693	0.0195186	0.0250162	0.0532079	0.0371027	0.0714513	0.0361988	0.0247361	0.06506
dans	0.0366594	0.0202963	0.0225648	0.0212733	0.0247317	0.0269766	0.0242654	0.0310361	0.0399478	0.0586772	0.0513423	0.0499058	0.0212455	0.0269533	0.0284328	0.018593	0.0163413	0.0261418	0.0274506	0.0232856	0.0177572	0.0194912	0.0118794	0.00812995	0.0101452	0.0150867	0.016713	0.0261195	0.0204185	0.0136506	0.0350498	0.0361098	0.0522493	0.0228693	0.0279374	0.0702724
le	0.0426558	0.0248886	0.0215484	0.0195531	0.00961812	0.0112185	0.00791318	0.00998755	0.00961753	0.0128246	0.0195063	0.0309692	0.0349287	0.0350317	0.0326553	0.0324396	0.037694	0.0369851	0.0436779	0.0487	0.0333674	0.0306538	0.0239859	0.014539	0.0224775	0.0261168	0.0256845	0.0309327	0.0259984	0.0278255	0.038244	0.0363246	0.0424987	0.0485607	0.0252485	0.0251288
traitement	0.0296561	0.0256448	0.0159845	0.0169824	0.0133718	0.0151276	0.00885547	0.00986086	0.0124512	0.0133465	0.0214704	0.0283795	0.0354101	0.0324565	0.0621699	0.0624484	0.0405145	0.0641731	0.0557313	0.0553818	0.031533	0.0381242	0.0308024	0.0249356	0.0218095	0.0181981	0.013719	0.0178386	0.0142481	0.0124123	0.0187943	0.0291086	0.0294928	0.0223269	0.0178296	0.0394103
des	0.0857596	0.0283768	0.0232689	0.0281886	0.0122756	0.0131395	0.00532455	0.00561411	0.00765289	0.0152714	0.0207806	0.0368021	0.0257486	0.0253811	0.0413865	0.039531	0.0267638	0.0424129	0.0532518	0.0399628	0.0433637	0.0354252	0.03571	0.0190584	0.0290066	0.0127307	0.0110025	0.0149928	0.0148007	0.0112029	0.0179655	0.0234235	0.0275181	0.0378972	0.0268583	0.0621504
malades	0.0534672	0.0149203	0.0146648	0.0164546	0.0105315	0.00856584	0.00346915	0.00394973	0.00377737	0.00759005	0.0154985	0.0193148	0.034612	0.0229599	0.0532366	0.0468771	0.0333725	0.0585723	0.0712706	0.0415395	0.0406193	0.046032	0.0638778	0.0495902	0.0484317	0.0187166	0.0136126	0.02183	0.0175374	0.013822	0.0181737	0.0188721	0.020017	0.0261972	0.0163167	0.0317094
</S>	0.0207736	0.00887953	0.00698937	0.0107994	0.00911541	0.0068254	0.00428867	0.00576388	0.00608106	0.0091816	0.00853043	0.00543736	0.0053378	0.00375221	0.00619429	0.00523313	0.00447175	0.00550922	0.00824556	0.00447455	0.00585332	0.00650516	0.0146404	0.0108127	0.0218628	0.0282841	0.0337997	0.034029	0.0483691	0.0634122	0.0710437	0.0766649	0.11401	0.0879424	0.0764343	0.160452
