 	a66	a87	a23	a99	a83	a54	a44	a70	a56	a94	a66	a11	a50	a83	a54	a56	a41	a94	a38	a75	a6	a94	a26	a37	a66	a38	a50	a83	a9	a3	a97	a99	a82	a97	a3	a82	a87	</S>
ouvre	0.055079	0.0610397	0.0542126	0.0462606	0.0367585	0.032614	0.0188905	0.0256965	0.0265372	0.0218051	0.0208837	0.0171906	0.01883	0.0230699	0.0198705	0.0219435	0.0200205	0.0214058	0.02283	0.0260557	0.0327561	0.0254526	0.0170097	0.0279742	0.0232923	0.0170568	0.0225705	0.0201104	0.0235466	0.0135096	0.0131995	0.0184642	0.0185333	0.0180349	0.0234432	0.0209482	0.0295581	0.0435459
grandement	0.0105506	0.0108742	0.0170534	0.0150829	0.021045	0.0298843	0.0167479	0.015783	0.00919613	0.016616	0.0136067	0.0244437	0.0272481	0.050222	0.084427	0.0854275	0.0818822	0.0716458	0.0382382	0.0566325	0.0504387	0.0280692	0.0163916	0.0181814	0.0159078	0.00856343	0.00984559	0.0107347	0.0131868	0.0137762	0.011685	0.0184119	0.0124674	0.0137229	0.0149099	0.0132395	0.0211416	0.0127193
l'	0.0469101	0.0279006	0.0428331	0.0352206	0.0549732	0.0430954	0.0558161	0.033512	0.0386458	0.0228928	0.0286806	0.0354136	0.0450096	0.0422078	0.0710965	0.041444	0.0449014	0.0399059	0.042052	0.0235485	0.0227009	0.0120229	0.0194437	0.0160349	0.0100908	0.00817599	0.00631495	0.00662484	0.0105058	0.00539432	0.00585111	0.0101112	0.00745289	0.00680414	0.00654549	0.0070648	0.0117706	0.0110311
oeil	0.0694905	0.0368303	0.0270249	0.0346326	0.0311603	0.0192159	0.0363807	0.0298393	0.045944	0.0232052	0.0389251	0.0271839	0.0321166	0.0431623	0.0631004	0.064658	0.0588516	0.0478414	0.0371786	0.0307476	0.0240815	0.0184702	0.0235433	0.0108909	0.00822207	0.011005	0.0214742	0.00836381	0.0113218	0.00960431	0.00711822	0.0136536	0.00605323	0.00951977	0.00594619	0.00543323	0.00366628	0.00414321
pour	0.0792485	0.0604209	0.0456071	0.0526531	0.0319623	0.029852	0.0286876	0.0188439	0.0125519	0.00974653	0.0116094	0.00791759	0.00931864	0.0138513	0.0163379	0.0149359	0.0155198	0.0113835	0.00925425	0.0131951	0.0130237	0.00964335	0.012506	0.00900316	0.0102542	0.0145479	0.0293261	0.027128	0.0289768	0.0332897	0.0356774	0.0318487	0.0365767	0.0439665	0.047152	0.0530126	0.0470459	0.0241243
qu'	0.0623619	0.0453379	0.0423329	0.0370367	0.030662	0.0319017	0.0267639	0.0182726	0.0120211	0.015137	0.0130365	0.0135254	0.0161549	0.0170552	0.0216515	0.017216	0.0185798	0.016124	0.0208044	0.011098	0.0110036	0.0107004	0.0146467	0.0154185	0.0155511	0.0225289	0.0286173	0.0356358	0.033435	0.0436441	0.0377813	0.0420486	0.0331984	0.0432869	0.037828	0.0333938	0.0235984	0.03061
on	0.0704164	0.0411557	0.0413718	0.0289601	0.0308507	0.0269163	0.0166906	0.0136634	0.00854852	0.00828858	0.00568177	0.00558529	0.00760674	0.00823206	0.0121105	0.00763219	0.0103882	0.0113306	0.0107591	0.00981095	0.0118513	0.0132412	0.01898	0.0210351	0.0209133	0.0291625	0.0300608	0.0358647	0.0372414	0.0438431	0.0504926	0.02795	0.0297882	0.0449261	0.0475817	0.0467381	0.0432875	0.0710429
y	0.0417112	0.0317275	0.031272	0.0301602	0.0237484	0.0299318	0.0247498	0.0245791	0.0188227	0.0221408	0.0143848	0.015418	0.0174532	0.0127344	0.015114	0.0094184	0.0111089	0.0109682	0.0141063	0.0141054	0.0196837	0.0225417	0.0218616	0.0223235	0.0185892	0.0270631	0.0264569	0.0283532	0.0252087	0.0346591	0.0332009	0.0308595	0.0352253	0.0461832	0.0471378	0.048624	0.0510116	0.047362
mette	0.0316772	0.028118	0.0391438	0.0298644	0.0193508	0.0214785	0.0154205	0.0128821	0.00754145	0.00952859	0.00541641	0.0066627	0.00710094	0.010486	0.0112882	0.00813386	0.00934818	0.0111698	0.00711882	0.0112856	0.0117363	0.00983961	0.00809523	0.0113363	0.0136699	0.0267034	0.0281504	0.0483933	0.0262015	0.0330662	0.0254686	0.0282217	0.0384568	0.0545035	0.054181	0.0544447	0.0682585	0.156257
le	0.0382307	0.0334849	0.0484624	0.0385176	0.0293941	0.0221024	0.0155986	0.0142824	0.00692792	0.00856282	0.00594224	0.00769773	0.00880392	0.0165349	0.0197754	0.0132496	0.0168893	0.0212985	0.0144254	0.0242516	0.0234068	0.0190885	0.0110099	0.0136626	0.0133496	0.0183097	0.0217333	0.0459607	0.0256666	0.0281729	0.0268363	0.0278413	0.0362607	0.0455452	0.041363	0.0435052	0.0497836	0.104072
