 	a87	a10	a83	a56	a92	a85	a44	a26	a98	a41	a11	a75	a66	a9	a38	a13	a4	a13	a9	a87	a10	a38	a97	</S>
l'	0.0360641	0.0284229	0.0390756	0.0552539	0.0384262	0.0704402	0.171058	0.127606	0.080871	0.0456012	0.0334338	0.0123909	0.00590893	0.00584469	0.00455171	0.00712611	0.0327719	0.0213173	0.0323388	0.0317717	0.0183264	0.0294864	0.0254779	0.0464339
antilope	0.00934496	0.0103902	0.0165061	0.0214946	0.0520212	0.121055	0.149147	0.209908	0.162672	0.0505049	0.0299385	0.0189164	0.0156158	0.020292	0.00982272	0.00423469	0.00707132	0.00493929	0.00960246	0.00874835	0.0117586	0.0153318	0.0214666	0.0192177
dort	0.0719539	0.0448918	0.0344753	0.0258791	0.0272592	0.0314295	0.0556305	0.114128	0.104635	0.0487298	0.030952	0.0100164	0.00368704	0.0034874	0.00257396	0.00762082	0.00667463	0.0121783	0.0276653	0.0634624	0.0898718	0.0539123	0.0817484	0.047138
à	0.0548095	0.0222756	0.0101255	0.00532205	0.00533245	0.0106991	0.0198063	0.0271635	0.0356413	0.0249194	0.0126023	0.0185412	0.0390412	0.0407451	0.0831366	0.0703323	0.0371553	0.0677287	0.0904991	0.0650087	0.0371492	0.0407651	0.0601398	0.121061
l'	0.0348692	0.0258178	0.0216768	0.0162287	0.0112234	0.00707736	0.00732256	0.00438882	0.00620528	0.0117851	0.0217191	0.0216597	0.0276937	0.0383167	0.0511833	0.0513793	0.0661006	0.0978049	0.093404	0.120669	0.0793247	0.064086	0.065003	0.0550607
abri	0.0501595	0.0414855	0.0378497	0.0261276	0.0247954	0.0391995	0.0411483	0.0433857	0.0436941	0.0644625	0.0853644	0.0872271	0.0446837	0.0439625	0.0161294	0.0132735	0.0233248	0.0306568	0.027835	0.056126	0.059329	0.0418503	0.0323403	0.0255894
de	0.0822149	0.0584829	0.0583198	0.0496821	0.0454126	0.0470031	0.0361652	0.0345435	0.0365095	0.0503427	0.0348178	0.0247553	0.0211032	0.0166399	0.0161713	0.0173007	0.0154959	0.0296683	0.0334869	0.0464261	0.0571156	0.0493946	0.0451999	0.0937483
l'	0.0704756	0.0384548	0.0455497	0.0380653	0.0372556	0.0241917	0.0249766	0.0196006	0.0183493	0.0148375	0.0154077	0.00966368	0.013272	0.0151459	0.0124191	0.0123188	0.0310858	0.030093	0.0418929	0.062885	0.0870429	0.0882661	0.09027	0.158481
arbre	0.0307475	0.0194338	0.0257035	0.0229045	0.0237696	0.0324469	0.034881	0.0389825	0.0565843	0.0395779	0.0448691	0.0308677	0.0212122	0.0206928	0.0119574	0.0110233	0.0278741	0.0227024	0.0489934	0.0531908	0.115411	0.0863412	0.0838547	0.0959783
tombé	0.0683626	0.0362235	0.0562302	0.0444311	0.0411786	0.0533538	0.0561	0.0298534	0.0311649	0.0179872	0.0120337	0.00830215	0.00653953	0.00650008	0.00734615	0.00711119	0.0130513	0.0228477	0.0352755	0.0414318	0.0576241	0.0662202	0.0599579	0.220873
</S>	0.0658443	0.0406822	0.0500318	0.0356332	0.0292685	0.0228154	0.0201562	0.0179136	0.0276434	0.0137644	0.0107548	0.00737903	0.00896996	0.0102345	0.013133	0.0173044	0.0175099	0.0194731	0.032309	0.036565	0.0738424	0.0791058	0.0781724	0.271494
