 	a87	a23	a87	a10	a87	a99	a87	a23	a12	a66	a54	a47	a37	a70	a62	a47	a70	a13	a18	a93	a34	a47	a21	a62	a21	a34	a70	a90	a4	a57	a9	a10	a87	a23	a87	</S>
ce	0.0312161	0.041794	0.0343978	0.0433613	0.0350436	0.0482445	0.0443149	0.0806107	0.0624282	0.0403651	0.0320393	0.0269708	0.0196923	0.0172612	0.0154675	0.016869	0.021901	0.019699	0.0207553	0.0188573	0.0209771	0.0209275	0.0112655	0.0132107	0.0196482	0.0180935	0.0220966	0.0210009	0.0459608	0.0280396	0.0329966	0.0150319	0.0104375	0.013221	0.0113372	0.0244665
blanc	0.00424237	0.00699494	0.00864733	0.0170112	0.0470002	0.100742	0.104497	0.123927	0.110181	0.0750553	0.0442316	0.0763051	0.0577606	0.0612438	0.0206645	0.0356179	0.0178335	0.0125971	0.0134512	0.00958479	0.00758137	0.00280964	0.00306204	0.00294201	0.00298659	0.0011741	0.00397308	0.00263705	0.00280259	0.00191814	0.00304745	0.00327162	0.00361672	0.00306869	0.0036764	0.00384373
qui	0.0508406	0.0410391	0.0370971	0.0352849	0.035943	0.0211799	0.0197412	0.016559	0.0258584	0.0284779	0.069505	0.078891	0.089489	0.0709646	0.0314532	0.0223175	0.0177089	0.0130327	0.00704966	0.00344166	0.00546657	0.00495596	0.00642476	0.00579725	0.00532624	0.0110069	0.0113836	0.0157308	0.01925	0.0109779	0.0121299	0.0132773	0.0313082	0.0293868	0.0443561	0.0573477
vient	0.0734237	0.0355877	0.0231987	0.018624	0.00923786	0.00349468	0.00340414	0.00312363	0.0031828	0.00312817	0.004368	0.0031	0.00427177	0.00489048	0.00435967	0.00585459	0.008367	0.012194	0.00875002	0.0112746	0.018713	0.0179673	0.00908024	0.00756092	0.0070857	0.0164691	0.0192037	0.0238973	0.0440613	0.0344013	0.0404855	0.0517084	0.122107	0.0795376	0.113382	0.150504
de	0.0931768	0.0523767	0.0405375	0.036319	0.0235514	0.0174473	0.0193515	0.0217339	0.0288299	0.0204181	0.0242196	0.0136287	0.0177441	0.0144018	0.0241367	0.0270336	0.0384473	0.0460062	0.0308977	0.0175731	0.0240212	0.0179827	0.0200607	0.0172178	0.00908902	0.0114314	0.0172927	0.0192071	0.0197725	0.0197705	0.0357369	0.0232707	0.0281674	0.0288503	0.0470017	0.0532962
l'	0.0300957	0.0252505	0.0219771	0.0184597	0.0150213	0.0260565	0.0293559	0.028133	0.0217856	0.0161637	0.0160747	0.0103409	0.0172242	0.0261558	0.0587717	0.0677831	0.0588452	0.0541816	0.0589394	0.0257487	0.0278589	0.0248211	0.0296476	0.0304819	0.0239536	0.0162188	0.0228907	0.0211227	0.0148304	0.0120804	0.0203495	0.0150266	0.0223069	0.0216908	0.0260997	0.0442562
occident	0.0279906	0.021815	0.0190291	0.0222232	0.0238442	0.0470683	0.0556613	0.0495161	0.0389956	0.0283596	0.0286569	0.024795	0.0399998	0.0537358	0.0756318	0.0961319	0.0568976	0.0583923	0.0242373	0.00931299	0.0147998	0.0114304	0.0151375	0.0146226	0.0103349	0.0126604	0.0139705	0.011894	0.00577998	0.00483222	0.00644411	0.00615158	0.0132961	0.0167286	0.0114718	0.028151
est	0.0166474	0.0206555	0.0156812	0.0158989	0.0155935	0.0125146	0.0185157	0.0221397	0.0352082	0.0326506	0.0702242	0.0667166	0.0705606	0.0868255	0.0743363	0.0547489	0.0370926	0.0385055	0.0344423	0.0265841	0.0179302	0.0197582	0.0205287	0.0151243	0.0175819	0.0171711	0.0167159	0.0126829	0.010361	0.0117798	0.0134427	0.00972389	0.0137257	0.0157532	0.012358	0.00982058
gaucher	0.0377253	0.0346808	0.0274701	0.0266215	0.0197095	0.0237457	0.0282771	0.0245681	0.0185609	0.0135753	0.0151883	0.0231219	0.0293693	0.0475077	0.0166035	0.0253258	0.0224271	0.0268068	0.0239635	0.017919	0.0165291	0.0156155	0.0161423	0.0202559	0.0293784	0.0309161	0.0280649	0.0270007	0.0255199	0.0330138	0.044191	0.0305794	0.0329235	0.0457391	0.0383215	0.0626417
</S>	0.0329162	0.0315764	0.0232119	0.0182389	0.0167428	0.0141073	0.00894754	0.00978777	0.00940438	0.00639642	0.00951354	0.0073407	0.0104265	0.0182572	0.0177948	0.0196941	0.023292	0.020836	0.0138975	0.0150435	0.0157427	0.0198895	0.0166201	0.0260302	0.0344951	0.0322957	0.0278775	0.03007	0.0341387	0.0516283	0.0586637	0.0547994	0.0581747	0.0734424	0.0567462	0.0819604
