 	a82	a87	a97	a87	a97	a87	a97	a87	a97	a99	a54	a36	a6	a21	a12	a18	a54	a47	a37	a66	a53	a15	a79	a7	a44	a4	a58	a13	a53	a15	a44	a15	a47	a37	a26	a57	a97	a99	a97	a87	a97	a87	a97	</S>
un	0.0886618	0.0520679	0.0389128	0.0288724	0.0226586	0.0132772	0.00685344	0.00696292	0.00982651	0.0168701	0.0302015	0.0348249	0.029454	0.0369744	0.022806	0.0387745	0.0291361	0.0520498	0.0230554	0.0141399	0.0144141	0.0129726	0.00652252	0.0159346	0.00901987	0.00964507	0.0161366	0.0113707	0.012327	0.0182825	0.0100085	0.0203194	0.0171467	0.0185217	0.0175662	0.0210029	0.0189541	0.020708	0.0157556	0.018358	0.0175915	0.022977	0.0211342	0.0369505
grand	0.00134613	0.00125103	0.00220407	0.00268484	0.00334134	0.00346107	0.00715501	0.0102136	0.0271869	0.0502152	0.116173	0.0688017	0.0640388	0.0788645	0.0358348	0.0882485	0.0981948	0.177601	0.0692101	0.0229299	0.00845311	0.00207499	0.00250418	0.00228949	0.00160156	0.00338273	0.00492083	0.00406467	0.00311215	0.00769661	0.00549272	0.00775003	0.00470704	0.00183585	0.00128312	0.00169465	0.00191162	0.00135277	0.000997934	0.000743906	0.000549487	0.000802555	0.000670367	0.00115122
nombre	0.00414213	0.00271896	0.00307815	0.00417201	0.0053249	0.00637568	0.0109089	0.0119015	0.0177411	0.0391089	0.0548628	0.0212695	0.0344468	0.0236047	0.0296541	0.0931711	0.0815595	0.116922	0.0942722	0.0506849	0.0192974	0.00893372	0.0117989	0.00812052	0.00468647	0.0104149	0.0178991	0.018004	0.0101966	0.0147355	0.00995593	0.0253617	0.0175436	0.0126115	0.00511631	0.0111482	0.00937171	0.00849648	0.0100161	0.0118354	0.0131284	0.0159871	0.0108554	0.00856479
de	0.0467494	0.0353936	0.0272405	0.0385301	0.0296119	0.0250265	0.0108578	0.0194826	0.0195602	0.023381	0.0334034	0.0363002	0.0267657	0.0363412	0.0240761	0.0238409	0.0279295	0.0442887	0.032622	0.0352465	0.0426522	0.0402775	0.0161938	0.0124192	0.0150087	0.0164133	0.0152583	0.0182991	0.0153984	0.0266378	0.00823984	0.0155642	0.00792084	0.00854884	0.00841321	0.0106753	0.0154215	0.0124359	0.0144054	0.0120095	0.0156602	0.0151805	0.0164674	0.0238514
gens	0.0396454	0.056867	0.0577073	0.0719241	0.048851	0.045672	0.0413102	0.0402682	0.0283057	0.0412507	0.0298017	0.0218235	0.0116257	0.0330055	0.0195091	0.0106945	0.0237062	0.0615009	0.0262881	0.034489	0.0264479	0.0116988	0.00727365	0.00503046	0.00897823	0.00868023	0.00549438	0.0135593	0.0135989	0.0148779	0.00710069	0.00479266	0.00224827	0.0059973	0.00523256	0.00589485	0.00609403	0.00941351	0.0104153	0.0120329	0.0130951	0.0147665	0.0134738	0.0295569
est	0.0123437	0.014468	0.0106584	0.0131488	0.00894051	0.0122606	0.0148827	0.0129347	0.0120964	0.0164699	0.0190522	0.0213856	0.0146815	0.0330271	0.0219554	0.0104632	0.0171121	0.0417876	0.034494	0.0486103	0.0408937	0.021008	0.0174836	0.0044494	0.00692819	0.00700221	0.00423708	0.0073777	0.00906357	0.0104926	0.0100086	0.0122309	0.0215906	0.0249869	0.0302144	0.028173	0.0367652	0.0356914	0.0375847	0.0390099	0.0485498	0.043068	0.0390015	0.0734162
réuni	0.0199238	0.0169319	0.00993842	0.0138361	0.0110318	0.0153522	0.0173655	0.0222845	0.0098638	0.0118804	0.00862236	0.013809	0.0118687	0.0153712	0.0264959	0.0104488	0.0142351	0.0132709	0.0231894	0.0322415	0.0379858	0.038728	0.0235582	0.0146818	0.0156923	0.0152967	0.00740664	0.0108853	0.00899999	0.0107295	0.0125945	0.0158578	0.0245617	0.028052	0.0287393	0.0308795	0.0257107	0.0310144	0.0407201	0.0362703	0.0534238	0.053384	0.0533238	0.0635428
chez	0.0352317	0.0321168	0.0274024	0.0242487	0.0171672	0.0134591	0.00697835	0.00933398	0.00496472	0.00962966	0.0079064	0.00698596	0.00902361	0.00514335	0.00907754	0.0120366	0.0284856	0.0347417	0.0313389	0.0376152	0.0388228	0.0400971	0.0207063	0.0125937	0.0172455	0.0155252	0.00965944	0.0105701	0.00758223	0.00952217	0.00642802	0.0112648	0.0154633	0.0222493	0.0150244	0.0209297	0.0160428	0.0195726	0.0276789	0.0274158	0.0488824	0.053455	0.063669	0.106712
le	0.0289934	0.0298333	0.0307104	0.0309288	0.0211549	0.0185828	0.00958042	0.010364	0.00500726	0.0080706	0.0049041	0.00240454	0.00280273	0.00238623	0.00347328	0.00558559	0.0168618	0.0323278	0.0182847	0.0261383	0.0180559	0.0194517	0.0130028	0.00887107	0.0123371	0.0126621	0.00934719	0.0111138	0.00844848	0.0126722	0.00727	0.0190455	0.0206924	0.0477979	0.0405904	0.0461732	0.0261767	0.0418015	0.0332366	0.0439712	0.0465196	0.0532213	0.0561822	0.0829644
notable	0.0223214	0.0288345	0.0221788	0.0184763	0.0148849	0.0170921	0.0239064	0.0284886	0.011946	0.019723	0.0147788	0.0146785	0.0157063	0.0169477	0.0147934	0.0175915	0.0228358	0.0211911	0.0262689	0.0304843	0.0243859	0.0226	0.0170444	0.00648257	0.0125697	0.0124728	0.0054825	0.00452555	0.00409314	0.00512171	0.00557421	0.00923879	0.0139631	0.01314	0.0123288	0.0153258	0.01423	0.0179472	0.0234266	0.0373966	0.0573782	0.0713155	0.0820513	0.108777
